language_name,file_name,mac_address,city,language_code,country,latitude,longitude,time,timezone,date,iso8601,hostname,date_time,random_number,pricetag,company
Slovak,Glas.doc,d0:2c:54:a8:84:76,Sternberg,sr,Thailand,62.555197,106.311496,14:57:59,Africa/Lagos,2001-08-31,1985-09-04T18:19:13,laptop-24.luebs.com,2022-12-07 13:33:49,459023847,"77,55 €",Misicher GmbH & Co. KG
Luxembourgish,hart.json,02:62:66:21:fe:4e,Lüdinghausen,kok,Turks- und Caicosinseln,4.087362,-52.146167,21:24:29,America/Argentina/La_Rioja,2018-03-31,2013-12-01T12:49:24,email-10.winkler.net,2003-02-07 00:06:58,60,"6,30 €",Pergande Fröhlich AG & Co. KGaA
Norwegian Nynorsk,von.gif,3c:5e:eb:2a:56:d4,Tecklenburg,mn,Ruanda,-17.3481305,158.903439,03:43:03,America/Port_of_Spain,1994-10-02,1979-10-05T21:23:21,laptop-51.hornig.de,2023-04-18 17:31:17,90,"5,73 €",Hermann AG
Abkhazian,Oma.js,94:4f:b7:5e:fc:67,Sankt Goarshausen,as,Bermuda,76.1642045,59.820029,07:31:58,America/St_Kitts,2006-01-26,2004-12-07T09:26:54,db-23.schaefer.de,1980-07-06 13:11:55,5728141,"63.520,98 €",Faust
Corsican,Geburtstag.mp3,04:c2:b9:6a:55:30,Nauen,tn,Nauru,-40.891846,-52.620088,06:39:44,Asia/Kabul,1978-03-30,1987-01-02T03:01:06,lt-98.haenel.org,2010-05-07 04:39:54,999610359,"91,73 €",Fechner e.G.
Greek,Sache.gif,d4:93:ff:a6:76:de,Hohenmölsen,yi,Afghanistan,27.5983035,-65.151758,20:58:30,Europe/Andorra,1974-01-07,2006-03-20T07:46:10,lt-74.johann.org,1997-04-24 16:46:24,67,"864,44 €",Vollbrecht Stey AG & Co. KGaA
Assamese,Jahr.csv,54:26:c8:63:f2:e6,Naila,shs,Frankreich,83.4764865,23.474135,20:40:10,Europe/Podgorica,2007-02-24,2014-02-23T02:27:04,desktop-00.huhn.de,2008-09-05 21:56:14,97090,"1.124,74 €",Beyer
Indonesian,zehn.numbers,53:04:a9:95:5e:68,Lübz,lij,Malta,85.193095,-18.519873,10:39:08,Asia/Dushanbe,2008-10-24,2014-02-09T21:09:59,desktop-95.beyer.com,1980-10-12 11:32:06,584493093,"8.663,27 €",Schuchhardt
Inuktitut,weil.wav,4b:17:ea:f6:54:4a,Peine,ru,Mikronesien,54.6073485,-114.943498,09:45:44,Africa/Tunis,1979-01-24,2021-11-01T16:46:54,db-71.baerer.com,2006-11-15 12:40:43,164000,"2.968,75 €",Vogt GmbH
Luxembourgish,am.png,83:42:b6:c1:cd:f8,Tirschenreuth,da,Myanmar,58.878846,-32.411509,17:05:51,Asia/Bangkok,1996-09-01,1998-03-08T16:15:50,web-42.christoph.com,2012-03-24 10:46:36,47626,"2,59 €",Heinrich
Walloon,will.flac,e5:2d:0d:24:47:13,Zschopau,gv,Luxemburg,-80.1439815,-57.640322,12:07:47,Africa/Abidjan,1976-06-01,2012-09-24T15:00:24,db-05.ackermann.com,1995-04-03 01:48:01,9403144,"678,31 €",Eigenwillig Kaul GmbH & Co. KG
North Ndebele,baden.ppt,3b:ab:f1:cd:0c:51,Riesa,tn,Venezuela,-48.287689,175.904669,03:02:21,Europe/Brussels,1985-12-31,2002-06-09T19:47:03,email-58.gehringer.com,1977-06-28 08:40:22,56,"737,34 €",Girschner
Tahitian,Wiese.mp4,94:6f:9b:b2:58:24,Neubrandenburg,sid,Puerto Rico,-88.0260765,-117.458350,23:17:19,Asia/Kuching,2019-11-18,1974-03-13T07:49:03,lt-62.liebelt.com,2020-04-13 16:49:11,71147,"73.749,49 €",Staude
Finnish,Sonntag.html,1e:5f:4b:2b:6f:be,Mittweida,lij,Antigua und Barbuda,40.705945,-80.261235,15:35:22,Africa/Kigali,1991-03-09,2016-10-16T07:12:01,web-99.fritsch.com,2013-12-18 05:42:20,6,"6,92 €",Stiebitz Berger e.V.
Chuvash,wichtig.json,06:49:82:94:55:28,Hannover,gd,Kolumbien,-89.907641,163.295168,03:39:13,Europe/Madrid,1970-09-17,1990-12-17T09:43:12,db-46.christoph.com,1974-04-15 21:34:01,7,"13,63 €",Krein GmbH
Chamorro,lieb.jpeg,0a:14:bd:6f:d3:a8,Werdau,ht,Kasachstan,-24.995155,127.554712,16:36:21,Europe/Malta,1999-12-20,1982-11-10T12:01:31,laptop-12.renner.com,1977-05-12 19:11:07,225165,"3,83 €",Grein Groth AG & Co. KGaA
Azerbaijani,davon.js,09:93:84:4d:c7:69,Bruchsal,eo,Cookinseln,-80.7135415,-34.278469,08:54:37,Europe/San_Marino,2007-11-18,1974-12-09T14:14:06,lt-81.rogner.com,2014-11-25 14:42:37,4491,"71.760,82 €",Binner
Bengali,viel.pdf,10:f0:5b:ac:00:65,Osterode am Harz,ru,Irak,-0.326518,78.584378,11:28:02,Africa/Ndjamena,1991-09-30,1988-05-11T04:26:47,lt-14.gutknecht.net,1976-03-31 17:11:04,8945695,"621,72 €",Radisch Heser OHG mbH
Sango,zwischen.pages,70:9a:83:30:2a:bf,Arnstadt,ht,Äthiopien,33.8040125,-90.953998,04:47:10,Pacific/Nauru,2018-06-02,1989-09-26T08:13:40,email-18.kallert.de,2020-10-03 14:02:52,565092,"11.899,32 €",Gieß
Turkmen,gelb.gif,3d:39:29:af:f9:cf,Holzminden,mni,Kolumbien,-89.9975175,42.858635,18:41:14,America/Detroit,2014-06-05,2019-07-10T23:45:03,srv-59.heuser.de,1974-02-17 03:21:31,851,"441,81 €",Schaaf Seifert GmbH & Co. OHG
Latin,weinen.mp3,1f:4b:e6:11:7e:59,Plauen,sat,Chile,-83.6735285,140.794138,15:30:31,Africa/Asmera,1988-04-09,1972-05-03T05:32:59,web-28.pieper.com,2004-05-26 00:37:53,90617129,"4.732,77 €",Mohaupt Heinrich Stiftung & Co. KGaA
Ndonga,gerade.tiff,0b:52:08:ce:1e:c9,Grevesmühlen,wal,Monaco,-49.463504,-19.682027,07:09:08,Europe/Istanbul,1972-04-18,2003-09-18T17:12:48,desktop-68.hoffmann.com,2008-01-25 09:38:59,96100513,"7,24 €",Steinberg KG
Czech,Loch.css,e0:f2:58:5b:1d:7b,Altötting,doi,Kolumbien,38.310605,139.503436,16:28:42,Africa/Bangui,2015-03-12,1997-06-16T14:06:10,web-19.doehn.com,2018-10-01 12:44:33,1,"707,05 €",Schlosser Löwer AG
Uzbek,draußen.jpg,59:2f:6e:2d:46:a5,Neunburg vorm Wald,ku,Oman,2.6705355,15.051312,18:00:33,Asia/Tehran,2010-11-13,2012-11-01T03:20:38,lt-73.schuster.de,2003-05-06 11:56:40,85654,"4,75 €",Kohl GmbH & Co. KG
Uzbek,wieder.html,73:fa:a4:59:51:9a,Roth,ha,Mayotte,-68.783757,86.107994,02:43:25,Europe/Budapest,1977-08-08,2018-02-12T20:02:04,laptop-35.wende.com,1996-06-30 12:08:48,55951,"0,76 €",Schlosser Otto Stiftung & Co. KGaA
Chinese,unten.pages,a8:22:02:9f:0d:ab,Lüdinghausen,ht,Swasiland,75.9011865,12.563474,06:28:39,Asia/Singapore,1980-11-30,2023-08-16T09:33:58,srv-03.ruppert.de,2005-05-21 05:14:45,33,"515,60 €",Löffler
Kannada,seit.xlsx,b9:e8:53:d3:ec:f1,Nabburg,csb,Togo,-62.4359135,-149.544484,14:50:56,Asia/Seoul,1980-05-07,2013-06-02T05:42:35,lt-25.ehlert.com,2019-08-31 03:17:15,37,"2,32 €",Eberth Kruschwitz AG
Ojibwa,Opa.html,7e:d9:d7:30:2c:28,Iserlohn,nso,Kamerun,6.047030,-91.510137,02:37:51,Africa/Gaborone,1984-10-01,2003-03-12T11:17:49,desktop-97.franke.com,1984-09-01 19:15:50,1062499,"79,47 €",Buchholz
Dutch,Tisch.mp4,b8:85:b6:06:39:d2,Garmisch-Partenkirchen,os,Marokko,-22.4739985,132.814459,15:45:32,Pacific/Guadalcanal,2018-08-27,1992-02-28T13:58:31,db-30.steckel.com,2010-06-30 16:47:31,944049,"1,34 €",Hendriks Krause KG
Norwegian Nynorsk,führen.ods,97:94:50:7b:ab:b5,Hildesheim,gu,Niederlande,8.1258905,8.084978,21:32:32,Africa/Dakar,2012-10-02,1995-02-07T10:32:25,email-58.seifert.com,1987-06-07 15:22:57,653,"70.583,84 €",Sontag AG & Co. KGaA
Komi,dauern.ods,01:2f:a1:d8:4c:69,Osterode am Harz,zh,Grönland,21.171218,-52.998552,12:06:33,Africa/Malabo,1996-02-29,2003-12-14T05:15:12,email-42.kobelt.de,1985-09-12 04:48:37,90214107,"61,18 €",Schmidtke AG & Co. KGaA
Venda,nehmen.pdf,b7:a3:05:07:66:d4,Hainichen,mt,Tansania,-88.3819515,-143.611556,10:21:45,Asia/Yerevan,1979-01-08,2019-02-17T11:29:31,desktop-06.raedel.com,2023-08-08 05:13:04,67604863,"11.874,60 €",Johann
Bosnian,ab.mp3,f6:99:3a:b6:ef:86,Berlin,am,Vatikanstadt,-59.002386,178.155018,04:09:45,Asia/Muscat,2015-09-23,1992-03-25T08:37:46,db-64.reuter.de,2005-09-19 16:32:33,629511,"9,05 €",Döring
Tswana,Familie.js,f4:29:ba:21:51:9c,Bernburg,ru,Italien,59.8140735,-174.874755,21:06:36,America/Cancun,1970-10-28,1986-10-01T17:17:16,laptop-35.roskoth.de,1995-06-02 04:07:45,32591,"72,20 €",Geisel Kruschwitz e.G.
Hiri Motu,Ball.flac,6b:dc:8f:ea:0a:a8,Ansbach,wo,St. Kitts und Nevis,-40.1941925,-169.321361,08:08:30,Indian/Comoro,1997-04-15,1982-02-25T17:33:31,lt-62.kranz.org,1974-05-28 02:49:09,81039,"390,96 €",Steinberg AG
Malayalam,Wohnung.odt,2b:0a:31:60:08:fe,Bützow,zu,Monaco,87.6634585,116.392213,06:01:59,America/Antigua,1977-06-04,1980-07-23T05:44:53,lt-96.wiek.net,2015-08-19 14:11:46,6792793,"5.109,65 €",Caspar
Tswana,glauben.gif,1c:2e:58:a3:46:3c,Deggendorf,ha,Island,23.0434165,163.806457,18:30:34,America/Antigua,2018-09-22,1988-02-22T21:18:39,web-12.kaul.com,1993-02-23 02:23:36,115482,"2.140,64 €",Kaul Caspar KGaA
Urdu,leise.odp,7b:ea:2f:bc:cf:0e,Northeim,ig,Demokratische Volksrepublik Korea,6.4080205,64.620765,11:13:34,Africa/Ouagadougou,1987-09-02,1985-06-10T22:59:01,desktop-46.winkler.de,2001-06-07 02:19:09,57948,"5,85 €",Gertz
Tagalog,baden.wav,bd:39:1b:70:d6:da,Neustadtner Waldnaab,gl,Gibraltar,-65.643597,44.411255,08:12:30,Pacific/Funafuti,2007-09-18,2013-02-21T16:25:27,srv-78.ehlert.org,2006-06-03 10:57:28,81617,"94,57 €",Schinke Stolze KG
Croatian,Fuß.flac,d0:a3:3b:3f:b2:71,Geldern,af,Republik Korea,-70.7143185,-48.951739,19:27:00,Asia/Makassar,1973-09-24,1996-09-29T09:50:01,db-03.hentschel.net,1977-01-12 12:58:21,39,"58,03 €",Hande GmbH
Chinese,glauben.odt,36:30:5a:87:31:21,Stade,sat,Frankreich,-63.3758855,22.174490,03:09:36,Asia/Phnom_Penh,2006-01-22,1983-10-26T00:06:29,db-49.gehringer.de,1987-06-27 18:36:12,953943,"283,41 €",Jessel Neureuther e.V.
Swedish,schreiben.css,0f:98:c6:65:fb:d0,Halberstadt,sq,Ukraine,36.716276,130.607674,21:31:04,Africa/Sao_Tome,2002-01-27,2019-01-22T18:30:37,srv-64.preiss.de,2018-03-28 00:36:52,40225,"7.927,65 €",Schweitzer AG & Co. OHG
Inuktitut,heute.bmp,aa:f4:8d:62:ec:df,Dinkelsbühl,dz,Slowenien,-37.377845,-145.638908,06:17:40,America/Lima,2019-10-12,2022-11-09T15:20:59,laptop-57.siering.com,2002-04-01 15:26:34,628760402,"7,37 €",Kabus Siering GmbH
Icelandic,vom.docx,69:87:0b:06:f9:e8,Spremberg,byn,Deutschland,-5.3069125,-78.649985,08:39:30,Africa/Banjul,1986-05-04,2020-03-18T15:05:38,db-84.metz.com,2006-06-14 00:50:59,34265,"711,83 €",Hermann
"Sotho, Southern",schicken.flac,af:2b:e8:5b:98:63,Luckau,lv,Burundi,-21.374122,92.125411,16:13:47,Africa/Kigali,1984-03-04,1979-05-27T19:39:13,email-78.henck.com,1979-08-28 03:31:34,5106,"186,42 €",Schleich AG & Co. OHG
Norwegian Nynorsk,Nase.png,86:4a:59:d5:77:75,Pfaffenhofen an der Ilm,lzh,Bosnien und Herzegowina,-34.007044,-174.580504,21:03:15,Pacific/Galapagos,2001-05-20,2004-08-27T04:34:53,lt-17.plath.net,2022-06-07 03:29:27,867109,"86,37 €",Dietz
Bulgarian,brauchen.webm,1e:a8:03:d6:18:41,Bremen,bem,Alandinseln,-4.745524,174.800117,06:16:49,Europe/Rome,1988-06-30,1984-06-13T22:45:14,web-06.muehle.net,2013-05-16 08:20:55,72368,"214,28 €",Schäfer Fröhlich KG
Kirghiz,als.avi,1b:fd:35:14:a2:09,Delitzsch,fa,Turkmenistan,74.712380,12.975453,17:32:46,Europe/Riga,1980-04-20,1991-01-26T05:07:16,web-91.boerner.com,2016-06-22 04:03:09,173710,"38,78 €",Gnatz Oestrovsky KGaA
Basque,Arzt.bmp,c1:79:f2:6d:9d:f1,Zeulenroda,mag,Ruanda,34.172761,-72.408655,10:55:10,Asia/Manila,1996-10-16,1986-12-02T11:20:48,lt-86.conradi.com,2011-02-09 10:32:52,8,"32,44 €",Hövel Schulz GmbH
Ossetian,er.odp,52:19:2c:16:4a:3f,Osterburg,ss,Venezuela,-40.358271,86.394569,00:56:42,Asia/Jakarta,1998-12-17,2011-06-20T07:55:55,db-91.roerricht.com,1996-11-01 22:39:59,54356,"55.694,55 €",Walter
Italian,Platz.json,bb:95:a2:9b:a3:05,Sulzbach-Rosenberg,quz,Spanien,49.168297,-98.487496,09:08:43,Asia/Colombo,2015-05-01,1992-12-09T22:53:30,laptop-96.schwital.de,1970-10-22 15:21:19,0,"8.853,51 €",Dussen van AG
Breton,Wald.js,6a:a6:8a:6e:b5:3a,Bad Freienwalde,fy,Nordmazedonien,74.6488145,-104.202417,19:14:11,Asia/Yerevan,2014-08-19,1972-04-13T22:01:31,srv-59.salz.com,1977-06-20 22:47:40,479,"6,95 €",Franke Christoph GmbH
Burmese,ganz.html,c2:7f:3e:4d:21:c2,Bitterfeld,ln,Liechtenstein,30.407092,37.130519,15:20:37,America/Havana,1970-12-02,1977-03-08T14:00:24,web-40.ebert.de,1988-10-23 07:04:21,44,"50.618,90 €",Steckel GmbH & Co. OHG
Twi,sieht.css,52:c9:ed:5d:60:d0,Sigmaringen,tk,Nördliche Marianen,-60.671584,178.267437,19:32:19,Africa/Malabo,1981-06-19,1991-04-22T14:20:31,lt-38.holt.com,1981-04-14 03:47:34,77965,"89,36 €",Kambs Wulf AG & Co. OHG
"Sotho, Southern",erst.jpeg,4b:5c:a9:52:bf:22,Nürtingen,pt,São Tomé und Príncipe,84.210314,118.756849,09:35:58,Pacific/Nauru,1977-03-25,2020-12-29T12:51:57,email-67.paffrath.com,1982-03-08 00:32:52,85598564,"8.033,45 €",Flantz AG & Co. OHG
Akan,waschen.flac,08:61:18:2b:fd:46,Kehl,si,Bulgarien,-25.674749,-31.893732,03:11:20,Asia/Hovd,1971-04-06,1985-09-30T18:58:23,srv-21.henk.de,2007-10-03 20:12:24,752910309,"4,85 €",Kranz Hering AG
Sundanese,verstecken.html,7a:47:85:13:b3:bb,Delitzsch,bn,Indien,-16.8002655,133.125532,05:26:55,America/Santo_Domingo,2015-06-17,2017-02-01T07:45:38,web-89.biggen.de,2004-09-15 03:57:39,5266780,"82.350,27 €",Mude
Swedish,spielen.xlsx,b4:59:1a:9c:84:13,Vilsbiburg,raj,Mexiko,-75.049105,178.903724,09:50:57,Europe/Helsinki,1997-01-14,2001-03-03T13:14:10,web-87.junken.com,1984-05-17 11:27:14,848594,"672,12 €",Stumpf Reuter GbR
Nauru,dafür.csv,17:21:ca:05:8a:f9,Brandenburg,he,Kroatien,60.5107115,14.821869,16:33:26,Africa/Banjul,2019-11-22,1982-08-21T17:46:15,email-62.boucsein.net,2021-08-14 15:46:29,493,"919,75 €",Tintzmann
Thai,setzen.mp3,25:c4:70:87:9b:85,Torgau,cmn,Simbabwe,73.671123,98.457264,19:10:49,Europe/Belgrade,1972-03-27,2017-04-30T04:51:54,email-54.cichorius.net,2020-08-14 03:03:02,47328,"54.457,41 €",Hoffmann Schleich Stiftung & Co. KG
Panjabi,lustig.pages,ab:3b:38:d8:94:d5,Bad Kreuznach,ber,Neukaledonien,-12.5071035,-109.905987,22:23:14,Asia/Riyadh,1999-07-01,1985-04-01T01:39:51,email-41.scheuermann.com,2004-02-09 15:01:48,916898635,"7.956,00 €",Stroh KG
Nauru,Garten.mp3,44:53:ce:47:41:e3,Hammelburg,tt,Island,61.1535195,-124.100840,18:36:19,Asia/Singapore,1971-09-06,1994-09-24T11:50:30,laptop-13.trupp.com,1996-05-17 08:33:29,99,"984,60 €",Scheel
Avestan,dich.webm,8b:a3:93:14:49:f2,Magdeburg,nl,Turks- und Caicosinseln,-78.9161765,155.662810,00:36:07,Europe/Ljubljana,2015-09-20,1986-04-09T14:28:08,db-46.buchholz.net,1997-01-11 01:36:46,7791487,"84,47 €",Radisch
Luba-Katanga,Geburtstag.html,2f:19:05:90:95:aa,Artern,fr,China,-76.124635,-44.743613,08:30:10,Africa/Blantyre,1984-05-12,2019-12-30T23:28:10,srv-79.doering.org,1993-07-20 10:22:32,13259,"98.641,28 €",Gröttner Scheel OHG mbH
Finnish,fest.mp3,33:73:46:49:97:ac,Cloppenburg,br,St. Martin,89.227103,39.585750,19:25:58,America/Jamaica,2013-11-05,1970-05-25T06:10:05,lt-95.jaekel.de,1981-03-21 23:11:48,63,"443,66 €",Schenk Stiftung & Co. KG
Kongo,rennen.png,50:d4:d2:c6:9b:bb,Mühlhausen,oc,Amerikanische Jungferninseln,17.3470415,-132.372353,08:44:10,Pacific/Efate,1993-01-28,1997-04-28T22:11:27,desktop-56.beier.de,1995-11-29 05:32:57,7503421,"632,53 €",Haering Gunpf KG
Lingala,dauern.js,4b:df:2d:0c:38:9e,Karlsruhe,id,Oman,-17.7192015,0.994079,18:21:23,Europe/London,1984-08-04,2016-10-07T08:05:25,lt-83.radisch.de,1995-04-07 00:22:37,6325684,"39,80 €",Kaul GmbH & Co. KG
Zulu,möglich.doc,86:f8:18:6c:e8:2a,Rostock,an,Niger,29.5662385,108.285818,20:30:46,Pacific/Port_Moresby,2010-11-08,2016-06-19T02:17:48,email-37.seifert.org,2016-06-10 05:15:27,46389,"90.219,02 €",Jopich Wieloch GmbH
Lingala,sich.pptx,87:88:33:fd:4b:5c,Eberswalde,tcy,Niederländische Antillen,-25.447450,7.099255,03:58:02,Pacific/Funafuti,1976-10-14,2019-10-14T05:42:14,web-21.mohaupt.de,2006-02-21 20:13:57,17,"97.838,78 €",Sontag GmbH & Co. OHG
Basque,kurz.avi,fc:9d:a4:47:2c:70,Steinfurt,te,Indien,34.9594135,-118.239990,23:48:27,America/Asuncion,2019-05-27,1988-02-25T11:26:37,db-78.krause.de,1972-12-13 19:57:42,735702,"0,63 €",Gude AG & Co. KGaA
Lingala,weiß.bmp,f9:15:82:bd:b6:26,Kronach,or,Zentralafrikanische Republik,19.530524,47.783794,05:46:34,Europe/Sofia,1979-08-07,2000-01-12T00:22:57,srv-37.tlustek.de,1970-02-06 22:52:20,407,"37,10 €",Gertz GbR
Lao,Sohn.webm,ba:ac:5d:5d:e2:82,Konstanz,nds,Turkmenistan,5.884382,37.476101,12:47:06,Asia/Yerevan,2003-01-04,1988-04-18T04:29:37,lt-29.bolnbach.net,2008-11-02 05:50:24,8080,"78,68 €",Trub Bruder KG
Spanish,letzte.json,1b:c7:db:33:7d:89,Höxter,eu,Sri Lanka,-4.228605,-15.776257,03:04:07,America/Grenada,1976-06-14,1986-10-13T00:02:20,lt-96.lindau.org,2022-03-29 02:22:28,4617328,"9,95 €",Reichmann AG & Co. OHG
Gujarati,anfangen.odp,c1:6a:51:4b:ee:4f,Gräfenhainichen,doi,Philippinen,-22.5266975,-174.761323,01:51:38,America/Asuncion,1986-06-26,1984-08-16T11:28:06,desktop-13.koch.com,1974-04-30 06:20:15,3,"524,63 €",Heuser Pärtzelt AG
Indonesian,Minute.css,cd:66:5c:fc:e9:9c,Olpe,pap,Slowakei,-23.7330375,140.594546,03:02:46,America/Nassau,1975-09-22,1977-02-18T19:45:21,email-10.nette.de,2007-10-03 16:40:37,54311851,"22,47 €",Möchlichen AG & Co. OHG
Pali,Schüler.css,ef:54:8d:b9:0e:16,Steinfurt,mt,Georgien,1.7020255,98.271919,20:37:24,Africa/Ndjamena,1993-01-18,1984-08-14T13:08:00,laptop-76.heser.com,1983-01-26 09:51:42,303382898,"9.649,35 €",Zobel Kramer GmbH
Uighur,fallen.webm,09:23:15:d1:5c:67,Eisenach,wo,Lettland,61.958109,-44.512902,06:46:32,America/Guyana,1973-12-29,2007-10-27T12:14:13,web-03.kobelt.com,2022-05-04 08:01:31,2,"79.970,33 €",Stadelmann GmbH
Sango,auf.flac,b9:84:19:1f:0a:15,Mühldorf am Inn,lij,Botsuana,-36.397481,173.823376,05:26:15,Europe/Monaco,1990-08-22,1994-07-02T16:15:03,web-51.reinhardt.org,1988-02-28 07:45:59,76289,"45,20 €",Losekann GmbH
Tajik,dich.avi,85:55:14:ea:50:d3,Koblenz,bho,St. Martin,-30.960336,28.244224,17:58:52,Europe/Sarajevo,1975-07-15,1992-01-12T01:17:14,email-19.mangold.de,2020-10-12 10:27:30,127,"96.503,61 €",Reinhardt Schüler KGaA
Shona,können.png,c7:24:4e:6e:06:ba,Quedlinburg,ast,Nigeria,-68.6299905,-11.793882,21:45:38,America/Santiago,1972-07-14,1982-04-10T00:28:42,lt-02.kitzmann.net,1990-05-08 00:18:24,876274,"269,71 €",Eberth
Chinese,immer.webm,bc:76:5c:a2:9e:36,Lemgo,so,Mongolei,29.055400,80.728082,03:21:02,Africa/Bujumbura,2007-06-29,2020-09-09T03:24:49,srv-14.stroh.net,1995-09-04 07:48:43,2,"4.586,17 €",Heß Aumann GmbH
Bulgarian,Wald.txt,8e:f6:ce:9a:4c:c9,Lübz,iu,Demokratische Republik Kongo,26.537864,40.300529,21:10:04,America/La_Paz,1988-05-21,1987-05-28T08:59:16,lt-50.vogt.net,1996-06-30 05:37:00,958780,"89.589,85 €",Möchlichen Scheibe GmbH
Malagasy,Freund.mp3,e8:96:52:a7:3f:58,Hechingen,uz,Andorra,19.909235,-39.082906,21:04:35,Europe/Berlin,1986-08-01,2008-04-07T20:52:32,srv-74.hecker.com,1970-01-24 05:31:08,66572883,"69.473,25 €",Löchel AG & Co. OHG
Kinyarwanda,wer.ppt,85:6d:f2:9e:cd:dc,Gardelegen,ast,Portugal,65.2130645,-170.221412,03:02:56,Asia/Phnom_Penh,1984-08-12,2019-02-06T21:36:46,db-01.faust.org,1989-11-22 17:18:41,494456023,"0,74 €",auch Schlauchin AG
Twi,nächste.js,e1:a7:f0:e5:00:d9,Gerolzhofen,da,Niederländische Antillen,30.9421305,132.459518,17:29:24,Africa/Windhoek,1978-05-11,2011-02-05T13:31:17,lt-29.ziegert.com,1989-03-26 18:25:42,8653497,"617,00 €",Mülichen Söding GmbH & Co. KG
Oriya,dort.webm,9c:c4:41:89:a2:84,Bergzabern,pa,Barbados,43.7581795,25.721714,06:33:49,Europe/Prague,2015-11-11,1985-05-10T17:22:29,web-01.niemeier.net,2021-01-24 12:29:05,361,"808,71 €",Häring
Kongo,dem.jpg,54:78:cb:ef:f9:88,Wiedenbrück,eo,Oman,-78.5056315,166.293796,07:23:13,Africa/Asmera,2021-12-15,1983-11-26T00:03:17,laptop-68.etzold.com,1999-03-21 03:43:30,78597159,"9.676,94 €",Naser GbR
Kashmiri,rufen.json,ef:bd:a2:7f:16:96,Zerbst,ug,Südgeorgien und die Südlichen Sandwichinseln,-77.4817765,-49.464998,01:56:36,Asia/Kuching,2014-12-14,1992-03-20T16:36:59,web-77.ritter.de,1993-03-29 19:03:04,32373678,"24.250,90 €",Hornig KG
Ndonga,Stück.mp3,12:ad:86:a9:39:45,Rostock,lo,Guadeloupe,-54.924540,-40.371860,13:07:30,Asia/Baku,2019-01-26,2000-10-23T20:37:23,email-71.wende.de,1983-01-06 15:51:35,4400458,"25.975,47 €",Lübs
Hiri Motu,ab.mp4,c8:e7:77:b3:1f:f9,Naila,sv,Kokosinseln,83.045040,-133.588383,20:28:45,Africa/Abidjan,1983-05-09,2014-11-04T04:09:12,lt-47.spiess.com,1976-02-03 19:36:58,17353854,"896,04 €",Mosemann Etzold AG
