language_code,time,language_name,company,pricetag,longitude,random_number,country,hostname,timezone,date_time
gv,20:40:16,Finnish,Amrein-Käser,$344.71,33.421607,34769222,Panama,lt-19.zurcher.com,Africa/Banjul,2010-10-18 02:04:14
ka,20:54:46,Albanian,"Meister, Wenger and Staub",$2.34,-173.986985,203169737,Liberia,db-65.hofer.com,Europe/Ljubljana,1973-08-03 17:11:17
pa,21:55:55,Faroese,"Sidler, Giger and Stauffer","$1,309.89",-44.639794,273621,Estonia,desktop-68.schenk.com,America/Port_of_Spain,1992-11-27 06:02:22
the,11:26:25,Korean,"Wirth, Hauser and Bolliger",$543.75,-99.019560,6902,Malta,web-58.fluckiger.net,Asia/Katmandu,1972-09-10 15:51:42
bo,10:20:35,Bihari languages,"Baumgartner, Weber and Mettler",$499.27,60.133618,473,Burundi,srv-63.seiler.com,Africa/Abidjan,2002-03-01 00:34:56
ht,08:35:13,Avestan,"Bucher, Ammann and Schaller",$55.55,60.638576,9582114,Belize,srv-78.ferrari.com,Asia/Vientiane,1971-05-09 06:53:50
pl,18:23:23,Thai,Wüthrich-Beck,"$9,987.53",-16.892137,813836737,Saudi Arabia,web-75.hafliger-isler.org,Asia/Karachi,1993-06-20 13:03:57
ne,17:47:45,Sardinian,"Amrein, Friedli and Käser",$357.01,52.841231,47368,Norway,web-96.sutter.com,America/Dominica,2020-06-17 04:29:03
sa,10:10:10,Kanuri,Bühlmann Inc,$5.59,85.779930,78356713,Armenia,desktop-28.hafliger-schenk.com,Pacific/Tongatapu,1981-12-10 11:22:01
ml,15:53:15,Kazakh,Schumacher LLC,$734.08,102.494731,223340,Benin,email-35.hess.com,America/St_Vincent,2015-04-07 08:24:16
mai,22:26:23,Telugu,Roth Ltd,"$87,914.82",118.754949,30533,Algeria,srv-95.schnyder.org,Europe/Paris,2015-12-19 07:13:59
bn,06:10:35,Afar,"Lustenberger, Schenk and Kälin",$10.17,124.087278,375,North Macedonia,desktop-82.kessler-kagi.com,Europe/Bucharest,1997-03-13 20:28:34
kw,02:00:09,Central Khmer,Haas-Hirt,"$56,386.59",-142.993359,14,Argentina,laptop-03.felder.com,Asia/Riyadh,1990-04-06 08:41:08
ms,17:23:16,Luxembourgish,Erni-Zürcher,$950.97,-85.041105,8586645,Andorra,desktop-37.hoffmann.biz,Pacific/Enderbury,2023-08-18 08:26:41
nds,02:55:47,Sindhi,Schärer Inc,$1.77,-118.693015,932,Swaziland,web-51.stucki.com,Europe/Chisinau,2002-10-08 00:32:39
cy,06:57:10,Xhosa,"Stucki, Meili and Marti","$3,999.97",113.356674,631605,Bolivia,laptop-96.betschart-leu.com,Europe/Sarajevo,2001-01-16 04:13:43
sq,19:45:24,Tagalog,"Schoch, Geiger and Ernst",$63.32,-104.072053,742418708,Republic of Ireland,desktop-22.favre.com,Europe/Stockholm,2001-02-05 13:34:47
mr,01:56:47,Pali,Schaller PLC,"$57,672.86",60.833978,11005079,Uganda,lt-43.hermann.com,Africa/Nouakchott,2022-10-31 00:45:03
nr,17:59:10,Kalaallisut,Schlatter and Sons,$5.81,43.651629,82,Cape Verde,lt-35.wirz.com,Africa/Asmera,2008-02-10 03:16:58
nn,13:55:54,Indonesian,Scherrer-Schumacher,$502.47,95.053220,17119718,Ghana,email-90.hofmann.com,Europe/Brussels,1995-04-13 13:58:51
ckb,02:15:26,Oriya,Lüscher PLC,$98.67,142.547026,212648,Mongolia,lt-55.hasler.com,Africa/Abidjan,1974-05-09 17:46:34
tt,10:34:21,Sanskrit,"Erni, Ammann and Meier","$5,171.45",-111.367652,3,Saint Lucia,srv-83.lehmann-beck.com,America/Bogota,1991-10-11 14:34:38
id,07:13:33,Slovak,Staub-Zimmermann,$0.94,87.536189,1697,North Korea,laptop-12.schneider.com,Europe/Belgrade,2007-10-04 19:35:25
the,13:08:41,Indonesian,Schaub Group,"$71,030.58",-81.120858,2278462,Germany,web-92.fischer.info,Africa/Abidjan,1971-04-10 19:27:35
kl,10:54:25,Kannada,"Kessler, Zürcher and Bernasconi","$68,777.72",175.279015,84,South Africa,db-80.christen.org,Europe/Malta,1985-08-04 12:58:08
ckb,07:50:26,Zhuang,"Aebi, Schäfer and Steinmann","$60,930.38",110.472593,139302675,South Africa,email-93.baumann-kalin.com,Europe/Zurich,1984-09-30 13:22:04
ln,20:23:25,Armenian,"Schärer, Rey and Mettler","$8,875.80",-76.557128,6,Kenya,lt-99.furrer-martin.com,Europe/Bratislava,2002-12-01 00:44:12
mai,14:20:39,Thai,Gerber-Frick,"$14,294.91",36.074831,63374,Brazil,srv-25.schurch.com,Africa/Nouakchott,2007-01-15 13:51:44
szl,21:42:30,Kanuri,"Küng, Bucher and Hotz",$19.24,167.862149,882388,Tuvalu,db-24.schmidt-huber.com,Asia/Brunei,1999-06-27 17:59:25
hi,10:25:58,Albanian,Probst PLC,$27.39,40.478181,7,Swaziland,db-19.fischer.biz,America/Tegucigalpa,2005-08-14 08:09:35
kl,06:16:13,Tagalog,"Bühler, Hodel and Maurer",$52.17,29.783610,545399659,Guinea-Bissau,lt-60.kaufmann-jost.net,Europe/Athens,2023-03-27 16:48:35
pa,10:39:54,Ndonga,Schaub-Bieri,$68.71,-137.889050,82,Chile,srv-33.felder.net,Asia/Tbilisi,2007-08-25 00:56:52
th,13:19:57,Avaric,"Mayer, Zehnder and Jost",$412.32,-169.178074,4,Togo,web-99.schumacher.net,Asia/Baghdad,1983-07-12 02:39:53
ug,18:16:05,Assamese,"Egli, Bader and Christen",$50.91,70.075292,4591,Cape Verde,lt-84.probst.com,Asia/Beirut,2016-08-09 05:48:06
bho,05:20:50,Sinhala,"Kern, Meister and Mäder",$779.35,21.600308,2,Vanuatu,desktop-17.maurer.com,Africa/Maseru,1984-12-13 21:36:10
ber,03:34:30,Sundanese,Studer and Sons,"$9,899.30",-147.460002,159944248,South Africa,web-43.hotz-lanz.org,Europe/Zurich,2010-09-02 17:31:16
ak,17:27:58,Lithuanian,Schär Inc,$5.45,-125.227472,4093,Italy,srv-39.haas.com,Africa/Ceuta,1979-07-06 01:32:34
pt,00:39:38,Chinese,"Schneider, Frei and Schäfer",$97.73,-98.549797,7,Federated States of Micronesia,email-35.wirth-winkler.com,Europe/Riga,2005-01-16 18:43:42
sa,00:42:47,Nepali,"Egger, Senn and Schaub","$6,898.79",135.746833,7,Sweden,laptop-50.amrein-fluckiger.org,Europe/London,2008-09-13 06:07:13
fi,10:23:45,Estonian,Beck Ltd,$3.06,-132.195880,30,Suriname,laptop-76.favre.com,Asia/Chongqing,1970-01-01 22:42:44
ha,20:21:05,Shona,"Eugster, Gut and Hauser","$29,178.03",29.536357,7073,Estonia,db-74.ernst.com,Europe/Oslo,1981-01-08 18:54:30
br,19:55:23,Oriya,"Hofstetter, Stöckli and Pfister",$57.57,-151.234990,6,Moldova,db-23.knecht-scheidegger.com,America/Noronha,1975-12-09 13:07:47
he,08:04:48,Limburgan,Kuhn-Weibel,$425.73,45.244999,57711,Zimbabwe,email-74.schmid.com,Africa/Sao_Tome,1994-07-28 14:46:11
mk,10:41:27,Kanuri,Betschart LLC,$302.46,129.642401,51,Bahrain,desktop-02.brun.com,Asia/Baku,2022-05-01 23:05:09
gd,22:35:54,Manx,Egli-Brun,"$3,124.46",-73.209543,108031,Eritrea,web-47.schar-maurer.info,Europe/Riga,2000-04-28 17:21:19
de,10:38:30,Latvian,"Fischer, Hauser and Zehnder","$19,388.64",-72.908150,7,Croatia,laptop-25.imhof-roth.com,Africa/Asmera,1987-12-09 07:01:52
ca,07:18:16,Cornish,Isler and Sons,"$7,719.84",-34.988978,985,Paraguay,email-29.kaufmann.com,Africa/Bangui,2015-02-08 12:31:53
quz,19:38:50,Romansh,"Tanner, Ferrari and Kaufmann",$52.42,1.430095,9,Qatar,web-67.hauser-battig.com,Europe/Monaco,1985-02-09 08:23:03
ks,01:58:39,Catalan,Bucher and Sons,"$7,272.08",51.352893,212968,Cuba,db-49.fluckiger-portmann.biz,Africa/Djibouti,1986-04-11 06:45:32
tr,09:33:33,Inuktitut,Ernst-Baumann,"$25,908.09",-5.216121,2596,Republic of the Congo,laptop-10.schafer.info,Europe/Tallinn,1992-07-03 09:31:52
ur,15:58:51,Uzbek,Zürcher-Lüscher,$82.17,64.378036,17593,Republic of the Congo,email-93.walter.com,Europe/Zaporozhye,1974-12-11 09:23:46
shs,08:04:25,Catalan,"Arnold, Graf and Kaufmann",$7.71,-91.312393,687466871,Croatia,desktop-97.marti.com,Europe/Vilnius,2002-12-13 12:01:09
ts,18:59:17,Chuvash,Bianchi-Widmer,"$20,639.62",-64.625298,397690,Canada,srv-00.ernst-kaiser.com,Europe/Helsinki,2010-04-29 02:57:49
wal,05:32:40,Cornish,"Grob, Benz and Bär","$91,024.63",-158.697468,981,Namibia,email-19.peter.com,Europe/Malta,1996-08-22 06:27:32
ja,00:10:52,Occitan,Blaser-Wegmann,$206.38,57.699545,548781,Romania,lt-18.gasser.com,America/Costa_Rica,2012-01-22 10:14:32
xh,10:38:49,Tahitian,Kern Ltd,$83.12,-115.503014,60352786,Spain,db-96.wyss.net,Europe/Amsterdam,2016-08-10 11:05:59
sv,09:07:30,Ojibwa,"Zimmermann, Bianchi and Berger",$79.34,-142.580598,95066197,Bangladesh,lt-05.maurer-iten.com,Europe/Helsinki,2000-12-20 06:22:03
nb,13:37:16,North Ndebele,Gerber-Weber,$129.38,162.022173,751,Morocco,desktop-39.suter-vogt.net,Europe/Sarajevo,2002-08-28 18:51:33
an,01:55:25,Kashmiri,Käser Inc,$0.04,128.164926,7149,Togo,web-69.wirth.org,Asia/Hebron,1970-05-09 04:43:19
hu,07:10:04,Avaric,Walter-Geiger,$0.46,0.566299,41288770,Benin,email-99.albrecht.net,America/St_Lucia,2010-11-22 18:08:15
fi,15:37:48,Kirghiz,"Grob, Maurer and Hofmann","$6,696.60",-159.254347,48691213,Benin,laptop-92.marti-schmidt.com,Africa/Bamako,1975-03-18 11:46:27
te,06:35:31,Tibetan,"Felber, Stöckli and Gerber",$58.64,-178.445462,639978,East Timor,web-07.schoch.com,America/Guatemala,2001-06-29 15:35:12
ka,15:02:33,Hungarian,Bader PLC,$6.93,60.015183,921647,Algeria,email-35.aebi-jenni.com,America/Barbados,2012-03-14 20:13:01
pt,10:09:10,Komi,Schweizer Ltd,$679.03,86.018326,27,Laos,email-81.stutz-michel.info,Africa/Maputo,1982-08-13 23:46:05
zu,21:15:12,Bosnian,Kälin and Sons,"$37,360.48",-158.232179,457573864,Croatia,web-88.hofstetter-schnyder.com,Europe/Lisbon,1988-08-02 16:10:01
ps,09:30:32,Pali,"Schumacher, Lutz and Vogel",$68.46,44.683781,54301,Iraq,db-16.stadelmann.com,Asia/Colombo,2019-07-07 08:56:38
ne,10:18:00,Chechen,Ziegler-Ott,$6.23,52.055782,377412,South Korea,web-75.bucher.com,America/Monterrey,2012-07-07 18:09:14
my,05:54:06,Ewe,Marti-Betschart,"$7,047.16",-81.921144,31623,The Gambia,lt-02.gasser-hafner.org,Africa/Accra,2017-07-06 03:58:01
ber,20:54:07,Thai,Schmid Inc,"$5,226.97",94.216560,9189,Equatorial Guinea,laptop-85.scharer-schuler.com,Africa/Brazzaville,2001-05-21 14:10:45
apn,03:11:08,Malay,Kessler Inc,$0.38,-143.563654,1,People's Republic of China,email-09.wuthrich-gut.com,Asia/Aqtau,2008-03-09 06:45:52
shs,01:54:53,Telugu,"Jost, Schürch and Baur","$3,645.61",71.561415,25585,Bangladesh,desktop-36.forster.com,Europe/San_Marino,1999-06-01 21:19:50
wae,01:22:58,Ojibwa,Brun-Schneider,$0.97,49.499663,7,Guinea-Bissau,laptop-05.fischer.com,Asia/Damascus,1985-11-16 14:16:17
sat,22:33:50,Hiri Motu,Mettler-Kunz,"$29,181.16",57.787548,5861228,Trinidad and Tobago,laptop-72.lehmann.com,America/Argentina/Catamarca,2009-03-01 16:23:54
da,17:17:26,Icelandic,Leu and Sons,$99.48,-156.475996,214343128,The Gambia,srv-12.ruegg.com,Pacific/Tarawa,1979-04-30 20:51:09
ast,07:57:09,Sichuan Yi,Giger PLC,$0.74,-139.521549,2666226,Solomon Islands,email-04.vogel-suter.com,America/El_Salvador,1990-07-26 15:20:16
nhn,16:59:44,Ganda,"Spörri, Ott and Fuchs",$1.56,39.147186,56692,Qatar,srv-27.knecht-tanner.info,America/St_Vincent,1995-01-14 05:39:50
ky,11:31:25,Bihari languages,Steffen-Bader,$8.08,-132.740986,45882924,Nepal,db-68.luscher-merz.com,America/Guyana,1985-01-31 23:42:16
mn,00:25:08,Kalaallisut,"Scheidegger, Furrer and Schmidt",$60.87,70.014935,44222903,Saudi Arabia,web-34.giger.com,Pacific/Guadalcanal,1999-01-25 20:01:30
nn,19:39:09,Central Khmer,Koch-Bucher,"$7,540.86",-136.796801,2,Cape Verde,srv-20.pfister.com,Africa/Banjul,1991-09-27 14:07:48
my,17:44:15,Bambara,"Zürcher, Herzog and Frei","$97,937.23",136.548429,86,India,web-84.albrecht.net,Europe/Bucharest,1992-06-09 14:30:45
tg,15:53:57,Guarani,Stalder LLC,$796.05,13.010307,1301016,Mongolia,db-53.haas-schenk.com,Europe/Oslo,1971-02-25 14:59:10
crh,19:41:56,Persian,"Schmid, Zürcher and Schenk","$2,522.70",-26.767214,154661,Mexico,db-52.stutz.com,Asia/Aden,2012-02-15 12:58:51
sq,19:57:10,Bashkir,Meili-Winkler,"$9,987.68",-57.775822,4,Kingdom of the Netherlands,laptop-98.mettler.net,Europe/London,2016-12-28 12:08:27
am,16:19:32,Slovenian,"Schuler, Wirz and Zimmermann",$27.51,-76.167923,3572898,Singapore,desktop-40.tanner-schwarz.net,Africa/Johannesburg,2015-08-28 11:49:20
fi,04:18:34,"Sotho, Southern",Vogel-Bianchi,$5.53,-103.831727,74,India,srv-90.roth.org,America/Guatemala,1987-11-24 08:37:22
nn,19:59:08,Luba-Katanga,Bucher Ltd,$92.33,-30.696141,205,Serbia,lt-47.imhof.com,Asia/Aqtau,1974-12-24 22:23:26
wae,02:54:50,Indonesian,Hirt-Rey,$77.35,110.174377,676888,Libya,web-86.schmid.com,Asia/Dubai,1972-10-16 00:45:47
oc,12:36:37,Zulu,"Herzog, Meyer and Arnold",$23.25,175.689737,96132,United States,desktop-58.amrein.com,America/Panama,1982-05-31 16:54:03
my,03:29:28,Maltese,Stutz Group,"$2,070.99",-77.463448,39,Moldova,lt-39.hug.com,Africa/Lusaka,2014-05-18 13:58:15
ks,08:44:59,Venda,Pfister Group,"$5,175.21",-177.985026,4558318,Saint Lucia,desktop-98.stucki-bosshard.net,Europe/Vatican,2023-01-03 16:05:53
hy,15:30:14,Gaelic,Stucki-Schaub,"$1,111.59",-59.683365,76,Nepal,desktop-11.bauer.com,Europe/Chisinau,2009-05-09 08:17:30
nds,08:47:30,Javanese,"Keller, Wyss and Knecht","$82,494.45",-30.831774,4906,Australia,laptop-34.rey.com,Europe/Minsk,1981-12-29 07:19:49
hu,18:52:49,Afar,"Isler, Portmann and Stucki",$94.78,-37.615594,63,Iraq,laptop-34.wuthrich.com,Africa/Monrovia,1981-03-01 15:25:44
rw,17:40:20,Yoruba,Wüthrich-Frei,"$3,074.83",-74.558274,62940708,Burkina Faso,email-62.felder-stockli.com,Europe/Amsterdam,2000-06-24 23:07:27
nan,18:13:25,Marathi,Forster-Frick,"$4,054.19",-40.999538,8,Azerbaijan,db-94.friedli.com,America/Guayaquil,2021-01-25 08:33:50
ve,23:11:36,Shona,"Egger, Lehmann and Keller",$38.36,85.490114,34310,Botswana,lt-78.betschart.info,Africa/Monrovia,1986-10-12 11:48:19
th,16:47:09,Turkmen,"Moser, Winkler and Wirz",$62.72,-60.070903,29453036,Malta,lt-62.stalder.org,Africa/Mogadishu,2000-06-30 08:45:48
ms,06:37:25,North Ndebele,Lang Group,$8.55,-161.026865,729,East Timor,email-84.suter.com,Africa/Kigali,2014-04-25 12:58:58
iw,02:06:05,Bambara,Bauer PLC,$3.98,140.989778,7981,Ukraine,lt-13.thommen.biz,Africa/Windhoek,2002-04-24 04:20:01
bho,00:14:00,Luba-Katanga,Steinmann-Bolliger,$473.54,-38.885383,131378296,Panama,desktop-47.hotz.com,Europe/Riga,2011-12-28 21:43:14
oc,00:03:24,Church Slavic,Häfliger-Maurer,"$1,873.42",-71.827657,7056,Belgium,web-73.stauffer-bar.com,Europe/Bucharest,2011-07-30 00:48:08
kn,20:10:43,Panjabi,Fehr-Arnold,"$79,190.71",-1.115986,5407033,Libya,lt-94.schlatter-vogt.info,America/Guatemala,2019-10-27 06:00:28
ur,00:54:59,Albanian,Martin-Wettstein,$462.67,-32.118960,7723562,Barbados,email-36.steiger.com,America/Tegucigalpa,1978-12-07 01:17:01
unm,16:56:40,Chamorro,Zimmermann PLC,"$2,111.38",-27.047635,663,North Macedonia,laptop-67.zbinden-maier.net,Europe/Vaduz,1986-06-20 20:56:09
bn,20:39:12,Burmese,"Scherrer, Gfeller and Roth","$93,780.38",132.952524,60586,Venezuela,db-37.kaser.net,Asia/Jayapura,1991-06-23 23:45:22
af,02:26:53,Yoruba,Egger-Schäfer,$29.27,-149.193130,4,Iraq,db-68.seiler-hafner.org,Asia/Dhaka,1987-04-13 04:22:30
ml,18:24:59,Lingala,"Zollinger, Schneider and Wagner",$77.52,104.490487,105330,Republic of Ireland,laptop-41.schuler.info,Asia/Beirut,2017-04-28 07:34:52
be,09:16:44,Polish,Roth-Blum,$53.35,158.319888,742207878,Cape Verde,laptop-02.grob-fischer.com,Pacific/Apia,1990-09-30 17:32:26
ka,06:11:38,Gaelic,Erni-Steiger,$0.11,-10.758159,16,Marshall Islands,desktop-44.wehrli.com,Africa/Libreville,1977-07-06 22:55:52
sk,18:56:30,Tswana,Frey and Sons,"$38,138.56",-166.960879,917174,Republic of the Congo,srv-04.bucher.com,Asia/Aden,1993-10-14 13:46:30
iw,14:55:03,Corsican,Schweizer PLC,$822.29,106.827228,384426460,North Korea,lt-35.furrer-ruegg.com,Europe/Zurich,2018-01-07 07:53:00
sq,07:14:08,Malagasy,Bosshard LLC,"$6,989.33",-151.514460,8855511,Canada,laptop-70.jost-fehr.org,Europe/Warsaw,1984-05-26 13:38:58
kn,03:59:14,Bosnian,Näf-Wagner,$65.48,-30.517403,59651,Thailand,desktop-78.fuchs-bieri.com,Atlantic/Cape_Verde,1986-09-07 02:34:40
szl,00:27:52,Central Khmer,Hasler and Sons,$0.30,16.370176,8784390,San Marino,srv-46.buhlmann.info,Africa/Lome,1987-09-26 05:17:36
ru,15:15:37,Faroese,"Friedli, Stucki and Steiger",$99.90,-75.986805,1113173,Chile,desktop-63.stadelmann.com,Atlantic/Cape_Verde,2006-09-26 09:48:37
ff,06:21:11,Kazakh,Jost-Bühlmann,"$3,249.32",-137.529478,614480591,Equatorial Guinea,laptop-28.scheidegger.net,Europe/Sarajevo,1974-07-31 12:35:40
dv,18:41:04,Swahili,Jenni-Schenk,$570.17,-120.745771,5,Moldova,db-22.widmer.com,Asia/Baku,1994-02-21 07:36:21
zh,18:14:47,Russian,Hürlimann PLC,$868.91,13.462966,85,Jamaica,desktop-05.staub-isler.com,Africa/Kampala,1972-10-20 22:49:57
en,13:48:08,Spanish,"Iten, Steiner and Schwab",$2.71,-160.463087,18,Kingdom of the Netherlands,web-28.geiger.com,Africa/Abidjan,1973-03-16 21:52:40
ur,00:30:51,French,Meili-Lanz,"$4,494.85",-10.981815,17915,India,desktop-75.vogt-mettler.com,Asia/Muscat,2015-03-09 14:40:12
nds,15:43:50,Samoan,Forster-Hauser,$38.60,28.722054,18802,El Salvador,db-62.bucher.com,Africa/Kampala,1970-12-04 18:55:39
ja,15:23:50,Navajo,"Studer, Steiner and Geiger",$3.07,-13.543507,50858856,Saint Kitts and Nevis,lt-78.schurch.com,Asia/Dushanbe,1984-09-30 17:26:47
fr,15:53:46,Kashmiri,Wagner-Siegrist,$4.16,105.380811,892,Tajikistan,web-74.kalin.net,Asia/Rangoon,1982-07-09 12:19:40
so,13:06:37,Tigrinya,Kern PLC,$7.35,6.384687,89,Grenada,web-03.bosshard-vogt.info,America/Havana,2013-09-27 05:00:02
id,02:57:34,Akan,"Kohler, Steinmann and Leunberger",$6.21,128.758620,146044408,Monaco,srv-76.lutz-hauser.net,Pacific/Tongatapu,1971-10-28 02:27:46
mk,23:43:36,Spanish,Vogel Ltd,$83.90,121.608283,513568,Moldova,srv-45.battig.com,America/El_Salvador,1980-05-03 16:59:12
zu,18:35:02,Amharic,Zollinger LLC,$3.59,6.738192,939,Bulgaria,email-16.felber.biz,Europe/Istanbul,1973-09-26 04:14:37
gu,05:50:05,Vietnamese,Stutz-Gut,$493.58,64.289932,7,Andorra,email-71.ernst-burri.biz,Africa/Banjul,1976-02-21 08:53:04
sid,07:07:01,Fulah,Bär Group,$219.31,52.656151,1162133,Gabon,web-72.gloor-battig.com,Africa/Blantyre,2013-01-02 19:20:46
tk,16:19:07,Rundi,"Meier, Schoch and Lüthi",$50.53,-169.757472,46131,Denmark,email-01.wettstein-berger.com,Europe/Vienna,2018-06-23 00:52:31
mk,23:22:32,Portuguese,"Hürlimann, Leu and Zimmermann",$82.66,-136.499598,870550875,Croatia,web-91.wegmann.net,Africa/Dakar,2019-05-21 05:25:26
fil,23:02:33,Maltese,"Peter, Mäder and Hoffmann","$48,215.81",41.469857,8570,Trinidad and Tobago,laptop-64.hotz.com,Europe/Berlin,1985-08-09 07:02:42
as,03:22:41,Dutch,Kunz PLC,"$5,859.33",60.008690,838,Romania,desktop-32.gut.com,America/Caracas,2021-02-02 16:47:57
or,19:57:38,Serbian,"Leu, Stöckli and Schlatter",$888.58,-141.340132,58,Grenada,laptop-78.bar.com,America/Lima,2014-03-04 12:46:17
an,19:32:25,Yiddish,Kaufmann-Schärer,"$9,699.10",19.609897,4,Costa Rica,desktop-21.zbinden.com,Africa/Freetown,1977-06-16 12:01:30
ps,22:58:28,Oromo,Koch Inc,"$52,674.89",36.000557,378908,Cuba,desktop-62.gross-muller.net,Africa/Algiers,2017-07-16 02:10:18
wo,05:08:51,Albanian,Jäggi LLC,$810.07,56.971501,91922,Andorra,srv-91.jenni.com,America/Dominica,1976-02-28 20:22:55
