time,bank_country,file_name,timezone,city,longitude,latitude,language_name,date,company,country,iso8601,mac_address
06:38:22,DE,Schüler.tiff,Asia/Taipei,Lichtenfels,-165.523627,-63.273336,"Sotho, Southern",2014-10-23,Hamann AG,Angola,2014-04-06T14:45:47,d4:1e:9a:00:3e:16
23:03:42,DE,aber.xls,Asia/Yerevan,Marktheidenfeld,-70.378973,-74.9980615,Shona,1985-08-29,Döhn Stiftung & Co. KGaA,Jemen,1991-02-20T16:09:44,04:aa:04:46:cf:c6
15:22:06,DE,weil.mov,Asia/Kuwait,Herzberg,-38.379422,-73.278468,Divehi,1994-02-12,Jockel,St. Helena,1976-07-23T08:32:10,37:4a:5b:1c:6e:6b
13:52:52,DE,halten.mp4,America/Managua,Donaueschingen,127.851806,-82.931760,Sindhi,2011-02-03,Ruppersberger Schüler KG,Montserrat,2019-11-28T13:20:08,d1:e9:50:c2:82:16
17:42:58,DE,schreien.docx,Europe/Tirane,Lübz,-9.513614,-2.604152,Malagasy,1994-07-21,Adler,Malaysia,2008-07-01T08:18:04,0b:a0:80:22:74:bf
16:27:05,DE,warum.json,Europe/Tallinn,Kitzingen,-84.897788,-41.8988595,Chinese,2010-10-29,Schinke,Andorra,1991-12-06T23:46:08,67:a4:57:65:20:5f
07:29:24,DE,Bruder.wav,Africa/Bangui,Dessau,-73.418532,67.2613985,Yoruba,1999-04-20,Gute Schmiedecke KG,Libyen,1990-04-27T18:38:13,00:11:6f:29:5f:f9
02:45:10,DE,vor.css,Africa/Cairo,Bamberg,-156.895652,26.0828505,Chinese,1986-01-30,Seifert,Belarus,1979-10-05T00:41:58,14:a3:6b:87:8b:f7
15:55:46,DE,offen.flac,Asia/Ulaanbaatar,Schlüchtern,-2.268257,-32.748392,Interlingue,2000-04-21,Gierschner,Malawi,1997-08-06T22:49:35,46:40:37:29:b5:f4
07:04:14,DE,kam.wav,Australia/Sydney,Waldmünchen,162.357716,37.382383,Interlingue,1978-11-28,Hornig,Myanmar,2011-12-17T09:00:04,1a:df:01:cc:a3:7f
18:33:37,DE,wirklich.txt,Africa/Khartoum,Rostock,-9.602553,-68.1296595,Quechua,1975-12-02,Mülichen,Barbados,1980-09-16T03:45:35,43:8e:44:15:6e:e7
18:24:36,DE,ein.jpeg,Asia/Rangoon,Grevesmühlen,169.104458,-74.219532,Chechen,1978-01-17,Schüler GmbH & Co. KGaA,Haiti,1986-04-16T14:08:55,81:a6:60:25:c9:72
15:21:20,DE,dann.key,America/Belize,Wittmund,-45.686476,74.2975645,Hausa,1999-01-28,Mülichen KG,Fidschi,2018-06-06T02:48:27,b6:f3:ea:8f:a6:ac
04:58:58,DE,daran.html,Asia/Kuwait,Eisleben,-67.558607,-27.471972,Swahili,2005-03-17,Reinhardt,Westsahara,1999-02-13T08:47:23,82:7e:4e:5e:2a:bf
22:27:09,DE,gern.mov,Asia/Seoul,Starnberg,-174.788505,-49.9449605,Komi,1983-07-18,Becker OHG mbH,Afghanistan,1978-09-12T07:37:33,e1:8f:53:41:1a:a6
15:35:06,DE,klettern.jpeg,Asia/Tbilisi,Beeskow,94.918489,-13.4880705,Corsican,2017-06-02,Lehmann GmbH,Polen,1997-09-16T06:19:33,91:a5:46:be:fe:82
01:45:40,DE,deshalb.flac,Europe/Malta,Moers,-12.123148,41.4256375,Greek,2002-03-15,Trub GmbH & Co. OHG,Neukaledonien,2010-03-08T16:07:29,0b:9e:8b:64:bb:0e
06:45:24,DE,dem.mp3,Europe/Madrid,Tübingen,-78.244930,-79.099586,Walloon,2015-12-06,Hahn Bien AG,Mosambik,2002-09-02T00:53:14,17:8d:7a:50:6f:ee
04:16:07,DE,schreiben.xlsx,Africa/Nouakchott,Wiedenbrück,-48.015839,-51.501164,Hiri Motu,2000-11-15,Jähn OHG mbH,Kuwait,1992-05-01T23:02:37,50:0c:5d:43:25:a7
19:05:50,DE,gut.css,America/Havana,Kronach,3.862506,-30.4516165,Samoan,2012-08-30,Gude GbR,Angola,1976-02-04T05:03:23,55:32:51:2b:37:b0
01:17:17,DE,lieb.mp4,Europe/Andorra,Reutlingen,140.189932,-4.400097,Dzongkha,1985-03-31,Kabus Wernecke KG,Neukaledonien,2003-10-10T08:30:04,b7:b7:7b:ad:d4:9d
16:20:12,DE,alt.flac,Pacific/Efate,Haldensleben,105.973815,69.2917885,Kalaallisut,1991-12-05,Riehl,Belize,2002-10-23T02:04:54,92:a4:db:9f:45:d0
08:40:20,DE,Tür.numbers,Africa/Tunis,Gräfenhainichen,136.448701,73.6714085,Galician,2005-06-20,Henschel Mans Stiftung & Co. KG,Samoa,2014-04-11T20:28:13,9a:16:34:0d:8b:9f
05:46:15,DE,schicken.jpeg,Europe/Monaco,Heiligenstadt,103.051133,41.592394,Hungarian,1971-04-03,van der Dussen OHG mbH,Guadeloupe,1970-01-25T17:44:40,c4:66:7e:6b:32:83
11:12:22,DE,nehmen.odp,Europe/Bucharest,Holzminden,-82.757936,-11.637025,Russian,1992-06-05,Beyer,Vereinigte Staaten,2019-03-02T05:28:21,1b:1d:d1:1a:2d:65
03:03:48,DE,Fisch.odt,Europe/Bucharest,Jülich,-18.269052,77.7276985,Georgian,2001-07-19,Bruder,Argentinien,1987-01-31T18:16:01,d0:54:be:44:14:78
04:23:35,DE,seit.mp4,Africa/Porto-Novo,Wolgast,112.818234,-61.663709,Somali,2010-04-05,Dowerg,Kap Verde,2021-04-17T12:23:21,a0:b3:83:e9:20:dd
16:13:54,DE,schwimmen.bmp,Indian/Mahe,Hamburg,24.422317,5.2208125,Tamil,2003-03-05,Finke GmbH & Co. KG,Ukraine,2006-12-30T12:33:18,d4:42:0b:82:81:aa
09:26:41,DE,dein.flac,America/St_Vincent,Pasewalk,69.616945,63.5927605,Amharic,2015-08-25,Röhricht OHG mbH,Mongolei,2011-08-28T04:33:40,bc:32:f3:de:35:ef
09:28:53,DE,Bauer.json,Africa/Tripoli,Werdau,34.448447,71.4940665,Nauru,1993-10-02,Dörr,Suriname,1998-09-29T17:55:14,e3:75:fe:33:06:e0
02:50:56,DE,Zug.pptx,America/Moncton,Dachau,-68.118027,5.0011645,Dutch,1974-01-27,Rosenow,Ruanda,1979-09-30T21:47:34,a9:2e:8f:ca:64:08
20:53:11,DE,einige.jpg,Asia/Tehran,Lüdenscheid,128.842157,65.7614895,Greek,2021-08-31,Juncken,Sonderverwaltungszone Macao,2011-08-31T05:06:23,34:50:d5:a5:d8:6a
01:06:39,DE,uns.css,Africa/Blantyre,Bamberg,108.564864,-64.796538,Zulu,1994-04-02,Baum GbR,Puerto Rico,2002-01-07T04:21:10,bd:6c:e0:6f:d1:bd
21:56:24,DE,überall.pdf,Europe/Luxembourg,Merseburg,-66.811245,13.3245995,South Ndebele,1996-04-09,Winkler Löffler KG,Peru,2010-11-21T11:21:35,0c:9c:42:26:cb:2a
15:09:36,DE,aus.xls,Asia/Jayapura,Erkelenz,172.585365,-64.6563205,Swahili,2000-11-24,Ladeck,Litauen,1984-08-12T08:09:43,87:7c:5b:c7:e3:f8
13:04:10,DE,den.doc,Africa/Bujumbura,Darmstadt,-82.741860,-82.3297025,Greek,2020-03-01,Ruppersberger,Mongolei,1987-12-15T07:09:47,b6:a8:4d:03:c7:e3
04:43:59,DE,Frau.flac,Africa/Monrovia,Aurich,-103.984756,-35.582486,Urdu,2019-01-25,Heinz,Aserbaidschan,2010-04-02T23:39:57,dc:7e:a0:9b:16:da
21:52:15,DE,danach.wav,Asia/Karachi,Steinfurt,147.946072,-30.717881,Kannada,2003-01-02,Pölitz,Mexiko,2000-08-10T10:09:15,6d:1d:f3:9b:cd:3d
14:58:09,DE,Uhr.tiff,Africa/Johannesburg,Erbisdorf,-86.554698,-65.1647805,Gujarati,1979-07-08,Dörr,Cookinseln,1992-02-24T04:18:04,d0:ca:0b:bc:83:14
00:59:30,DE,zeigen.jpeg,Atlantic/Cape_Verde,Lobenstein,125.832874,75.154870,Bihari languages,2006-12-27,Henck Gotthard GmbH & Co. KGaA,Demokratische Republik Kongo,1994-05-07T03:11:43,f3:34:96:9a:4a:c7
03:05:34,DE,Berg.avi,Pacific/Tongatapu,Fallingbostel,144.797140,13.8964965,Panjabi,1982-08-04,Schleich,Nicaragua,1979-10-17T11:07:01,fb:69:3a:12:33:a5
17:16:51,DE,Schiff.json,Atlantic/Azores,Hersbruck,-28.475844,-69.433036,Aymara,2000-10-11,Römer GmbH & Co. KG,Dominikanische Republik,1973-08-17T17:00:58,b9:fe:4c:47:db:b8
18:03:30,DE,jung.css,America/La_Paz,Dieburg,-18.221816,-40.485539,Bambara,2010-12-17,Geißler Jockel GmbH,Südgeorgien und die Südlichen Sandwichinseln,1980-01-14T00:15:30,ac:98:81:81:a8:da
09:06:24,DE,Tür.wav,America/Paramaribo,Grimmen,-156.634420,-63.154311,Northern Sami,2013-08-21,Jopich,Litauen,1989-06-25T20:53:40,7b:f4:7a:eb:bc:f8
00:59:36,DE,trinken.json,Pacific/Enderbury,Bad Kissingen,-19.842347,-1.210763,Danish,2013-07-08,Köhler Scholl GmbH,Rumänien,1986-05-10T04:13:01,1c:2b:bc:a8:e4:f3
22:28:12,DE,Vogel.flac,Pacific/Guadalcanal,Olpe,33.154455,80.0731925,Korean,2019-03-21,Weitzel Nohlmans AG & Co. OHG,Israel,2010-09-10T21:13:42,c8:35:83:18:69:72
16:30:14,DE,deshalb.png,Asia/Ulaanbaatar,Neustadtner Waldnaab,-115.643647,34.9245305,Avestan,1990-06-12,Wilms KGaA,Ecuador,1977-06-13T13:46:16,2d:67:51:f3:c2:cf
09:37:16,DE,Hund.mov,Europe/Minsk,Marktheidenfeld,37.250758,76.514123,Avaric,2006-01-18,Gerlach e.V.,Mauritius,1990-05-16T21:14:43,72:2e:62:f6:5b:6d
17:52:44,DE,einmal.txt,Asia/Damascus,Grevenbroich,119.827005,-35.312848,Mongolian,2001-05-08,Steckel,Singapur,1996-08-25T19:05:27,96:ec:da:f1:1c:81
23:22:21,DE,dir.pdf,Europe/Ljubljana,Bad Brückenau,-3.186297,-70.249669,Xhosa,2014-06-19,Briemer AG & Co. KGaA,Jordanien,1977-02-01T04:28:48,c7:43:38:dd:8b:48
05:01:20,DE,versuchen.xlsx,America/Antigua,Herzberg,37.567916,29.197849,Quechua,2015-10-02,Scholl KG,Guadeloupe,2005-01-29T17:12:15,a1:8b:8b:0c:af:17
13:53:37,DE,stehen.wav,Africa/Casablanca,Göttingen,-61.573308,13.6857895,Ndonga,1995-11-19,Kobelt Gieß Stiftung & Co. KGaA,Costa Rica,2020-07-15T05:06:37,72:9d:fc:f2:63:76
02:34:18,DE,Affe.xls,Africa/Casablanca,Eckernförde,-4.435950,44.413695,Tswana,2011-03-18,Wagenknecht GmbH & Co. OHG,Usbekistan,2010-02-03T15:28:58,31:e4:d0:ad:da:45
05:42:23,DE,Essen.pdf,America/Caracas,Viersen,-23.126320,-75.138080,Finnish,2004-12-28,Sorgatz,Mikronesien,1991-09-08T06:53:27,ec:1f:02:c2:58:4d
22:09:52,DE,darauf.mp3,America/Guyana,Iserlohn,16.431591,-68.0414305,Tigrinya,1988-11-20,Stroh OHG mbH,Guinea-Bissau,2005-10-19T09:32:20,d0:35:82:6c:1d:49
02:09:08,DE,kein.jpeg,Asia/Dushanbe,Eichstätt,-172.552615,63.545358,Kikuyu,2009-12-03,Etzler Ditschlerin KG,Britisches Territorium im Indischen Ozean,1978-06-28T09:36:17,f6:79:f8:e5:36:53
00:36:12,DE,beißen.png,Europe/Prague,Seelow,-66.045327,-48.625454,Nauru,2011-08-19,Gröttner,Estland,2009-06-03T09:48:27,62:17:4b:a5:21:2e
13:00:15,DE,Ding.mov,Asia/Phnom_Penh,Eberswalde,-90.931124,10.681613,Yiddish,2002-08-14,Lachmann Wilmsen e.G.,Norwegen,1981-01-26T02:38:43,0f:2a:6d:3e:1c:48
23:46:14,DE,nur.flac,Europe/Athens,Suhl,-108.639018,49.163628,Bihari languages,1989-07-22,Atzler GmbH & Co. KG,Bulgarien,1976-02-03T20:27:42,70:04:0f:6a:92:6c
03:05:32,DE,jetzt.mp3,America/Panama,Genthin,-85.532994,58.1039075,Cornish,1978-05-24,Mans AG,Ecuador,2016-03-31T02:15:26,aa:b6:ae:a4:7a:80
12:23:16,DE,ging.xlsx,Africa/Lagos,Riesa,71.528981,-48.1459405,Breton,2019-09-13,Kallert,Aruba,2006-09-18T14:21:52,98:e2:35:20:4d:96
12:19:13,DE,dauern.flac,Africa/Freetown,Witzenhausen,-90.095095,-4.2291525,Ewe,2007-04-22,Scholtz GmbH,Tuvalu,1995-04-18T06:59:57,76:0a:95:38:f6:65
09:25:10,DE,Ferien.js,Africa/Libreville,Rathenow,27.499841,-22.850941,Icelandic,2004-12-23,Werner Oestrovsky AG,Benin,1981-10-13T23:32:56,9a:5f:8c:f7:0c:ea
02:15:46,DE,geben.webm,Europe/Chisinau,Schwerin,-24.809139,69.9928345,Kinyarwanda,1990-06-16,Jacobi Jäckel Wagner AG,Iran,1977-04-11T07:49:47,29:b2:c8:71:19:da
08:56:12,DE,lieb.txt,Asia/Calcutta,Grafenau,-169.021713,-26.121941,Avaric,1991-10-09,Römer Rädel AG & Co. KG,Japan,1990-04-28T12:09:32,f0:e0:a1:78:09:1c
10:15:28,DE,Weihnachten.css,Europe/Sarajevo,Wittmund,-26.873484,-80.666717,Tagalog,2009-10-03,Hübel Knappe GmbH & Co. KGaA,Marokko,1973-09-07T10:44:59,4a:de:ab:c0:fd:e5
13:04:41,DE,einige.css,Asia/Qatar,Beilngries,15.590973,8.4526255,Lao,1983-01-21,Aumann Stadelmann e.V.,Chile,2015-12-29T15:31:33,77:90:6d:f8:92:62
14:35:40,DE,dich.pptx,America/Grenada,Calau,104.654410,22.548704,Sindhi,1982-01-31,Ortmann e.G.,Laos,2010-03-24T12:21:31,97:0c:13:8e:67:2c
17:04:52,DE,dürfen.js,Africa/Khartoum,Helmstedt,-39.656440,8.253550,Twi,2015-12-23,Wulf,Algerien,2021-02-09T19:52:41,26:db:02:12:40:3a
22:14:40,DE,sagen.docx,Europe/Tirane,Jülich,105.509134,-57.6891355,Greek,2007-12-20,Seifert Bender KG,Kiribati,1987-11-22T19:37:29,ed:e8:19:62:70:ac
16:05:30,DE,sehr.mp3,Africa/Douala,Iserlohn,59.997124,-63.823879,Latvian,1978-01-08,Bauer,Serbien,2007-03-14T14:48:39,79:af:3c:70:d6:ba
12:00:42,DE,rund.webm,America/Belize,Stadtroda,-20.018696,-34.788202,Korean,1973-11-27,Pärtzelt Bärer KG,Schweden,2010-08-24T04:59:54,4c:de:c1:61:22:a2
16:25:22,DE,Frau.mov,Africa/Freetown,Monschau,-70.647716,-55.6911915,Slovak,1985-05-24,Bender,Portugal,1998-08-10T10:05:50,85:b8:ec:9c:cf:b1
10:14:53,DE,Rad.key,Europe/London,Hannoversch Münden,-146.300979,54.1395615,Ndonga,2018-07-19,Weimer Thies AG & Co. KGaA,Alandinseln,1987-08-27T11:38:13,62:97:5f:3e:93:dc
14:51:17,DE,zusammen.js,Africa/Bangui,Wolfenbüttel,65.372983,50.6392975,Divehi,1982-10-19,Reinhardt Hofmann AG,Bulgarien,1973-11-08T01:11:57,59:fd:61:a2:6e:86
23:41:34,DE,und.xls,Asia/Dili,Reutlingen,53.923960,-77.591983,Italian,1984-01-17,Otto,Italien,1972-03-20T11:17:18,87:cc:df:5a:99:ff
12:33:07,DE,beim.webm,Europe/Tallinn,Kronach,-134.345252,72.4893605,Azerbaijani,1996-10-21,Müller AG & Co. OHG,Island,1985-03-26T19:56:26,e8:71:33:64:2f:48
01:49:52,DE,nicht.avi,Europe/Stockholm,Rosenheim,-31.098076,-50.456374,Interlingue,1985-09-21,Plath Zirme AG & Co. OHG,Afghanistan,1997-09-17T22:39:39,29:e9:a9:7a:e1:25
15:33:31,DE,nächste.wav,Atlantic/Madeira,Lüdinghausen,-118.254964,-52.1268485,Maltese,2007-07-22,Sager Atzler AG,Papua-Neuguinea,1997-12-31T09:19:59,6e:c3:73:89:5b:10
01:31:47,DE,Schluss.wav,America/Tegucigalpa,Badalzungen,-149.316659,3.8638045,Sundanese,1991-01-25,Gnatz Kitzmann KG,Slowenien,2015-12-08T04:34:08,8d:3c:ea:47:c6:f4
16:41:19,DE,Licht.odp,Africa/Nairobi,Meißen,99.378328,-72.8350775,Tahitian,1980-08-05,Mentzel,Tuvalu,1996-05-02T15:36:06,ba:7a:9a:0b:4f:a9
19:56:35,DE,stellen.gif,Europe/Budapest,Vohenstrauß,109.781720,0.562053,Inuktitut,2018-04-27,Lorch Wagner KG,Israel,1987-07-16T05:42:39,18:1b:5d:89:f3:b4
04:16:18,DE,werfen.js,Pacific/Auckland,Bad Langensalza,16.080505,-21.7508065,Cree,1974-01-16,Tintzmann Beckmann KG,Martinique,1971-05-19T05:31:26,54:e0:93:76:90:18
03:47:07,DE,wenn.mov,Europe/Brussels,Duderstadt,-20.572129,73.5395255,Afrikaans,2023-02-06,Müller,Sierra Leone,1978-07-09T11:22:27,ea:b8:0f:f3:5e:71
22:43:33,DE,nennen.jpeg,Europe/Amsterdam,Hildesheim,-88.002782,51.2225905,Vietnamese,1981-09-09,Cichorius GmbH & Co. OHG,Südafrika,2021-07-14T02:38:53,0e:80:c4:a7:99:17
21:14:00,DE,Rad.pages,Asia/Ashgabat,Starnberg,-12.568613,-83.510789,Uighur,1979-07-11,Conradi,Österreich,1995-10-29T02:12:33,e5:1a:5a:6f:a5:7c
08:22:58,DE,fährt.key,Europe/Paris,Bad Freienwalde,22.726050,12.903547,Luxembourgish,1983-09-22,Junk Tintzmann OHG mbH,Israel,2008-01-02T12:49:46,99:bb:4d:c0:ed:c7
00:10:02,DE,sie.csv,Indian/Antananarivo,Eichstätt,37.345900,39.927565,Faroese,1996-08-13,Stolze AG & Co. OHG,Guadeloupe,1994-03-31T13:22:57,07:04:e3:5e:6b:3d
00:25:11,DE,Hilfe.bmp,Europe/Budapest,Neuruppin,141.918486,54.524108,Western Frisian,1983-06-18,Rogner AG,Suriname,1996-03-02T01:21:25,b4:88:3d:9c:bc:cc
08:13:57,DE,ja.xlsx,Europe/Zurich,Pegnitz,-87.480532,14.369504,Zulu,2014-07-20,Mans GbR,Usbekistan,1993-01-15T00:38:40,bb:f9:ab:e5:f4:2c
01:41:41,DE,Sommer.wav,America/Kentucky/Monticello,Wolgast,3.278462,-16.742055,Avaric,2023-02-19,Dowerg Conradi GmbH & Co. KGaA,Uruguay,1992-12-16T05:48:47,fc:ec:ce:fc:c9:dd
18:46:21,DE,selbst.mp4,Asia/Jerusalem,Neunburg vorm Wald,-17.507446,-63.325679,Rundi,1973-01-29,Hesse e.V.,Malaysia,2006-11-03T23:17:33,89:f8:52:20:18:89
18:47:37,DE,nur.xlsx,Africa/Bissau,Wolfratshausen,43.225936,46.2090135,Somali,1970-01-14,Briemer,Mongolei,1980-08-06T16:33:58,3a:27:4e:5a:77:e0
23:45:23,DE,kann.avi,Africa/Ceuta,Main-Höchst,-101.103561,1.379819,Pushto,1992-10-31,Hölzenbecher,Malediven,2004-07-03T13:56:31,77:b3:af:89:76:7a
07:40:01,DE,fährt.jpg,Africa/Abidjan,Kleve,-17.325312,-50.7663395,Tswana,2010-04-30,Metz,Seychellen,2004-03-22T01:54:01,d1:07:59:44:42:a4
09:05:17,DE,glauben.xlsx,Africa/Windhoek,Guben,-176.844764,-58.350659,Chinese,1971-04-24,Weinhold Kramer GmbH,Georgien,1980-11-09T00:34:34,92:a1:fa:0a:5b:49
09:59:45,DE,und.js,Europe/Brussels,Moers,60.152404,-48.6433805,Uighur,2011-05-18,Stey,Malta,2021-03-14T01:19:42,19:e8:f2:ff:d2:4b
18:44:12,DE,schön.odt,Europe/Rome,Rochlitz,-129.559283,-81.535809,Kikuyu,1992-03-22,Dörr Junck AG & Co. KG,Demokratische Volksrepublik Korea,2012-06-19T13:45:52,53:de:84:42:11:73
17:56:58,DE,schwarz.wav,America/Nassau,Niesky,-112.922254,77.3849925,Turkmen,2006-05-27,Ladeck Birnbaum e.V.,Burundi,2013-10-19T15:42:23,bd:5c:69:bb:45:e0
17:11:53,DE,vergessen.flac,Europe/Sarajevo,Bitterfeld,132.105618,-65.987719,Uighur,2021-12-16,Dussen van,Swasiland,2011-05-12T11:23:21,19:ea:0c:35:8e:fc
11:56:15,DE,Finger.pages,Africa/Algiers,Viechtach,-155.059145,-4.309241,Ndonga,1998-12-18,Käster Stiffel GmbH & Co. KGaA,Ghana,1992-03-11T19:01:04,ab:ac:de:19:24:3d
05:03:15,DE,bei.mov,Asia/Dushanbe,Schwabmünchen,113.420969,18.430328,Afar,1978-08-11,Gerlach AG & Co. KGaA,Amerikanisch-Ozeanien,2002-01-01T04:59:15,60:10:42:6a:a2:73
22:16:54,DE,sicher.bmp,Africa/Nairobi,Chemnitz,102.980205,-47.8369885,Hungarian,2006-10-01,Börner Roskoth Stiftung & Co. KGaA,Tadschikistan,2016-02-11T13:38:35,1f:a8:aa:7f:69:54
01:29:05,DE,kann.json,Africa/Gaborone,Wernigerode,107.951284,11.786141,Portuguese,1986-10-19,Bolander,Bangladesch,1991-03-23T20:18:42,25:f9:ee:82:44:cf
07:29:50,DE,Brot.mp3,Europe/Zurich,Ribnitz-Damgarten,169.575889,64.3612185,Azerbaijani,1970-11-05,Winkler,Uganda,2021-03-25T04:08:51,90:b7:52:b5:0a:c7
12:43:55,DE,Frau.png,Africa/Lome,Hohenmölsen,56.750864,6.531712,Uighur,1991-07-01,Ackermann GmbH,Jersey,1982-09-23T03:46:44,c2:ac:3f:87:61:77
22:40:04,DE,selbst.webm,Indian/Maldives,Günzburg,74.376049,10.0088385,Japanese,2014-06-29,Ackermann KG,Kaimaninseln,1974-01-10T15:52:23,8b:0c:f0:04:69:0b
08:55:08,DE,ist.numbers,Asia/Karachi,Zeulenroda,95.861869,66.6025855,Nepali,2009-10-30,Trapp Möchlichen e.V.,Dominica,2018-02-01T05:14:07,4c:b3:25:30:d1:cc
13:18:08,DE,leise.mp3,Europe/Riga,Nürtingen,12.241205,18.064334,Mongolian,1987-02-03,Hermann Bolnbach Stiftung & Co. KG,Sierra Leone,1995-11-01T10:59:29,34:5d:52:ab:98:25
05:12:45,DE,halten.odt,Africa/Tunis,Altötting,-18.034643,-48.035002,Tibetan,2006-02-06,Scheuermann,El Salvador,1979-04-01T23:16:13,fc:56:e9:ac:c6:1c
12:19:26,DE,kann.flac,Europe/Rome,Dresden,-107.730612,-51.151736,Ojibwa,1991-09-15,Hornig GmbH & Co. KG,Mauritius,1974-02-16T23:47:54,d2:d6:7c:26:11:62
22:39:42,DE,dem.odp,Africa/Kinshasa,Badibling,68.291931,65.664047,Sango,2007-12-13,Trommler Pergande GmbH & Co. KG,Bhutan,2006-09-07T13:46:18,86:a3:84:c1:06:07
17:54:19,DE,los.odt,Asia/Aden,Rathenow,-98.794280,83.986859,Corsican,1981-04-19,Seifert Beyer Stiftung & Co. KGaA,Lesotho,1994-11-03T03:49:05,b4:7d:7d:16:76:3d
