mac_address,longitude,iso8601,hostname,time,bank_country,pricetag,language_code,file_name
fb:76:5f:fc:57:05,12.348020,1978-06-05T13:14:18,email-32.storey.com,06:17:59,GB,$3.50,an,quo.csv
83:c4:4a:57:78:8f,153.166828,2005-04-17T14:53:54,db-15.gough.info,05:18:22,GB,$39.36,ms,alias.mov
1f:ec:c2:84:a3:ae,-116.950545,1975-03-24T13:35:10,laptop-54.austin-smith.net,18:55:54,GB,$363.13,sid,voluptatem.doc
82:9d:ff:d8:bd:2f,124.701476,1985-10-14T04:13:10,lt-46.moore-baker.com,21:06:08,GB,$6.38,tt,nemo.pptx
f9:7c:01:6b:37:ed,175.830245,1997-01-27T19:34:45,db-89.taylor.co.uk,02:42:52,GB,$5.26,sat,ratione.xlsx
9c:11:e6:cf:bd:ac,-26.909182,2003-04-14T09:00:29,desktop-78.howe-oneill.co.uk,15:05:32,GB,$72.47,kn,reprehenderit.gif
0b:e3:71:52:62:41,-71.481176,2001-08-28T08:34:27,web-16.francis.com,00:02:09,GB,$19.61,ff,ratione.png
fd:8c:96:5b:75:ac,13.592474,2007-12-27T01:02:00,desktop-63.hussain-brown.co.uk,07:29:41,GB,"$81,859.28",mn,dicta.mp3
87:20:7e:c7:d7:13,-140.850069,2002-06-23T09:01:12,laptop-41.cooper.info,21:46:06,GB,$894.01,cy,nihil.webm
59:38:8e:3d:dc:03,111.267432,1977-07-05T05:16:11,lt-67.richardson-begum.com,14:10:16,GB,"$7,890.77",lzh,consequatur.wav
4f:50:e5:0b:12:bb,-95.978680,1992-01-30T00:03:59,lt-59.clark.com,11:45:17,GB,"$44,588.66",mn,neque.mp4
8a:3e:94:5b:e7:37,-103.737632,2003-11-18T08:44:55,laptop-97.lloyd-nash.net,11:10:57,GB,"$9,984.22",sk,voluptate.mp4
f4:02:5e:f2:b4:e5,-70.286151,1996-12-21T01:38:16,web-52.williams-stanley.biz,22:21:34,GB,$867.16,cy,labore.flac
04:e6:21:1f:e7:b7,132.263135,2009-09-10T06:08:10,lt-53.matthews.info,03:06:45,GB,$816.15,te,ipsa.flac
ba:fa:c0:79:b7:04,-112.511152,1979-03-06T23:05:03,web-25.cooke-jones.biz,08:14:18,GB,$12.59,hne,nesciunt.avi
19:95:ca:57:0c:02,-34.980404,2008-11-22T07:03:48,lt-10.hartley-fisher.com,13:10:55,GB,$644.38,ak,voluptatum.flac
ce:2c:99:07:8f:73,2.829084,1999-03-27T01:47:39,email-91.andrews.com,09:27:01,GB,$280.54,ms,neque.mov
c4:1d:3a:a2:78:5b,142.053382,1990-02-05T03:50:15,db-23.walker-williams.com,09:51:42,GB,$56.68,tk,praesentium.txt
08:cb:ee:1a:89:fa,-99.048856,2004-02-28T14:51:51,srv-77.carroll.com,23:44:57,GB,$0.49,nr,quis.gif
6d:a3:cb:0e:13:17,166.603688,1973-11-10T17:15:51,web-24.lucas.com,15:19:33,GB,"$4,946.16",nn,commodi.ppt
df:87:5d:5b:50:08,62.180538,2008-08-22T15:01:21,laptop-37.harris-adams.co.uk,13:32:17,GB,"$18,091.74",ln,asperiores.css
8c:3a:ee:f9:5e:d8,-161.493601,2018-02-02T07:44:38,email-51.adams.com,15:26:52,GB,$0.76,nb,praesentium.mp3
0f:ef:71:3c:b4:ce,56.985147,1975-10-07T09:06:45,web-08.savage.com,11:56:28,GB,"$1,374.13",sv,ipsam.png
ef:d3:0d:c0:54:31,32.990543,2014-04-13T14:06:55,email-91.ryan.org,13:32:59,GB,$31.65,is,voluptate.flac
d9:1d:c1:13:41:17,-158.701007,2017-08-12T20:45:52,db-22.edwards.com,17:46:14,GB,$44.07,tk,earum.txt
da:f8:d3:4d:b0:42,104.612293,1988-08-22T10:27:36,email-58.oliver.com,05:59:27,GB,"$9,352.15",kok,quae.wav
f6:13:e9:8d:da:00,-67.264745,1987-03-06T09:24:19,email-97.matthews-roberts.com,14:17:35,GB,$955.06,de,eum.wav
36:59:a0:c9:ea:f1,-176.918067,2022-01-18T02:10:39,lt-87.collins.com,01:17:14,GB,$67.26,fo,expedita.wav
4f:db:74:2f:6c:b2,90.933682,2004-05-10T05:48:43,db-32.young-wright.org,02:52:16,GB,$180.26,the,necessitatibus.avi
ec:a6:26:7c:29:e8,-75.367390,1991-04-28T22:04:52,laptop-66.wilkinson.com,18:00:40,GB,"$7,728.89",szl,amet.mp3
38:c0:04:c0:3d:39,-143.791475,2014-12-20T14:59:06,srv-32.harvey-johnson.com,22:46:06,GB,$41.39,ps,ad.mp4
5f:e9:20:11:10:fd,-154.158621,2019-01-31T18:29:24,lt-22.wright-reid.com,16:39:27,GB,$862.75,tg,temporibus.mp4
db:4a:8b:4d:58:58,134.919153,1978-03-17T18:10:58,lt-53.scott.biz,21:46:33,GB,$1.33,ss,placeat.csv
1b:b1:36:f3:1c:66,-47.120115,2005-03-26T06:41:29,web-03.sheppard-oconnor.biz,02:49:06,GB,$90.03,pt,hic.jpeg
d4:45:1c:94:62:de,-112.484615,2016-04-26T05:51:33,email-23.edwards.com,21:36:28,GB,$7.41,ro,officiis.flac
e4:ef:c6:3b:5b:ec,53.045880,1978-11-08T00:11:38,srv-70.smith.info,09:59:03,GB,"$49,976.79",niu,fuga.json
e1:99:e1:22:5c:cb,173.503728,2001-09-03T21:39:08,email-28.patel-richardson.info,05:45:24,GB,"$62,464.85",hsb,praesentium.webm
90:44:1f:fd:5d:f7,-52.347712,2006-06-03T13:25:30,email-39.bond.com,05:37:58,GB,"$67,461.94",iw,rem.odt
d4:e6:fb:11:50:f2,-10.126013,2011-02-10T18:41:36,lt-47.barnes.com,16:00:55,GB,"$7,001.83",ayc,ipsam.txt
56:43:44:bc:41:a5,-58.848191,1987-07-26T10:33:09,desktop-14.moore.info,08:03:06,GB,$989.21,ast,voluptatibus.mp4
fa:61:0f:7e:63:2a,-52.416778,2009-12-18T07:20:31,srv-53.henry-rees.com,10:40:35,GB,"$76,098.29",ga,hic.csv
96:d0:02:b0:b4:b8,118.342927,1970-01-23T07:32:18,lt-44.smith.info,21:58:28,GB,"$6,497.45",ak,reprehenderit.bmp
3c:79:25:38:ec:b1,-133.242634,1985-06-02T00:22:02,db-05.ford.com,15:34:04,GB,$15.43,hak,expedita.png
d6:f3:75:40:e7:1b,-99.399005,1978-05-18T12:38:48,lt-55.newman.com,07:12:28,GB,$60.58,am,natus.tiff
0a:64:8f:20:a5:0c,-151.904107,1982-05-24T11:22:12,email-10.mills.com,14:01:30,GB,$907.45,te,nisi.avi
b0:ed:2a:52:bc:18,-96.116972,2004-08-21T00:44:48,web-72.gould-richardson.com,08:35:20,GB,$287.56,unm,vero.odt
d8:94:7e:de:0f:cd,131.438570,1973-09-22T07:07:57,db-45.collins.info,16:14:41,GB,$618.30,he,incidunt.tiff
e7:71:cf:b4:d6:e7,90.970506,1973-10-27T18:42:15,db-83.porter.net,20:02:22,GB,"$15,025.86",li,facere.flac
7a:b0:64:b9:a4:6d,-99.534745,1978-05-28T17:56:37,lt-72.williams.org,01:26:24,GB,"$1,085.17",mag,officiis.mp4
d2:c4:79:ce:92:99,82.024515,2019-02-08T12:56:00,laptop-64.powell-williams.com,07:27:17,GB,$816.67,mni,itaque.txt
cb:3c:82:a1:d1:f8,-84.367489,2004-05-29T18:22:11,web-23.chapman.com,17:17:45,GB,$996.95,oc,necessitatibus.csv
a4:00:30:96:cd:3d,152.787401,1990-02-23T10:30:33,web-24.morgan.com,09:29:10,GB,"$8,924.43",iw,ullam.flac
77:3c:46:ca:75:2d,117.750001,2008-05-01T06:58:43,email-86.lee.org,09:57:19,GB,"$90,884.74",as,repellendus.bmp
e2:24:25:50:0a:f3,122.283282,1982-06-14T19:56:04,lt-79.williams-bell.co.uk,09:11:46,GB,$8.25,yi,asperiores.js
35:0b:c2:d9:c8:6f,27.516977,2001-08-31T08:27:46,lt-14.fitzgerald.com,07:41:07,GB,"$34,460.72",bs,sit.png
6f:18:10:c2:24:9c,65.040736,1981-02-26T09:00:36,db-48.gray-oliver.net,16:44:09,GB,"$20,302.12",doi,debitis.mov
c9:92:59:c7:90:9c,12.222866,1970-02-16T06:59:44,db-55.fisher-sharp.co.uk,08:50:10,GB,$26.07,raj,neque.flac
86:99:b6:fe:45:ae,62.531110,1977-06-28T14:32:09,db-56.waters-smith.net,00:48:41,GB,"$69,844.34",ti,praesentium.avi
05:ff:88:30:4b:92,-31.939151,2016-08-13T06:36:10,srv-24.clarke.net,23:48:08,GB,"$75,889.23",is,numquam.doc
1c:2f:58:60:07:32,-113.976039,2023-04-02T11:02:16,email-01.williams-collier.net,14:55:35,GB,$1.84,ku,exercitationem.tiff
c2:b4:49:f7:70:fe,116.640844,2014-04-06T09:42:17,db-32.king-edwards.com,10:37:31,GB,$433.53,tk,itaque.mov
d1:99:79:85:e2:49,169.050498,2000-06-02T07:25:14,laptop-55.smith.org,01:38:44,GB,"$1,280.21",ast,quos.txt
a9:0e:1b:15:bf:9a,-64.253091,1993-04-08T01:31:09,lt-79.stone.co.uk,11:11:11,GB,"$3,523.32",gu,asperiores.wav
7e:e7:00:1a:9c:57,38.474958,1996-01-08T23:29:01,web-19.kerr.com,22:30:56,GB,$218.31,an,eligendi.js
4c:b0:54:0c:04:8a,49.669677,2008-06-14T04:12:57,srv-36.wood.biz,22:40:52,GB,$578.56,ml,ut.mp3
d9:51:7a:17:ba:b6,32.269890,1978-01-28T14:06:32,web-76.duffy.net,13:12:18,GB,$3.92,ka,quidem.mp3
0f:71:23:28:67:34,-110.602830,2022-05-19T14:07:34,desktop-69.davis-dean.com,09:50:37,GB,$396.71,ml,natus.ppt
50:bf:19:83:f9:f8,42.749229,1996-12-24T02:18:41,lt-73.murphy.com,17:33:59,GB,$2.63,szl,cumque.flac
05:0d:e9:08:f0:ab,105.908524,1984-02-15T23:02:55,email-29.harrison-owen.com,18:09:54,GB,$4.79,ig,suscipit.docx
4d:1f:65:59:ab:e4,13.053886,1996-05-30T10:55:30,srv-85.lloyd-burrows.biz,02:44:33,GB,$46.47,et,minima.flac
1a:a7:b9:67:ac:52,-37.213367,2013-05-28T10:46:05,email-72.fowler.com,07:31:50,GB,$95.34,lzh,quod.flac
ee:bc:2e:99:93:d8,149.009758,1973-05-25T12:45:15,web-26.roberts-williams.com,21:23:53,GB,"$4,940.62",crh,quidem.xlsx
b7:38:e6:aa:4f:3d,72.259236,1976-01-31T05:00:01,db-39.houghton.biz,21:35:54,GB,"$8,613.10",bg,aliquid.ods
47:a3:3b:03:aa:ec,-138.724858,2009-03-19T03:37:36,srv-56.cooke.co.uk,17:22:02,GB,"$11,579.28",nhn,fugit.pdf
98:44:97:14:16:4e,100.380098,1972-10-14T18:03:53,laptop-36.adams-blake.info,08:39:58,GB,"$42,054.36",om,ad.mov
f0:1d:79:19:4a:fa,-89.595170,1972-06-09T04:47:06,laptop-56.ingram.com,17:15:02,GB,$3.45,the,ab.gif
8d:72:6b:6c:5b:9b,122.734238,2008-02-06T07:15:42,web-76.foster.co.uk,08:27:56,GB,"$5,943.47",hne,earum.gif
0b:57:0d:16:97:84,58.714573,1988-04-25T07:12:23,srv-38.thornton-edwards.org,10:42:57,GB,$201.95,sat,mollitia.json
81:66:56:0d:cd:b2,-82.060019,2011-05-13T01:49:02,lt-98.alexander-lewis.com,16:17:43,GB,$3.24,kk,nulla.json
8b:11:9a:ba:48:64,-138.250297,2002-03-04T03:00:23,laptop-54.hartley.biz,16:34:56,GB,$0.59,hne,facere.png
16:28:13:a1:ae:d4,-159.902879,2018-07-26T12:59:39,db-33.phillips.com,10:13:27,GB,$437.99,hr,sapiente.webm
26:89:40:49:51:5b,-124.497123,1977-01-17T09:11:33,db-31.gibson-wells.info,21:17:06,GB,$14.08,dv,veritatis.docx
a5:38:f6:f1:6d:4f,166.553960,2004-06-27T09:48:26,lt-11.sullivan-parkes.co.uk,04:53:40,GB,"$76,706.68",ro,deleniti.js
53:ff:d2:2f:ee:d5,142.072782,2004-04-09T08:43:16,desktop-41.smith.com,21:41:06,GB,$242.93,nl,repellendus.gif
46:5c:ea:40:f3:79,-39.165285,1971-10-05T13:35:24,srv-83.jones.biz,18:09:41,GB,$385.02,ps,placeat.mp3
d6:20:00:ca:68:0f,-69.647936,2018-12-11T12:22:22,email-00.holt-jones.org,13:25:24,GB,$35.42,it,quisquam.mp3
0e:dd:e2:a4:3d:f1,-138.881922,1976-10-03T02:31:45,laptop-52.cook-slater.org,23:01:27,GB,"$65,602.42",sw,similique.jpg
61:4d:10:42:85:c9,-82.240711,1986-12-20T20:58:02,db-36.walsh-burns.com,05:53:09,GB,$9.65,be,iure.mp3
85:6b:72:b1:b0:21,108.910118,1970-04-12T04:48:32,web-88.vincent.net,17:12:21,GB,"$74,909.07",niu,vero.jpeg
c8:b6:ad:1b:17:f0,51.057931,1971-12-11T11:07:26,email-47.miah-atkinson.com,20:38:58,GB,$1.70,rw,distinctio.wav
36:43:a3:d4:bc:7b,7.658014,2012-12-14T02:54:54,srv-81.brown-cook.net,01:53:03,GB,$53.71,id,eaque.bmp
d7:a0:93:d4:22:cc,-131.062423,1993-11-01T20:30:41,lt-27.moss-francis.info,20:04:59,GB,"$63,394.96",ast,optio.png
0b:9d:bc:3a:da:73,174.532342,2015-03-27T11:05:53,db-25.green-cole.com,17:55:30,GB,"$51,611.45",sat,natus.gif
4d:d8:a9:26:68:cc,30.402645,2019-12-11T13:37:22,desktop-57.hartley.com,11:21:06,GB,$57.47,yi,perferendis.csv
8d:18:b3:ed:d8:22,-12.558320,2014-04-13T06:57:07,srv-11.sanders.com,01:50:03,GB,"$4,046.68",ug,iste.bmp
09:8d:a1:d7:ce:f4,-145.276247,1988-08-30T16:19:22,db-65.lewis.com,13:45:01,GB,"$3,357.15",tg,natus.pdf
b8:13:15:28:65:03,86.820067,2001-05-30T04:13:35,web-37.khan.co.uk,08:19:18,GB,$218.22,ga,neque.wav
02:24:e9:1d:ee:14,-150.098743,1979-03-10T19:30:34,desktop-51.phillips.biz,20:30:52,GB,$9.18,ne,quidem.mp3
26:fb:51:3b:b5:ec,110.920712,2002-05-16T18:40:24,lt-81.jennings-taylor.com,17:06:50,GB,$5.83,quz,accusantium.webm
da:99:8c:c5:fc:e7,-66.472128,2005-04-06T04:37:57,laptop-15.gray.co.uk,09:02:21,GB,$286.97,tt,quam.pptx
4c:38:1b:29:92:d2,-53.285271,2009-10-09T22:12:57,desktop-23.fuller.com,07:29:35,GB,"$76,741.62",he,quae.tiff
a6:93:af:a6:33:91,-16.120628,2005-05-27T00:35:31,lt-92.morgan.info,00:29:53,GB,"$61,657.53",tg,rem.xlsx
16:84:a5:5a:22:ff,-118.549238,1974-10-30T23:47:18,email-87.taylor.com,21:29:24,GB,$25.93,or,tempora.xlsx
8b:f5:ba:20:8f:9e,-56.327614,2003-03-21T22:46:27,web-66.thorpe.biz,16:39:24,GB,"$48,898.11",os,minus.html
c3:1a:bf:28:c3:47,-148.899259,1980-01-26T07:45:11,web-12.curtis.net,01:35:41,GB,$451.69,ce,dignissimos.xls
22:9b:32:98:60:04,18.298748,2008-03-05T20:03:15,email-72.bailey.org,21:15:10,GB,"$56,198.08",bho,magnam.odp
44:bb:ae:30:c8:71,107.085092,1972-06-24T02:06:28,lt-08.clayton.com,21:07:02,GB,$663.39,eo,incidunt.pages
3b:e2:e5:a2:1f:08,-156.314792,1972-02-01T01:57:47,desktop-64.barrett.com,11:28:45,GB,$40.39,hi,adipisci.tiff
e7:62:e3:68:f0:7d,-94.493385,1974-05-22T01:51:13,desktop-72.porter.com,10:59:54,GB,"$70,627.83",csb,velit.flac
10:c7:6b:51:7d:19,-114.863117,2002-07-06T23:36:15,desktop-98.stevens.biz,02:32:48,GB,"$23,731.82",hy,commodi.html
66:c6:d3:20:7c:04,149.288675,1996-10-12T04:32:50,db-61.johnson.info,11:12:56,GB,$75.25,tcy,ad.odt
68:fc:5e:7e:92:f8,-27.034041,1975-06-08T14:46:20,db-03.johnson-smith.com,12:35:13,GB,$670.06,niu,velit.jpg
1e:fb:54:46:0f:24,66.887505,2020-03-27T21:10:00,email-54.stewart.com,08:11:58,GB,"$6,074.05",fr,alias.jpeg
64:cd:ac:97:ef:f8,92.833701,1990-04-06T18:59:00,web-18.day.com,01:49:53,GB,$796.75,byn,eos.ods
ab:c1:d7:3a:98:dd,110.418112,1971-11-11T07:25:28,web-56.miller.com,06:34:13,GB,"$3,739.53",da,illo.png
c0:46:7e:50:cc:8e,178.175116,1985-12-15T05:23:25,lt-81.hooper.co.uk,12:45:07,GB,$5.32,hu,veniam.webm
e3:23:b7:52:94:50,-173.678920,2023-08-07T02:10:25,laptop-62.smith.com,23:29:58,GB,$421.05,ug,vel.mp4
80:9d:ae:8d:a2:1f,-20.065133,2012-04-06T02:11:54,web-54.gibson.com,23:51:45,GB,$7.01,ik,nemo.json
bb:fa:b4:f1:fd:45,-169.165958,1994-09-16T21:19:40,laptop-28.nicholls-wilkins.org,11:08:33,GB,"$32,785.27",gd,autem.jpg
38:78:03:0e:3e:e2,-42.628244,2010-05-18T03:59:52,db-81.read.info,10:27:27,GB,$142.49,oc,corporis.odt
51:fe:af:c2:c8:2a,-9.434489,1985-08-26T14:06:20,desktop-57.pollard.com,04:08:16,GB,"$2,419.10",sl,velit.js
63:f1:7c:ae:e5:83,104.062976,2002-09-22T15:31:24,lt-65.ahmed.com,16:12:09,GB,$640.46,wo,itaque.mp4
b6:21:73:4b:2c:53,76.399255,2018-12-03T02:05:34,db-66.kirk-webb.com,19:52:48,GB,"$9,522.29",li,recusandae.flac
74:a0:90:08:8f:16,-109.025548,1982-08-15T05:44:28,email-45.hussain-russell.org,05:20:25,GB,$568.51,hr,alias.ods
41:38:2c:46:0a:f2,32.440422,1999-08-02T11:04:22,laptop-07.holmes-kay.com,08:46:41,GB,$42.15,wo,a.wav
b0:ee:1d:25:48:65,-38.199834,2010-07-12T20:44:22,desktop-11.pearson.biz,07:29:07,GB,$71.46,nso,totam.odp
7b:3b:98:72:9f:35,-160.768391,1992-01-31T12:26:30,email-98.parker-jones.net,03:06:41,GB,$89.41,wo,facilis.html
b5:c0:db:71:a8:fa,-147.369822,2009-11-05T08:57:01,srv-81.bentley.info,02:32:08,GB,"$43,565.46",hi,rerum.wav
2e:1e:7b:5f:ca:62,98.058491,1978-06-29T10:43:56,web-70.williams.com,10:22:40,GB,$31.86,hi,dolore.wav
a3:b2:3b:ba:67:23,-68.466193,1991-09-16T02:49:02,desktop-09.lewis.biz,06:35:46,GB,$95.12,my,beatae.wav
f1:9e:cd:22:d2:96,-132.748403,2015-09-24T06:48:50,laptop-75.potts.com,00:56:56,GB,$1.01,ln,ea.mp4
a5:63:0e:c7:49:be,101.400542,2021-06-13T17:10:03,desktop-45.williams.com,17:33:23,GB,$78.66,shs,sit.txt
19:f9:41:86:87:4d,-4.969138,2002-06-13T08:47:10,db-84.clark.com,13:05:49,GB,$4.48,eo,quod.csv
c9:cf:32:9d:8e:c1,78.714703,1997-09-24T19:20:36,laptop-84.black-jarvis.com,00:58:44,GB,$90.99,ckb,natus.js
89:9b:c4:b9:66:16,86.765132,2018-07-27T22:33:36,laptop-30.riley.net,21:33:12,GB,"$9,376.19",sid,omnis.mp3
c8:20:e9:aa:21:2b,-156.717164,1975-11-03T04:32:37,laptop-80.chapman.com,10:41:55,GB,$5.19,quz,quae.flac
15:71:c4:ed:8b:81,-26.469083,1982-05-19T00:18:58,desktop-65.shaw.com,23:22:53,GB,$256.19,km,corrupti.doc
08:37:c8:e0:77:18,21.390283,1992-05-30T06:31:08,laptop-24.hyde.net,21:22:51,GB,$3.97,dv,illo.json
21:24:90:2b:c8:a6,140.940427,2010-04-28T00:11:24,desktop-26.smith.net,03:48:17,GB,"$41,230.51",cmn,ipsam.json
47:c9:fc:bc:37:54,-114.025946,1975-01-26T20:09:56,lt-39.hobbs-hayes.com,00:52:20,GB,$70.05,yue,dolorum.flac
b3:bb:b4:e2:79:3b,132.491694,2001-05-19T12:50:44,lt-35.wright.com,18:23:58,GB,"$28,306.89",nb,voluptatem.ods
8e:36:66:28:d4:17,-98.343594,2011-08-14T19:27:37,srv-82.hyde.net,17:40:03,GB,$901.00,kok,culpa.doc
db:93:46:31:58:90,39.798734,1990-05-12T02:03:39,laptop-76.gibbs.com,20:26:30,GB,"$23,284.70",tn,nostrum.jpg
53:64:a6:56:e7:b3,157.003524,1970-07-08T01:53:49,lt-04.mccarthy-clayton.co.uk,08:22:10,GB,$2.98,hi,impedit.jpeg
52:62:0e:35:e7:96,-71.679617,2015-04-06T18:00:42,laptop-88.schofield.info,19:58:45,GB,$87.82,mt,eos.odp
cd:26:34:2d:a3:cf,-20.505103,2011-11-12T11:10:17,laptop-61.mills.com,07:43:44,GB,$3.79,wae,culpa.wav
