language_code,date,time,bank_country,file_name,language_name,latitude,company,iso8601,mac_address,longitude
cs,2002-12-05,20:24:02,CH,blanditiis.mov,Panjabi,68.689623,"Flückiger, Ferrari and Näf",1976-08-02T16:32:17,12:01:fc:40:33:90,139.578045
gu,2004-09-20,09:37:44,CH,omnis.webm,Dzongkha,19.0580875,Bachmann Ltd,1985-01-10T21:00:15,ba:4f:c4:f3:e4:76,-85.681216
am,2009-07-16,08:30:18,CH,dolor.jpg,Danish,-49.025033,Egger Ltd,2006-12-22T15:04:43,40:7e:e5:e8:4c:fa,126.422692
os,2000-05-30,17:22:13,CH,animi.webm,Kirghiz,-53.468017,"Seiler, Beck and Lüscher",1982-01-21T14:44:04,f9:b6:1c:49:98:c1,-66.810258
ayc,1974-04-16,19:12:13,CH,aliquid.mov,Portuguese,-30.3453715,Wolf-Michel,2014-06-14T04:02:57,e2:1a:52:e2:7d:a4,51.138084
de,1981-03-17,05:12:24,CH,quibusdam.docx,Chinese,89.0039555,"Erni, Frey and Sigrist",2015-08-31T14:39:22,69:10:de:b8:b8:23,-59.202158
en,2014-07-28,13:12:30,CH,error.mp4,Norwegian Nynorsk,-28.339909,Seiler PLC,1988-04-10T10:56:40,54:59:2a:ca:a1:9b,125.066950
yi,1984-11-23,09:24:13,CH,doloribus.jpg,Tatar,-35.6443075,Zehnder PLC,2002-04-12T00:32:06,46:aa:e8:68:48:6b,144.616378
nb,2000-09-27,02:33:38,CH,tempora.flac,Maori,53.344994,Bühler and Sons,2000-02-09T08:20:10,f6:ee:55:7e:e9:7a,2.614852
si,2016-09-18,05:21:17,CH,ea.wav,Breton,85.8125555,"Studer, Steinmann and Bühler",2007-10-20T21:26:13,19:33:74:7e:8a:3a,-11.848498
tt,2001-08-05,13:22:05,CH,placeat.flac,Oromo,-35.3965395,"Braun, Thommen and Fehr",1975-10-04T16:19:51,a9:31:49:a4:cf:f5,85.739900
tcy,1993-09-03,16:08:24,CH,fugit.tiff,Manx,86.577623,Burri Group,1981-04-03T01:12:47,7a:bd:23:f8:95:6b,-103.332703
ti,1990-07-20,09:26:01,CH,dolore.xlsx,Thai,-21.868450,Stauffer-Pfister,1998-08-13T11:54:22,ca:68:b2:d2:7e:75,176.886381
ne,1973-08-23,06:53:58,CH,soluta.png,Cree,-73.2338265,Tobler-Hess,2020-04-29T01:03:08,73:d5:6b:de:3f:b2,-102.997936
ko,2007-01-06,03:32:10,CH,fugiat.csv,Uighur,-18.4707335,Herzog LLC,1985-09-16T21:42:43,8f:94:69:0f:b5:80,-66.685001
hne,1993-05-30,00:54:04,CH,facilis.txt,Uighur,32.8054825,Friedli-Forster,1975-06-26T13:39:27,c8:79:ff:34:4b:21,-117.486558
ti,1991-05-08,01:50:25,CH,quos.gif,Urdu,21.6719355,Küng-Peter,1980-09-13T14:27:43,3e:cb:4e:f8:55:b1,29.686835
hak,2011-04-03,23:56:55,CH,illo.mov,Arabic,-59.9400025,"Walder, Huber and Eichenberger",2014-07-10T15:23:55,d8:08:c9:df:60:69,-149.651362
st,2016-08-18,06:18:57,CH,mollitia.mp4,Akan,86.356338,"Stucki, Hoffmann and Zbinden",2020-09-20T12:21:03,c4:cc:74:c1:0d:10,97.581085
ps,2001-11-15,14:52:51,CH,ab.jpeg,Serbian,31.637177,"Seiler, Gloor and Schneider",1999-08-15T03:03:01,45:7e:26:ea:dc:b6,-138.036912
ber,1982-04-30,20:20:57,CH,molestiae.webm,Church Slavic,45.1348745,Hofer Ltd,2000-05-29T07:11:10,e7:a9:a8:28:fc:e9,21.589242
so,1970-08-01,10:54:07,CH,iure.doc,Interlingue,57.048750,Bättig and Sons,1991-11-02T20:44:57,e9:c5:b9:e3:59:d5,155.608462
niu,1984-01-02,06:22:28,CH,quidem.mp3,Tamil,58.0415205,Jost and Sons,2022-09-22T02:04:20,e0:b0:cc:d2:94:d3,-86.666702
bg,2012-03-11,15:10:11,CH,labore.bmp,Chechen,68.6366165,"Jenni, Zingg and Studer",1994-01-26T11:49:53,dd:4d:94:01:87:17,-29.953461
sl,1972-10-30,10:26:42,CH,ea.bmp,Hiri Motu,-72.362016,"Schäfer, Brunner and Herzog",2022-10-04T10:59:11,09:40:38:59:95:27,-3.338792
az,2022-02-25,14:04:05,CH,omnis.tiff,Basque,-58.9961275,"Steiger, Häfliger and Walder",2008-04-11T23:02:53,45:98:ca:c0:c9:2e,69.324788
bem,2000-05-30,11:47:50,CH,officia.avi,Shona,87.601040,Bieri-Leu,1978-03-19T04:31:18,7c:c3:cc:e9:12:f0,-41.042597
sl,1994-07-12,08:06:34,CH,distinctio.txt,Czech,-52.788627,Hermann-Schneider,1976-07-19T14:55:40,b2:0e:01:ab:c9:24,-42.258171
tk,1996-05-13,04:56:08,CH,nihil.txt,Kuanyama,10.922003,Hotz-Wehrli,1992-09-14T17:47:54,98:12:db:07:ff:74,115.209866
am,1996-09-22,22:19:26,CH,culpa.mp3,Malagasy,38.859048,Bader-Portmann,1987-02-28T01:03:28,69:fe:4d:15:a1:28,18.902849
dz,2009-05-19,11:17:02,CH,repellendus.numbers,Inuktitut,-61.2197065,Bühler-Steiger,1973-08-29T14:27:00,95:fb:ee:62:6c:f9,-31.256601
xh,1974-05-05,23:19:51,CH,tenetur.jpg,Thai,14.4915545,Frick and Sons,1996-12-27T01:06:10,f6:16:66:45:69:1c,8.245014
gd,1978-10-21,22:29:47,CH,laudantium.pages,Hindi,-53.405248,"Brunner, Forster and Schaub",1991-10-07T14:09:40,e9:8a:a8:fb:c0:0b,-90.283481
hsb,1971-01-17,03:06:19,CH,exercitationem.css,Corsican,59.014004,"Hoffmann, Schaller and Kuhn",2016-02-10T07:12:14,d3:29:fd:0c:da:9d,102.999450
es,2007-07-16,06:36:48,CH,sapiente.ods,Tsonga,85.6681595,Scherrer and Sons,2023-09-11T10:44:50,f9:92:dc:9f:6a:57,72.240308
uk,1989-09-18,06:36:29,CH,porro.flac,Marshallese,-68.285523,Kessler PLC,1998-11-09T06:24:28,1d:70:05:b4:cf:3e,-67.453753
ln,2011-04-08,07:04:34,CH,animi.gif,Swati,60.0142925,Stalder Group,1991-09-23T01:31:34,8c:b8:7c:d5:df:94,128.624522
zh,2007-07-25,02:58:39,CH,quaerat.css,Tsonga,73.652434,Winkler-Martin,1979-09-12T08:02:43,39:92:c7:06:89:d2,-32.440701
yo,2005-06-18,13:18:58,CH,consequuntur.wav,Malagasy,-25.914773,Käser-Frei,2021-01-25T19:34:41,cd:04:49:16:0c:e3,38.680999
bho,2015-06-24,11:03:50,CH,inventore.key,Catalan,39.6448595,Ackermann and Sons,1996-11-15T11:51:25,d5:32:65:91:4b:33,124.087037
tcy,1986-01-10,22:11:21,CH,quibusdam.flac,Tibetan,43.209899,Eugster-Rey,2002-10-05T17:00:16,32:50:bf:36:50:18,145.317311
nb,1972-01-26,03:28:54,CH,nobis.avi,Komi,19.6085615,Steinmann-Wolf,1978-03-29T00:03:44,bf:71:45:94:87:9e,39.641357
or,2015-01-13,07:16:23,CH,qui.avi,Latvian,30.0969205,Egger-Hofstetter,1994-12-02T21:55:20,0c:50:23:91:8f:ea,159.766701
be,2004-11-06,16:29:14,CH,minus.webm,Central Khmer,85.532664,Schweizer Ltd,1985-02-24T06:02:40,02:62:ed:a5:e4:9e,50.434702
el,1990-12-29,20:42:26,CH,aut.jpeg,Guarani,12.922948,Schaller PLC,1987-07-25T10:01:43,c3:a4:b6:10:0f:45,71.662146
sw,2019-04-16,02:01:02,CH,beatae.wav,Quechua,26.0928095,"Gross, Steffen and Gloor",2001-07-04T21:47:24,59:da:c4:a6:ba:cd,148.343240
kl,1991-02-04,19:31:42,CH,quaerat.doc,Samoan,16.0916865,"Koch, Zürcher and Eugster",1995-02-24T04:34:54,c9:31:a2:7c:06:9d,-52.807670
oc,2019-01-05,08:11:33,CH,harum.mp3,Greek,82.075383,Kunz Group,2001-04-24T23:00:49,90:ae:25:91:6f:e9,-112.192518
st,1977-08-01,10:52:39,CH,accusantium.png,Norwegian,-16.5480975,Mayer Inc,2001-11-05T20:38:34,54:e2:7e:30:64:43,-58.220834
ku,2003-08-12,16:07:23,CH,laborum.mp4,Serbian,18.5081865,"Bucher, Keller and Baumann",2022-01-02T01:05:53,ff:b0:79:7a:be:ec,35.059135
is,2005-02-08,06:56:45,CH,ipsam.webm,Slovenian,3.182910,Hess-Hofstetter,1977-12-19T22:50:27,29:31:9c:6d:73:9a,0.005868
sd,2009-11-06,17:48:27,CH,repellat.avi,Herero,-30.6321255,Näf Group,2016-06-12T02:12:16,0e:f6:a4:73:5f:e0,-75.593820
kl,1983-06-30,08:13:11,CH,quia.json,Fijian,-56.454149,Wegmann Group,2015-01-21T23:30:19,be:c0:53:ce:04:9f,-138.979810
af,2007-05-21,12:11:30,CH,odio.js,Romansh,30.188174,Schmid Group,1986-08-11T08:53:15,4e:90:ff:13:22:55,-171.011170
ps,2011-04-23,19:35:42,CH,saepe.odt,Kikuyu,85.577205,"Egger, Walder and Schenk",2016-05-20T15:49:24,1e:67:d7:37:50:e0,108.453738
lo,1988-09-20,06:39:16,CH,similique.bmp,Swati,-14.724143,"Schärer, Pfister and Meier",1979-10-29T12:43:48,fa:85:92:c5:b4:a7,-50.955029
wae,1991-09-19,21:48:26,CH,fugit.docx,Guarani,2.5266855,"Schlatter, Vogel and Amrein",1980-12-15T04:45:49,b7:9f:77:6b:70:4c,-56.729157
as,2007-08-31,21:37:08,CH,placeat.wav,Belarusian,22.150820,Häfliger-Schwarz,1974-11-22T03:39:52,88:37:d8:c2:7d:b4,38.685067
uk,1972-08-04,22:45:17,CH,adipisci.png,Bengali,-32.8011225,Fehr-Kaiser,2017-07-05T03:18:30,6e:5b:6e:4f:97:a3,54.164720
tl,1998-05-15,21:10:12,CH,commodi.xls,Fulah,32.877623,Hartmann LLC,2013-12-02T20:15:03,79:9d:1e:1a:3e:7e,81.245269
crh,1994-05-04,07:59:24,CH,a.mp3,Walloon,0.268458,Schäfer-Schuler,2018-04-23T12:40:07,5f:09:6a:93:fc:8d,171.439337
ug,2003-05-25,05:08:11,CH,quis.html,Marshallese,-77.737317,Scherrer Inc,2015-05-21T00:50:25,68:b4:82:40:43:07,-79.771697
sl,1984-05-06,20:57:27,CH,labore.mp3,Macedonian,39.943111,Kaiser Group,2023-04-21T11:42:47,c7:d9:98:50:f2:f5,35.341624
hsb,1975-08-16,14:40:52,CH,eius.gif,Slovenian,-69.3282675,Moser Group,2022-02-05T05:05:04,2d:05:7e:9f:85:84,-116.373114
doi,2003-02-28,19:56:10,CH,iure.wav,Kuanyama,55.062938,Schwab-Roos,2012-08-23T23:39:23,54:f4:0a:3c:32:c1,-149.584501
bs,2016-01-23,14:52:55,CH,ipsa.txt,Polish,16.184778,Hermann-Giger,2021-05-01T09:05:48,97:44:a9:9e:a8:33,-53.985193
tig,2019-03-14,16:42:32,CH,officia.mp3,Chechen,72.643699,Herzog-Forster,1996-11-19T01:28:07,05:5b:e8:3f:7b:a3,-13.753236
lij,2005-09-06,23:01:40,CH,quidem.jpg,Tsonga,46.9687095,Haas Group,2023-05-29T19:24:12,39:78:13:48:29:c1,19.752852
ast,1982-06-15,11:25:43,CH,ratione.jpg,Ossetian,-38.709162,Stöckli-Kälin,1991-07-27T10:16:26,a4:c4:74:b6:35:fd,-6.697037
gl,2012-10-04,02:25:29,CH,vel.flac,Kuanyama,5.938948,Lehmann Group,1971-01-12T16:59:18,f2:45:2c:9e:51:21,45.330905
mni,2014-10-28,22:07:41,CH,nostrum.flac,Church Slavic,48.635686,Kaiser Inc,2006-01-12T21:08:25,82:f3:ff:81:f0:dc,-73.555124
sq,2009-09-02,20:51:24,CH,illo.mp3,Mongolian,35.2169225,Zingg Ltd,1986-12-13T12:20:22,36:27:af:c5:92:40,156.602266
bs,2022-02-22,04:10:33,CH,sunt.pages,North Ndebele,34.982190,"Vogt, Merz and Steiger",1970-07-30T10:42:28,c8:20:8b:97:28:f4,-76.242361
fo,1998-03-31,01:05:44,CH,consectetur.jpeg,Catalan,-3.839128,Hermann Group,2021-12-28T10:17:02,51:1f:f1:2c:c8:80,-109.429104
fo,1984-10-11,12:04:17,CH,ex.png,Oriya,40.024982,"Meyer, Huber and Stalder",1987-08-28T12:14:08,11:ba:c5:f1:be:93,-91.343519
yo,2008-08-15,06:09:52,CH,doloribus.odt,Xhosa,43.3050605,Spörri-Bachmann,1970-03-22T13:04:02,23:62:a8:0d:ba:0e,-33.210288
sd,1992-01-13,20:16:42,CH,harum.avi,Kikuyu,-71.0207055,"Bernasconi, Jäggi and Gloor",2022-08-15T05:05:32,b3:23:fb:88:e6:76,48.768770
sa,2001-01-23,22:47:03,CH,alias.jpg,Javanese,67.638100,Ackermann Ltd,1980-08-01T13:03:44,d7:1a:1d:8c:fd:cd,139.698128
lt,2002-04-22,07:51:15,CH,fugit.wav,Tonga,48.083926,"Ernst, Näf and Gasser",1988-01-29T03:32:08,5e:81:38:62:60:8c,94.460393
ja,1981-01-06,03:13:50,CH,atque.odt,Amharic,2.5511755,"Wyss, Frey and Knecht",1975-12-14T22:43:49,43:b7:e7:57:e0:ef,74.909661
dz,2015-09-06,17:28:57,CH,tempora.flac,Tswana,62.0451045,Wehrli-Bernasconi,2023-06-23T16:38:14,b1:58:e3:0b:e9:04,25.002366
ks,2000-10-07,04:39:34,CH,officiis.tiff,Marshallese,-26.730399,Knecht Group,1994-06-15T11:49:36,dc:4e:19:ad:2e:27,-69.411679
wae,1996-03-03,22:19:33,CH,accusamus.jpg,Yiddish,-30.950632,Keller-Widmer,1988-09-30T20:55:56,72:22:11:5c:b2:1e,-95.311710
ca,1972-08-05,20:13:38,CH,laboriosam.txt,Bengali,-27.8954685,"Schaller, Arnold and Rey",1975-10-17T08:14:38,78:13:4c:73:a7:8e,51.416793
tcy,2000-10-07,22:01:12,CH,distinctio.gif,Aymara,6.3606015,Schweizer Ltd,2015-06-11T05:42:35,72:2f:bf:4f:d2:ec,23.695309
is,2022-11-01,23:22:55,CH,perferendis.mp4,Thai,-43.380141,"Gross, Probst and Tobler",1985-09-14T01:59:43,c2:55:3d:04:d9:64,-86.237615
gd,2023-03-22,09:28:16,CH,libero.mp4,Kongo,-40.4798375,"Sigrist, Widmer and Stucki",1998-02-13T07:31:12,e5:e7:10:9f:50:79,167.169429
quz,1981-03-19,16:08:02,CH,a.png,Russian,-20.6738705,"Stutz, Beck and Küng",1977-08-26T16:25:38,10:c4:f3:df:cb:d7,-176.390118
fy,2001-08-12,03:44:46,CH,veniam.json,Persian,21.7467525,Meili-Maurer,1990-09-16T10:05:09,a4:ef:53:76:37:3f,81.379095
the,1970-02-27,17:15:18,CH,atque.wav,Gujarati,-5.5041055,Portmann Group,1986-03-29T06:15:23,04:26:59:0a:c8:a9,155.551925
ru,2017-01-05,03:50:23,CH,earum.tiff,Latin,-54.8011405,"Schwab, Schär and Hartmann",2002-07-01T14:40:13,ac:09:38:43:95:b0,55.564851
ur,2007-08-14,04:37:11,CH,explicabo.wav,Estonian,-78.5363195,Leunberger PLC,1977-02-05T11:40:18,9a:d1:eb:85:ed:3f,128.369840
pt,1998-09-14,07:22:35,CH,quo.json,Azerbaijani,-32.3596335,Arnold-Herzog,2010-06-03T12:35:37,89:02:d1:ab:ff:6d,-151.659704
tk,2001-01-12,10:25:00,CH,quasi.jpeg,Fijian,36.874867,Ackermann PLC,2023-08-25T17:43:42,86:8e:00:84:9b:ed,138.899556
mhr,1996-08-20,08:25:56,CH,blanditiis.js,Aymara,-5.5048095,"Lanz, Walder and Scherrer",2000-12-16T10:47:41,2f:c0:fb:37:29:7c,-42.487598
zh,2010-05-19,16:13:13,CH,dolores.flac,Aymara,65.6617185,Hartmann LLC,2009-03-12T17:31:32,da:e8:00:cc:57:d6,134.943976
ia,1972-03-25,04:14:27,CH,dolorem.webm,Ndonga,-7.477913,Bernasconi-Knecht,1975-03-17T12:51:58,90:bb:1a:dc:67:92,53.313617
th,1970-06-27,12:10:31,CH,excepturi.webm,Javanese,9.542704,"Steiger, Baumann and Gfeller",1996-12-25T08:23:32,8e:61:00:7c:86:20,-55.464438
ss,2021-12-31,00:41:36,CH,recusandae.wav,Inupiaq,-4.531029,Stauffer-Wirz,1987-01-06T17:39:16,57:fe:87:97:28:da,77.094976
bs,1987-09-21,14:33:27,CH,quam.xls,Ojibwa,8.8027375,Stettler Group,2013-05-27T07:43:13,68:d2:bf:54:8b:89,97.580593
bho,1995-10-16,17:29:23,CH,voluptates.flac,Japanese,-57.1735885,"Wirz, Sidler and Spörri",2019-04-22T14:23:38,f7:6f:6f:3e:ba:74,-172.463121
am,2023-05-11,21:50:45,CH,minima.tiff,Macedonian,84.1060565,Näf LLC,1988-02-04T05:09:13,d3:6e:6f:0a:74:ff,52.945320
bg,2020-02-16,03:16:34,CH,ut.gif,Chechen,69.6736135,Stocker-Bühlmann,1983-04-16T00:14:01,5b:c8:29:3a:86:54,30.816440
kl,1977-11-12,16:14:00,CH,mollitia.csv,Kashmiri,22.6999975,"Mettler, Bolliger and Pfister",1986-02-16T08:48:44,4b:9d:75:bc:56:21,-40.306325
shs,2018-10-25,17:27:08,CH,unde.json,Panjabi,-16.1971705,"Spörri, Bühlmann and Steffen",2010-07-27T17:52:23,ed:bd:bc:be:f7:b1,-3.847910
hi,2023-07-02,11:52:03,CH,perferendis.txt,Uighur,7.341137,Lehmann Inc,2004-09-14T07:40:54,c1:79:ea:27:fb:ff,-178.715164
ru,2006-09-01,19:59:41,CH,quam.flac,Tsonga,77.298708,Jenni and Sons,2020-07-14T14:36:05,64:96:35:34:c8:83,-19.400313
dz,1998-06-25,15:11:33,CH,in.doc,Thai,66.382478,"Favre, Zollinger and Ernst",1973-01-22T13:16:59,bf:b6:00:58:d0:68,-113.707255
gu,2006-08-16,07:30:04,CH,error.csv,Javanese,-29.696732,"Jost, Schär and Bühler",2001-11-08T03:22:14,54:73:a7:b2:72:94,-37.667071
or,1972-06-03,15:19:30,CH,sapiente.mov,Bulgarian,-80.1317925,Weibel Group,2015-09-12T17:35:38,58:d9:7c:77:00:f1,43.772004
bem,1972-01-03,07:11:42,CH,labore.xlsx,Welsh,-59.8005325,"Bianchi, Winkler and Zehnder",2012-12-05T09:38:25,b5:18:5d:fd:ba:e1,113.645243
hr,1983-05-24,02:53:15,CH,aperiam.wav,Marathi,-7.7634245,Schwab and Sons,1992-12-16T13:08:54,dc:44:23:95:c1:3d,56.488866
mn,1983-06-23,09:24:26,CH,nisi.wav,Fulah,16.8935285,"Schneider, Sigrist and Bader",2006-12-16T06:17:48,b1:11:7b:72:f8:38,87.970872
ast,1972-09-11,12:02:42,CH,voluptate.flac,Ewe,33.341090,"Probst, Mayer and Tobler",2013-07-16T16:16:08,a2:38:28:84:27:72,-33.721347
fy,1988-09-25,18:32:10,CH,architecto.numbers,Guarani,-28.4602255,"Gross, Hotz and Seiler",1975-11-27T16:44:09,2a:62:cc:89:bb:07,-130.916164
gl,2022-01-17,11:59:30,CH,suscipit.html,Sichuan Yi,30.5354645,"Zehnder, Eichenberger and Wüthrich",2017-10-26T03:13:56,8b:7d:a6:67:a0:c5,167.167690
ber,1972-09-02,01:59:56,CH,error.wav,Romansh,14.301088,"Sigrist, Näf and Ritter",1985-07-09T09:40:37,e1:93:6f:8f:a1:66,-95.269579
eu,2002-07-28,10:27:43,CH,veniam.txt,Church Slavic,-55.5017705,Grob-Frei,2022-01-03T12:44:13,9e:ab:4f:78:af:bb,82.963465
csb,1983-01-28,00:26:25,CH,sit.gif,Chamorro,-27.7177405,Wyss Ltd,2021-05-29T18:51:13,93:c1:10:dc:04:9c,-75.956831
lzh,2014-09-15,00:09:47,CH,neque.xls,Estonian,-59.9478335,"Schwab, Grob and Michel",1997-02-20T00:08:13,89:7d:73:38:f0:67,-115.831210
ik,2020-08-28,13:49:00,CH,maiores.mov,Chamorro,48.218418,Kuhn-Walder,2005-03-30T06:17:31,b4:80:77:f8:51:b0,72.571851
