country,random_number,timezone,pricetag,city
San Marino,31226646,Pacific/Palau,$696.51,New Paulafort
Sao Tome and Principe,1,America/Port_of_Spain,$9.36,Lake Davidmouth
Syrian Arab Republic,8904823,Africa/Bamako,"$58,821.07",South Colinhaven
Chile,3723,Europe/Prague,"$80,408.27",West Marieborough
Haiti,400508450,Africa/Tunis,"$7,619.56",Rosieshire
Somalia,5787,Asia/Kabul,"$8,843.27",South Christopher
Malawi,765,America/El_Salvador,$44.43,New Louis
Tuvalu,6,America/Port_of_Spain,$94.10,Dalytown
Hungary,231280,Atlantic/Cape_Verde,$949.40,Bethanshire
Algeria,2347,Europe/Budapest,"$7,683.09",Sheilatown
Venezuela,93607,Asia/Seoul,"$88,730.95",East Josh
Slovakia (Slovak Republic),104,Africa/Dar_es_Salaam,$35.48,New Williamfort
Sweden,5,Europe/Podgorica,$556.79,Talbotbury
Ireland,73917,Europe/Ljubljana,$334.27,South Abbie
Reunion,23180,America/St_Kitts,$842.78,Murrayfort
Paraguay,8,Europe/Prague,$6.21,West Marilyn
Tonga,67,Europe/Dublin,"$30,075.91",Port Carlton
Antarctica (the territory South of 60 deg S),892008775,Europe/Berlin,$52.89,Fryfurt
Haiti,1095028,America/Guatemala,"$70,239.77",Port James
Cyprus,671,Africa/Algiers,$1.08,West Andrewville
Moldova,56965083,America/Asuncion,$7.42,South Joshview
Isle of Man,11,Africa/Bangui,$25.02,New Lindamouth
Gabon,232216246,Asia/Phnom_Penh,"$54,281.32",East Frederick
Ghana,29472976,America/Nassau,"$1,552.53",Ronaldborough
Guyana,62849,Europe/Brussels,$117.05,Dayview
Russian Federation,6,Europe/Sofia,"$99,793.00",Atkinsborough
Nicaragua,239982,Asia/Dushanbe,$409.36,South Lawrence
Venezuela,92556,Asia/Nicosia,"$3,626.13",Brownview
Azerbaijan,961331,America/Port_of_Spain,$6.16,West Patricia
Yemen,559685,Asia/Damascus,$94.51,West Robinview
Costa Rica,509461,Asia/Phnom_Penh,"$27,025.43",Davisstad
Poland,40651205,Africa/Malabo,$157.27,Lake Mohammad
Cote d'Ivoire,5470313,America/Barbados,"$7,913.59",Lake David
Algeria,677773,Africa/Harare,$1.13,Westburgh
Hungary,30669702,Europe/Paris,"$78,787.04",Dylanbury
Grenada,76501499,Europe/Helsinki,"$2,920.12",Frankberg
Ghana,955628902,Europe/Vilnius,$79.64,North Janechester
Peru,6668786,Asia/Bishkek,$758.71,Rachaelbury
Egypt,70018279,America/Kentucky/Monticello,$600.41,New Frances
Chile,70479164,Europe/Oslo,"$46,952.48",North Timothy
Niue,837215011,Asia/Baghdad,$53.47,Derekton
Finland,147960,Asia/Dubai,$7.59,Lawrencefurt
Ukraine,8,Atlantic/Cape_Verde,$4.85,Williamsborough
Pitcairn Islands,5969248,America/Panama,$332.30,Port Phillip
Morocco,815059777,Europe/Rome,"$67,636.19",Smithhaven
Rwanda,800170,Africa/Brazzaville,$840.43,Edwardsberg
Niger,0,Africa/Tunis,$9.78,South Chelseaside
Somalia,3698976,Asia/Aqtobe,"$46,657.66",Anthonyfort
Benin,108804067,Asia/Amman,$49.29,North Gail
Cambodia,8230312,Africa/Nairobi,$48.69,North Jade
United States Minor Outlying Islands,84918,Africa/Porto-Novo,$863.45,Angelamouth
Tonga,94730373,Asia/Bangkok,"$71,600.98",West Ryan
Jordan,9,Europe/Sarajevo,"$3,945.13",North Gail
Sweden,8587087,Asia/Beirut,"$9,027.89",Port Dannyfurt
Georgia,9044115,Africa/Harare,$1.54,Port Leanneport
Croatia,881129,Indian/Comoro,"$64,218.72",New Abdul
Monaco,524396697,Asia/Chongqing,$7.69,North Leeton
Lebanon,12198161,Africa/Windhoek,"$5,127.10",Lake Carole
Burkina Faso,338279,America/Belize,$6.20,Jordantown
Svalbard & Jan Mayen Islands,48355469,Europe/Helsinki,$6.79,Lynchtown
Guinea-Bissau,64988,Europe/Vaduz,$855.63,New Katy
Romania,988,America/Bogota,$70.71,Martinborough
Korea,6659173,America/Grenada,$92.59,Robertton
Netherlands,393,Asia/Almaty,"$17,358.43",Sianmouth
Belize,22122,Asia/Riyadh,$45.95,North Rogerbury
Nicaragua,298090916,Pacific/Tongatapu,"$1,687.15",Harrisonside
United Arab Emirates,8012778,Asia/Taipei,"$77,457.68",Port Margaretfurt
Faroe Islands,51303809,America/Havana,"$60,664.17",East Frederickbury
Bangladesh,17,Africa/Monrovia,$30.31,Reevesshire
Guatemala,429,Asia/Damascus,"$3,847.32",East Fionachester
Gibraltar,934002,Africa/Mogadishu,$14.65,Turnertown
Belgium,4,Asia/Baku,$2.78,Kirstyview
Bermuda,7717559,Africa/Bissau,$444.44,Port Robert
Cook Islands,4,Europe/Zurich,"$7,381.67",North Andreaburgh
Equatorial Guinea,81585,America/Guyana,$84.00,Bradytown
Christmas Island,412549,America/Montevideo,"$67,590.01",Edwardschester
Solomon Islands,652719,Africa/Tunis,$61.04,Coxview
Croatia,1,Pacific/Easter,$8.30,Powellberg
Oman,90756883,Africa/Bujumbura,$7.27,Ireneburgh
Belize,1327,Europe/Vienna,$504.91,Martinmouth
Honduras,231,Africa/Nairobi,$602.54,Trevorland
Hungary,2,Africa/Lagos,$7.74,Glenview
Guyana,10931055,Europe/London,$562.90,West Molly
Pitcairn Islands,415295,Europe/Copenhagen,"$80,115.29",Royville
Wallis and Futuna,5182657,Asia/Dushanbe,"$35,565.66",Hallfort
Nepal,4349116,Asia/Makassar,$0.18,Lake Claremouth
Liberia,4,Indian/Mahe,"$79,563.87",East Joanne
China,98,Africa/Ouagadougou,$4.33,North George
Tajikistan,571974339,Europe/Tallinn,$2.02,Port Juliantown
Cape Verde,9306304,Asia/Taipei,$6.11,Daviesfurt
Suriname,289797105,America/El_Salvador,"$64,829.08",Lake Ryanstad
Saint Helena,12858,Pacific/Nauru,$97.30,Hopkinsview
Thailand,72,Asia/Katmandu,$824.66,Seantown
Micronesia,5905,Asia/Dili,$16.76,Robinsonfurt
French Polynesia,95464,America/Argentina/La_Rioja,"$91,403.56",West Neil
Northern Mariana Islands,592247255,Asia/Beirut,$70.32,East Georgina
Japan,23186,Asia/Beirut,$622.13,Scottside
Philippines,74,Europe/Paris,$9.12,West Gemma
Colombia,5,Europe/Copenhagen,$623.12,Lynnechester
Jamaica,8338,Asia/Pontianak,"$5,976.33",West Andrew
Russian Federation,4671,Asia/Dubai,$67.82,West Carolynfurt
Israel,528384,Asia/Saigon,$8.33,Jacobville
Portugal,684136,Asia/Colombo,$747.92,North Jaynechester
United Arab Emirates,4056,Europe/Minsk,"$19,550.73",Paulport
San Marino,418589,Asia/Vientiane,"$9,748.84",Lewishaven
Korea,22976844,Asia/Dubai,"$91,090.08",Turnerborough
Heard Island and McDonald Islands,9359712,Africa/Tripoli,$27.46,West Lesliehaven
Nauru,15792,America/Grenada,$487.21,Turnerport
Uzbekistan,2,Europe/Tallinn,$53.75,South Annemouth
Djibouti,46892,Asia/Dili,$353.91,Billyburgh
Ethiopia,673370127,Europe/Stockholm,$275.68,Alexandraburgh
Belize,109,Asia/Karachi,$2.42,Anneville
Iran,599,Asia/Hovd,"$96,338.46",Careyhaven
Greece,607,Africa/Accra,$8.40,Iaintown
Isle of Man,3377679,Indian/Comoro,$6.69,Lake Ann
Mauritania,261,Africa/Dakar,"$9,249.61",Port Kimberleychester
Vanuatu,658144418,America/Bogota,$34.47,Philipland
Jersey,29,Asia/Ashgabat,$404.83,Lake Julian
Swaziland,36247,Africa/Brazzaville,$64.90,Port Tracy
Netherlands Antilles,7,Europe/Dublin,$326.66,Lisaton
Peru,14,Africa/Luanda,$58.11,Howellsside
Bolivia,28379626,Asia/Qatar,$67.83,Julieville
Kenya,9437,America/Lima,"$6,834.46",Davidsontown
Guinea-Bissau,0,Asia/Brunei,$1.51,New Rogermouth
Ethiopia,6,Africa/Kampala,$81.68,Smithhaven
Montenegro,48975716,Pacific/Kosrae,$285.52,South Shanestad
French Guiana,530581,Europe/Copenhagen,$8.28,West Dawn
Kuwait,20975,Asia/Qatar,"$6,687.33",Ericside
Austria,842670707,America/Barbados,$896.84,Marshallbury
Central African Republic,4954238,Europe/Podgorica,"$41,133.59",New Jean
Russian Federation,985,Pacific/Enderbury,"$54,063.42",Morganshire
United States of America,304279210,Africa/Porto-Novo,$318.60,Jamieside
Italy,9160,Africa/Asmera,"$26,324.42",New John
Pitcairn Islands,57938,Africa/Abidjan,$716.68,Reedbury
Australia,44545817,Europe/Tirane,$19.07,West Jessicamouth
Bouvet Island (Bouvetoya),4,America/Havana,$1.87,Lake Ashleyfort
Barbados,156,Europe/Andorra,$94.96,Port Jacquelineshire
Greece,3,Asia/Almaty,"$1,109.87",Greenberg
Sao Tome and Principe,6,Africa/Bangui,"$33,635.20",South Arthur
Australia,26974302,America/Lima,$8.62,Aaronberg
Guadeloupe,2,America/Lima,$40.86,East Ellie
Iraq,276965,Africa/Mogadishu,$844.85,Jonesbury
Hungary,5813307,Africa/Bissau,"$4,566.23",Woodshire
French Southern Territories,6,America/Maceio,"$3,846.38",Taylorport
Pitcairn Islands,6574,Europe/Riga,$82.71,South Stevenville
Nigeria,432,Europe/Chisinau,$2.94,Morleybury
China,749,Asia/Aqtobe,"$70,276.14",Port Jessica
Mongolia,19,Pacific/Easter,$9.43,New Georgina
Spain,3,Africa/Kigali,$0.65,West Max
Maldives,738228,Pacific/Guadalcanal,"$80,951.57",Annettefurt
Somalia,18,Asia/Pyongyang,"$24,024.98",Johnsonville
Ecuador,884893,Asia/Ashgabat,$1.75,Lake Emmaview
Niue,182807750,America/Dawson_Creek,$7.94,East Brandonview
Saint Helena,9,Asia/Bahrain,$9.74,New Andreafurt
Turks and Caicos Islands,32696702,Asia/Baku,$340.89,Russellview
Mayotte,9162758,Africa/Kinshasa,$19.75,East Darrenview
Kiribati,676,Africa/Maputo,"$85,830.04",Trevorville
Taiwan,6662,Africa/Porto-Novo,"$4,927.64",Adamsside
Sudan,37675,Indian/Maldives,"$6,175.58",Allenfurt
Christmas Island,9115,Pacific/Chatham,"$6,553.29",Osborneport
San Marino,213878424,Europe/Belgrade,$126.64,Teresaville
Uruguay,8078,Africa/Johannesburg,$1.48,Morrisside
Ethiopia,8478,Asia/Seoul,$13.62,Port Rhys
Mongolia,40,Atlantic/Cape_Verde,$953.43,Cliffordhaven
Netherlands,14022,America/Vancouver,$9.21,Jenkinsfort
Spain,3368,America/Panama,"$5,570.57",Thomasport
Trinidad and Tobago,208324,Africa/Nairobi,"$23,688.83",West Mariaview
Saint Kitts and Nevis,6514941,Europe/Podgorica,$7.92,Leebury
New Zealand,176416,America/Lima,"$2,591.04",New Phillipmouth
Antarctica (the territory South of 60 deg S),0,Asia/Aden,$23.36,Robinsonmouth
