pricetag,date_time,file_name,city,bank_country,mac_address,hostname,time,language_code,timezone,date,language_name,company,country
"$12,800.41",1983-02-09 17:06:28,consectetur.txt,Lake Bethanfort,GB,57:ec:b2:60:1b:bb,desktop-14.cartwright.info,00:18:19,ky,Asia/Karachi,1986-06-27,Swedish,Jackson and Sons,Israel
"$40,981.61",1993-03-08 11:54:47,rerum.pdf,Port Ronald,GB,88:70:15:68:3f:e0,srv-71.roberts.co.uk,04:07:24,ur,Asia/Hovd,1998-12-29,Sinhala,"Bennett, Rhodes and Begum",Botswana
$855.45,1998-08-12 10:47:19,corporis.mp4,West Norman,GB,af:a6:f8:f1:4d:51,web-45.obrien-day.com,14:56:54,gv,Europe/Stockholm,2010-06-15,Chechen,Jones Ltd,Andorra
"$70,463.00",2022-12-12 12:47:56,consequuntur.jpeg,East Lisatown,GB,0d:ca:8a:55:2a:13,email-09.lloyd-walker.co.uk,18:30:06,the,Atlantic/Cape_Verde,2004-01-10,Breton,"Law, Vincent and May",Ghana
"$1,904.28",1988-06-13 03:27:46,facere.bmp,Hannahton,GB,75:f6:fe:17:b2:13,lt-24.kennedy.com,21:27:12,ber,Asia/Amman,1995-01-20,Hebrew,Smart Group,Greenland
"$4,681.69",1991-12-15 22:41:33,libero.wav,Joehaven,GB,c1:d8:28:42:fd:0a,desktop-53.parsons.com,15:56:15,crh,Europe/Budapest,1971-09-30,Assamese,"Pritchard, Evans and Murphy",Maldives
$1.41,2007-03-18 15:07:17,ea.flac,Iainville,GB,e9:36:1d:ce:75:95,laptop-46.winter.org,17:19:58,kk,America/St_Kitts,1992-12-09,Tonga,Palmer and Sons,Grenada
"$51,956.95",2022-06-23 18:21:30,illo.avi,Holtfort,GB,8e:e4:e1:9a:56:47,laptop-19.williams.com,02:40:28,ca,Africa/Mbabane,2020-03-13,Kanuri,Cooper PLC,Saint Martin
$464.28,1970-06-14 07:47:19,quas.pptx,Jakeview,GB,96:8f:85:23:a3:b7,lt-58.hall-murphy.biz,15:15:08,ps,Africa/Luanda,1996-11-28,Tonga,Farmer-Alexander,Dominican Republic
"$89,819.84",2001-09-29 05:44:48,consequatur.tiff,South Katie,GB,4f:99:bf:a7:8b:cc,lt-34.hammond-robinson.org,06:25:36,doi,Indian/Mahe,2022-07-14,Tswana,Martin Group,Barbados
"$75,972.84",1989-05-04 17:13:26,ipsum.txt,Leachborough,GB,4a:d9:21:1d:0e:83,email-17.hewitt.com,04:19:08,km,America/Asuncion,2001-03-07,German,Simpson and Sons,Yemen
"$17,927.38",1995-06-22 03:12:15,quis.mp3,Stephentown,GB,be:92:6b:6d:cf:89,lt-09.vaughan.com,17:24:29,fur,Asia/Rangoon,2011-11-03,Kurdish,Curtis-Hunt,United States Virgin Islands
"$71,861.47",1995-07-19 08:02:34,accusamus.avi,Samuelport,GB,6d:4c:23:9f:38:99,email-60.wade.biz,04:14:58,kk,Indian/Antananarivo,1981-04-11,Nepali,"Hall, Blake and Evans",Trinidad and Tobago
$32.80,1990-03-05 12:49:14,labore.js,Mitchellmouth,GB,bb:21:fd:e2:6a:29,desktop-89.dixon.com,14:30:53,cy,Africa/Gaborone,1999-09-24,Samoan,"Giles, Buckley and Mason",Swaziland
$86.32,1978-10-02 00:43:05,aliquam.mp4,Greenberg,GB,c2:30:8a:9d:d4:c6,email-07.miller.info,09:57:33,ca,America/Barbados,1980-09-25,Telugu,"French, Thomson and Hardy",Jersey
"$27,682.12",1996-11-22 22:40:31,ducimus.csv,Potterfurt,GB,1f:c4:d5:5b:94:43,db-85.brennan-cooper.com,20:26:03,mk,Pacific/Guadalcanal,2000-07-26,Dzongkha,"Wilkinson, Walker and Cox",Germany
"$23,167.67",2023-01-01 10:24:59,voluptatibus.mp4,Heathburgh,GB,cc:6b:36:4f:aa:e8,db-41.hargreaves.com,03:51:22,de,Europe/Lisbon,2019-11-13,Bislama,"Allen, Wilson and Newman",Colombia
"$53,615.03",1986-06-21 05:31:07,blanditiis.mov,Jayneborough,GB,ac:25:05:c1:ef:84,web-53.austin-scott.com,08:11:43,gez,Asia/Singapore,2011-02-14,Malay,Lowe Inc,Bhutan
"$58,532.50",2017-09-22 20:40:04,amet.mp3,Port Lewis,GB,f1:ad:8d:6e:17:8c,desktop-24.wilkinson.net,00:19:44,nb,Africa/Asmera,1993-06-28,Icelandic,Webb-Carr,United Kingdom
$87.64,1983-03-05 22:57:13,deleniti.wav,Burnsfurt,GB,d6:16:78:fd:bf:1b,lt-41.bates.com,10:13:41,os,Europe/Vienna,1981-06-29,Bihari languages,Smith LLC,Christmas Island
$27.32,2019-06-29 03:02:24,molestias.avi,South Denise,GB,a0:44:86:b2:28:f6,lt-38.daly.net,05:47:54,ig,Asia/Kuching,1983-09-25,Slovak,Wilson-Smith,Guatemala
$2.68,1990-03-19 18:53:28,temporibus.avi,North Garyville,GB,de:68:8d:c2:35:b2,laptop-06.robinson-dean.biz,03:18:44,lzh,Europe/Istanbul,2000-05-04,Chinese,"Taylor, Kaur and Griffiths",Maldives
$810.07,1995-03-02 06:24:11,est.flac,Kerryton,GB,23:8d:aa:a5:e5:1a,email-60.middleton.net,17:26:38,kw,Asia/Manila,1986-07-21,Latvian,Ryan Ltd,Micronesia
"$99,799.56",1991-04-22 19:44:57,corporis.json,Barkerborough,GB,11:ee:ca:64:fb:5c,lt-34.evans.info,12:04:48,om,Indian/Comoro,2008-03-20,Western Frisian,Whittaker LLC,Guam
$96.84,2018-11-16 01:31:33,deleniti.webm,O'Connorstad,GB,d9:2b:bd:04:fa:36,srv-90.hall-mistry.com,02:38:22,fy,Europe/Bucharest,2003-08-14,Tamil,"Holmes, Young and Cooke",Canada
"$8,468.93",2014-03-22 06:46:04,ea.xlsx,Singhland,GB,c2:91:b3:ec:24:2a,db-43.blake.net,18:32:48,nn,Africa/Cairo,1975-07-24,Malayalam,Bates Group,Christmas Island
"$9,725.94",1987-03-08 02:42:26,fugiat.png,Tobyberg,GB,0b:32:7b:b3:73:45,srv-58.hughes.info,07:46:57,ga,Asia/Calcutta,2006-03-22,Ewe,"Owen, Bond and Burgess",Saint Kitts and Nevis
$709.75,1989-12-29 19:12:04,voluptatum.png,New Judithport,GB,d3:16:24:eb:d2:59,laptop-32.lowe-dunn.org,16:18:23,sa,Asia/Riyadh,2011-02-11,Nepali,"Reed, Smith and Powell",Korea
$63.82,1973-09-06 13:48:37,fugiat.avi,Johnfort,GB,dc:d8:ad:67:ce:9c,email-77.williams.com,20:39:21,mi,Europe/Bratislava,1979-07-15,Hiri Motu,Moran Ltd,Denmark
"$40,669.04",2011-10-22 12:17:58,dolorem.webm,Suzanneburgh,GB,64:e6:42:28:cd:21,db-71.perry-knight.com,10:48:46,sat,Pacific/Efate,1989-12-09,Ndonga,"Kelly, Miles and Price",Dominica
$679.77,1994-05-20 10:02:06,labore.bmp,Malcolmshire,GB,b1:4e:ff:a8:dc:f0,web-83.dean-houghton.com,04:19:57,ig,Europe/Helsinki,2014-03-22,Belarusian,Fitzgerald PLC,Cayman Islands
"$77,792.33",2003-08-14 12:12:15,ipsa.mp4,East Damianfurt,GB,61:04:97:28:44:f1,laptop-06.hobbs.com,23:21:00,hsb,Africa/Libreville,2022-06-24,Hindi,"Burton, Law and Jordan",Cyprus
$221.18,1980-11-15 17:17:21,libero.jpg,Reeceshire,GB,43:f2:4a:2d:ce:16,srv-62.dean.org,23:16:44,li,Europe/Vienna,2009-02-15,Kashmiri,Davies-Slater,Rwanda
"$1,410.02",1987-09-30 02:13:45,beatae.webm,New Nicolemouth,GB,e2:dd:9e:8f:1a:7e,lt-39.black-lloyd.net,16:37:14,ik,Africa/Kigali,1984-06-20,Aymara,Lee-Banks,Tonga
$685.22,1978-06-24 18:18:12,vero.pdf,Smithmouth,GB,81:96:1e:d3:09:67,web-12.booth-chadwick.com,00:09:47,ve,Africa/Mbabane,1999-09-16,Slovenian,"Smith, Holmes and Gilbert",Sierra Leone
"$32,501.73",1992-12-03 05:34:02,quia.mov,Brookesfurt,GB,77:79:f1:7b:96:61,web-36.green-brennan.com,04:29:03,fr,America/Bogota,2005-10-13,Wolof,Gilbert and Sons,Gambia
"$5,329.08",2009-07-27 03:48:00,libero.mp3,Port Ryan,GB,44:37:f4:4d:c6:a6,desktop-50.shaw.co.uk,10:47:11,vi,Pacific/Tongatapu,1999-05-07,Latvian,"James, Marshall and Evans",Tanzania
"$9,453.91",1985-10-15 21:28:42,similique.xlsx,Port Leonmouth,GB,51:ab:37:44:dc:44,laptop-03.wall.com,02:08:41,pt,Africa/Cairo,1977-02-22,Western Frisian,"Smith, Cook and Perry",Albania
"$16,092.89",2004-11-20 06:44:17,perspiciatis.txt,Dawnmouth,GB,cb:32:26:94:b0:18,lt-52.morris-parker.co.uk,04:01:07,ru,Europe/Oslo,2003-12-26,Occitan,Martin-Oliver,Norway
$18.47,2006-07-19 01:06:07,commodi.bmp,New Kayleigh,GB,5f:08:79:8b:5d:43,lt-65.jenkins-robinson.com,22:25:44,ss,Pacific/Truk,1996-03-09,Romanian,Ali-Coles,Moldova
"$6,967.49",1998-03-16 18:23:19,delectus.json,Lake Sally,GB,5d:e5:2d:28:81:62,lt-73.reynolds.com,08:52:54,sa,America/Panama,2001-09-01,Russian,"Gardner, Booth and Brennan",Albania
$10.16,1983-10-12 04:11:13,dolor.pages,Russellberg,GB,96:e9:19:ee:1d:b9,laptop-18.fraser.com,04:51:33,lo,America/El_Salvador,1985-09-22,Turkmen,"Wilson, Lane and Allen",Cayman Islands
"$3,636.65",1991-09-25 21:59:34,tenetur.mp3,Lake Harryborough,GB,18:93:da:e0:98:eb,email-32.goddard-elliott.com,22:03:11,unm,Africa/Sao_Tome,2014-12-20,Sichuan Yi,Henderson-Smith,Portugal
$48.03,2010-06-28 06:06:42,excepturi.docx,Brownbury,GB,05:cb:19:3c:64:18,lt-19.potter.com,09:42:58,mn,America/St_Lucia,1977-09-09,Portuguese,Bond-Phillips,Mozambique
$5.48,1976-10-08 06:23:02,minima.bmp,Marybury,GB,28:55:cc:b9:d2:2f,srv-78.bailey-farmer.org,17:32:19,de,America/Atikokan,2021-01-07,Welsh,"Hamilton, Smith and Smith",Ethiopia
$5.39,1971-06-01 01:32:14,incidunt.key,Joeltown,GB,5e:2e:33:15:11:1d,web-21.jackson-green.co.uk,06:04:34,pap,Africa/Tripoli,2007-12-10,Fulah,Smith-Brown,Lao People's Democratic Republic
"$4,581.88",2000-09-11 05:53:10,animi.mp3,Kentton,GB,e8:ce:41:3e:9a:f0,lt-37.harvey.com,08:05:18,az,Africa/Dakar,1996-02-10,Wolof,Dunn Inc,South Georgia and the South Sandwich Islands
"$3,789.29",2020-03-29 17:48:51,minima.mp4,North Alexandra,GB,2c:65:d0:b4:db:db,lt-33.carroll.org,17:34:17,mt,Asia/Riyadh,1983-10-22,Tigrinya,"Sutton, Kaur and Thomas",Djibouti
"$30,818.23",1984-11-24 05:36:05,occaecati.mp4,Julianchester,GB,d3:9c:6e:39:90:c7,web-37.saunders.com,20:56:38,ca,Pacific/Fiji,2011-05-03,Chechen,Dixon Ltd,Saint Kitts and Nevis
"$91,165.08",2021-02-26 00:53:26,odit.json,West Kyleville,GB,df:30:8b:05:f8:69,db-64.mitchell.com,18:20:36,bg,America/Guyana,2007-11-03,Tswana,Thomas Ltd,Senegal
$59.96,2001-07-30 12:56:16,iste.webm,Barkerland,GB,fb:03:79:9b:47:84,lt-29.evans.net,03:03:14,nds,Europe/Vatican,1983-12-03,Romanian,Riley-Gray,Singapore
