pricetag,language_code,hostname,date,date_time,city,bank_country,iso8601,mac_address,latitude,timezone,random_number,longitude,language_name,country,company,file_name
$44.19,sl,web-20.shah.com,1978-01-17,2000-10-19 09:07:52,Thomsonside,GB,1981-05-19T17:21:07,e1:f7:77:73:74:95,66.819710,Africa/Abidjan,355601601,128.478202,Nepali,Costa Rica,Begum Group,ad.docx
$2.72,hi,db-37.bibi-barton.com,2021-08-11,1972-10-16 02:57:31,New Jamie,GB,1989-02-20T12:27:50,5a:10:b1:bf:b0:ec,-37.434859,Asia/Colombo,648279790,-73.268252,Spanish,Sweden,Patel Inc,quae.avi
$0.99,nr,desktop-09.thompson.com,1973-11-14,1994-07-10 19:34:48,New Jason,GB,2013-09-08T04:35:58,39:9f:b2:a3:e3:af,-77.654226,Africa/Ouagadougou,489,115.485007,Irish,Kenya,Morgan Ltd,itaque.wav
"$2,875.72",tig,laptop-07.forster.com,1991-01-11,1999-12-22 06:01:48,Gordonburgh,GB,2011-05-26T03:15:40,67:2b:38:86:09:ad,-57.1528655,Europe/Vatican,90,-122.713712,Tagalog,El Salvador,Davies PLC,perspiciatis.avi
$4.34,fil,srv-38.holmes.com,2010-03-19,2023-08-05 13:22:08,Timothyberg,GB,2012-06-03T00:26:58,ea:6d:41:bd:3a:93,-56.0374525,Europe/Copenhagen,84,109.209206,Guarani,Kazakhstan,Hutchinson PLC,repellendus.xlsx
"$9,206.05",st,web-64.martin.com,1977-08-15,1993-07-01 22:22:22,Marshmouth,GB,1988-06-13T07:18:20,cc:4f:e0:79:18:29,-33.4239945,Asia/Riyadh,7332252,-95.665061,Tonga,Afghanistan,"Knowles, Singh and Williams",illo.flac
$0.98,ks,lt-17.hughes.com,1983-05-14,2003-07-21 20:17:55,West Diane,GB,1987-06-22T20:37:45,4a:8f:67:f9:6e:c3,81.669187,Atlantic/Reykjavik,1,68.023405,Macedonian,French Southern Territories,Dunn and Sons,officiis.tiff
$49.46,pt,lt-06.hughes-lee.com,1976-05-18,2005-01-20 19:44:43,Guyborough,GB,1975-07-04T08:49:03,99:f3:87:a7:53:c1,26.807201,Pacific/Auckland,94853891,103.690949,Chamorro,Cuba,Burton-Scott,tempora.xls
$649.74,ko,laptop-30.brown.com,1970-08-29,2018-04-22 00:35:40,New Samuel,GB,2006-10-22T06:33:14,5e:06:d1:14:fe:03,34.6129195,Europe/Minsk,4,-170.348026,Guarani,French Southern Territories,Brown PLC,necessitatibus.txt
$7.39,nn,lt-34.smith.com,2021-07-19,1989-10-30 15:10:16,East Stacey,GB,2001-07-25T14:50:55,d9:f2:2c:e2:13:24,-86.067871,America/Asuncion,86274302,91.215692,Manx,Indonesia,Austin-Yates,ducimus.json
$262.74,ce,laptop-66.faulkner.com,1995-08-28,2018-11-19 16:23:27,North Frank,GB,1975-12-28T23:42:39,42:ba:f7:1a:b3:a8,59.5497045,America/Santo_Domingo,375,137.989149,Cree,Saint Pierre and Miquelon,Graham-Parker,molestias.flac
$82.43,szl,desktop-68.ahmed.net,2000-11-13,1984-05-28 10:37:51,East Leighhaven,GB,2018-09-26T03:45:47,96:0c:81:a6:9e:82,-8.152285,Asia/Aqtobe,606,-149.305744,Telugu,Ecuador,"Ward, Harris and Curtis",reprehenderit.jpg
$838.60,nr,web-74.wood.com,1983-12-31,1991-04-10 09:33:11,Lake Jeanport,GB,1986-12-25T11:32:38,5c:46:75:b0:31:bb,-14.3689185,Europe/Monaco,397,57.009797,Amharic,Bangladesh,Metcalfe-Morris,odit.odp
"$73,503.38",aa,srv-80.woodward-lucas.co.uk,1998-03-14,1981-10-11 02:46:21,Thompsonbury,GB,1992-07-22T17:15:48,ae:f4:22:5d:31:c5,7.7160015,Africa/Ndjamena,4677,82.913276,Bihari languages,China,"Payne, Stanley and Davies",reprehenderit.mp4
"$6,194.10",nn,srv-11.begum-lucas.biz,2000-07-06,1980-01-15 10:36:07,Hopkinschester,GB,1978-02-17T10:18:36,c3:d8:2b:95:53:92,-40.8549095,Europe/Minsk,851735097,-81.109927,Norwegian Nynorsk,Cote d'Ivoire,Atkins-Chambers,nesciunt.mp3
"$52,764.71",zh,laptop-55.clarke-craig.com,1995-04-01,1970-10-21 08:13:39,Garethside,GB,2022-01-19T04:03:53,32:c0:46:16:63:53,35.609655,Africa/Banjul,2509,16.173886,Venda,Georgia,"Scott, King and Buckley",reprehenderit.css
"$29,941.36",br,srv-72.curtis.com,2007-11-15,2014-05-20 12:35:04,Maryport,GB,1977-01-13T01:53:58,36:47:62:d0:4a:c0,47.1137045,America/Guatemala,0,-104.618800,Ossetian,Jersey,Parkinson Inc,cumque.mp3
"$6,289.86",ca,lt-60.atkinson.com,1972-02-09,1996-08-03 17:27:37,North Amber,GB,2001-10-21T21:20:28,88:22:33:17:20:7f,-38.903821,Asia/Dhaka,6019,-59.444708,Vietnamese,Saint Lucia,Hodgson-Hunter,omnis.gif
$81.59,nl,db-02.palmer.com,1970-02-09,1994-10-09 09:08:07,Port Brandon,GB,1999-11-12T17:50:05,6b:e6:72:ca:ac:c5,16.973374,Europe/Amsterdam,90327181,123.633038,Albanian,Singapore,Browne-Lloyd,earum.flac
"$9,361.35",mr,desktop-50.nicholls-evans.co.uk,1974-06-26,1971-10-05 17:40:12,New Anneville,GB,1998-03-11T02:43:45,a7:d5:38:df:4e:43,89.8682995,Pacific/Chatham,9,85.133485,Aragonese,Guadeloupe,"Wood, Stewart and Jones",distinctio.mov
$427.17,an,laptop-14.davies-lewis.com,1974-07-29,2021-11-21 15:38:20,Port Hughshire,GB,1999-03-12T06:47:56,4e:4e:d5:d7:76:a1,24.996685,Europe/Brussels,42477,-59.861971,Kuanyama,Switzerland,"Williams, Miller and Sharpe",nobis.txt
$9.04,ff,desktop-72.fletcher.com,2019-08-13,2022-01-06 08:12:50,Gregoryland,GB,1976-08-09T02:25:43,07:82:dd:15:26:1f,35.0060795,Europe/Vilnius,49,-58.851542,Abkhazian,Ethiopia,Hopkins Group,omnis.json
"$83,672.91",fur,desktop-17.yates.com,1972-03-12,2023-03-03 23:44:18,East Holliestad,GB,1989-10-11T00:48:01,60:ef:6f:34:22:38,-37.342752,Pacific/Guadalcanal,54288,-174.338472,Bulgarian,Turkmenistan,Stephens and Sons,culpa.avi
"$42,016.16",yo,desktop-68.white-brown.com,1986-05-27,1978-08-06 01:16:18,Webstermouth,GB,2010-08-02T04:18:37,f8:9a:f7:4b:92:ba,47.989979,Africa/Niamey,894,-134.850772,Pali,Senegal,Harding-Gill,veniam.wav
"$3,168.10",az,srv-07.thomas-hughes.com,1970-05-07,1986-04-10 10:16:04,New Saramouth,GB,1992-03-15T13:22:31,49:a9:86:19:4d:62,-52.995032,America/St_Kitts,20,29.137972,Twi,Faroe Islands,Jackson-Marshall,corporis.wav
"$2,560.52",ss,db-62.bird-marshall.com,1989-07-02,2003-01-10 09:41:53,Lake Amberhaven,GB,2003-07-31T13:31:11,f3:d7:ff:84:0b:e3,19.921579,Asia/Tokyo,4551692,131.223550,Thai,Hungary,Wright Ltd,expedita.webm
$42.74,gv,email-59.lewis-carroll.com,1981-07-29,2019-09-15 15:58:07,Burrowsview,GB,1992-02-19T22:05:33,13:cf:ec:4a:65:8e,9.839595,America/Caracas,1976480,-121.078291,Oriya,Guatemala,Cooper and Sons,quos.html
$2.53,fur,db-58.white.biz,1980-01-31,1991-12-18 10:39:24,Suttonfort,GB,1983-03-04T20:37:37,71:8b:4c:b4:57:25,58.3891915,America/Tegucigalpa,47,-60.837742,Inuktitut,Saint Lucia,Allen and Sons,similique.wav
"$46,681.34",lt,desktop-84.edwards.net,2011-12-11,1998-09-14 04:47:53,Jaynehaven,GB,2010-01-21T12:43:59,15:65:6e:75:50:16,18.3660405,Africa/Khartoum,1170423,46.950867,Faroese,Guadeloupe,Wilkinson and Sons,ab.wav
$84.08,ko,db-70.jones.info,2018-05-09,1986-01-10 23:57:21,South Sandraburgh,GB,2001-01-17T19:01:56,00:8a:41:84:90:a2,-23.5984255,Africa/Lome,3700,124.057347,Inuktitut,Liechtenstein,"Pritchard, Hussain and Ryan",porro.mp4
$50.38,as,web-80.williams-glover.com,1996-05-06,2022-06-08 10:58:21,Stewarttown,GB,1974-05-06T09:21:57,6b:95:47:d7:d7:0f,-88.6221505,America/Grenada,4,46.325665,Hausa,Turkmenistan,Jones-Hussain,vel.mov
$679.83,wal,desktop-27.lee.co.uk,1976-02-11,1996-01-18 08:37:44,Port Sophieville,GB,2007-02-19T18:08:02,60:96:d3:51:09:63,66.235491,Asia/Singapore,87769495,-161.427637,Avaric,Iran,"Bruce, Green and Simpson",fuga.csv
$600.23,eu,desktop-90.mason.com,2020-08-27,1990-01-07 22:11:26,Gloverhaven,GB,2022-01-23T06:25:42,30:3c:ba:30:73:3c,-51.4090615,Africa/Mbabane,473170,155.277327,Kurdish,Burundi,Slater-Griffiths,incidunt.mp4
$718.98,bo,db-82.murphy.info,2018-08-11,1973-09-24 02:56:52,Fieldmouth,GB,2021-12-22T10:55:27,0f:92:38:32:77:95,8.2606185,Asia/Riyadh,86241782,21.404458,Hindi,Holy See (Vatican City State),Thompson-Matthews,iure.webm
"$64,174.44",bg,web-82.williams.biz,1993-02-27,2008-04-22 05:19:53,Lewisberg,GB,1976-12-07T07:14:26,0e:8f:2b:17:a1:a9,-74.4846195,Africa/Johannesburg,823677688,-124.071302,Persian,Burundi,Edwards Ltd,excepturi.jpeg
"$16,270.95",lb,email-74.jones.com,2023-06-23,1972-02-09 03:59:05,Lynntown,GB,2023-04-22T22:26:40,9d:48:0b:5e:02:11,-70.0184125,Africa/Maputo,4781,-101.289853,Bashkir,Guinea-Bissau,Burrows Ltd,nemo.wav
"$7,579.12",crh,db-68.blackburn-griffiths.com,1972-03-02,1976-11-27 03:12:01,East Harriet,GB,2003-09-07T00:54:33,63:08:83:6e:8e:ee,27.457485,America/Paramaribo,6,40.470421,Maori,Panama,Thomas Inc,minima.mp4
$9.57,os,laptop-35.houghton.com,1970-01-15,1976-07-02 02:51:52,Wardshire,GB,1989-07-07T01:19:24,3e:e7:60:54:75:e6,-21.7491675,Africa/Bissau,1,1.036970,Manx,Puerto Rico,Riley-Sykes,minima.numbers
$424.43,te,srv-32.barker.co.uk,1980-08-21,1996-05-18 18:08:26,West Maureen,GB,1999-05-31T07:55:30,c2:f9:8d:83:e0:39,-60.2905135,Asia/Karachi,25,-36.505893,Central Khmer,Romania,Jones Group,quae.js
$1.57,kok,db-53.walsh-hargreaves.net,1980-06-26,2011-02-11 09:36:24,Barkerview,GB,2008-07-06T16:03:28,76:9d:75:5c:4b:07,89.459808,America/Panama,6367324,-170.354476,Vietnamese,Guinea,Williams-Jenkins,provident.bmp
"$4,004.92",fil,lt-52.jones.com,2017-01-19,1974-10-20 20:15:05,Rachaelburgh,GB,1979-03-09T07:05:45,d0:5c:70:68:4d:0d,-41.503615,Africa/Djibouti,1496,60.106552,Malayalam,Uruguay,Hayes and Sons,ullam.pages
"$58,198.15",apn,email-25.bennett.co.uk,2005-08-23,2005-05-16 17:33:39,Elliottport,GB,1985-11-24T21:33:14,70:8d:ec:f0:2b:0f,53.3865525,Asia/Tashkent,65441,-71.821979,Lingala,Mongolia,Wood-Bentley,adipisci.avi
$4.89,apn,laptop-22.turner.com,2015-04-02,2019-11-08 02:08:32,West Paulaview,GB,2014-10-28T19:35:03,58:2c:67:f3:cc:61,57.626164,Europe/Athens,3675984,-143.546820,Latin,Christmas Island,"Rowe, Ingram and Quinn",quis.mp3
$634.84,vi,desktop-32.parsons.com,2010-09-02,1979-04-30 02:56:44,Katherineshire,GB,1995-10-31T21:57:51,d1:b6:ef:d5:3e:ca,27.975808,America/St_Vincent,12051,-156.472235,Chinese,Burkina Faso,Wilkinson and Sons,blanditiis.odp
$142.03,tl,lt-53.watson.com,2023-08-22,2023-03-30 14:20:38,Adrianburgh,GB,2023-05-08T12:04:19,c9:3d:43:d4:b1:07,35.8188185,Africa/Dakar,79,-106.976416,Assamese,Guyana,"Webster, Simpson and Rose",aperiam.jpg
$3.96,byn,srv-19.miah.com,2003-09-18,1990-08-27 21:00:07,South Geoffrey,GB,1996-08-28T21:39:20,2d:d4:1c:c9:c7:3b,25.7925295,Africa/Luanda,8,-10.758022,Ukrainian,Holy See (Vatican City State),Evans and Sons,repudiandae.numbers
$301.04,cs,db-05.murphy-cox.info,2007-11-27,1982-05-17 01:19:12,Darrenland,GB,1994-02-08T07:08:46,a6:8f:7c:c4:9b:50,67.683278,Asia/Amman,658,-121.264963,Occitan,Mayotte,Mills-Myers,hic.png
$0.81,sq,lt-53.smith.co.uk,2020-09-01,1999-11-01 21:51:36,Kennedyburgh,GB,2012-02-01T00:36:33,c9:97:3c:db:7d:32,70.0808845,America/Jamaica,6987460,125.245497,Akan,Northern Mariana Islands,Barnes-Gallagher,error.mov
"$15,123.46",brx,desktop-38.ford.com,2011-01-06,2006-06-28 07:41:26,Bensonberg,GB,1981-06-30T09:45:41,05:3e:08:c6:4c:eb,23.472853,Pacific/Efate,607,137.841214,Nauru,Turkey,Smith-Harrison,vel.pages
$206.32,kk,laptop-25.jones.info,2013-07-11,2014-09-11 01:07:53,Harrytown,GB,2000-03-30T15:07:30,3e:94:ec:6d:da:2f,57.668043,Pacific/Fiji,829048,170.840493,Serbian,Georgia,"Turner, Dixon and Wood",voluptates.json
$95.57,gez,email-25.day.com,2010-10-11,2008-08-04 23:04:59,Lake Hannahtown,GB,2016-03-30T04:16:24,04:f1:b0:b2:43:72,-76.855523,Europe/Budapest,6,79.760037,Hindi,Saint Martin,"Jones, Roberts and Walker",distinctio.mp4
"$6,561.57",km,db-23.clark.net,2001-05-22,1985-07-06 16:57:19,Jadebury,GB,2023-08-10T23:42:53,10:21:2e:e1:25:ad,-64.803275,Asia/Singapore,933,77.389502,Kuanyama,Iraq,Finch Group,placeat.txt
$5.91,szl,desktop-32.fitzgerald.com,2014-02-11,2002-09-29 19:43:07,New Scotthaven,GB,1990-11-25T21:02:18,07:74:31:3a:04:98,77.618342,Pacific/Port_Moresby,313906765,-32.509495,Javanese,Armenia,Fox-Taylor,magni.flac
$0.06,an,email-63.robinson.com,2013-02-26,2015-10-21 20:22:29,North Hayleyfort,GB,2021-05-24T09:31:45,e9:bc:17:83:37:0a,25.588070,Africa/Lusaka,28052,-87.970387,Croatian,Greenland,"Butcher, Robinson and Harper",enim.avi
"$13,548.62",da,srv-24.smart.com,2020-06-07,2006-03-18 00:54:53,North Kevin,GB,2014-08-02T01:41:42,01:e3:65:75:2c:ef,-71.2497025,America/El_Salvador,256,88.255251,Walloon,Indonesia,Fowler Group,distinctio.csv
$978.09,gl,web-37.roberts-thompson.com,2013-05-16,1990-07-24 17:22:52,West Josephine,GB,1991-04-17T20:46:46,27:6d:bd:e1:70:32,53.210582,Africa/Dakar,211,-166.959445,Somali,Honduras,"Jones, Ball and Barrett",quae.numbers
$906.58,am,db-84.watts-thomas.biz,1984-07-16,1970-11-30 11:33:27,West Chloe,GB,1983-08-15T10:56:04,00:2c:4a:5a:b4:6e,-33.9043645,Asia/Brunei,9384860,32.301745,Cree,Kuwait,"Jones, Robinson and Jones",impedit.avi
"$47,162.60",ak,lt-70.davies-holmes.info,1973-01-01,2020-11-30 19:38:50,West Joe,GB,2011-02-12T14:54:08,a6:69:67:0b:95:97,-76.4277965,Asia/Seoul,185,-167.833568,Esperanto,Ethiopia,Tucker-Baker,autem.css
$6.45,so,email-60.chapman-giles.biz,2000-05-20,1985-02-02 21:13:48,North Melanieborough,GB,1992-04-25T04:05:30,4a:01:ee:13:58:8d,-13.251278,Asia/Brunei,507,147.851099,Lao,Bahrain,"Sharp, Williams and Bishop",maiores.avi
"$4,992.96",uz,laptop-88.dunn.org,1975-09-19,1992-09-29 16:34:37,West Hilarystad,GB,2005-07-13T16:32:08,09:b5:b7:14:b5:fe,-0.151529,Africa/Libreville,7,150.412681,Hiri Motu,Brunei Darussalam,Wilkinson PLC,libero.tiff
"$3,421.38",szl,lt-88.cole-finch.com,1991-08-10,1989-03-24 11:49:16,Chapmantown,GB,1980-12-11T18:10:27,de:b8:95:7c:a2:1f,-28.757671,Africa/Libreville,5525163,126.675156,Venda,British Indian Ocean Territory (Chagos Archipelago),Kelly Ltd,incidunt.key
$45.59,mk,db-76.morrison.co.uk,2020-08-26,1976-09-04 07:12:37,Robinsonmouth,GB,1991-12-29T16:29:59,c2:e0:89:ca:c5:ea,-85.1582035,Pacific/Funafuti,676,-17.376546,Limburgan,Liberia,"Harris, Knowles and Lee",eius.avi
"$91,633.96",nds,email-76.matthews.com,1984-06-22,2002-04-11 19:05:34,Alextown,GB,2008-07-20T11:20:43,b7:57:99:a0:f7:3b,-16.275006,Africa/Libreville,3367,-9.427152,Avestan,Cyprus,Lowe-Shepherd,porro.flac
$0.23,ca,lt-82.lloyd-harrison.biz,1977-08-06,1970-09-17 22:58:02,West Tracyfort,GB,1996-07-26T02:37:16,22:d3:06:5c:c2:3f,71.773607,Asia/Kabul,777314185,167.250515,Fijian,Australia,"Clark, Williams and Cameron",iusto.txt
$82.61,fa,email-58.powell.co.uk,2003-03-04,1988-02-02 19:39:18,Mariaside,GB,1982-07-31T21:07:42,08:a7:28:c4:16:db,21.225630,America/El_Salvador,24333,-26.676355,Xhosa,Cyprus,Elliott PLC,amet.mp3
"$17,545.56",xh,laptop-59.murphy-shaw.info,1998-08-11,2007-09-07 19:28:03,Port Declanhaven,GB,1973-11-25T12:08:04,0b:4c:f2:c1:4c:0f,-29.128053,Africa/Dar_es_Salaam,293285527,-127.567141,Slovenian,Syrian Arab Republic,"Wright, Moss and Reed",cupiditate.jpeg
"$1,628.56",hne,db-18.marshall.org,2006-01-08,2004-01-09 01:00:45,Matthewside,GB,2022-08-21T14:03:50,fe:fc:ca:f1:97:c3,-1.530819,Africa/Johannesburg,8,-116.493571,Oriya,San Marino,"Simpson, Spencer and Ross",fuga.png
"$4,231.72",sv,desktop-63.hawkins-burton.net,1980-03-04,1980-10-11 23:54:22,Davieston,GB,2011-09-23T13:31:43,ec:85:94:24:f8:6d,-62.518627,Asia/Seoul,19379,44.702805,French,Denmark,Pratt-Harrison,illo.ppt
$6.11,ml,web-95.rees.com,1986-03-24,2004-06-05 02:46:27,Reesshire,GB,2002-01-03T06:23:28,04:e7:4c:e2:50:1f,-52.7426145,Africa/Porto-Novo,9020,167.700051,Abkhazian,Burkina Faso,Harvey-Thomas,molestias.flac
"$9,409.30",tr,db-82.wilson-black.com,1975-05-27,2011-10-24 23:32:05,South Tobyburgh,GB,1971-03-07T23:05:22,84:06:77:d7:52:aa,-78.5754955,Europe/Tirane,8972635,-47.925702,Sundanese,Algeria,"Shaw, Blackburn and Andrews",at.pdf
"$66,466.84",el,lt-83.nash.co.uk,1976-04-30,2021-02-17 15:42:35,East Henryburgh,GB,1994-05-12T04:19:49,ca:bf:26:d6:be:17,-61.873810,Asia/Kuching,96511828,-83.802673,Ndonga,Isle of Man,"Wood, King and Bibi",suscipit.mp3
"$6,246.01",yi,web-76.pearce.biz,1997-09-21,2004-10-31 14:43:33,West Douglastown,GB,2017-11-20T11:41:45,a7:9e:37:b8:07:b3,-38.5865515,Europe/Istanbul,7,39.851163,Serbian,Jamaica,"Gregory, Lewis and Bull",ea.js
$5.74,ti,desktop-40.faulkner.biz,1970-07-04,2016-09-16 01:09:02,Abdulland,GB,1995-09-09T13:45:29,a4:68:d2:5f:b6:69,-4.1262725,Pacific/Guadalcanal,1,173.395988,Tahitian,Lebanon,Harvey Group,necessitatibus.xlsx
"$3,481.36",dz,db-38.clarke.com,2011-06-04,1991-12-14 03:23:40,West Wayne,GB,1987-07-06T07:56:23,d0:ed:93:0c:24:ff,-72.8574565,Africa/Nairobi,5704792,62.302476,Faroese,Burkina Faso,"Graham, Hussain and Jones",autem.xlsx
$22.08,hu,srv-84.richardson-sanders.com,2018-12-04,1989-12-30 02:41:49,Port Megan,GB,2018-07-01T19:06:48,07:56:96:ee:c7:64,14.2063645,Europe/Monaco,979897,88.829181,Slovak,Dominican Republic,Barnes-Foster,cupiditate.css
$95.82,hne,db-93.haynes.com,1988-10-05,1971-05-05 19:24:10,Graceport,GB,1973-07-05T06:35:16,b3:97:2e:e9:e5:f5,-19.1857355,Australia/Hobart,3368294,107.067640,Kalaallisut,Ethiopia,"Sutton, Watkins and Williams",dicta.key
$8.99,so,db-58.bolton.com,1982-04-17,2019-08-06 09:09:42,Burnsburgh,GB,2018-11-13T00:30:04,34:74:5c:5e:6d:d5,17.1619775,Asia/Beirut,3,-68.170644,Chichewa,Bahrain,Vincent-Turner,pariatur.txt
"$4,372.37",sw,lt-12.clark-white.com,2010-08-24,2005-05-19 18:47:35,New Kennethton,GB,1976-04-08T03:47:11,40:34:00:fa:0d:2d,60.0171595,Europe/Podgorica,153,58.421165,Avestan,Saint Helena,James PLC,assumenda.mp3
$940.90,is,db-62.edwards.com,1996-06-10,1970-01-31 19:56:39,Port Gerardmouth,GB,1971-07-04T08:06:42,54:8a:21:37:12:57,-0.237752,Pacific/Tongatapu,87782,82.189036,Aragonese,New Caledonia,Owens-Parker,amet.doc
$5.68,sid,email-86.thompson-matthews.com,1999-07-03,1991-05-21 19:32:24,Markton,GB,2009-02-16T14:18:23,0c:2c:50:2f:67:83,-76.3913175,America/Port_of_Spain,957,-55.285779,Kinyarwanda,British Indian Ocean Territory (Chagos Archipelago),"Cooper, Cox and Burns",vero.wav
$155.55,es,db-25.williams.net,1974-12-23,1978-05-31 23:54:14,Smithberg,GB,1979-01-25T20:33:23,c7:3a:7a:a5:d5:11,-40.8954195,Europe/San_Marino,909683,4.859786,Finnish,Mauritania,"Hill, Payne and Ahmed",dolorum.pdf
"$7,181.43",yue,email-20.shepherd.com,2017-01-23,2010-03-28 21:12:26,Port John,GB,2022-06-13T10:09:07,65:5d:4f:69:0d:a5,12.359830,Africa/Freetown,5860,-103.220664,Bambara,Pitcairn Islands,Smith-Wright,laboriosam.key
$50.48,pap,desktop-30.watts.co.uk,1976-06-27,1988-12-13 05:12:09,Lake Grahammouth,GB,1985-11-01T22:22:57,07:0e:8d:f3:cc:00,-34.113795,Africa/Tripoli,21164,3.708712,Ndonga,Saint Barthelemy,"Wilson, Bailey and Carr",explicabo.jpeg
$79.38,mhr,desktop-93.hewitt.biz,2014-05-03,1979-03-20 13:37:34,Jacquelinefort,GB,1984-03-23T02:51:45,16:84:e7:11:1a:70,-62.1126855,Asia/Vientiane,0,131.134033,Belarusian,Austria,Jones-Metcalfe,repellendus.flac
"$7,111.33",xh,lt-95.hall.com,1980-05-10,1990-08-07 13:04:29,Clarkfurt,GB,2006-02-13T18:48:55,56:b8:87:8d:38:df,-76.921277,Asia/Bishkek,145,148.506276,Igbo,Saint Lucia,Allen-Fletcher,nostrum.json
"$54,310.41",hu,desktop-96.morris.com,2012-10-05,1978-05-31 12:40:29,Pearcefurt,GB,2003-06-07T02:37:18,a0:db:b0:2b:c3:c9,14.576884,America/Costa_Rica,9,-31.141215,Italian,Kazakhstan,"Hussain, Cox and Reynolds",quos.odt
$7.01,ku,lt-72.jones.co.uk,2001-03-23,1988-12-12 07:05:43,North Lydia,GB,1998-10-07T04:34:01,cc:48:a3:fd:92:0a,3.3410695,America/Dominica,3032433,-54.076104,Malayalam,Western Sahara,Lee-Walker,excepturi.wav
$5.23,yo,desktop-46.thornton-mann.com,1986-09-12,1982-01-07 22:28:49,New Darrenbury,GB,1995-06-08T07:52:49,23:fd:c1:0b:69:fb,11.2518915,Asia/Rangoon,545,136.788324,Sundanese,Albania,Lawson Inc,ad.wav
