date_time,date,language_name,pricetag,language_code
1970-01-04 19:45:19,1977-04-17,Burmese,"5.855,29 €",et
1988-03-26 10:42:03,1979-06-25,South Ndebele,"8,76 €",cmn
1990-12-20 03:29:03,2005-04-12,Wolof,"98.921,89 €",gu
2005-12-20 15:41:55,2014-04-24,Norwegian,"7,91 €",ik
1989-01-23 21:20:24,2022-11-08,Oriya,"684,61 €",quz
2008-11-20 16:15:47,1993-05-17,Navajo,"68.332,65 €",bem
1971-06-21 11:33:39,1983-07-16,Abkhazian,"37,18 €",se
2006-06-10 04:10:30,1993-01-18,Kirghiz,"5.108,67 €",cv
1983-11-27 13:55:47,1996-07-24,Chuvash,"1.380,56 €",nds
1991-09-04 05:45:13,1990-05-23,Interlingue,"6,87 €",gez
1984-10-29 09:32:01,2020-05-13,Pali,"6,26 €",id
2000-06-15 05:32:40,1994-01-18,Sinhala,"82,66 €",xh
1988-01-04 08:24:38,2003-05-25,Nauru,"49,54 €",pa
1974-12-26 11:07:06,2011-11-16,Georgian,"204,37 €",zu
2005-01-18 18:52:05,2020-04-19,Bihari languages,"452,17 €",fur
2005-11-04 22:01:25,1972-09-28,Central Khmer,"18,76 €",kk
2006-07-25 17:06:56,2001-12-01,Latin,"77.262,27 €",ast
2016-06-03 06:11:18,2007-09-11,Inupiaq,"6,44 €",sc
1999-12-07 00:28:21,1988-09-02,Bosnian,"93,97 €",bg
2012-01-26 13:03:56,1996-08-21,Bambara,"667,81 €",yi
1980-05-29 01:06:36,2021-07-18,Navajo,"45,73 €",kl
1997-12-24 20:16:51,1979-07-13,Herero,"2,49 €",el
1993-03-01 16:40:41,1994-11-02,Samoan,"35.180,18 €",cs
1971-01-30 07:36:37,2013-12-04,Malay,"366,53 €",csb
2006-03-02 02:20:28,2010-01-01,Chechen,"5,35 €",ca
2018-05-06 03:42:48,1999-10-02,Marathi,"6,65 €",sk
2017-12-08 08:35:05,1989-06-12,Chuvash,"7,77 €",ia
1994-03-26 01:51:06,1989-06-18,Danish,"2,92 €",ml
1984-10-01 04:37:16,1988-01-02,French,"13.889,38 €",shs
1982-09-26 12:48:38,1978-03-25,Gujarati,"7,26 €",se
1990-10-14 23:17:45,1988-12-18,Shona,"1.862,43 €",mg
2007-10-09 14:27:47,2002-12-25,Ganda,"9.581,79 €",fr
1971-04-08 20:36:26,2016-10-25,Limburgan,"5.750,84 €",si
1987-01-01 23:56:32,1982-11-07,Swahili,"12,15 €",the
2013-05-05 01:27:03,2009-03-15,Kalaallisut,"794,48 €",nan
2000-11-30 12:41:53,1990-08-10,Hiri Motu,"28.664,25 €",es
2013-10-28 13:07:22,2019-12-31,Guarani,"1.269,61 €",so
2001-12-14 16:09:01,2009-05-30,Irish,"74,07 €",eo
1970-12-15 16:29:43,1982-08-15,English,"774,00 €",gv
2006-10-18 07:09:55,2023-05-22,Yiddish,"59.628,65 €",sc
1998-11-21 01:11:20,2018-11-12,Central Khmer,"1,66 €",aa
1971-03-21 12:23:48,1971-12-09,Xhosa,"2,35 €",yi
2004-06-05 05:50:50,2014-02-15,Danish,"30.573,35 €",hi
1977-06-11 12:53:37,2000-12-27,Malayalam,"7,30 €",uk
1974-04-12 23:30:28,1978-07-31,Chichewa,"8,45 €",tr
2014-04-29 14:08:41,1983-11-28,Walloon,"71,91 €",os
1992-02-05 20:41:42,1997-01-02,Ganda,"256,15 €",hak
2001-02-03 17:39:13,2010-12-26,Chichewa,"69,20 €",mk
1988-12-15 06:30:58,1980-06-12,Catalan,"1,45 €",as
2012-06-25 07:18:14,1990-08-09,Swedish,"43.111,93 €",en
2002-10-15 22:10:55,1989-02-26,Nauru,"2.460,66 €",aa
1978-07-31 22:24:41,1997-03-22,Burmese,"764,95 €",bg
2002-05-05 09:20:04,1974-10-07,Chinese,"8.477,75 €",yi
1997-04-04 21:38:28,1995-08-14,Hungarian,"1,09 €",af
2022-11-25 09:34:35,1991-03-09,Turkish,"7.485,57 €",si
2010-01-14 23:10:37,1996-10-25,Sundanese,"3.897,78 €",hi
1992-08-29 02:09:24,1984-07-06,Kirghiz,"390,28 €",am
1976-11-02 10:14:36,1977-09-17,Gaelic,"59.203,88 €",om
2014-08-24 15:21:53,1993-03-20,Abkhazian,"61,17 €",nds
2015-02-11 03:02:51,1997-09-11,Assamese,"963,48 €",yi
2022-06-10 05:00:17,2020-06-27,Chinese,"7,01 €",pl
1987-10-18 22:17:33,1987-08-13,Thai,"976,52 €",pl
1974-05-18 00:33:49,1994-05-13,Uzbek,"60.299,64 €",fi
2014-07-01 10:39:32,1978-10-24,Tonga,"3,66 €",lt
1998-02-09 06:28:24,1999-11-10,Ewe,"489,98 €",uz
1987-11-06 20:48:30,1989-10-24,Yoruba,"6,70 €",hsb
1970-06-07 04:05:36,1975-10-31,Oromo,"39.501,21 €",fil
1985-08-19 04:36:23,1984-03-05,Icelandic,"672,45 €",ky
1978-03-31 06:50:22,1970-03-25,Japanese,"295,26 €",ks
1993-12-29 00:10:45,2014-08-07,Assamese,"853,98 €",ta
2021-06-21 15:34:41,1984-11-04,Guarani,"394,71 €",fo
2009-12-11 12:31:32,2001-01-12,German,"46.468,56 €",zh
2021-10-07 01:02:58,1985-01-02,Serbian,"4.537,41 €",he
1973-07-03 12:38:40,1995-02-26,Finnish,"7,34 €",sr
1988-07-10 04:47:26,1994-03-07,Persian,"24,55 €",bhb
1989-05-10 00:57:46,2001-10-10,Persian,"27,93 €",ca
2001-01-08 20:03:48,1987-08-02,Pali,"65,67 €",mg
1994-05-19 18:38:58,1988-11-09,Albanian,"76.569,75 €",gd
2009-12-25 08:56:36,2007-10-24,Czech,"56,19 €",csb
1970-11-14 13:56:41,1999-05-14,Hungarian,"19.790,13 €",nhn
1975-01-10 22:45:36,1975-04-19,Persian,"1,28 €",or
2001-11-05 21:14:24,2011-05-24,Luxembourgish,"30,55 €",ha
1983-12-23 18:16:29,2016-07-09,"Sotho, Southern","0,59 €",lzh
1970-09-30 07:23:29,2019-01-25,Turkmen,"0,92 €",byn
1990-12-31 08:54:35,2021-07-07,Igbo,"151,27 €",nb
1993-03-13 01:17:05,2022-10-01,Tigrinya,"657,88 €",nds
2000-10-13 05:05:39,1986-02-18,Church Slavic,"64.335,99 €",cv
2019-12-27 11:37:17,1995-02-21,Cornish,"5,34 €",ckb
2009-12-27 21:02:56,1979-04-05,Luxembourgish,"10.230,48 €",ha
1999-03-29 09:46:00,1996-03-11,Ojibwa,"414,67 €",nn
1986-06-07 10:17:52,1982-06-25,Serbian,"2.328,10 €",sc
2012-11-03 12:00:39,2016-02-05,Finnish,"1.224,27 €",nb
1983-05-04 13:19:35,2019-06-21,Javanese,"17.838,94 €",fil
1983-03-16 09:10:55,1997-08-22,Kikuyu,"970,74 €",or
2010-09-16 09:46:27,1997-09-18,Latvian,"1,09 €",gv
2005-11-22 18:15:16,2007-11-02,Herero,"89.080,28 €",mhr
1994-06-29 20:54:43,2017-08-09,Pushto,"181,53 €",mhr
1972-11-09 14:40:06,2011-01-26,Uighur,"96.292,15 €",sw
1985-02-02 02:05:52,2016-08-09,Tatar,"15,81 €",fur
2013-07-24 08:00:21,1985-11-11,Kannada,"35,02 €",cv
2012-06-10 03:33:14,1987-01-11,Inupiaq,"68.413,02 €",mni
1986-12-28 13:35:20,2002-07-14,Italian,"5,12 €",sv
2017-08-07 15:30:40,2008-03-19,Nauru,"90,83 €",ne
2003-02-06 07:16:14,1995-04-05,Fulah,"30,83 €",tt
1995-12-31 11:11:52,2005-02-13,Luxembourgish,"39.148,55 €",csb
2009-11-18 16:20:20,1989-02-17,Galician,"83,86 €",ce
1974-05-20 02:15:39,1988-03-12,Ido,"46,29 €",da
1988-02-27 03:22:31,2022-04-10,Hausa,"391,37 €",os
2023-01-02 16:40:59,1985-05-19,Ojibwa,"51,58 €",ts
1988-04-01 19:14:10,1999-06-20,Swedish,"77,53 €",hr
2018-09-18 02:37:52,2001-09-11,Hungarian,"61.526,88 €",ko
2008-12-13 19:24:02,1984-08-05,Kalaallisut,"8,91 €",sd
1994-01-19 01:11:48,1992-01-04,Manx,"43.921,79 €",bn
1998-11-26 02:32:39,1976-02-18,Rundi,"4.919,83 €",ber
1989-02-11 18:24:46,1974-01-21,Avestan,"49.694,74 €",mhr
2019-07-27 04:14:37,1974-07-15,Samoan,"17.739,40 €",sid
2007-08-15 09:07:05,1991-09-09,Bengali,"140,99 €",be
1988-07-25 07:17:39,1974-08-10,Marathi,"920,53 €",kk
1981-06-15 15:59:57,1979-08-27,Tsonga,"4,14 €",pap
2011-12-21 05:37:03,1973-06-22,Bosnian,"6.271,55 €",fr
2013-06-19 20:28:25,2014-08-01,Kurdish,"62.261,26 €",ko
2021-05-17 00:26:42,2010-12-14,Polish,"5.173,52 €",nl
1995-05-23 05:11:19,1973-08-10,Sinhala,"67.106,62 €",csb
1982-03-11 12:29:34,1999-07-05,Uzbek,"904,43 €",ku
1996-07-31 19:06:22,1992-07-22,Dutch,"7,68 €",ro
1990-08-16 12:56:01,1986-06-14,Kirghiz,"69,62 €",ia
1991-06-17 15:17:46,1997-12-30,Avaric,"5.621,17 €",shs
1971-11-03 03:54:53,1995-08-24,Catalan,"42.693,05 €",brx
2009-07-20 07:28:54,2000-06-21,Zulu,"47.578,72 €",ca
1971-10-13 10:55:53,1993-07-16,Ndonga,"3.845,14 €",yi
1970-09-16 12:59:35,1987-04-22,Limburgan,"2.840,15 €",bn
2000-11-24 04:20:13,1977-08-28,Bosnian,"372,61 €",brx
1995-09-25 06:26:15,1974-02-27,Yoruba,"82,92 €",ky
2004-06-02 05:37:17,2010-01-14,Kalaallisut,"62,03 €",ky
2005-06-12 11:29:53,2009-06-30,Divehi,"711,52 €",brx
1994-08-28 02:11:27,2020-01-23,Azerbaijani,"9,86 €",mk
1991-11-01 06:54:29,1990-03-19,Turkmen,"6.491,23 €",tig
1975-08-11 20:55:16,2022-08-03,Pali,"106,59 €",iu
2018-08-31 08:09:02,2002-07-28,Kazakh,"55.974,95 €",sv
2022-08-07 06:51:59,1992-09-11,Persian,"310,28 €",ak
2008-12-23 22:59:48,2022-06-22,Kashmiri,"262,30 €",sq
1979-02-04 09:36:23,2011-01-09,Tagalog,"6,56 €",unm
1987-02-19 11:56:57,1991-10-17,Venda,"35.707,87 €",om
2013-02-17 07:49:54,2006-11-03,Luba-Katanga,"96,67 €",mn
2000-03-09 21:02:59,1979-03-25,Sindhi,"70.615,73 €",bo
1980-11-05 11:09:29,2022-07-22,Marathi,"68,53 €",sa
1985-06-29 04:32:30,1979-04-18,Quechua,"845,41 €",sq
1994-01-13 18:38:15,1991-05-03,Navajo,"6.325,19 €",mni
2009-12-03 02:43:52,1999-01-09,South Ndebele,"536,75 €",csb
1981-12-26 03:02:00,1977-05-18,Divehi,"20,88 €",lg
1978-09-26 04:56:49,1993-12-26,Kinyarwanda,"44.043,69 €",tn
1979-09-09 20:25:09,2020-04-27,Faroese,"964,01 €",mk
1976-04-10 21:53:52,2021-08-21,Japanese,"6.098,58 €",sw
1979-04-09 16:33:16,1986-08-17,Cree,"11.073,13 €",en
2003-05-10 09:46:37,2019-06-25,"Sotho, Southern","7.873,59 €",mag
2000-03-17 08:05:19,2008-12-28,Latvian,"22,84 €",an
1974-02-23 08:53:01,1993-11-08,Sundanese,"6.123,79 €",tn
2017-09-08 05:26:57,2011-09-16,Kalaallisut,"95,61 €",mag
1982-01-18 19:13:19,1992-09-25,Kazakh,"206,28 €",os
1971-07-23 22:24:45,2019-11-30,Western Frisian,"9.817,52 €",lzh
1971-04-24 15:36:12,2018-03-25,Tahitian,"887,48 €",kn
1982-10-11 16:41:42,1977-12-24,Occitan,"13.728,27 €",id
1997-07-20 10:51:59,2010-09-16,Yiddish,"198,58 €",byn
2005-07-18 20:03:09,2022-10-27,Zhuang,"238,92 €",ak
1974-04-22 04:09:38,2001-08-31,Venda,"8,56 €",nn
1996-09-22 02:45:12,1995-09-02,Czech,"73.837,93 €",ha
1999-10-18 14:08:58,1971-07-22,Spanish,"81,33 €",ti
2015-12-18 01:23:48,2013-09-28,Ewe,"5.486,10 €",cmn
1985-09-16 11:54:04,1991-06-11,Central Khmer,"81,52 €",tl
2013-02-19 22:51:31,1971-08-31,Slovak,"6,08 €",sat
1993-02-12 02:30:09,2020-08-26,Panjabi,"6.465,29 €",ky
2001-05-25 09:04:02,1983-12-13,Central Khmer,"5.636,98 €",hak
2007-07-26 07:14:59,1995-05-11,Russian,"1.367,83 €",ve
1986-10-06 17:23:50,1994-01-29,Ido,"548,07 €",nr
2011-02-11 02:36:58,1970-01-18,Gaelic,"1.251,11 €",gez
1987-11-13 13:01:00,1989-03-24,South Ndebele,"455,90 €",tk
1994-07-24 10:02:48,2022-02-15,Cree,"54,27 €",mai
1989-10-12 07:16:09,1989-08-29,Bashkir,"8.293,33 €",eu
1984-03-26 19:49:20,1988-01-12,Italian,"308,72 €",yue
1999-06-26 18:21:36,2006-04-27,Corsican,"21,02 €",ckb
1973-12-22 01:14:03,1975-01-05,Pushto,"38,55 €",niu
2016-09-20 02:06:33,1979-02-11,Breton,"794,66 €",pa
1993-10-16 09:38:28,1978-09-25,Chinese,"89.273,77 €",ik
2016-09-08 21:10:21,2007-12-17,Breton,"73.327,95 €",ne
1981-02-28 14:34:14,1997-12-06,Georgian,"47,17 €",an
1999-05-04 17:59:41,2020-05-21,Sinhala,"43.934,25 €",li
2000-11-01 21:08:26,1971-01-07,Kanuri,"2.156,70 €",sid
2003-04-20 22:04:02,1979-01-21,Latvian,"52.154,82 €",nhn
2021-08-20 21:36:51,1995-12-13,Bihari languages,"7.939,89 €",sa
2010-12-13 12:34:52,2014-11-07,Gujarati,"5.446,38 €",nds
2020-12-26 20:00:13,2022-12-23,Burmese,"768,73 €",nr
2015-01-25 08:09:40,1988-01-12,Amharic,"6,96 €",byn
1999-07-13 21:00:08,2001-08-16,Tibetan,"53,69 €",gl
1982-09-05 18:07:13,1981-06-21,Dutch,"0,01 €",raj
2003-07-05 10:04:07,1998-09-14,Sichuan Yi,"9.822,49 €",ro
1978-01-30 16:59:13,1970-08-31,Oriya,"77,34 €",zu
1999-08-09 01:57:29,1997-09-18,Twi,"5.645,26 €",ko
1979-08-09 22:20:10,2010-07-14,Kirghiz,"7,10 €",apn
1970-10-10 10:17:01,1976-09-01,Portuguese,"62,90 €",nso
1978-10-05 04:14:19,1987-08-07,Northern Sami,"6.745,63 €",tn
2009-04-28 22:21:39,2009-07-18,Russian,"542,15 €",sr
1977-01-14 00:12:58,2010-01-30,Luba-Katanga,"7.816,25 €",he
2008-08-10 00:14:36,1973-03-20,Xhosa,"439,16 €",cy
1970-01-18 17:57:08,2020-03-02,Malayalam,"833,72 €",ff
1972-05-14 23:47:46,1971-01-31,Central Khmer,"11.330,07 €",raj
2008-10-25 04:08:26,1985-08-01,Macedonian,"112,26 €",fi
1977-07-02 08:32:19,1990-03-06,Guarani,"496,50 €",ka
2007-09-25 20:34:38,1980-09-17,Western Frisian,"76.365,92 €",es
1975-06-30 18:26:42,1998-05-02,Romanian,"62,46 €",hak
1984-02-24 01:47:11,2023-07-30,Javanese,"4,21 €",nhn
2007-06-16 21:40:56,1996-09-27,Belarusian,"4.154,22 €",hr
1986-12-25 12:00:37,1995-05-21,Somali,"263,72 €",ia
2007-01-15 03:28:18,1988-07-05,French,"76,92 €",ku
1999-12-08 13:33:49,2012-06-11,Walloon,"793,80 €",ta
1970-07-06 09:09:05,2007-07-10,Bislama,"90,26 €",hr
2005-08-29 22:32:58,2012-08-14,Irish,"4.617,75 €",as
1971-12-13 05:20:58,1993-02-18,Ossetian,"87.269,80 €",zu
1999-10-21 16:45:41,1999-06-25,Irish,"7.686,53 €",he
2019-08-20 11:12:58,2010-12-28,Mongolian,"82.487,04 €",bo
1994-04-24 13:15:02,1985-03-14,Afar,"41.698,39 €",oc
2006-10-08 13:57:26,1994-03-28,Armenian,"18,23 €",nb
1995-11-23 06:07:02,1998-03-01,Portuguese,"12.156,71 €",tl
1984-10-29 01:07:08,1994-05-31,Tahitian,"6,30 €",kw
1996-03-31 16:29:29,2019-02-24,Wolof,"83,92 €",hr
1973-11-14 14:49:24,1977-06-05,Latin,"15,44 €",tn
2008-01-13 19:43:34,2020-05-24,Interlingue,"166,97 €",ha
1994-07-31 08:19:45,2004-11-08,Sundanese,"70,19 €",kn
2006-10-14 04:24:11,2007-05-23,Interlingue,"58.336,48 €",kok
1990-05-24 13:35:07,2000-09-24,Galician,"3.268,86 €",cv
2000-10-24 05:22:32,2020-10-25,Panjabi,"78,89 €",lij
2010-08-20 18:18:56,2022-11-17,Inuktitut,"1,56 €",it
2023-02-27 07:54:49,1971-06-02,Inuktitut,"69.600,21 €",cv
2014-11-17 18:49:56,1990-06-21,Telugu,"8,70 €",sq
2006-02-15 11:21:37,1975-04-15,Samoan,"94,51 €",nhn
1976-09-09 18:19:31,2012-05-23,Zhuang,"39.915,46 €",tn
2005-10-26 06:53:03,2008-01-26,Abkhazian,"909,58 €",ru
2012-10-28 21:54:10,2015-04-03,Sindhi,"461,01 €",sa
1977-09-23 06:25:48,2022-04-07,Twi,"29.913,04 €",rw
1977-04-01 19:11:38,2013-10-20,Inupiaq,"2.065,48 €",fil
1987-05-27 17:52:14,2003-06-23,Chamorro,"7,32 €",dz
1974-02-07 18:49:49,2021-03-28,Kinyarwanda,"45,66 €",nb
1991-05-20 19:11:37,1977-09-14,Aragonese,"88.077,40 €",ber
2001-10-05 02:52:35,1972-08-25,Kirghiz,"3,61 €",sc
2012-12-13 00:15:46,2001-03-25,Sindhi,"99,97 €",niu
1971-02-26 16:58:15,2010-12-22,French,"90,24 €",ar
1989-07-07 21:56:14,1997-12-03,Azerbaijani,"6.332,89 €",si
1977-07-31 01:54:54,1972-06-11,North Ndebele,"23.641,72 €",be
1983-02-17 12:12:08,2014-10-14,Finnish,"36.226,32 €",sr
2018-10-14 18:19:54,1979-07-31,Danish,"8,37 €",vi
2000-11-02 04:57:16,1970-07-01,Russian,"250,60 €",ne
1995-11-02 06:41:21,1994-02-11,Kongo,"6,98 €",kok
2019-09-07 11:30:14,2016-03-29,Western Frisian,"68.333,57 €",as
1990-11-08 11:39:05,1999-04-10,Swedish,"35,16 €",doi
1984-12-14 17:35:17,2017-12-06,Occitan,"4,92 €",de
2016-12-06 15:16:29,2005-07-19,Assamese,"9.310,08 €",ckb
1982-12-02 15:21:13,2007-08-22,Tahitian,"5,75 €",nl
1972-03-31 18:20:46,1975-03-24,Ganda,"423,66 €",ps
2017-01-15 23:50:32,2009-01-12,Twi,"1.308,21 €",ku
1979-02-25 07:56:37,1991-12-29,Amharic,"7,21 €",dv
1972-08-23 12:29:59,1998-11-20,Chamorro,"37.251,50 €",ko
1976-07-17 22:23:53,2012-06-07,Xhosa,"75.920,94 €",ff
1978-02-07 06:42:19,2008-06-27,Kinyarwanda,"29.037,67 €",mai
2001-09-10 15:40:15,1993-07-02,Estonian,"61.626,36 €",he
1980-11-13 01:23:56,2017-05-27,Catalan,"15.890,55 €",apn
1978-02-01 14:35:39,2003-05-03,Tajik,"53,95 €",so
2007-03-22 23:24:17,1992-12-02,Central Khmer,"9,95 €",bs
1990-10-31 18:46:09,2008-02-05,Turkish,"2.528,04 €",eo
1977-03-05 09:57:56,1980-08-27,Tagalog,"5,90 €",nn
1998-05-09 04:43:39,2018-11-06,Bengali,"8.636,60 €",lo
1988-04-11 17:13:29,1970-09-10,English,"74,02 €",apn
1982-09-11 02:27:12,1978-09-08,Breton,"6,28 €",ga
2007-10-11 08:51:15,1992-08-17,Interlingue,"962,00 €",brx
2016-02-20 19:17:09,2008-10-04,Ganda,"1,66 €",be
2012-10-18 04:21:13,1976-01-26,Luba-Katanga,"876,24 €",tr
1983-12-16 21:34:11,1977-08-27,Fijian,"22,65 €",tr
1999-12-30 19:44:39,2007-04-07,Tatar,"29,56 €",hi
2007-11-06 20:41:39,1983-06-18,Vietnamese,"7.429,58 €",wa
2006-12-16 02:00:20,1975-09-06,Abkhazian,"0,94 €",ro
1978-03-03 02:31:02,2015-09-04,Limburgan,"583,04 €",fy
1977-05-10 10:37:38,1973-07-08,Hindi,"2.464,93 €",hak
2022-12-09 21:56:41,1986-12-26,Latvian,"8.023,13 €",ast
1991-09-02 07:32:53,1991-09-27,Sango,"58.766,65 €",tig
2006-01-27 02:42:42,1983-04-21,Sango,"739,66 €",fil
2015-11-19 11:13:12,1978-11-12,Hungarian,"34.060,76 €",be
1988-01-05 13:19:18,1989-11-06,Sango,"72.315,27 €",zu
1980-07-16 20:32:11,1990-05-15,Danish,"1.877,99 €",ml
2017-11-26 10:55:55,1993-09-30,Malagasy,"109,76 €",wo
2018-02-27 01:16:16,1994-02-15,Marshallese,"66.254,31 €",apn
1988-03-06 17:47:32,1989-05-08,Rundi,"202,34 €",az
1971-02-26 01:56:57,2008-08-04,Pali,"54,38 €",shs
1980-12-12 04:55:07,1970-06-07,Lithuanian,"50.248,76 €",an
1987-04-28 04:47:58,1973-09-24,Yiddish,"533,52 €",tl
2009-02-14 09:26:42,1997-04-22,Kalaallisut,"5,24 €",ts
1970-08-24 15:29:50,2012-03-18,Sichuan Yi,"9,02 €",ayc
1998-08-26 15:15:04,2009-07-18,Slovak,"592,66 €",sc
1998-07-10 18:06:40,1972-10-13,Aymara,"70,16 €",ha
1976-11-09 04:48:37,1979-09-14,Tamil,"4.988,57 €",vi
1998-02-04 01:48:22,1981-07-14,Swati,"96.048,06 €",lo
2017-05-05 21:19:11,2004-05-13,Tahitian,"4,02 €",wae
2012-07-22 16:32:30,1972-03-06,Burmese,"2.214,95 €",unm
2023-05-31 12:34:07,1990-09-23,Samoan,"9.879,39 €",uk
2000-06-26 21:45:01,2022-06-08,Maltese,"5,65 €",kok
1995-09-12 09:14:54,1978-07-01,Occitan,"9,36 €",ka
1993-01-03 06:51:31,1993-03-04,Kanuri,"548,46 €",niu
1982-12-01 07:59:02,2013-07-30,Sichuan Yi,"94,19 €",lg
1984-11-18 21:43:27,2014-10-27,Ukrainian,"4.532,70 €",et
2008-05-12 00:44:46,1971-07-23,Chinese,"363,09 €",gl
2003-07-30 19:39:05,2015-01-31,Guarani,"8.372,92 €",en
1999-09-30 11:15:23,1983-04-22,Walloon,"430,53 €",fo
1976-02-12 02:54:05,1991-03-21,Abkhazian,"206,36 €",ky
1970-01-09 03:48:10,1986-02-12,Slovenian,"88,27 €",ps
1982-03-25 07:01:56,1994-09-29,Korean,"51.497,88 €",raj
1970-02-10 11:32:35,1997-06-14,Javanese,"6,43 €",mhr
2015-07-26 14:14:04,2020-11-13,Yoruba,"69,08 €",tt
1978-01-17 13:47:48,1970-06-09,Slovak,"1.882,42 €",byn
1986-03-11 13:30:47,1979-10-10,Sundanese,"27,52 €",kw
2019-04-14 03:51:12,2017-10-03,Fulah,"478,26 €",dv
1985-02-22 09:06:55,2010-12-30,Latin,"362,58 €",tig
2015-09-13 16:22:48,2011-06-20,Italian,"3,21 €",el
1984-09-17 00:25:33,1976-02-09,Lithuanian,"8,05 €",tig
1999-05-10 11:30:38,1980-08-04,Hindi,"37,60 €",ta
1994-04-12 05:01:28,2012-01-22,Macedonian,"5,74 €",ha
2002-09-24 18:13:58,2020-12-10,Sichuan Yi,"61,95 €",ro
2007-08-18 09:10:14,1987-06-27,Yiddish,"44.646,41 €",an
2007-03-20 17:47:34,1992-03-26,Slovak,"4.356,39 €",ml
1975-06-01 03:54:17,1982-05-15,Kinyarwanda,"5.542,75 €",ts
2006-09-24 01:42:53,2003-10-12,Kikuyu,"7,83 €",eo
1970-08-04 07:12:13,2018-06-07,Tigrinya,"5,44 €",ps
1975-03-14 23:08:30,1999-04-01,Thai,"24,79 €",ti
2020-04-19 06:03:38,1991-01-17,Azerbaijani,"6,34 €",lv
1992-10-28 15:13:09,1992-07-21,Turkmen,"34,49 €",sl
2002-10-26 00:58:16,2005-10-31,Komi,"77,50 €",vi
1971-01-21 07:47:49,1986-06-03,Tonga,"6,59 €",ka
2015-11-11 11:09:49,1996-03-27,Kirghiz,"6,18 €",it
2004-09-13 20:50:02,2007-07-20,Assamese,"53.948,10 €",af
1987-10-28 11:46:20,1983-07-24,Albanian,"34.567,07 €",sa
2022-02-09 23:09:37,2018-09-29,Arabic,"34.363,43 €",ku
1996-02-28 19:42:34,1983-08-03,Polish,"6.989,64 €",nl
1970-08-24 08:53:27,1976-11-25,Irish,"595,92 €",wo
1982-08-31 14:00:22,1975-05-25,Chuvash,"66.131,18 €",ik
1980-05-30 21:51:22,2000-10-01,Bashkir,"338,42 €",it
2022-10-07 15:30:54,1986-10-21,Romansh,"4,68 €",ur
2009-04-29 06:48:39,2015-06-19,Portuguese,"1.613,39 €",bg
1987-05-18 23:04:08,2010-11-18,Bihari languages,"5,51 €",the
1974-08-25 00:07:16,1971-10-14,Norwegian,"3.186,78 €",mhr
1978-03-15 23:06:20,1981-01-05,Avestan,"98.944,24 €",mg
2020-06-27 15:40:09,2003-01-21,Aragonese,"17.434,58 €",wae
2017-04-23 05:40:58,2013-06-14,Azerbaijani,"51,49 €",nb
1987-11-28 04:02:44,1976-05-21,Western Frisian,"69,00 €",ff
2020-08-29 03:07:28,1981-05-24,Italian,"32,14 €",nso
1989-09-02 16:28:23,2007-08-24,Kinyarwanda,"886,61 €",an
1994-02-27 13:40:09,2001-05-04,Yiddish,"336,26 €",pt
1994-10-01 23:57:34,1994-06-18,Sindhi,"63.042,32 €",or
2002-10-05 12:00:17,1983-12-10,Komi,"11,96 €",fr
1995-01-30 04:36:17,2005-10-24,Aymara,"1,53 €",hy
1988-06-09 00:21:35,2003-12-11,Kirghiz,"12.603,64 €",lb
2018-11-09 08:08:35,1987-04-09,Avaric,"3.967,42 €",ug
