timezone,latitude,pricetag,company,date_time,language_code,date,longitude,iso8601,file_name,mac_address,random_number,hostname,country,bank_country,time,language_name
Europe/Helsinki,35.8313295,"1.881,51 €",Seifert,1982-07-19 16:29:14,mni,2023-09-02,76.576544,1973-12-30T09:48:56,wollen.wav,fa:ce:60:85:5c:64,732122,web-16.lorch.de,Liberia,DE,17:33:19,Abkhazian
Europe/San_Marino,27.512269,"83,30 €",Ruppersberger Stiftung & Co. KGaA,2022-03-29 20:07:19,tt,1996-06-15,162.858665,2019-04-01T10:30:12,wer.png,d4:9c:0b:2f:8c:0e,36,srv-00.wernecke.com,Mauritius,DE,22:52:08,North Ndebele
Asia/Amman,78.7597905,"5.273,18 €",Heidrich,1986-03-23 22:10:46,sk,2000-08-06,84.253681,1991-01-20T18:24:14,Wissen.mp4,9a:c3:0a:7f:4f:c8,419359276,lt-77.weihmann.de,Algerien,DE,12:02:04,Kongo
America/Paramaribo,-80.847770,"35.630,81 €",Faust Döhn GmbH & Co. KG,1997-11-12 01:55:43,the,1994-07-06,8.700019,1997-01-09T09:02:24,groß.mp4,85:18:1c:79:33:f3,618451216,db-50.graf.com,Bosnien und Herzegowina,DE,09:35:56,Basque
America/Dominica,58.2444145,"4.981,62 €",Schuster GmbH,1998-08-09 06:31:51,be,1992-12-03,-154.656852,2008-09-22T17:20:27,laufen.bmp,32:04:d4:eb:63:73,854209510,lt-03.troest.de,Ecuador,DE,07:03:51,Kikuyu
Asia/Qatar,51.124820,"54,99 €",Tschentscher Stiftung & Co. KG,1977-04-11 17:09:07,ff,2013-03-25,29.578565,1987-06-06T00:31:56,sprechen.bmp,d7:1a:a7:74:38:75,9,laptop-72.moechlichen.com,Guinea,DE,21:13:31,Maori
Asia/Bishkek,71.3268395,"5.074,88 €",Förster GmbH,2001-03-29 23:00:43,sl,1975-08-08,22.028518,1991-05-17T05:30:08,Musik.wav,77:7d:30:5c:60:68,258497,srv-17.ortmann.de,Tschad,DE,19:40:34,Latin
Africa/Bissau,-43.255280,"88.221,83 €",Ladeck OHG mbH,1973-05-05 01:27:35,te,2016-08-23,150.000231,2004-07-30T05:27:03,damit.gif,56:da:33:6b:97:9e,8112,db-08.caspar.org,Iran,DE,15:11:46,Malay
Africa/Conakry,36.7643525,"44.305,00 €",Juncken,1973-08-21 05:58:20,az,1985-09-20,126.525556,1983-04-07T11:47:01,Papa.wav,a0:72:cf:4c:8e:ca,2,desktop-91.schoenland.de,Kap Verde,DE,20:15:29,Ganda
Pacific/Palau,26.104098,"687,04 €",Jäkel Kambs e.G.,2020-09-26 14:41:37,wal,1999-07-15,-114.586951,2008-04-02T06:17:55,hören.mp3,db:c1:85:cb:13:84,954,desktop-11.hornig.org,St. Pierre und Miquelon,DE,22:17:46,Avestan
Europe/Copenhagen,66.325976,"97.493,94 €",Pölitz,2004-12-04 16:38:16,quz,2009-03-06,30.679609,2020-07-08T14:27:07,gerade.jpg,69:c5:82:fa:bd:a1,50804,lt-64.margraf.net,Türkei,DE,22:27:00,Norwegian
Africa/Monrovia,-84.2414345,"38.195,64 €",Scheuermann Trubin AG,2017-08-27 21:58:39,ast,1999-06-09,133.287083,1985-04-14T10:17:44,haben.wav,2b:42:c3:2d:5d:3d,843,desktop-35.schoenland.com,Tonga,DE,05:04:41,Chichewa
Africa/Bissau,22.075316,"43.995,94 €",Herrmann Scheibe GbR,1977-10-25 10:56:42,sq,1990-09-29,-73.979025,1993-06-22T16:08:25,Onkel.jpeg,77:c9:20:01:64:26,5826,laptop-18.seifert.de,Osttimor,DE,23:31:44,Belarusian
America/Guatemala,-20.921433,"6.873,17 €",Geisel AG & Co. KG,1982-04-29 20:58:38,bo,1997-06-16,5.993283,1992-09-05T23:53:12,rechnen.key,62:75:de:c3:99:8a,518368214,email-50.kensy.com,Réunion,DE,19:31:23,Malay
Asia/Qatar,35.990604,"45,61 €",Döhn,2006-12-31 17:38:19,sr,1986-06-30,-0.891228,1974-05-28T21:33:59,geben.wav,90:40:3c:b8:d8:47,421900,laptop-00.grein.com,Syrien,DE,07:03:23,Catalan
America/Barbados,-64.471428,"898,65 €",Zirme Kraushaar Stiftung & Co. KGaA,1982-01-23 07:55:57,bs,1999-01-16,166.035236,2019-08-24T14:34:02,dumm.pages,8b:ac:b9:19:17:b8,50644483,lt-69.stumpf.com,Panama,DE,05:40:41,Nepali
Africa/Bujumbura,-48.158793,"81.243,04 €",Heser,2013-05-14 12:33:53,sd,1971-07-11,-114.314014,1972-11-18T23:20:42,mich.mp3,cd:98:0c:7d:1e:22,78331929,desktop-85.speer.de,Indien,DE,23:07:40,Navajo
Pacific/Majuro,-6.577756,"27.268,63 €",Bolnbach KG,1981-02-01 15:25:20,br,2003-10-04,-137.858305,1990-11-30T10:52:24,Tante.css,14:6d:b0:e8:32:46,34799442,laptop-90.hahn.de,St. Martin,DE,02:47:53,Russian
Europe/Helsinki,41.546154,"1,24 €",Eberth,2013-12-04 15:22:33,ln,1984-05-04,94.604310,2017-04-25T18:39:41,Beispiel.mp3,3a:44:27:65:74:e0,171907,laptop-51.jessel.de,São Tomé und Príncipe,DE,04:23:31,Kalaallisut
America/Indiana/Marengo,48.632506,"8,37 €",Hethur Loos GmbH,2015-01-22 16:48:29,kw,2004-01-07,-127.594913,1983-07-17T02:23:59,Zahl.mov,32:46:f1:79:e4:88,26,srv-91.rogner.net,Norfolkinsel,DE,10:06:53,Yiddish
Asia/Ulaanbaatar,-58.868904,"683,67 €",Kohl Trupp GmbH,1976-11-30 13:42:55,cy,1995-05-20,12.734116,2019-04-10T13:47:47,schauen.mov,4b:e3:bc:3c:2d:6e,937,web-13.steckel.com,Nigeria,DE,10:28:44,Finnish
Europe/Prague,-4.338078,"8.525,82 €",Höfig AG & Co. KGaA,1970-09-02 10:29:16,si,2016-10-31,29.575195,1990-05-19T09:14:07,Glas.json,97:e6:be:3e:8e:91,63040656,desktop-21.aumann.com,Mosambik,DE,12:20:37,Inuktitut
Africa/Conakry,-2.169941,"50,22 €",Jacob Dobes e.V.,1990-11-24 19:14:31,om,1993-05-25,-63.071359,2005-03-27T03:53:56,Monate.pages,20:ee:79:14:24:15,137,laptop-78.ritter.com,Sonderverwaltungszone Macao,DE,11:15:24,Danish
Europe/Berlin,7.715905,"764,04 €",Buchholz AG,2007-03-10 12:58:25,csb,1975-03-30,22.233942,1971-03-05T20:10:20,am.html,54:11:64:c3:d0:fa,379862833,lt-04.schacht.com,Antarktis,DE,13:52:30,Urdu
Africa/Accra,-10.1728195,"977,60 €",Gehringer AG,1985-10-10 11:10:27,ca,2022-02-17,22.731626,1989-12-15T14:20:56,fast.mp4,99:ba:f4:db:12:72,1936,lt-52.wulff.net,Dschibuti,DE,00:30:39,Hiri Motu
America/Guatemala,81.6027695,"552,99 €",Naser Benthin GbR,2011-10-30 23:26:42,th,1996-06-28,131.766334,2000-01-15T21:15:52,aus.bmp,85:7e:51:05:03:b5,13555,lt-99.stadelmann.de,Liberia,DE,04:29:20,Somali
Europe/Ljubljana,-27.584556,"359,87 €",Drub GmbH & Co. KG,2012-09-25 00:38:24,ln,2016-10-15,28.387331,2010-07-28T01:59:45,Wort.wav,ce:ed:ed:34:1e:e7,1687,lt-93.mielcarek.org,Kuba,DE,00:00:42,Chinese
Pacific/Nauru,-25.608752,"48.931,98 €",Herrmann,1977-11-08 18:04:17,bs,2002-08-27,-78.849533,1994-03-01T06:32:13,mal.jpeg,73:2a:6f:79:4b:5f,49923,laptop-40.ditschlerin.de,Demokratische Republik Kongo,DE,19:02:24,Bislama
Africa/Kigali,-84.098617,"22.228,33 €",Jockel Atzler KG,1989-07-02 18:04:08,hak,2000-03-22,136.474397,1985-05-18T23:34:52,erklären.pages,0f:e9:0c:8f:a8:b6,648410,web-03.losekann.org,Mayotte,DE,13:14:44,Gujarati
Europe/Sofia,69.675189,"172,68 €",Nohlmans GbR,2012-12-16 09:53:39,fur,2003-01-23,78.221164,2009-02-19T11:58:47,schreiben.gif,ce:1d:1f:6f:8e:06,45298,srv-32.schinke.net,Niue,DE,10:54:30,Assamese
Pacific/Nauru,68.449302,"4,76 €",Ullmann,2023-08-25 23:13:40,pl,1971-04-22,-61.990508,1985-11-20T12:08:17,Minutenmir.txt,24:44:d8:80:52:83,50,db-83.rosenow.net,Guadeloupe,DE,07:44:20,Chechen
Asia/Hebron,62.3003215,"87.692,36 €",Heinrich AG & Co. OHG,2018-04-08 12:38:43,kok,2005-07-06,111.568313,2007-02-07T20:36:32,verstehen.gif,d1:ee:24:55:c5:f6,75575051,db-32.heuser.com,Tokelau,DE,23:46:08,Chichewa
Europe/Berlin,77.857260,"6,94 €",Bolnbach AG,2020-08-19 20:45:30,ckb,1987-09-19,127.475673,2013-03-14T00:14:49,Tür.mov,a5:f8:50:f4:0d:76,173858104,email-04.ortmann.org,Guernsey,DE,00:22:40,Russian
Asia/Karachi,-72.976228,"156,28 €",Wilms KG,2008-01-08 18:25:10,km,1994-10-09,-169.981752,2004-01-24T21:58:10,kommen.mp3,37:08:ba:95:1d:78,98605,srv-33.gierschner.net,Ägypten,DE,19:36:17,Xhosa
Africa/Algiers,78.490874,"47,42 €",Rosenow,2009-12-08 12:02:41,niu,2009-11-14,-55.010350,2020-07-21T13:31:01,von.json,ac:52:60:65:6f:05,854,db-69.pohl.de,Tansania,DE,14:11:58,Ndonga
Pacific/Kiritimati,42.3172605,"5.101,97 €",Meister Killer GbR,1986-05-10 12:28:21,gu,2006-07-29,-164.482669,2002-08-04T22:31:58,Land.png,89:e4:33:9f:f9:1d,86936,db-68.berger.com,Norfolkinsel,DE,22:54:11,Marathi
Africa/Nairobi,21.1841605,"73,00 €",Davids,1986-07-31 11:14:01,apn,1991-07-01,43.085300,2014-01-11T03:19:35,neben.js,74:c2:04:91:2b:a8,7844,lt-37.margraf.com,Barbados,DE,20:35:56,Oriya
Asia/Tokyo,-76.165460,"696,62 €",Jacob GmbH & Co. OHG,1974-06-13 03:12:32,dz,2000-11-18,-30.696203,1988-11-15T07:23:50,Buch.xlsx,d4:b3:dd:0b:fc:60,146,email-06.bonbach.de,Guernsey,DE,19:49:47,Persian
Europe/Lisbon,13.8905635,"1,05 €",Jacobi Jäckel Heydrich GbR,1999-11-04 06:31:23,tt,2012-03-23,93.354295,1990-09-13T18:27:26,Glas.mp3,ce:fb:c7:ac:91:d3,5,desktop-95.hecker.net,Samoa,DE,13:51:54,"Sotho, Southern"
Asia/Singapore,70.0198265,"7.390,71 €",Zirme Jacob GmbH,2015-08-14 11:34:30,yue,1970-11-23,-63.147056,2000-09-22T23:16:18,mit.csv,81:17:34:37:99:0b,268,laptop-39.kade.com,Dschibuti,DE,05:25:55,Turkmen
Asia/Rangoon,81.2861745,"0,52 €",Ullrich Lachmann e.V.,2005-03-08 16:34:22,tk,1986-10-10,123.663561,1982-03-24T04:26:25,glauben.bmp,d2:03:f1:bd:fc:a5,22060,db-17.ebert.org,St. Lucia,DE,21:41:55,Bashkir
America/Tegucigalpa,-4.825776,"4.186,33 €",Biggen KGaA,2023-08-27 21:24:46,bo,1988-08-21,-126.018599,2017-01-08T20:24:52,Haus.ppt,38:b7:2e:d1:78:23,4,email-13.trommler.com,Mosambik,DE,20:38:12,Polish
Africa/Abidjan,28.514729,"20,56 €",Scheel Rädel AG & Co. OHG,1983-07-10 01:54:18,ts,2020-05-06,-23.016947,1976-07-13T23:00:41,heiß.csv,da:82:fb:bb:d2:db,95,desktop-81.dippel.de,Irak,DE,01:00:36,English
America/Guatemala,42.1618765,"2,75 €",Pärtzelt GmbH & Co. KG,2004-09-26 21:46:01,cy,2021-02-18,-17.842475,1999-08-23T08:25:32,draußen.html,f6:f4:48:50:2e:38,67,laptop-03.bolander.de,Italien,DE,10:06:41,Abkhazian
America/Montevideo,-55.569926,"6.521,06 €",Klemm GmbH,1990-09-23 11:23:32,ckb,2009-10-17,99.812843,2001-02-22T00:59:20,genau.tiff,5c:b5:70:b3:42:8e,347008237,db-93.scheel.com,Niederländische Antillen,DE,00:36:24,Vietnamese
Europe/Monaco,-62.0838065,"1.617,96 €",van der Dussen AG & Co. KGaA,1971-07-10 06:54:27,th,1971-07-22,-36.823355,1983-09-12T20:16:33,ließ.jpeg,17:34:a3:93:d9:c2,945232,web-61.muehle.com,Eritrea,DE,00:57:53,Breton
Australia/Brisbane,-77.451656,"13,51 €",Bähr Finke GmbH & Co. KGaA,1996-07-20 01:44:24,doi,1982-06-01,-112.406961,2021-12-29T14:56:28,neben.jpg,db:c8:1f:27:b1:a2,69062,lt-22.ehlert.org,Jordanien,DE,15:46:46,Aragonese
Africa/Banjul,1.355861,"5,74 €",Hiller,2014-06-22 13:46:39,lo,2013-07-09,-92.050538,1984-11-16T05:30:24,lieb.pdf,65:7b:6e:93:c2:e5,3,lt-35.dobes.de,Westsahara,DE,05:13:11,Ossetian
Pacific/Funafuti,-0.3449315,"54.340,32 €",Söding Nohlmans KG,2022-12-26 05:24:54,lzh,1978-11-30,143.478391,1985-04-25T18:09:43,trinken.mp4,58:96:b8:74:e5:ff,17076,web-65.hornig.de,Malaysia,DE,14:48:43,Hindi
Europe/Oslo,-36.976728,"32.155,12 €",Weiß Schleich GmbH & Co. OHG,1994-12-31 20:27:36,sat,2018-11-16,-3.730813,1994-03-11T11:58:09,Auto.gif,f7:a5:b2:fe:13:29,6113,web-17.klapp.de,Svalbard und Jan Mayen,DE,17:50:32,Estonian
America/Detroit,49.541971,"5.898,40 €",Täsche Gude AG & Co. KG,2008-08-20 05:57:58,li,2019-04-27,-128.997258,2015-02-21T10:34:32,fröhlich.odt,96:89:a6:5f:ca:ed,8279,db-45.trub.com,Tschechische Republik,DE,23:04:54,Uzbek
America/Panama,-24.8415445,"7.641,47 €",Berger KG,1982-10-09 16:29:16,uk,1996-01-12,-161.122818,2011-09-26T18:30:11,oben.wav,14:63:ef:da:06:bf,7310495,db-04.flantz.de,Vatikanstadt,DE,09:17:44,Herero
Africa/Khartoum,-3.9568305,"19,64 €",Seifert,2015-02-07 01:16:22,az,1993-01-27,-35.884023,2012-04-16T16:51:40,ruhig.mp3,d9:f3:a1:a7:53:71,866137,desktop-53.gunpf.com,Mauritius,DE,20:08:20,Venda
Europe/Luxembourg,-30.2277565,"2.153,01 €",Kuhl,1982-07-16 07:30:20,ve,2022-05-05,3.412340,1972-03-07T09:08:45,fallen.tiff,8b:62:cd:d5:aa:6b,97,web-30.pergande.com,Uruguay,DE,10:40:59,Inuktitut
Asia/Manila,47.4445125,"58.194,75 €",Heintze Eberhardt GmbH,2017-08-16 15:30:10,yue,2014-12-06,175.964918,2014-07-27T19:26:20,Küche.wav,9c:a9:96:1e:ca:d4,752,email-35.trub.de,Somalia,DE,02:29:20,Basque
Pacific/Guadalcanal,-77.3651545,"6,23 €",Bauer GmbH & Co. KG,1984-08-11 04:17:37,ug,2004-10-20,113.862080,1985-10-19T21:16:10,dauern.mp3,91:97:b9:55:d8:f0,2813,srv-27.doering.com,Armenien,DE,12:35:35,Pali
Asia/Tokyo,85.8572405,"746,55 €",Kabus,1981-01-15 18:23:02,sk,1978-04-21,-28.052855,2002-05-21T09:56:01,einige.png,7f:27:d6:77:e6:a1,84238048,email-90.rust.com,Indonesien,DE,21:54:41,Wolof
Africa/Ndjamena,-43.101005,"97.955,77 €",Textor Heß GmbH,1991-05-24 01:01:05,ik,2000-05-21,-110.563600,1984-05-19T17:01:19,über.html,95:aa:a6:e7:27:49,853228564,desktop-33.hering.com,Ukraine,DE,00:12:01,Dzongkha
Europe/Vienna,63.828300,"356,10 €",Striebitz AG,1983-02-25 19:08:10,ja,1995-03-18,-48.644829,2006-12-24T21:01:19,Kind.mp3,b5:2b:31:14:23:34,4,db-21.niemeier.de,Demokratische Republik Kongo,DE,05:58:16,Tagalog
Europe/Bucharest,19.430805,"595,37 €",Martin,2001-01-10 21:28:43,quz,1973-11-15,7.274382,1985-01-25T14:27:56,Spiel.mov,f0:e8:08:55:28:ad,796070728,db-79.hornich.net,Niger,DE,12:13:52,Indonesian
Asia/Chongqing,-14.240308,"58.340,71 €",Jessel,1981-10-22 07:32:41,tcy,1978-08-10,-86.736729,2014-06-25T06:48:08,Vater.txt,5b:f5:9a:1c:25:ea,91686,srv-73.pohl.de,Tuvalu,DE,04:23:06,Maori
Asia/Phnom_Penh,-39.653357,"45,51 €",Anders,2020-05-23 00:31:36,si,1987-10-08,87.980125,2022-04-06T15:21:14,schlagen.mp4,b2:ab:ee:b8:e2:15,15868,lt-17.schacht.org,Panama,DE,19:35:39,Chechen
America/Antigua,78.751700,"42,67 €",Karz Stiftung & Co. KG,2002-10-02 10:46:00,en,1997-11-05,-76.811944,1992-09-10T06:19:14,als.ods,18:c4:ae:75:e0:ad,9,db-48.caspar.com,Frankreich,DE,02:56:43,Ossetian
America/St_Kitts,16.7518585,"8.125,31 €",Wilms Walter GmbH,2021-07-27 04:29:55,hy,1984-05-15,-14.233920,2010-02-20T16:01:21,ganz.gif,57:8d:11:38:a2:97,2944723,web-13.kuehnert.de,Pakistan,DE,15:13:16,Sardinian
Africa/Djibouti,-69.7440965,"2,54 €",Renner,2006-04-22 08:50:01,xh,1987-05-24,100.974655,2020-06-01T02:56:19,durch.gif,7a:8c:08:27:f5:bf,366841,srv-94.finke.org,Mikronesien,DE,01:11:57,Sango
Africa/Dar_es_Salaam,-30.1244365,"30,53 €",Gorlitz Gutknecht Stiftung & Co. KG,1981-03-19 03:32:02,mn,2002-08-03,-136.380198,1976-09-14T04:29:11,erschrecken.mp3,81:70:e2:e6:ea:76,0,db-18.hermann.net,Britisches Territorium im Indischen Ozean,DE,08:58:51,Mongolian
Asia/Amman,44.1300665,"64.997,34 €",van der Dussen GbR,1986-07-06 17:54:02,yi,2009-09-17,-119.193110,1974-02-03T17:38:03,Leute.avi,90:5e:f8:c1:20:f0,168,lt-21.etzold.com,Frankreich,DE,11:37:05,Tibetan
America/Argentina/Jujuy,-0.2595225,"87,24 €",Vollbrecht AG,2020-04-30 12:42:42,sat,1996-01-16,-141.680383,1984-10-26T17:24:08,weit.jpeg,00:e7:b7:7f:5b:24,171,desktop-09.hermann.net,St. Kitts und Nevis,DE,06:59:25,Uzbek
Europe/Berlin,25.9664355,"59,42 €",Weiß GbR,1981-04-04 06:35:49,fa,2017-04-17,-141.681616,1979-02-04T05:01:07,schnell.mp3,7b:b8:30:fe:3e:99,4771,db-90.girschner.de,Montserrat,DE,00:44:50,Sindhi
Pacific/Auckland,-38.0638215,"626,39 €",Kallert,1980-06-23 19:48:02,pl,1980-07-26,-103.589656,2003-01-15T15:35:12,Spaß.flac,c3:2b:3b:3e:52:ed,72,db-26.gotthard.com,Belgien,DE,08:26:06,German
Asia/Katmandu,12.206470,"40.756,89 €",Heinz Finke Stiftung & Co. KG,2010-02-08 10:41:04,si,1990-01-22,48.890214,2002-12-21T19:00:46,Sache.mp4,3e:e6:5b:b0:13:f0,404,web-56.gerlach.com,Albanien,DE,17:47:58,Tatar
Europe/Riga,-7.242104,"86,60 €",Radisch,2000-02-13 13:59:12,mk,1974-05-18,80.694864,1975-05-28T16:14:45,Gott.mov,be:0e:9e:06:9e:d5,14976,web-49.schoenland.com,Venezuela,DE,21:13:08,Tatar
Africa/Blantyre,-64.0508135,"3,01 €",Baum KG,2005-02-26 07:44:13,wal,1987-01-07,-163.393763,1975-10-20T21:58:06,können.docx,6d:1f:00:44:6e:97,127644,db-55.wernecke.org,Kaimaninseln,DE,16:58:08,Chinese
Asia/Singapore,19.828603,"52,87 €",Bauer Radisch GmbH & Co. KG,1997-11-02 19:23:57,kw,1995-03-13,-65.723692,1997-03-03T07:39:07,Feuer.html,96:a1:44:39:e1:54,16,lt-17.junck.com,Mayotte,DE,05:21:24,Uighur
Pacific/Nauru,-8.9818765,"13,20 €",Bachmann Lehmann GmbH,1979-07-07 05:00:20,ce,1985-05-29,108.137337,2002-03-16T21:14:34,stellen.webm,06:f8:21:8f:10:6f,69045,db-94.hellwig.de,Barbados,DE,00:16:33,Uzbek
Europe/Luxembourg,-62.8347465,"65.896,74 €",Gorlitz Lorch AG,2021-08-09 05:37:43,doi,2000-10-13,-81.906841,1999-12-09T13:37:47,dick.css,56:f5:57:0b:a2:8d,8,desktop-74.putz.com,Tonga,DE,01:12:08,Armenian
Asia/Vientiane,29.113860,"530,99 €",Cichorius Margraf KG,1970-07-19 03:20:16,rw,1982-08-06,92.819696,2001-04-02T16:18:36,Vater.odt,8d:15:30:ca:e1:1e,8592741,desktop-72.jockel.com,Äquatorialguinea,DE,03:25:28,Arabic
America/Argentina/Buenos_Aires,-13.318395,"5.910,66 €",Berger KGaA,2010-04-04 04:30:04,yo,1979-09-20,-72.639602,1979-02-27T15:22:04,Hand.mp4,a0:f9:02:1c:6a:16,3,srv-97.davids.com,Finnland,DE,08:02:36,Irish
Africa/Lubumbashi,-11.5637095,"59,75 €",Bärer Hettner Stiftung & Co. KG,1997-03-12 12:12:52,ia,2011-07-12,-75.355787,1983-08-01T09:19:51,nimmt.js,d0:3a:1e:7a:24:7d,865870895,srv-84.reising.de,Kuwait,DE,23:06:50,Urdu
Asia/Bangkok,87.173190,"71,18 €",Seip,1998-04-10 02:20:12,ar,2003-04-07,137.660808,1996-06-14T04:53:53,halten.mp3,d2:5f:25:74:38:a6,865,email-78.hentschel.com,Tschad,DE,22:54:23,Abkhazian
America/Costa_Rica,52.7662615,"195,72 €",Stahr Jäntsch AG & Co. OHG,1989-02-10 11:16:32,tt,2021-07-02,121.157733,1999-05-18T09:18:36,Feuer.flac,b7:91:09:66:ae:c9,538994840,laptop-77.zimmer.de,Tansania,DE,15:13:30,Herero
Africa/Gaborone,89.7355585,"8.718,81 €",Seip,1979-11-14 15:37:05,wae,2022-09-08,-66.448780,1977-03-21T06:30:49,Zug.html,8f:f1:fe:f7:4a:ea,64821298,web-72.carsten.de,St. Lucia,DE,06:20:31,Russian
America/Bogota,55.973674,"425,90 €",Roskoth Rose GmbH & Co. OHG,2000-08-10 21:38:52,sw,2012-12-16,35.911635,1979-01-01T18:20:55,wahr.html,b4:2c:8b:83:c9:49,1,web-81.heintze.net,Kasachstan,DE,14:33:41,Pali
Europe/Bratislava,-56.796655,"6.175,05 €",Boucsein,1970-05-19 01:46:33,iw,1974-02-18,-72.199913,1972-02-03T06:52:55,alt.webm,a5:4c:75:1a:b5:10,540,email-68.kabus.com,Malta,DE,19:21:50,Bengali
America/Santo_Domingo,28.175567,"7.006,59 €",Tlustek Mälzer AG & Co. OHG,2005-01-26 09:26:55,ig,2014-12-08,1.973641,1983-08-04T18:18:22,dort.ods,4e:6d:88:f6:79:28,8083,desktop-68.maelzer.de,Algerien,DE,11:07:56,Navajo
Asia/Rangoon,31.642694,"105,87 €",Vollbrecht OHG mbH,2021-07-22 19:52:56,my,2017-08-15,68.960519,1991-05-10T12:23:36,mich.js,60:45:11:28:0c:ae,376760100,desktop-77.hesse.de,Bermuda,DE,11:39:50,Limburgan
Asia/Saigon,-22.1906275,"880,77 €",Anders KGaA,2015-01-05 00:46:59,uz,1970-07-09,-175.436469,1982-06-18T23:01:09,blau.mov,34:ab:7b:51:fa:86,225,srv-63.stahr.com,Tansania,DE,10:46:51,Arabic
Europe/Rome,-74.148969,"8.992,90 €",Schwital Löwer AG & Co. KGaA,1987-03-26 13:25:40,or,1997-07-02,-20.494827,1974-06-30T22:16:47,Schiff.odt,3b:d1:71:79:d2:ef,55358995,srv-19.ullrich.de,Vereinigte Staaten,DE,01:31:29,Hiri Motu
Europe/Riga,-84.927859,"1.196,04 €",Beer e.G.,1999-12-30 00:32:05,brx,2005-12-10,-84.038552,1974-01-13T11:45:22,der.tiff,4c:f6:d2:7d:f4:33,7009488,db-20.auch.org,Isle of Man,DE,08:49:06,Basque
Africa/Maputo,3.753634,"9,91 €",Wernecke Beyer AG & Co. OHG,2011-06-30 00:06:22,cs,1975-01-14,-13.034595,1983-01-02T12:50:23,Blume.jpg,2e:37:0e:4f:03:50,54329418,db-02.henck.org,Lettland,DE,08:08:10,Swati
Europe/Belgrade,-76.002805,"26.987,76 €",Segebahn e.V.,1983-02-19 03:36:20,ur,2006-01-08,-138.154374,2007-07-21T23:25:35,uns.xls,5a:8c:93:b3:73:3b,550515165,email-38.stumpf.org,Peru,DE,13:48:26,Korean
