timezone,random_number,bank_country,longitude,time,country,language_code
Africa/Accra,8,CH,-66.886625,16:23:21,Mozambique,id
Africa/Lagos,464893555,CH,-69.696166,21:42:32,Republic of Ireland,brx
Pacific/Majuro,8625,CH,-61.121161,19:47:47,Trinidad and Tobago,cv
America/Mexico_City,72045544,CH,-141.044615,01:19:30,Denmark,fo
Africa/Malabo,7896087,CH,-118.052077,06:00:03,Peru,st
Australia/Lindeman,33960014,CH,-140.740260,05:58:29,Palestine,ti
Europe/London,49538,CH,-111.897448,21:42:30,Gabon,brx
Australia/Currie,175,CH,-112.654788,06:15:15,Republic of the Congo,tcy
Europe/Stockholm,71,CH,155.683266,10:54:19,Dominican Republic,et
Africa/Khartoum,1731686,CH,-88.202259,06:51:23,Jamaica,he
Europe/Prague,63,CH,52.262301,22:29:58,Panama,mg
Asia/Calcutta,92614828,CH,-44.583439,07:26:05,Poland,el
Europe/Zagreb,49,CH,-131.261874,09:36:27,Egypt,pap
America/Jamaica,58097,CH,-59.547040,08:16:27,Ecuador,kn
Africa/Maseru,6177,CH,-22.166692,23:46:21,Palau,zh
America/Managua,5,CH,32.166886,08:32:31,Comoros,ps
Asia/Tokyo,623368911,CH,142.452075,11:15:38,Angola,ln
Africa/Luanda,10549,CH,-20.055454,14:42:58,Tunisia,shs
Africa/Monrovia,11,CH,-68.625959,09:15:10,Finland,ayc
Asia/Tehran,95368240,CH,73.377383,17:57:45,Myanmar,ha
Pacific/Ponape,2,CH,161.028894,22:22:38,Malta,wal
Asia/Almaty,5728907,CH,-95.945148,12:34:43,People's Republic of China,quz
Indian/Comoro,194,CH,87.584623,16:07:44,Israel,gez
Africa/Kigali,1248,CH,167.000219,19:48:13,Tanzania,km
Asia/Phnom_Penh,5077,CH,-34.420301,17:08:26,Niger,mt
Pacific/Efate,9934,CH,-132.368080,14:07:23,Uganda,sd
Asia/Thimphu,1447410,CH,-156.465740,00:20:20,Thailand,gv
Asia/Tbilisi,5414,CH,-12.487457,23:04:55,Czech Republic,aa
Europe/Sarajevo,6153922,CH,-13.330134,17:31:20,Germany,tt
Africa/Khartoum,70505,CH,117.193497,09:05:19,Spain,et
Africa/Banjul,93494996,CH,125.466287,20:58:48,Nicaragua,bem
Africa/Bujumbura,3452788,CH,2.690523,13:54:55,Botswana,bem
Europe/Vaduz,46905,CH,161.157717,23:06:26,Bulgaria,tcy
America/Bogota,40,CH,-106.428401,03:24:50,Zimbabwe,uz
Africa/Kampala,53,CH,9.338968,09:51:55,Philippines,eu
Africa/Luanda,3515553,CH,-138.390200,22:07:42,Liechtenstein,ug
Africa/Freetown,493586650,CH,-44.871463,12:05:48,Cape Verde,sid
Africa/Conakry,9891600,CH,-52.164801,11:03:38,Malta,tk
Africa/Casablanca,82,CH,-137.399089,08:40:25,Nicaragua,hak
Pacific/Funafuti,99,CH,82.145048,03:48:32,Dominican Republic,nl
Africa/Cairo,7562419,CH,-95.267239,20:32:03,Moldova,ht
Europe/Vilnius,6,CH,164.018472,14:34:35,Egypt,da
Pacific/Palau,663886984,CH,3.919408,03:10:11,Trinidad and Tobago,yi
America/Lima,78529,CH,88.330426,18:11:24,Belize,kn
Europe/Helsinki,902596132,CH,-113.177831,09:19:08,Myanmar,ug
Indian/Mauritius,553456,CH,-157.875118,19:16:02,Republic of Ireland,hak
America/Rainy_River,219545,CH,-84.383243,19:38:25,Lebanon,lzh
Asia/Vientiane,62354562,CH,-140.075712,03:45:49,North Korea,kl
Europe/Oslo,18246961,CH,-110.895216,19:51:58,Fiji,gez
Africa/Abidjan,9,CH,-77.363594,20:12:52,Saudi Arabia,ta
America/Regina,31665990,CH,31.453590,04:22:08,Togo,ka
America/Belize,9,CH,67.581956,07:13:24,Jordan,zh
Asia/Rangoon,4,CH,-79.497983,01:46:15,Afghanistan,as
Asia/Tokyo,5,CH,-28.704680,21:15:22,Burundi,tr
Africa/Conakry,952308010,CH,70.934209,14:51:23,Bolivia,bs
Africa/Tripoli,8844,CH,20.741741,23:25:33,Singapore,ne
Asia/Baku,940408754,CH,84.701823,23:25:38,Bhutan,cmn
Europe/Vilnius,7046,CH,173.307325,22:24:44,Kenya,iu
Asia/Calcutta,1549,CH,-49.179221,23:27:06,Palestine,hak
Europe/Sofia,461338,CH,-87.091419,03:35:00,Ukraine,wo
Asia/Baghdad,214,CH,-71.023120,00:07:45,Myanmar,ayc
Asia/Jerusalem,5,CH,102.428905,04:56:04,Afghanistan,nds
Europe/Amsterdam,3086579,CH,-63.754079,03:30:54,Tuvalu,bem
Africa/Porto-Novo,6004981,CH,-35.205719,21:45:50,Kingdom of the Netherlands,yue
Indian/Mauritius,79,CH,177.964873,04:50:48,Trinidad and Tobago,fr
Europe/Zagreb,580,CH,-45.231922,18:02:28,Syria,ko
Africa/Lome,763,CH,-66.224656,09:07:19,Zambia,eo
Europe/Chisinau,85259,CH,-141.028691,09:12:06,Cameroon,ug
Africa/Bangui,382673,CH,95.296870,09:42:53,Somalia,sr
Africa/Porto-Novo,3,CH,-72.582821,13:07:36,Taiwan,ur
Asia/Karachi,35,CH,-118.889282,23:20:37,Italy,hak
Asia/Qyzylorda,7098081,CH,-1.304238,12:27:48,Marshall Islands,nhn
America/St_Kitts,424849882,CH,3.033188,17:21:57,Dominica,ro
Europe/Istanbul,24,CH,158.751695,18:26:43,Slovenia,tt
Asia/Singapore,2189944,CH,40.675490,06:49:47,Togo,lzh
Europe/Malta,9635490,CH,122.846809,22:29:21,Dominican Republic,sk
Asia/Harbin,8,CH,-136.448286,22:22:49,Oman,am
Africa/Conakry,637,CH,49.093116,12:58:21,Panama,am
Africa/Tripoli,3,CH,99.142646,17:39:04,Djibouti,shs
Europe/Sarajevo,0,CH,-37.923008,00:22:17,Ethiopia,bn
Europe/Monaco,4,CH,53.423803,17:40:54,Guatemala,ak
Pacific/Apia,37,CH,10.195902,00:34:51,Estonia,hak
America/Grenada,62003,CH,-7.578770,03:22:44,Guatemala,ja
Asia/Damascus,9469,CH,162.738229,10:53:05,Afghanistan,iu
Asia/Phnom_Penh,127563271,CH,-100.202504,15:50:15,East Timor,om
Australia/Perth,684,CH,-119.111922,21:51:49,Belgium,sv
Pacific/Port_Moresby,315063294,CH,127.731770,05:06:35,Cameroon,eo
Europe/Malta,56,CH,112.659275,22:37:26,Botswana,ht
Asia/Kabul,43767970,CH,-30.329471,21:46:38,Lesotho,zh
Europe/Luxembourg,378,CH,65.731059,05:14:01,Maldives,pa
Europe/Vilnius,83,CH,120.262113,01:55:41,Azerbaijan,pl
Africa/Casablanca,67897,CH,142.247780,21:01:20,Tonga,wal
America/Guayaquil,33582,CH,76.508270,20:25:42,Djibouti,wa
America/El_Salvador,772,CH,-4.409339,14:38:15,Democratic Republic of the Congo,ks
Asia/Tbilisi,6,CH,46.036736,16:50:54,Sierra Leone,csb
Europe/Zagreb,8610958,CH,6.673048,11:38:16,Zimbabwe,ro
America/Guyana,9674593,CH,68.684921,10:14:56,Mali,lv
Europe/Luxembourg,298,CH,36.751765,14:12:45,Czech Republic,vi
Europe/Riga,438,CH,115.215326,21:58:27,Japan,os
Africa/Nouakchott,387,CH,140.715017,17:38:38,Tunisia,tr
Africa/Mogadishu,678,CH,-35.505240,15:26:16,Burundi,ve
America/Grenada,111125782,CH,18.641166,03:30:39,Algeria,az
Europe/Vilnius,9,CH,40.206499,13:24:13,Russia,wo
America/Montevideo,3,CH,-77.666561,09:11:44,Sweden,sw
Atlantic/Canary,994539383,CH,6.754540,20:04:28,Taiwan,byn
Africa/Porto-Novo,6410634,CH,33.326667,17:56:55,Tunisia,shs
America/Tegucigalpa,6232,CH,140.105400,20:28:59,Finland,ve
Europe/Andorra,671151304,CH,35.935510,14:28:42,Benin,mk
Europe/Sarajevo,5300592,CH,-130.141473,05:41:44,Swaziland,sc
Asia/Taipei,796551608,CH,6.714916,11:35:08,Indonesia,an
Africa/Monrovia,96,CH,-163.950684,19:08:00,Germany,bho
Asia/Taipei,942845,CH,164.636668,12:27:17,Monaco,he
Pacific/Chatham,3809131,CH,121.566067,03:32:50,Palau,ms
Africa/Malabo,596832,CH,-134.780516,01:37:45,Ethiopia,hy
Europe/Berlin,7235,CH,159.009227,16:28:36,Equatorial Guinea,dz
America/Montevideo,72858358,CH,-44.596538,09:45:12,Tajikistan,ha
Europe/Madrid,6665922,CH,-86.826318,01:18:53,Montenegro,dv
America/Cancun,9,CH,-10.693955,07:46:54,Mongolia,si
Europe/Belgrade,4493,CH,121.467048,23:55:51,Bahrain,pt
Europe/Skopje,250818,CH,73.821747,05:55:19,Sri Lanka,hne
