mac_address,hostname,file_name,latitude,city,date,pricetag,timezone
45:ee:95:98:41:f7,web-51.christoph.de,Arbeit.gif,57.726029,Diepholz,1973-04-02,"6,87 €",Asia/Manila
83:92:af:16:29:a0,db-43.austermuehle.de,freuen.mp4,-6.677458,Sömmerda,2015-05-04,"7,05 €",Asia/Aden
ba:2d:38:af:9f:7d,laptop-68.kaul.de,Abend.pdf,44.4793085,Mittweida,2008-12-19,"4.818,15 €",Asia/Singapore
01:40:47:44:51:58,web-68.ruppersberger.com,Bruder.mp4,68.790524,Kötzting,2002-09-23,"68.861,80 €",Pacific/Fiji
5d:02:bc:26:2a:65,db-18.karz.de,Geschenk.flac,-65.102477,Waldmünchen,1978-01-11,"28,51 €",Europe/Sarajevo
c9:80:a0:f1:fc:70,lt-93.hahn.net,Herz.docx,88.793243,Calw,2004-07-05,"95.641,32 €",Africa/Malabo
57:ef:3c:b5:90:c0,db-13.baum.com,Ding.wav,-60.8018005,Jessen,2019-09-21,"991,24 €",Africa/Niamey
61:bb:53:e2:70:38,laptop-01.taesche.de,Fußball.flac,85.875682,Roding,2008-06-14,"1,56 €",America/Belem
9e:bb:e1:44:8b:d6,laptop-01.hess.de,Vogel.key,30.117580,Aue,2005-12-01,"507,07 €",America/El_Salvador
2c:d7:c1:e8:af:f3,email-14.hahn.com,mich.png,63.556905,Jessen,1981-08-17,"96,92 €",Europe/Chisinau
65:52:bf:0f:c5:7b,db-85.jessel.de,Leute.mov,60.2298955,Kitzingen,1995-06-14,"528,19 €",America/Caracas
f9:59:08:20:00:16,desktop-44.fiebig.de,Wiese.avi,44.449772,Göttingen,2013-01-17,"9,84 €",Africa/Sao_Tome
d7:c5:a9:9e:5a:6a,db-33.eigenwillig.org,später.gif,48.534139,Eisleben,1981-12-24,"2,28 €",Indian/Mauritius
c9:ba:7e:56:09:57,desktop-68.bruder.net,früh.webm,16.2102995,Wittenberg,2008-05-26,"54,83 €",Asia/Vientiane
1a:b6:00:56:60:b7,desktop-73.trapp.de,kaufen.mp3,19.058987,Heinsberg,1975-01-02,"31.866,11 €",Africa/Tunis
06:23:0d:ae:e9:32,srv-64.jacobi.de,drehen.xls,37.7495445,Füssen,1987-02-18,"32,17 €",Pacific/Efate
7f:6a:2b:07:fb:81,lt-05.schweitzer.com,böse.jpg,-79.596964,Genthin,2014-06-30,"7.992,68 €",Africa/Lubumbashi
57:b2:d4:77:ae:72,desktop-65.mueller.net,es.pdf,-52.405773,Eberswalde,2014-02-05,"75.148,26 €",America/Montevideo
6d:d9:1d:89:5d:9b,lt-33.sorgatz.org,versuchen.pages,-66.3837655,Merseburg,1998-12-16,"7,16 €",Africa/Harare
d1:14:62:04:b4:32,db-30.graf.net,vorbei.tiff,88.7636305,Ueckermünde,1980-03-29,"19,09 €",America/Jamaica
33:ab:99:ee:ff:c8,laptop-17.koch.net,darauf.webm,69.451301,Querfurt,1982-01-07,"6.427,33 €",America/Cancun
d0:a8:8f:e5:be:98,desktop-61.wilmsen.de,wenig.docx,-53.990089,Fallingbostel,2008-11-23,"4.307,25 €",Asia/Gaza
c0:a1:65:9b:b6:77,email-05.beer.de,nicht.jpeg,-10.2435645,Parchim,1972-09-01,"35,26 €",Pacific/Enderbury
5c:66:56:2d:7d:9a,lt-53.harloff.net,dazu.jpeg,45.9879465,Schlüchtern,2009-12-27,"9,96 €",Europe/Malta
90:a3:fa:ff:4b:c3,email-71.jockel.org,Haare.json,-50.621394,Ochsenfurt,2004-05-09,"80.483,89 €",America/Costa_Rica
a5:5b:af:bb:bd:f4,lt-91.ring.de,Essen.wav,-26.2302205,Mettmann,1999-04-28,"2,15 €",Europe/Bratislava
de:13:1b:6a:84:5b,desktop-30.jaehn.net,einfach.mp3,19.7165685,Neuruppin,1980-12-14,"8,15 €",Europe/Paris
7d:7f:bd:5c:7c:dd,lt-67.patberg.com,verlieren.html,-4.8001295,Bernburg,2005-03-07,"88,03 €",America/Antigua
2b:e6:e8:39:58:15,email-54.segebahn.com,neu.css,-47.983436,Starnberg,1996-06-15,"2.832,73 €",America/St_Vincent
bc:d1:27:35:ca:9d,lt-00.cichorius.com,Kind.js,-45.658164,Ebern,1987-11-12,"6.174,02 €",Africa/Brazzaville
7a:f2:e0:c4:93:5c,lt-73.matthaei.com,Luft.pages,61.008413,Mühlhausen,2001-10-09,"2.591,74 €",Europe/Dublin
6c:90:24:c0:74:0b,db-43.kade.com,weiß.wav,-86.192195,Holzminden,1997-10-19,"2,42 €",Pacific/Guadalcanal
86:41:e9:71:95:19,lt-27.barth.de,Beispiel.avi,53.864429,Soltau,1978-01-21,"32.697,68 €",Asia/Singapore
db:9b:71:3f:eb:0a,lt-58.butte.de,und.numbers,-41.3418375,Neu-Ulm,2016-08-28,"1,95 €",Africa/Dakar
0d:0d:9d:ea:e2:20,desktop-78.trubin.de,Rad.mov,25.0628695,Großenhain,2019-12-16,"7,85 €",Europe/Minsk
1f:fa:46:9e:5c:c5,desktop-55.sorgatz.net,Fisch.txt,-14.3835735,Badalzungen,1987-05-02,"3,03 €",Europe/Skopje
80:87:18:3e:06:60,db-48.hauffer.de,oder.json,-82.5641075,Staßfurt,1972-11-07,"23,36 €",America/Guatemala
2b:46:f4:f0:82:a1,web-32.henck.com,rot.doc,-20.7143505,Mallersdorf,2018-08-19,"254,95 €",Europe/Copenhagen
ca:b9:76:4e:0b:0a,srv-51.stadelmann.de,mein.mp3,55.940423,Illertissen,2021-08-23,"98.834,12 €",Asia/Dushanbe
dc:2e:4d:20:30:1e,db-37.carsten.de,wo.pages,-62.0020945,Rosenheim,1971-11-26,"615,36 €",Pacific/Apia
96:af:f4:ce:0b:8f,srv-87.scheibe.com,mich.pages,17.6368465,Grevenbroich,2011-02-23,"1,84 €",Africa/Algiers
ed:83:b5:b5:83:ce,srv-65.suessebier.com,schlafen.pages,40.976880,Hainichen,1999-11-25,"7.519,87 €",Africa/Monrovia
e1:3f:81:f8:15:9b,laptop-03.zahn.net,gewinnen.gif,-14.1469085,Grafenau,2018-05-04,"0,50 €",Africa/Addis_Ababa
49:fd:67:36:3e:e4,lt-10.drub.de,einmal.gif,65.4088175,Parsberg,2006-03-02,"2.324,30 €",America/Costa_Rica
ed:0a:59:9d:86:8c,db-30.luebs.com,Fahrrad.css,12.813425,Günzburg,1977-09-01,"97,50 €",Asia/Riyadh
7a:70:30:f8:78:10,desktop-89.wirth.com,wohl.mp4,23.6963845,Brilon,1971-03-31,"19,99 €",Africa/Mbabane
a3:16:d6:ac:48:04,srv-25.gorlitz.com,liegen.mp3,-38.175844,Scheinfeld,1980-06-06,"6.061,05 €",Asia/Colombo
b7:d3:df:7b:f2:77,web-97.hettner.de,dir.pages,-6.095505,Hersbruck,1982-10-07,"61,99 €",Pacific/Efate
2b:29:e1:71:42:01,db-78.wesack.net,glücklich.json,2.148606,Flöha,2004-08-15,"63,20 €",Europe/Berlin
9a:cc:c6:61:87:e1,email-80.weller.de,Land.ppt,36.600915,Garmisch-Partenkirchen,2005-02-26,"15,64 €",Europe/Paris
4d:29:6a:11:9c:e7,email-63.schmidt.com,fährt.avi,-17.7979265,Bützow,1988-02-04,"1.213,57 €",Pacific/Guadalcanal
0c:98:58:a2:59:f3,lt-19.rust.com,zehn.flac,-77.6906315,Iserlohn,1982-03-30,"2,87 €",Africa/Ndjamena
d7:82:2c:05:35:52,lt-93.maelzer.org,dort.mp3,7.230862,Säckingen,2006-08-10,"72,32 €",Asia/Rangoon
e7:b6:eb:e3:af:84,db-79.rosenow.com,werden.mp4,79.8337835,Mainburg,1970-09-14,"85.833,44 €",Europe/Tallinn
f9:5a:59:23:c4:2c,web-99.schaaf.com,neun.flac,-79.154351,Neustadt am Rübenberge,1970-03-06,"9,63 €",Africa/Dar_es_Salaam
d6:0d:6d:91:64:92,laptop-63.gumprich.de,durch.avi,-62.249793,Kötzting,1996-08-14,"7,89 €",Africa/Tripoli
e5:bc:ed:b9:0f:17,lt-92.troest.org,brauchen.pdf,72.9707365,Dresden,1982-02-19,"87,02 €",Asia/Karachi
84:ec:e3:3b:13:e6,db-38.waehner.de,darin.ods,83.9957155,Eisenach,1978-05-06,"24.842,34 €",Europe/Berlin
18:35:95:d9:a1:17,email-73.neureuther.com,Apfel.css,7.8906265,Rathenow,1974-04-19,"658,59 €",Pacific/Apia
ab:0c:6d:44:fa:4a,email-14.neureuther.com,vielleicht.bmp,-58.230524,Weimar,2014-05-31,"34.090,06 €",Europe/Malta
93:54:61:8a:d2:7e,srv-95.jopich.com,hart.txt,52.3594145,Bergzabern,1971-08-30,"8.388,02 €",America/Argentina/Tucuman
7e:67:c0:e4:f9:dd,desktop-85.sager.com,Arbeit.txt,-52.0954405,Neustadt am Rübenberge,2005-01-01,"274,68 €",Asia/Dubai
83:4f:05:84:aa:76,lt-95.winkler.com,plötzlich.wav,44.0965985,Neuruppin,1970-12-01,"3,18 €",Europe/Vilnius
99:b5:d8:50:9d:15,srv-05.doering.com,haben.webm,54.610363,Arnstadt,2004-01-20,"393,34 €",Europe/Sarajevo
f2:2f:9a:09:b7:cb,lt-73.hess.de,rennen.webm,27.530785,Parchim,2007-05-11,"60,38 €",Africa/Lubumbashi
50:6a:ec:c8:00:87,desktop-25.misicher.de,acht.gif,45.857281,Ueckermünde,1976-04-05,"71,97 €",Europe/Helsinki
7a:21:33:4c:21:4f,srv-07.dehmel.org,beim.mp4,-22.3312505,Wanzleben,1976-06-30,"4.063,83 €",Pacific/Funafuti
c1:21:b1:d6:3b:a4,desktop-89.austermuehle.org,uns.wav,54.583151,Darmstadt,1981-10-28,"9.651,92 €",Europe/Sarajevo
cd:20:0b:4b:f5:e2,lt-84.gotthard.net,steigen.wav,61.701238,Main-Höchst,2019-11-20,"87.749,54 €",Africa/Abidjan
bc:c0:c2:e7:eb:c8,laptop-14.hartung.net,reiten.csv,73.370161,Göttingen,1981-10-30,"324,05 €",Africa/Tunis
34:62:d6:20:36:8e,web-38.sager.com,Maus.gif,81.7871295,Neuss,1993-08-25,"8.065,16 €",Asia/Pyongyang
7b:2b:1c:1c:b9:4a,desktop-68.juettner.net,Lehrer.txt,-46.199984,Burg,1996-03-27,"20,20 €",Africa/Ndjamena
19:27:c5:1c:58:7b,srv-83.neureuther.de,Arzt.pptx,8.266560,Bad Brückenau,1973-10-25,"20,59 €",Europe/Luxembourg
e7:a1:c3:33:91:64,web-07.bluemel.de,doch.avi,-23.911425,Havelberg,1997-02-09,"88.054,69 €",Europe/Podgorica
9a:14:b4:fa:36:27,web-10.trubin.de,Wald.mp4,48.3636765,Eisleben,1981-04-11,"43.667,63 €",Africa/Asmera
f8:86:a3:c9:fe:b9,srv-91.hofmann.com,Hund.jpg,-52.3941725,Ueckermünde,1989-08-19,"974,25 €",Asia/Jakarta
59:9f:5f:36:53:8c,desktop-08.rosemann.de,wo.js,64.4983175,Badalzungen,1995-10-30,"5,27 €",Asia/Baghdad
74:cd:ad:72:5e:64,email-38.stiebitz.com,Familie.xlsx,27.7954275,Wolfratshausen,2012-12-30,"3.861,67 €",America/Tegucigalpa
1f:25:57:89:29:1f,desktop-53.fritsch.de,werfen.json,48.1888165,Roding,2009-10-12,"55.251,04 €",America/Guyana
34:e2:d1:61:54:f3,web-56.van.de,sein.mp3,-58.840778,Güstrow,1981-07-13,"53.091,53 €",Africa/Accra
b6:ee:7c:e1:32:d9,email-08.stiebitz.com,treffen.mp3,56.2441095,Bitterfeld,1993-12-10,"1.702,98 €",Asia/Damascus
66:ac:92:47:10:79,lt-59.klemt.de,so.key,-10.2615805,Sebnitz,1988-02-24,"68.846,18 €",Africa/Lagos
23:3f:0d:40:ed:1b,laptop-88.hendriks.de,nie.mov,-57.1671565,Schwerin,1974-04-22,"7,78 €",Europe/Sarajevo
04:5e:cb:ce:89:52,lt-56.dippel.org,arbeiten.flac,81.330949,Neustrelitz,1995-04-03,"6,28 €",Pacific/Palau
6b:bf:f3:5a:47:16,desktop-46.caspar.com,Haus.tiff,17.076053,Arnstadt,1978-02-16,"3,36 €",Asia/Riyadh
cb:ad:0a:0f:9e:ba,lt-84.doehn.de,kalt.jpeg,-68.933781,Amberg,1979-05-07,"5.322,43 €",Africa/Cairo
c5:6c:b4:8f:5f:cf,lt-25.koch.de,als.tiff,86.3660405,Neustadtner Waldnaab,1995-01-16,"2.578,56 €",Asia/Bishkek
63:b6:f5:69:87:10,db-34.kobelt.org,wer.jpg,66.886939,Wolgast,2001-11-01,"957,82 €",Africa/Gaborone
7b:96:d4:ff:ef:d4,web-36.cichorius.de,lange.mp3,-83.698164,Cloppenburg,2022-12-17,"234,61 €",Africa/Nouakchott
56:de:58:2c:d8:75,web-03.zirme.net,Straße.pdf,51.596666,Heinsberg,2002-11-13,"4.258,66 €",Asia/Kuwait
01:92:e4:38:d7:e4,web-51.butte.net,Wald.html,15.7792265,Kamenz,2013-10-29,"8,21 €",Indian/Mauritius
e5:49:c5:d6:5d:e8,srv-00.beier.net,Oma.odp,-22.119324,Staffelstein,1972-11-28,"1.952,82 €",Africa/Abidjan
25:07:2c:64:9c:54,srv-62.ehlert.com,zum.bmp,-4.9188625,Anklam,1989-05-17,"134,52 €",Asia/Jakarta
ec:b4:ec:ce:49:68,db-78.gertz.de,Rad.mp3,-43.8017715,Tecklenburg,1994-03-29,"196,11 €",America/Recife
74:14:78:4a:fb:62,web-06.junken.com,können.js,-9.523156,Ueckermünde,1996-05-06,"61,34 €",Africa/Casablanca
46:81:0b:2f:e6:c1,email-07.wagner.org,fiel.mp4,-53.6273745,Forchheim,2014-09-25,"3,57 €",Africa/Khartoum
df:7e:32:ba:e5:04,laptop-16.maelzer.com,voll.pdf,-3.5036605,Mühlhausen,2017-09-01,"792,25 €",Africa/Kigali
a6:f7:1d:90:ad:c9,web-76.pechel.org,rot.tiff,20.0572735,Grimmen,2018-06-18,"89,77 €",Indian/Comoro
e5:02:81:ec:7d:9d,lt-42.kambs.com,lernen.xls,5.5230075,Eberswalde,2022-07-21,"5.861,96 €",Africa/Windhoek
47:f0:ec:e8:83:0c,email-80.stolze.net,krank.wav,-82.5646435,Saulgau,1988-04-19,"53.826,17 €",Europe/Dublin
b9:4f:ec:6e:61:f1,web-37.bohlander.de,ihr.txt,7.926219,Husum,2001-03-13,"968,65 €",Europe/Sarajevo
70:d6:76:52:bc:6a,srv-73.gehringer.de,Spiel.bmp,-66.9692615,Eisenberg,2023-08-10,"5,96 €",America/El_Salvador
b1:61:61:9e:a3:9b,email-57.hoerle.com,Wald.xls,-49.3933295,Geithain,1972-03-30,"54.299,10 €",Asia/Beirut
4c:f7:af:a1:8d:f6,email-31.striebitz.com,jeder.odt,76.294051,Sankt Goar,1972-08-06,"82.420,81 €",America/Guatemala
0d:7c:50:2d:a2:4e,desktop-00.taesche.net,mögen.flac,-65.5198425,Euskirchen,2009-01-23,"7.729,77 €",Asia/Bangkok
9c:cf:ca:43:28:d9,email-67.baerer.de,dort.mov,-73.4706135,Säckingen,2011-08-27,"2.244,40 €",Asia/Makassar
fe:78:80:f3:fc:a2,email-69.klemm.de,Affe.mp4,87.077138,Gräfenhainichen,1991-01-23,"6,62 €",Asia/Dili
3e:57:97:70:f3:93,db-01.drub.com,schnell.gif,71.7470755,Senftenberg,1983-09-04,"31,04 €",Africa/Addis_Ababa
7d:11:92:23:ec:32,laptop-83.biggen.com,Zimmer.js,-85.305469,Passau,1991-12-25,"75.231,33 €",Africa/Algiers
c5:48:16:45:fe:a5,laptop-63.jaentsch.com,mein.js,-73.7945885,Stade,2022-05-22,"79,88 €",America/Managua
81:a2:f7:4a:f6:e4,srv-03.koch.com,Ding.ods,-83.276626,München,1981-05-27,"8.797,00 €",Asia/Tashkent
f2:0f:fc:44:ed:16,web-66.dietz.net,sie.jpg,69.528690,Bremen,2003-07-16,"465,74 €",Indian/Comoro
6b:fb:c4:c3:96:91,email-53.ladeck.com,wo.ppt,38.861194,Prenzlau,2013-03-11,"1.788,75 €",Europe/Podgorica
56:0b:3f:16:c4:9c,web-63.adler.de,lassen.doc,22.4966155,Anklam,2008-01-17,"246,18 €",Europe/Prague
66:25:a0:53:f8:a5,web-88.jungfer.com,Wort.webm,-11.254080,Weißwasser,2017-10-02,"9.194,95 €",Europe/Luxembourg
ec:d2:7d:35:39:53,laptop-64.dippel.com,einigen.odp,12.990198,Donaueschingen,2005-11-22,"7.236,79 €",Pacific/Enderbury
ff:33:e6:72:ae:c4,desktop-66.taesche.net,klein.avi,20.2416445,Diepholz,1987-01-03,"55.424,16 €",Asia/Ashgabat
1f:16:0e:ba:ff:e7,email-70.rosemann.net,bringen.bmp,-69.9605265,Neubrandenburg,1970-07-14,"5.557,20 €",Asia/Kuwait
6c:f2:76:0d:86:e4,lt-78.paertzelt.com,ließ.pdf,68.286687,Hildburghausen,2015-03-11,"2.736,35 €",Pacific/Auckland
e2:5c:6b:95:f0:ac,email-63.bohnbach.com,zwei.mp4,36.664802,Vilsbiburg,1973-10-30,"742,74 €",Africa/Khartoum
9a:8c:af:cf:3d:42,laptop-22.baerer.com,will.webm,-32.0148005,Schwerin,2001-06-14,"454,55 €",Africa/Nairobi
37:c3:eb:64:93:8d,srv-85.weller.com,erklären.pptx,57.5971175,Stendal,2017-12-18,"133,64 €",Europe/Athens
bd:37:08:77:e9:c3,lt-92.tintzmann.de,warten.mov,-22.0700555,Ueckermünde,1999-11-01,"92.906,51 €",Pacific/Tongatapu
c7:9f:32:4e:96:fd,laptop-33.scheuermann.net,Finger.webm,27.589880,Coburg,1993-07-28,"13.325,49 €",Europe/Tirane
d8:07:de:31:7b:55,desktop-49.neuschaefer.net,Zeit.txt,-72.597800,Moers,1998-09-21,"64,45 €",Europe/Moscow
3f:b0:17:1c:29:be,laptop-82.hentschel.org,rund.js,-78.068213,Mallersdorf,1985-10-24,"64,18 €",Europe/Stockholm
a6:c2:8c:84:62:23,srv-37.geisel.com,tragen.mp3,42.2473715,Dachau,2011-12-19,"8,74 €",Pacific/Port_Moresby
7d:69:8f:6c:a4:75,email-51.steckel.de,nach.html,-48.628290,Perleberg,1972-03-01,"7,75 €",Europe/Paris
74:25:74:1b:4b:07,srv-39.atzler.net,sechs.js,-66.752160,Sternberg,1983-11-01,"6,61 €",Africa/Harare
de:fa:df:07:94:a2,email-97.stahr.org,fertig.mp4,-13.356430,Lichtenfels,2021-08-12,"71.393,42 €",Asia/Jayapura
b2:58:24:01:8e:e0,laptop-09.spiess.org,will.csv,78.293856,Wesel,2014-08-10,"451,48 €",America/St_Kitts
04:c0:5e:e6:c1:0b,laptop-95.nette.com,kurz.tiff,78.2927205,Marienberg,1971-09-25,"46,36 €",Africa/Mbabane
7b:4d:50:73:e6:58,email-72.schulz.de,kurz.js,-46.141954,Geithain,1992-02-15,"3.220,36 €",Australia/Currie
e9:f1:3d:68:39:4a,web-43.reising.de,hinein.webm,50.005752,Berchtesgaden,2002-03-21,"56.478,03 €",Africa/Kampala
2f:96:2c:10:61:2b,db-22.rogner.com,singen.pages,51.0526785,Brand,2013-03-11,"44.594,43 €",Asia/Thimphu
f8:f3:95:6d:78:1d,lt-12.doerr.org,Kopf.mp3,54.311763,Meiningen,2015-06-27,"18,68 €",Europe/Copenhagen
39:b3:9d:07:4e:95,laptop-30.rose.com,andere.mp3,-22.5755895,Greifswald,1974-05-05,"79.923,43 €",Pacific/Efate
13:d2:8f:9a:d5:2d,lt-64.schacht.org,hinter.wav,-17.5564245,Freudenstadt,2018-01-02,"8.763,77 €",Asia/Gaza
40:fe:df:e5:72:b6,desktop-83.bonbach.de,zum.flac,41.2871305,Freital,2008-02-20,"5,44 €",Asia/Aden
bc:e0:14:fc:81:f8,desktop-50.luebs.de,freuen.doc,73.3059545,Rockenhausen,1992-05-31,"4,13 €",Africa/Abidjan
01:01:70:30:5a:33,email-63.schmidt.com,Haus.png,88.1719815,Koblenz,1983-02-21,"18,79 €",Asia/Dili
51:07:9a:3f:b6:a4,lt-88.gertz.com,Wagen.wav,-63.5361785,Mühldorf am Inn,1978-09-10,"539,54 €",Indian/Maldives
7c:d4:b2:f2:96:57,web-81.adolph.de,Licht.webm,82.244127,Burglengenfeld,1975-02-08,"293,89 €",America/Belize
db:68:96:c0:16:31,email-82.gunpf.com,Jahr.webm,-28.069253,Altötting,2017-02-27,"14.729,71 €",Africa/Tunis
