city,latitude,bank_country,iso8601,mac_address
Rapperswil-Jona,-63.4896055,CH,1981-03-23T20:02:13,19:c5:42:42:d7:f0
Brig-Glis,89.9085085,CH,1973-04-14T05:11:40,68:21:32:19:48:7e
Wald,-76.8566155,CH,1995-10-20T06:57:47,33:4a:6b:ce:33:99
Köniz,86.6125085,CH,1988-03-24T06:24:40,1a:9d:e4:56:05:b1
Worb,34.455440,CH,2018-06-28T23:56:33,8b:64:55:1a:09:2b
Chêne-Bougeries,80.270781,CH,2023-08-15T10:50:23,e0:b5:c1:8d:da:55
Gossau,-39.035408,CH,2002-08-08T19:18:27,21:6a:9d:24:cd:d6
Arbon,79.744896,CH,2019-08-08T13:36:52,05:02:b4:a1:b0:28
Morges,-39.0600735,CH,1975-08-11T04:20:56,97:34:ef:d3:de:6f
Locarno,43.000334,CH,1989-11-07T21:40:39,c8:46:0a:86:24:81
Urdorf,46.104266,CH,1979-04-27T11:02:18,d7:26:cd:1d:48:ef
Freienbach,64.6750885,CH,1981-03-13T08:22:10,3b:a8:7c:8e:3b:ae
Ebikon,-1.623771,CH,2022-06-14T01:37:16,be:7c:ff:47:cd:77
Riehen,13.0215775,CH,1970-08-09T10:25:10,fd:0b:f7:c2:2b:c5
Le Grand-Saconnex,86.812997,CH,1972-09-18T15:36:56,30:0a:17:e1:67:b6
Küsnacht,23.791416,CH,1984-07-11T01:26:20,a7:36:3d:92:19:37
Neuenburg,35.545731,CH,2019-02-04T08:55:28,f0:ff:0d:8e:6e:dd
Solothurn,44.159120,CH,1992-08-29T16:16:00,6a:95:1d:21:84:1a
Sitten,85.7445935,CH,1982-01-25T08:34:29,3f:b2:55:0a:07:c0
Muttenz,53.979037,CH,2004-12-17T17:41:49,81:26:85:26:98:b9
Monthey,25.9087485,CH,1990-07-12T15:20:07,9e:24:57:5e:e4:e6
Pratteln,38.0446795,CH,1981-04-20T00:41:24,3d:50:c7:6a:11:19
Neuenburg,52.370501,CH,2014-03-01T06:30:19,e7:17:d3:c8:de:1b
Schwyz,-54.236839,CH,1990-11-14T11:22:53,7b:db:43:79:9c:62
Oftringen,-43.395775,CH,1998-05-21T21:05:57,26:0f:0e:e8:92:70
Locarno,-29.794518,CH,1974-07-12T00:23:58,31:27:d6:83:b4:2a
Val-de-Ruz,20.410480,CH,1991-10-16T11:08:58,06:49:08:5c:0b:f3
Opfikon,79.7808965,CH,1992-07-23T15:45:05,14:1e:da:99:c6:6e
Zollikon,-64.5665765,CH,2022-12-28T00:48:20,46:4f:69:2d:f7:c2
Flawil,29.841385,CH,2005-04-19T19:20:45,c3:df:23:a2:92:2a
Riehen,3.003547,CH,2020-07-03T09:02:07,50:5d:10:9b:f7:3b
Wil,-48.572189,CH,1974-04-02T18:26:40,85:0f:3a:a1:49:a5
Sursee,11.0971365,CH,2018-07-26T13:50:52,01:ec:b4:63:99:55
Wettingen,-72.154950,CH,2002-04-11T01:18:41,90:bf:38:ed:bf:fc
Morges,38.7334395,CH,1986-05-25T03:31:30,25:7d:56:88:91:6d
Frauenfeld,9.9900515,CH,1990-12-23T02:21:11,14:19:95:6a:21:4a
Allschwil,-66.077085,CH,2008-12-19T13:00:30,69:53:1e:54:e4:54
Bern,39.5892355,CH,2023-04-14T02:17:08,44:e1:31:a0:c9:d3
Ecublens,-34.3018905,CH,2010-01-28T21:59:24,67:a3:be:9c:a2:d3
Sursee,69.9599105,CH,2013-12-11T07:11:37,9a:1f:f3:bf:18:6f
Crans-Montana,-21.931480,CH,1971-01-20T19:14:34,8b:3e:c1:6d:96:b6
Risch,68.1458595,CH,1973-08-11T00:59:31,d5:37:23:23:44:3a
Richterswil,42.8799615,CH,1989-06-15T12:32:34,2e:f4:62:9e:ff:83
Brugg,14.321616,CH,1996-07-06T11:27:20,43:f1:23:b4:9d:04
Villars-sur-Glâne,24.889525,CH,1989-02-16T10:14:11,fb:7f:82:c5:6d:11
Glarus,12.5498585,CH,2022-04-22T14:07:06,e6:0b:e3:a3:02:b0
Winterthur,68.926228,CH,2016-05-16T06:48:35,8e:a6:b5:2b:25:22
Villars-sur-Glâne,66.155576,CH,2001-10-12T17:39:31,90:4f:ad:ef:d2:2e
Yverdon-les-Bains,-80.9647265,CH,2012-09-23T01:06:51,1a:b2:3c:3b:b5:cc
Birsfelden,24.221501,CH,1998-03-10T02:55:22,9f:3d:c0:0c:0d:d0
Wil,84.5381255,CH,2020-02-28T08:12:16,36:ee:30:d3:a0:76
Maur,28.6040285,CH,1970-10-19T17:15:07,3a:a4:1c:31:e2:26
Rheinfelden,-63.054114,CH,1988-02-07T10:57:59,24:28:49:1f:e6:11
Uzwil,13.3411865,CH,2017-06-27T01:39:13,43:c4:d6:b7:7d:51
Suhr,-38.5897665,CH,2008-02-03T00:16:15,09:bc:9e:1f:27:7e
Olten,-38.446704,CH,1976-04-15T12:31:14,76:9d:16:ab:bc:86
Ostermundigen,-29.425243,CH,1986-10-06T09:26:57,fa:c8:a5:0f:fb:87
St. Gallen,-46.193797,CH,1993-04-22T08:19:50,b1:6c:92:8e:3c:0d
Altstätten,-66.064737,CH,2014-01-13T23:36:05,c0:80:bb:c0:76:b2
Birsfelden,-64.406607,CH,1980-07-18T06:13:50,30:80:f3:2b:9d:3f
Richterswil,-39.415382,CH,1974-01-23T06:08:26,9b:f5:01:6b:73:60
Zollikofen,-12.4159215,CH,2003-05-30T11:58:07,57:a5:52:f1:a4:f9
Chêne-Bougeries,83.476054,CH,2017-05-08T00:56:47,24:75:76:70:db:7e
Chêne-Bougeries,-36.7880925,CH,1992-11-08T23:42:37,e4:5b:00:7a:66:99
Binningen,65.1723075,CH,2004-07-21T14:50:50,d8:47:5d:cc:a5:08
Baar,-21.4285145,CH,1988-03-22T10:47:17,85:70:1a:42:4f:09
Cham,73.4784385,CH,2019-09-21T10:42:20,11:5f:16:a1:a6:76
Stäfa,14.206363,CH,1985-05-29T20:28:30,3d:22:c1:cd:81:cd
La Tour-de-Peilz,-82.5928045,CH,2023-03-10T07:23:55,e0:74:59:59:5d:f0
Thalwil,-23.710324,CH,1996-05-01T19:38:53,5f:72:44:aa:3e:68
Grenchen,46.483558,CH,1992-07-19T03:42:49,81:17:55:82:b7:57
Lancy,-78.295206,CH,2023-04-20T20:34:27,f0:56:01:67:39:83
Allschwil,83.816603,CH,1978-05-16T21:42:17,ed:96:2e:c8:05:10
Wil,65.389550,CH,1971-06-20T02:32:54,45:64:9d:1d:60:3d
Nyon,-40.607299,CH,2014-11-09T09:41:03,69:8f:0a:42:a0:19
Allschwil,-40.415717,CH,1973-02-08T10:52:51,2d:64:16:79:11:0e
Val-de-Ruz,54.4500045,CH,1971-08-01T19:36:10,5d:f8:66:7c:b2:c5
Sursee,-75.0578675,CH,2018-03-25T19:06:55,8a:d2:46:da:5a:ed
Köniz,12.3607695,CH,1979-11-04T14:21:38,49:4d:0c:90:33:12
Pully,-61.010105,CH,2006-01-04T14:28:33,86:ba:59:fe:7f:51
Münchenbuchsee,-12.8241075,CH,2016-11-13T19:38:21,02:ba:1f:e3:d7:19
Kloten,17.8414325,CH,2002-03-18T09:22:21,b0:aa:bb:c7:c5:87
Montreux,21.183640,CH,1996-09-12T00:27:37,5b:6f:d0:1c:cb:16
Sarnen,-16.5390455,CH,2022-07-11T18:37:42,7a:9f:2d:9a:4c:1e
Montreux,-26.5913735,CH,1975-09-04T06:22:50,df:6f:31:91:93:28
Prilly,-88.337442,CH,1992-04-19T16:25:59,ea:e1:af:7f:21:1e
Bern,-79.198342,CH,1985-11-28T14:22:22,18:e6:d0:46:27:04
Rheinfelden,-68.656532,CH,1994-04-08T09:26:27,a4:27:b4:74:e1:7d
Bassersdorf,34.5157655,CH,1988-12-12T18:36:49,83:57:bb:33:a6:c0
Grenchen,81.1081825,CH,2000-01-04T02:27:14,f7:e1:9c:c1:2d:e2
Zürich,69.3761925,CH,2005-03-27T12:16:31,46:e9:1e:c5:74:9b
Versoix,86.1988325,CH,1984-01-12T00:02:45,58:5e:3b:78:08:e0
Altstätten,50.193117,CH,1978-11-29T14:44:59,13:7d:b6:2a:3b:55
Allschwil,-11.828871,CH,1988-11-27T16:02:56,32:2d:1d:ea:8d:50
Riehen,35.7916765,CH,1981-06-18T03:38:06,f4:1b:90:e3:f0:a5
Kreuzlingen,74.4845315,CH,1991-11-20T19:24:41,e7:c3:9a:2d:a6:87
Steinhausen,-11.745958,CH,1999-04-22T23:21:35,40:41:59:5d:28:eb
Illnau-Effretikon,65.3880285,CH,1989-04-16T10:40:17,da:40:0a:4f:45:d7
Siders,48.5868205,CH,2010-07-13T18:11:40,9d:ad:6f:72:b7:a2
Meilen,-67.6048885,CH,2003-06-01T14:00:33,44:3e:7b:dc:8b:da
Köniz,54.831737,CH,2017-04-08T02:31:46,e7:46:6a:35:b5:5b
Volketswil,-49.489314,CH,2013-08-20T07:57:00,66:5f:8e:44:03:f3
Neuenburg,69.101515,CH,1997-02-24T08:19:08,8e:6a:4d:76:cc:48
Chêne-Bougeries,39.900530,CH,2000-12-12T23:38:43,72:f4:44:eb:af:3a
Horw,-82.1593055,CH,1972-09-15T06:10:42,73:1c:b9:0b:e5:4f
Volketswil,-73.5169045,CH,2022-07-12T13:20:43,25:89:4a:78:97:23
Baar,8.5161935,CH,1988-11-17T01:33:47,ea:7e:c5:db:ef:97
Langenthal,69.161531,CH,1996-04-24T01:06:08,99:89:b4:05:6b:03
Einsiedeln,22.247573,CH,1987-12-21T15:51:05,66:93:0c:7d:b2:7b
Richterswil,-62.189415,CH,1991-04-25T22:15:24,43:94:36:04:fb:4f
Ostermundigen,-27.922933,CH,2023-06-06T04:40:29,ad:56:13:3f:b3:13
Flawil,-13.586273,CH,1991-09-15T13:21:31,df:10:9d:ca:58:c9
Aigle,-38.481468,CH,2006-04-26T12:07:00,ec:e6:3b:87:e8:cb
Bassersdorf,77.6446265,CH,1990-04-27T11:54:45,13:56:f3:f4:f5:e8
Gland,-52.8186465,CH,2011-03-10T00:22:56,80:f7:1c:5e:49:3e
Yverdon-les-Bains,-86.7952525,CH,2017-09-05T08:37:12,be:c7:25:70:6a:06
Langenthal,-55.1211595,CH,1970-08-30T16:45:43,ac:ea:06:be:99:98
Sarnen,18.8360035,CH,1974-09-24T01:03:55,f6:4f:0a:a9:41:81
Sarnen,28.7121275,CH,1974-09-03T14:13:38,51:ac:2f:82:de:7a
Spiez,3.533926,CH,2001-02-22T04:22:56,4a:f4:8b:b9:d6:86
Suhr,-13.953470,CH,2006-11-25T06:53:39,fc:06:88:5e:07:7b
Schlieren,88.2073395,CH,2000-05-25T07:55:20,24:d0:bc:a4:c8:ea
Volketswil,-34.4126865,CH,2012-07-16T18:54:31,8b:6c:eb:53:4a:18
Volketswil,-19.207041,CH,2000-03-31T23:29:18,cb:ba:ed:f4:8b:e0
La Chaux-de-Fonds,60.981185,CH,2016-09-12T22:06:16,72:18:24:c0:07:19
St. Gallen,77.2710095,CH,2005-12-02T09:43:26,a3:99:b7:5f:dc:db
Chur,71.935001,CH,1986-11-11T02:02:56,ce:bb:bf:17:95:7a
Maur,41.5926535,CH,1971-06-10T13:04:49,29:27:ba:d2:2b:90
Bernex,-81.929197,CH,1992-05-01T12:52:18,8f:bc:1c:51:51:28
Horw,52.7063295,CH,2019-06-05T21:42:27,3a:9b:9a:be:e7:3a
Delsberg,-66.957352,CH,1989-01-24T01:42:16,02:2d:eb:dc:d5:1b
Solothurn,-32.106826,CH,2002-04-04T03:39:29,df:32:80:14:3b:ac
Plan-les-Ouates,48.413309,CH,1998-04-21T01:24:16,60:f3:f6:d4:e9:c4
Weinfelden,51.023817,CH,1980-04-02T18:15:53,56:ee:78:62:3c:63
Suhr,-43.8354525,CH,1976-11-16T20:25:09,79:0d:97:71:fc:7e
Herisau,42.0041475,CH,1984-02-12T04:07:29,2b:98:56:59:ad:7c
Wohlen,-27.265989,CH,1988-09-07T03:51:04,61:ba:02:14:28:db
Pratteln,-69.967432,CH,1982-11-28T04:37:51,b9:32:49:2a:8b:51
Bellinzona,-79.5591465,CH,2013-09-05T07:51:29,94:8b:f3:22:fb:f8
Winterthur,-8.8232265,CH,2006-02-11T11:35:32,b5:09:68:2c:cc:25
Freienbach,-34.497322,CH,2009-08-31T13:22:45,51:1d:02:cb:80:8d
Grenchen,-11.6815335,CH,1992-02-11T19:31:09,76:bc:24:76:dd:17
Dübendorf,22.8095805,CH,1975-05-28T16:07:35,be:89:8e:d0:e8:8f
Baar,-78.884049,CH,2016-05-09T07:58:23,87:09:1a:85:26:55
Gland,65.4085835,CH,2018-03-11T23:23:45,ca:4a:4e:35:ed:12
Lausanne,81.2139765,CH,1991-07-01T09:38:29,06:06:92:bf:d5:fe
Grenchen,-18.5978945,CH,1975-06-02T18:17:45,ff:9c:31:be:30:09
Urdorf,46.9075545,CH,1981-01-30T07:57:58,3c:c0:7f:83:58:14
Wohlen,-80.1512305,CH,2006-12-07T03:09:46,55:80:c5:e6:91:4c
Naters,77.148237,CH,1999-04-27T12:04:47,47:64:7c:c8:d2:e3
Horgen,35.3828565,CH,1973-03-04T22:59:38,c3:ac:52:cc:f5:37
Zofingen,-71.026941,CH,1983-05-12T10:29:48,44:80:10:da:67:04
Maur,53.060227,CH,1999-04-05T06:49:20,83:af:e7:0a:5f:a4
Plan-les-Ouates,82.1605285,CH,1971-01-21T03:34:05,15:3a:bf:0e:99:56
Münchenstein,-43.9279275,CH,2009-01-01T11:29:34,cc:10:79:7e:59:1c
Basel,53.836776,CH,2008-05-13T10:08:53,03:a6:1e:c5:25:bf
Risch,16.0226065,CH,1976-10-03T16:53:29,80:59:e6:94:10:e4
Thalwil,68.9679295,CH,1992-02-28T06:57:42,45:0e:64:4e:21:5a
Neuenburg,70.9482935,CH,2007-11-07T01:01:08,0a:91:d0:82:21:02
Küsnacht,32.9144045,CH,2005-01-13T04:21:59,ad:90:ea:b0:b2:f8
Lutry,82.556213,CH,2022-01-22T04:56:21,3a:40:6c:b2:ea:5f
Bellinzona,84.2984885,CH,1999-12-06T20:05:22,f4:12:75:fb:86:65
Basel,-67.9066895,CH,2009-02-10T04:43:30,bb:f4:02:98:82:99
Wädenswil,23.159117,CH,1980-03-17T02:25:27,ae:3b:42:ff:2d:7a
Sitten,-74.505299,CH,2012-03-23T06:59:01,64:56:17:e2:eb:a3
Spiez,-62.524677,CH,2019-10-14T17:42:14,9d:f9:3b:fa:ae:3c
Genf,72.4440105,CH,2021-08-01T15:29:37,ae:13:78:a1:3b:53
Oberwil,45.6362445,CH,1987-10-08T07:57:45,da:53:80:36:c8:5c
Steffisburg,-78.4678185,CH,1995-02-07T19:24:20,be:84:7f:83:36:bb
Affoltern,49.636379,CH,1999-05-31T22:21:40,cb:f3:a9:72:83:19
Thônex,83.9038965,CH,1975-01-15T03:58:07,a3:33:cc:73:89:41
Grenchen,-17.6048285,CH,1978-09-07T21:26:07,ac:55:17:6c:2b:7d
Thônex,-85.101227,CH,1984-07-18T18:14:38,bc:e3:f5:5a:38:1f
Bern,-17.5715015,CH,1990-12-30T23:25:58,41:3b:8f:08:24:4d
Bülach,11.8975535,CH,1981-09-12T10:40:17,43:a2:06:a4:37:be
Neuhausen,-16.5630995,CH,1987-11-01T07:12:31,68:85:71:18:2f:c1
Bülach,1.921528,CH,1997-03-06T09:08:05,5c:25:e0:35:3a:80
Hinwil,30.9415285,CH,1988-12-26T09:40:10,0b:a3:0b:53:27:99
Monthey,40.610663,CH,1997-02-01T10:44:40,9d:c7:8d:b9:02:e9
Spiez,-69.8232345,CH,2017-01-19T09:41:45,b1:33:08:f5:a8:00
Bellinzona,22.037201,CH,1989-03-27T02:08:31,37:dc:a1:c5:1e:31
Schlieren,-32.120296,CH,2022-03-29T14:18:41,f7:c3:98:b2:bb:a1
Riehen,57.3436575,CH,2011-01-27T23:15:49,9f:5c:02:d5:35:e1
Aarau,75.410097,CH,2005-09-28T03:44:29,b0:8e:97:68:90:b8
Schwyz,-38.203259,CH,2001-09-26T02:52:04,aa:ad:64:fa:01:85
La Chaux-de-Fonds,87.7935545,CH,2021-09-29T20:54:26,e5:c7:1b:3a:c2:22
Meyrin,-24.7674745,CH,1975-12-16T02:54:33,6b:d1:f1:a1:67:d7
Worb,-55.746984,CH,2020-03-31T18:45:24,04:99:95:97:a8:40
Riehen,31.1344295,CH,1974-08-09T14:25:38,4d:ef:ac:a7:39:51
Prilly,79.9209665,CH,1971-09-23T10:54:09,74:4c:51:2e:67:51
Zofingen,-63.2403265,CH,2012-06-13T03:13:01,80:5b:4e:12:35:2f
Wohlen,-35.853155,CH,1989-04-09T04:24:52,dd:06:cf:9b:79:b9
Yverdon-les-Bains,-47.8656605,CH,1994-04-27T16:32:06,76:7a:ad:70:70:cd
La Chaux-de-Fonds,42.5234335,CH,2015-09-28T02:53:44,94:60:e5:fb:aa:49
Prilly,0.8689155,CH,2022-10-29T03:02:03,87:bf:c5:c0:99:84
Birsfelden,-30.762839,CH,1971-04-08T22:28:44,83:86:95:51:91:ea
Glarus,-38.6271185,CH,1984-05-29T17:00:21,66:68:7c:e7:cf:bf
Olten,-47.711007,CH,2007-02-16T03:29:15,51:a4:da:60:d6:50
Montreux,-75.765899,CH,1983-03-09T03:20:06,34:3e:e4:27:9b:77
Küsnacht,-73.265984,CH,1987-05-09T00:14:25,db:d3:39:87:06:fd
Naters,-60.640447,CH,1994-02-06T16:25:48,a3:f7:30:58:90:97
Freiburg,-30.979722,CH,1986-08-27T16:14:13,7f:50:8f:9e:a7:f7
Wald,50.4254025,CH,1997-02-06T07:35:10,2c:4b:11:88:48:34
Olten,-76.590576,CH,2014-12-23T12:25:11,7b:69:e5:93:df:37
Wädenswil,-6.6699575,CH,1984-04-15T12:14:09,67:a5:be:30:0c:2a
Olten,-79.411551,CH,2019-10-01T06:56:48,be:2d:4c:de:76:21
Hinwil,16.244100,CH,1995-03-21T18:59:20,fc:b7:bc:a5:58:e3
Reinach,17.979288,CH,2005-05-02T05:10:03,b3:95:7b:91:8a:dc
Olten,-87.2455265,CH,1994-09-10T04:14:46,f4:45:c0:bf:c3:99
Ittigen,42.491560,CH,2004-02-13T21:59:21,47:9a:ca:d3:b2:d2
Romanshorn,-26.9777325,CH,2004-10-13T03:36:05,4c:c6:23:d2:1d:7f
Olten,-63.8969485,CH,1988-11-24T12:24:56,3b:af:d1:ae:27:4f
Reinach,-73.1330885,CH,1980-03-16T16:58:59,f8:14:9e:b3:5f:de
Bern,48.779957,CH,2019-05-29T23:40:26,c0:96:65:53:8e:6c
Brig-Glis,84.7155725,CH,1986-07-14T20:08:03,e4:28:cc:48:ce:a7
Meilen,17.800827,CH,2008-01-04T20:22:15,44:19:98:f6:7f:a9
Oftringen,29.347247,CH,2014-05-06T02:43:28,96:2a:48:ed:b1:f7
Schwyz,-69.730163,CH,1978-03-17T12:48:40,5d:f0:9b:c4:6f:d7
Burgdorf,-69.4696405,CH,1972-07-15T10:46:30,c2:22:39:ae:42:fc
Mendrisio,-6.0551845,CH,2002-11-28T06:38:55,10:44:9b:1d:18:d9
Lugano,-11.8892815,CH,2019-02-06T13:54:14,22:f3:0d:5c:d9:72
Urdorf,73.871428,CH,1971-12-13T22:05:12,df:a9:e9:47:1a:bf
Männedorf,-39.0803735,CH,1980-03-30T16:54:29,4f:82:94:c3:53:c8
Lancy,70.5953365,CH,1992-02-21T22:54:34,10:9c:ab:6b:cf:ca
Langenthal,47.4804115,CH,1989-03-13T05:03:53,4f:8b:a0:d5:77:3d
Wil,80.5376685,CH,1997-03-27T11:00:10,8d:c7:f4:ad:bc:de
Worb,72.9216575,CH,2014-06-20T02:47:18,d6:2d:c0:d9:3c:e8
Buchs,59.4947985,CH,2021-08-21T23:10:28,4f:aa:ac:27:87:e5
Pfäffikon,-26.3178805,CH,1977-08-04T10:40:53,8b:70:41:f4:1b:4f
Affoltern,-68.7216395,CH,2015-04-12T09:40:00,ea:8c:31:b0:ac:87
Winterthur,66.3155095,CH,2022-09-08T17:58:00,28:df:1f:81:b3:e3
Wil,-84.782614,CH,2023-03-21T11:52:49,94:13:a4:12:68:93
Emmen,47.349473,CH,2019-07-04T05:30:38,e7:80:18:b1:06:43
Biel/Bienne,89.067733,CH,1978-10-29T23:53:50,30:00:77:cf:34:2f
Arbon,61.641617,CH,1989-12-15T15:08:32,35:23:17:55:69:15
Richterswil,-22.6366245,CH,2013-12-28T13:01:39,49:6c:b1:4c:c6:b0
Carouge,66.4318075,CH,2002-09-17T15:47:02,71:77:3f:44:da:72
Langenthal,67.758696,CH,2018-06-09T04:17:51,c7:d9:a0:a1:c2:f2
Schwyz,-60.6597725,CH,2008-10-26T16:34:31,d0:10:fe:6d:02:e4
Wohlen,6.162038,CH,2008-09-16T07:52:11,f2:9b:20:29:cb:1e
Steinhausen,-30.510242,CH,2001-02-04T09:29:10,1e:f9:70:97:e0:97
Pully,60.762644,CH,1991-10-28T08:02:28,7c:a5:b9:0d:0d:a1
