language_name,file_name,longitude,hostname,iso8601,country,latitude,timezone,date_time,bank_country,company,pricetag,city,language_code,random_number
Luxembourgish,stellen.avi,12.106369,web-75.rosenow.org,1994-03-24T13:19:27,Belize,76.362565,Africa/Maseru,1981-10-27 02:35:09,DE,Schmidt GbR,"1,21 €",Kaiserslautern,quz,686
Maltese,drei.docx,-6.526022,srv-17.hauffer.org,1970-03-14T01:06:37,Fidschi,53.891223,Asia/Karachi,2007-01-02 21:41:09,DE,Metz,"41,99 €",Genthin,dv,17
Ewe,schlagen.mp4,-28.028754,laptop-43.jopich.net,2008-08-31T00:03:40,Republik Moldau,23.602951,Australia/Lord_Howe,2019-11-21 12:02:09,DE,Krein Drubin GmbH & Co. KG,"4.113,46 €",Koblenz,fil,5653
Limburgan,Fußball.flac,-98.538862,laptop-55.heinrich.de,1986-08-02T00:16:34,Australien,10.3369815,Europe/Rome,2021-01-17 13:49:52,DE,Karge Scholtz AG & Co. KG,"87,84 €",Regensburg,ln,59
Walloon,lassen.wav,-82.650768,desktop-83.fliegner.de,1978-04-06T10:08:30,Republik Korea,-68.7711145,Pacific/Funafuti,2011-11-09 14:35:41,DE,Naser GmbH & Co. OHG,"7.521,17 €",Eisleben,dz,79535265
Tahitian,Pferd.jpg,-44.486475,lt-77.wagner.de,2013-06-26T06:55:31,Nicaragua,7.0436015,America/Panama,1980-08-21 03:49:43,DE,Hornich,"44,84 €",Spremberg,hy,700478
Swahili,Hund.mp4,-129.639004,srv-14.naser.de,1974-02-15T22:43:38,Antarktis,1.659529,Europe/Skopje,1985-12-26 14:57:06,DE,Wende,"99,76 €",Arnstadt,as,517338
Basque,auf.bmp,20.748996,web-48.keudel.com,1988-10-24T01:28:40,Island,73.390007,Asia/Singapore,1989-05-25 16:56:21,DE,Süßebier Ackermann AG,"7,57 €",Husum,ks,20841
Faroese,oben.wav,70.533172,web-30.reuter.de,1997-08-30T14:46:50,Schweden,83.437214,Asia/Ashgabat,2021-04-09 16:32:40,DE,Huhn Reinhardt GmbH,"57,35 €",Wittstock,nr,963942903
Kongo,bald.html,29.025686,lt-36.nohlmans.com,2016-12-16T03:37:40,Oman,-24.695137,America/Antigua,1994-07-08 08:44:19,DE,Fröhlich OHG mbH,"4.102,93 €",Herzberg,ve,3
Tatar,Minutenmir.avi,100.372845,laptop-56.roskoth.com,2006-12-06T18:11:32,Türkei,64.2272595,Europe/Bratislava,1995-01-16 23:48:39,DE,Oestrovsky,"9,51 €",Grimma,ne,325533
Tigrinya,holen.mp4,3.969442,email-72.gierschner.com,2016-08-20T08:02:57,Nigeria,-67.900714,Asia/Kuwait,2014-06-06 15:33:51,DE,Misicher,"961,35 €",Germersheim,el,97317
Kirghiz,hart.pdf,-76.316159,lt-85.schmidt.de,2013-06-03T00:59:12,Tansania,66.994047,Africa/Accra,1975-10-09 22:33:14,DE,Dowerg KG,"3,32 €",Soltau,es,5472870
Malay,Spaß.jpg,15.255018,laptop-70.gumprich.com,1992-03-25T08:51:35,St. Vincent und die Grenadinen,-59.8553795,America/Guatemala,2006-03-11 18:24:42,DE,Jacobi Jäckel GmbH,"5.942,53 €",Neustadt am Rübenberge,am,1576
Greek,vom.csv,-99.948960,db-40.zirme.com,2017-08-07T22:39:11,Uruguay,-38.7720545,America/Costa_Rica,1973-08-11 17:54:33,DE,Meyer GmbH,"10.276,87 €",Brilon,bho,9724
Catalan,weg.json,83.759421,db-70.metz.net,1996-01-22T13:30:52,Alandinseln,10.2169715,Africa/Maseru,1997-01-21 13:13:21,DE,Vollbrecht e.V.,"0,52 €",Forchheim,tl,78823485
Ido,Mutter.js,145.433880,lt-99.jacob.com,1986-12-26T15:43:54,Kolumbien,-57.8596635,America/Dominica,2008-03-03 13:10:03,DE,Mans GmbH,"624,32 €",Kötzting,vi,10236327
Dzongkha,langsam.txt,-113.955954,srv-84.kroker.org,2016-11-21T12:57:47,Indien,31.7190825,Asia/Pontianak,1972-07-08 17:49:05,DE,Butte,"0,14 €",Ebern,mi,42110712
Indonesian,nass.json,-112.121289,email-87.etzler.org,2011-05-14T16:12:33,Honduras,-27.338946,America/Jamaica,1998-09-14 00:54:28,DE,Seip,"359,04 €",Rostock,mr,3
Venda,holen.wav,141.249427,email-11.kuhl.de,1983-07-20T05:50:29,Thailand,46.812723,America/Barbados,2014-02-07 06:20:38,DE,Hiller Klotz GmbH & Co. OHG,"45.936,49 €",Bützow,lo,9269
Kanuri,Monate.mp3,58.304113,db-18.graf.net,1971-07-07T06:49:06,Bangladesch,-87.392229,Africa/Lome,2001-01-19 17:36:14,DE,Kühnert,"37,48 €",Altentreptow,ku,4051
Marathi,fahren.mov,-102.633181,laptop-98.riehl.de,1986-12-08T11:34:57,Frankreich,-3.4607325,Indian/Maldives,2018-03-29 13:44:16,DE,Bachmann Haase e.V.,"4,80 €",Schlüchtern,mag,150742
Tswana,etwas.ppt,41.698675,web-20.gotthard.de,1995-05-16T00:22:37,Barbados,-33.4161445,Asia/Tokyo,1971-06-23 02:30:57,DE,Müller Eckbauer GmbH,"20.446,53 €",Hainichen,ro,1432237
Guarani,drehen.mp3,-171.602666,laptop-36.vogt.de,1982-03-02T16:57:44,Gibraltar,-62.592980,Europe/Zagreb,1987-01-13 21:04:14,DE,Becker GmbH,"1,63 €",Böblingen,th,977995614
Mongolian,braun.avi,68.134349,srv-85.mans.de,2019-03-23T12:50:52,Brunei Darussalam,-83.916196,America/Jamaica,1978-07-11 21:49:34,DE,Karge Kraushaar AG,"1.394,59 €",Gerolzhofen,gu,60525526
Chinese,erst.xls,-140.931778,db-14.drub.com,1991-01-26T20:16:05,Ungarn,19.326529,Europe/Tirane,2003-03-21 04:45:20,DE,Römer,"7,88 €",Ludwigslust,wal,664668070
Sango,krank.jpg,-173.446910,email-77.beckmann.de,2003-05-11T12:37:53,Wallis und Futuna,-51.7894635,Europe/Belgrade,2002-10-09 10:29:04,DE,Neureuther Franke GmbH,"34,84 €",Nabburg,ca,89331
Rundi,Schiff.txt,112.051202,desktop-35.holzapfel.de,2013-09-19T01:07:04,Neukaledonien,34.349913,Europe/Vaduz,2017-08-25 14:54:42,DE,Weitzel,"218,48 €",Beeskow,the,8528179
Uighur,das.mp4,-57.380156,lt-67.meyer.de,2021-02-04T04:51:11,Mauretanien,-43.7791125,America/New_York,2006-08-23 09:59:31,DE,Holt Rose GbR,"8.187,87 €",Füssen,he,3
Hungarian,Woche.js,90.232086,web-11.mude.com,2003-11-10T15:41:29,Ägypten,-21.6859855,Europe/London,2005-09-11 07:31:36,DE,Weitzel e.G.,"61.484,63 €",Werdau,raj,802332314
Avestan,Wagen.wav,95.403704,desktop-76.saeuberlich.com,1996-07-20T21:36:58,Jamaika,70.847188,Europe/Riga,2005-05-27 09:07:21,DE,Nerger Dörr GmbH & Co. OHG,"1.745,89 €",Parchim,shs,5256312
Spanish,bleiben.json,98.565191,db-26.salz.org,2002-05-07T09:25:49,Jamaika,62.612294,Europe/Stockholm,1988-03-01 03:59:22,DE,Schüler,"70,90 €",Garmisch-Partenkirchen,ku,3340
Zulu,aber.mp3,-169.923878,db-88.kruschwitz.com,1996-06-12T21:13:01,Jemen,-53.399563,America/Argentina/Jujuy,2015-05-01 05:27:42,DE,Fritsch GmbH,"69.896,52 €",Sankt Goar,ln,9
Bosnian,Affe.js,-4.981534,web-92.wirth.com,2023-08-06T11:04:31,Tschad,-2.477099,America/Barbados,1988-01-16 01:08:29,DE,Winkler Adler AG & Co. KGaA,"7,82 €",Hagenow,hsb,65
Korean,führen.png,147.556943,lt-75.rogge.com,1989-03-11T01:50:36,Paraguay,-8.9911445,Europe/Chisinau,1991-09-03 09:17:09,DE,Dowerg AG,"62,31 €",Zschopau,hy,62496
North Ndebele,heraus.key,96.631082,web-04.lorch.net,2009-07-03T11:31:37,Bahrain,85.819273,Asia/Bishkek,1984-07-03 06:49:48,DE,Linke Stiftung & Co. KG,"41.916,35 €",Badibling,be,4
Northern Sami,Milch.mp3,-131.340822,desktop-93.jacobi.org,2007-10-15T12:04:58,Guyana,-8.572183,Africa/Abidjan,1989-12-14 07:11:49,DE,Zobel GmbH,"15.284,92 €",Dessau,ca,52
Ojibwa,Fußball.tiff,-15.257371,email-81.binner.de,2002-05-08T05:12:05,Svalbard und Jan Mayen,-5.7667945,America/Costa_Rica,1990-06-06 09:28:49,DE,Schweitzer,"4,37 €",Badibling,mi,50239516
Sindhi,man.webm,-137.507149,lt-41.rudolph.org,1999-07-10T21:58:22,Mauretanien,83.5984355,Africa/Bujumbura,2019-03-20 02:07:58,DE,Nohlmans GmbH & Co. KG,"7,54 €",Heiligenstadt,oc,37848838
"Sotho, Southern",mich.wav,79.394170,email-36.christoph.com,2002-02-15T02:00:18,Vietnam,72.7071705,Europe/Kiev,1986-07-13 13:12:24,DE,Trubin,"4.901,24 €",Vohenstrauß,byn,3709
Ewe,schlecht.mp3,-69.379108,lt-14.schenk.net,1975-05-26T00:04:55,São Tomé und Príncipe,75.0942235,America/Grenada,2011-04-01 23:16:16,DE,Gierschner GmbH,"0,71 €",Eisenhüttenstadt,ml,343
Afrikaans,Nase.webm,-28.742431,laptop-62.schaaf.de,1988-10-07T16:39:53,Wallis und Futuna,7.185250,Europe/Zurich,2006-01-27 14:11:57,DE,Finke Klemt GmbH,"651,59 €",Gütersloh,gl,16870719
Chichewa,müde.jpg,-146.100354,db-59.carsten.de,2018-12-08T14:22:31,Dänemark,10.9021535,Asia/Muscat,2006-05-08 17:41:48,DE,Birnbaum GmbH & Co. KG,"7.748,63 €",Artern,iu,401
French,nächste.jpeg,-35.656450,lt-11.wesack.de,1987-08-28T19:24:19,Russische Föderation,24.038275,Pacific/Auckland,1996-04-17 22:56:23,DE,Bolnbach Schacht AG,"2,56 €",Gelnhausen,ber,817801502
Interlingua,warten.mov,43.926946,lt-58.sontag.com,1982-10-08T18:07:19,Aruba,-63.148843,Asia/Hovd,2015-12-06 14:49:49,DE,Stahr,"905,04 €",Gerolzhofen,aa,94478583
Nepali,vorbei.jpeg,174.183706,srv-51.jopich.de,1984-07-22T12:33:47,Dschibuti,-4.691932,Europe/Sarajevo,1998-08-10 07:32:35,DE,Jäntsch AG,"64,11 €",Roding,an,24967409
Cornish,fragen.pdf,-103.989760,lt-48.klotz.de,2007-04-17T00:15:43,Jordanien,-20.683919,Asia/Brunei,2001-10-14 16:49:44,DE,Gertz Holsten GbR,"50,04 €",Bad Mergentheim,zh,55408
Sichuan Yi,Fenster.xlsx,-6.684753,laptop-18.taesche.com,1977-11-11T21:59:54,Mongolei,-32.1429995,Africa/Bissau,1996-01-19 04:54:24,DE,Heser GmbH,"951,79 €",Neubrandenburg,gd,9527525
Gujarati,Opa.odt,166.906595,srv-26.fechner.de,1997-07-07T15:19:30,Peru,37.5740595,Asia/Dili,1977-03-27 14:27:29,DE,Eberhardt Beier AG,"30,49 €",Tübingen,ks,2533
North Ndebele,holen.csv,37.148223,laptop-68.mangold.com,1981-12-14T22:59:52,Sudan,25.7378895,America/Barbados,1996-06-03 23:57:19,DE,Hethur Gehringer GbR,"406,24 €",Gütersloh,ks,3
Manx,groß.jpg,175.149749,lt-14.austermuehle.de,1997-02-28T07:25:53,Republik Moldau,-53.920290,Asia/Dubai,1983-05-13 07:06:24,DE,Drewes,"4,17 €",Gotha,sq,745171624
Slovenian,gerade.wav,53.143153,srv-79.ullrich.de,2009-10-09T05:05:04,Bouvetinsel,-17.9455345,America/St_Lucia,2008-01-12 17:04:39,DE,Holzapfel Weitzel Stiftung & Co. KGaA,"3.000,49 €",Apolda,tr,7378
Komi,nass.mov,-10.357381,laptop-62.wagner.net,1981-04-18T09:02:32,Jersey,-68.603927,Asia/Bishkek,2012-09-19 13:40:58,DE,Nohlmans Stiftung & Co. KGaA,"34,61 €",Wurzen,or,845309543
Fulah,zum.xls,167.447399,srv-43.gute.com,1983-06-01T03:37:18,Indien,-73.449462,America/Nassau,2021-10-06 23:12:50,DE,Reinhardt Davids GmbH & Co. OHG,"7.188,30 €",Schwäbisch Gmünd,uz,5671
Fijian,selbst.pages,-32.613309,web-20.eberth.com,1972-05-02T12:26:15,Malaysia,-13.4673825,Europe/Warsaw,1996-06-26 09:22:30,DE,Mälzer Reinhardt AG & Co. OHG,"9.261,31 €",Ingolstadt,rw,66128
German,ab.csv,-5.299593,srv-35.caspar.de,2001-01-05T00:02:49,Gibraltar,7.4957945,Africa/Khartoum,1985-09-09 18:14:23,DE,Neureuther,"2.851,51 €",Ahaus,ve,790
Malayalam,Boden.ods,84.703343,desktop-80.krebs.net,2020-02-03T09:42:28,Brasilien,-49.4493625,Atlantic/Reykjavik,1990-12-31 08:08:50,DE,Hande,"28,02 €",Freital,st,612781
Telugu,wie.mp4,-134.787881,email-94.tintzmann.de,2011-10-01T19:52:33,Französisch-Guayana,44.0583925,Africa/Gaborone,2014-12-29 20:06:45,DE,Harloff Ullrich GmbH,"6.029,46 €",Staffelstein,km,53359
Malay,stehen.jpeg,-12.371421,web-02.hoffmann.de,1992-04-30T20:43:46,Niue,-38.787403,Pacific/Majuro,1986-04-03 22:33:06,DE,Caspar Cichorius e.G.,"354,22 €",Schongau,az,1030
Lingala,sieben.key,81.764682,email-60.riehl.de,1989-06-26T08:08:38,Guam,15.5628565,Pacific/Tongatapu,2019-12-19 01:48:17,DE,Vollbrecht Heinz GmbH,"4,12 €",Ochsenfurt,hne,480
Javanese,leise.flac,102.454539,laptop-40.barkholz.de,1976-11-01T11:39:07,Salomonen,-73.9667535,Africa/Kinshasa,1991-08-18 00:14:04,DE,Butte,"8,09 €",Prenzlau,pap,82
Wolof,sehen.js,4.934861,web-87.kohl.com,2004-05-05T14:37:29,Sambia,64.147623,America/Guatemala,2012-01-18 09:47:35,DE,Drewes GbR,"30,25 €",Soltau,lb,4170102
Arabic,Sommer.avi,157.002397,srv-35.roehricht.de,1978-10-22T16:48:20,Seychellen,-18.384688,Pacific/Auckland,2003-08-01 08:15:51,DE,Drewes,"60.864,16 €",Wolgast,ru,786
Bulgarian,rennen.mp3,-14.066959,lt-92.zirme.com,1986-02-01T06:00:08,Trinidad und Tobago,69.271722,Africa/Asmera,2006-02-02 04:44:12,DE,Geisel Salz AG,"32.612,62 €",Ahaus,sw,4796
Tagalog,Abend.jpg,173.979745,srv-31.kohl.de,1975-12-22T07:08:03,Oman,0.6967705,Europe/Oslo,1998-04-01 09:43:29,DE,Weinhage GmbH,"38.451,30 €",Gera,ak,4362107
Swedish,los.wav,-104.991767,srv-94.troest.com,1982-08-18T09:04:17,Oman,80.611007,Asia/Singapore,2023-06-14 14:57:30,DE,Kobelt GmbH & Co. KG,"82,28 €",Fulda,ber,9
Wolof,holen.txt,167.862658,email-91.gutknecht.com,2018-07-28T14:32:34,Norfolkinsel,-75.0609365,America/St_Kitts,1998-03-04 04:21:58,DE,Mangold AG & Co. KGaA,"42,55 €",Meißen,zu,8
Sinhala,spät.gif,-12.591959,lt-17.taesche.com,1970-01-14T20:25:32,Österreich,57.349626,Asia/Karachi,1996-11-21 05:05:20,DE,Aumann Davids AG & Co. OHG,"94,18 €",Aue,ro,61409
Marshallese,wohl.txt,97.530918,desktop-84.rudolph.de,1999-04-21T03:08:17,Finnland,84.326728,America/El_Salvador,2008-01-07 02:41:45,DE,Schleich AG & Co. KG,"8,01 €",Griesbach Rottal,sc,310202363
Chuvash,Stelle.webm,-18.762062,db-64.holt.de,2019-01-28T06:07:14,Bahrain,-5.315986,Europe/Lisbon,2007-08-23 14:42:46,DE,Killer AG & Co. KGaA,"83.462,98 €",Hagenow,ak,7452933
Estonian,Sohn.mp4,57.196879,srv-97.sontag.net,1984-04-26T11:50:34,Grenada,26.6125525,America/Paramaribo,1980-09-20 22:21:36,DE,van der Dussen,"50.910,70 €",Backnang,hne,7863906
Vietnamese,reich.txt,103.918064,lt-66.weimer.de,2015-01-01T03:25:10,Russische Föderation,84.1345645,Africa/Lome,2013-10-17 10:36:16,DE,Ditschlerin Dussen van GmbH,"3,39 €",Warendorf,nb,493
Tagalog,Onkel.tiff,1.059065,db-39.wende.com,2011-12-31T15:01:56,Guam,80.035018,Europe/Brussels,2003-02-16 04:45:14,DE,Tröst Sager Stiftung & Co. KGaA,"12,55 €",Kaiserslautern,sw,3062
