date_time,bank_country,language_name,mac_address,date,language_code,country,city,longitude,latitude,random_number,company,timezone,iso8601
1971-01-25 15:35:16,CH,Ewe,0f:97:f7:8c:75:41,2021-12-15,sk,Uganda,Gland,100.459886,13.2719445,33016,Widmer-Grob,Africa/Freetown,1984-01-28T23:58:15
2006-01-01 02:05:28,CH,Ido,16:68:5c:bc:29:95,2014-08-23,ru,Cape Verde,Bernex,-97.027314,47.4651815,841368,Hunziker Inc,Europe/Ljubljana,1983-05-22T04:35:03
2023-03-28 19:51:32,CH,Abkhazian,9c:1c:45:4b:37:72,1972-06-28,ia,Romania,Glarus,-119.392927,-80.4321955,4546,Knecht-Marti,Asia/Colombo,1999-12-07T19:08:07
2022-07-24 18:17:01,CH,Bislama,ce:9c:fb:c1:c1:2a,2019-09-19,bhb,Uganda,Bern,137.565885,-54.9515565,9584939,Keller-Erni,Asia/Tehran,1975-10-01T01:42:36
2015-03-31 15:10:38,CH,Romanian,ae:79:3a:d0:f5:6b,1973-02-08,fo,Seychelles,Zug,29.227770,-27.488559,207347312,"Staub, Ritter and Vogt",Indian/Comoro,1988-11-15T11:25:07
1995-12-28 05:46:40,CH,Tahitian,d1:49:cd:6f:ac:d2,2007-07-13,sl,Cuba,Münsingen,-24.108743,10.920174,6,"Vogel, Bieri and Albrecht",Atlantic/Reykjavik,2016-11-21T15:18:19
1994-08-13 06:34:46,CH,Oriya,33:e8:9d:2d:1c:55,2004-10-27,gd,Bulgaria,Lenzburg,-50.905344,11.240117,961975,Iten-Kern,America/La_Paz,2008-01-19T11:24:11
2005-04-09 00:22:07,CH,French,e0:85:44:a3:48:ab,2020-11-13,ml,Cyprus,Affoltern,160.602740,22.406534,1,"Kuhn, Rüegg and Blaser",Pacific/Tongatapu,2000-04-10T02:12:35
1999-11-20 15:20:40,CH,Kinyarwanda,ec:61:58:7d:37:34,1970-10-22,pap,Indonesia,Uzwil,-152.652059,60.894571,701603784,"Bader, Bühler and Fuchs",Europe/Tallinn,1983-09-11T10:35:04
2015-08-31 10:26:22,CH,Serbian,03:1b:55:fc:92:0a,1991-04-22,hr,Peru,Schaffhausen,149.953975,78.9402775,25231681,"Brunner, Beck and Erni",America/Paramaribo,2006-05-13T22:51:37
1991-11-16 18:18:52,CH,Sundanese,f1:0b:ff:4c:ff:18,2007-12-22,cs,India,Köniz,-112.600758,-6.4732285,185804,Beck-Favre,Australia/Lindeman,2011-06-29T18:57:45
2008-08-01 22:08:36,CH,Nepali,15:da:72:be:7a:83,1978-07-02,mr,Tunisia,Lausanne,126.129112,10.8080405,936828638,"Eugster, Furrer and Furrer",Europe/Dublin,1994-11-19T11:53:23
2009-05-07 05:13:59,CH,Zhuang,76:b9:99:42:aa:50,1972-07-08,sr,Djibouti,Schaffhausen,81.404124,4.6831375,4243733,Wirz Inc,Africa/Niamey,2016-11-24T00:34:11
1992-09-15 12:20:15,CH,Pali,e5:a7:09:d1:45:8d,1983-05-04,ru,Bulgaria,Wetzikon,120.312122,83.2389465,469194969,Favre-Huber,Asia/Rangoon,2012-05-09T18:06:21
2010-11-03 17:11:00,CH,Afrikaans,29:a3:fe:49:c8:80,1997-12-31,pap,Suriname,Muttenz,-93.603031,19.3781845,57997,Meyer Group,Europe/Podgorica,1989-10-27T06:33:19
1983-02-22 06:05:33,CH,Quechua,3b:2b:66:5e:22:60,2021-11-19,tcy,Armenia,Lancy,178.027595,-89.4928995,84292,Kunz-Frei,Africa/Bangui,1974-02-27T03:26:18
1986-11-05 00:31:28,CH,Church Slavic,d9:c6:e6:d1:93:cd,2004-05-23,ky,Maldives,Maur,-146.759898,-14.777683,786,"Suter, Hotz and Erni",Europe/Ljubljana,1979-07-20T00:42:45
1988-12-19 03:46:34,CH,Irish,16:14:55:74:99:3d,1971-02-26,xh,Samoa,Einsiedeln,-145.104721,88.7804515,434820,"Gasser, Spörri and Scherrer",Africa/Addis_Ababa,1996-06-09T01:32:15
2009-01-13 14:25:16,CH,Japanese,ba:77:7e:ca:08:15,2004-06-04,de,Venezuela,Spiez,63.477306,31.7440875,4321,Seiler-Gut,Africa/Addis_Ababa,2009-06-08T21:40:52
1994-01-24 18:44:23,CH,Ndonga,52:4e:d6:49:ed:bc,1974-03-06,iu,Solomon Islands,Montreux,-84.261850,-17.7145575,90588,"Hafner, Herzog and Hunziker",Africa/Libreville,1974-05-29T03:43:48
2000-05-25 00:27:19,CH,Afrikaans,41:c1:44:1d:94:ef,1983-06-23,mni,Belize,Wald,143.855477,36.505863,49606130,Schwarz-Gut,America/Argentina/Ushuaia,2015-06-22T20:09:20
2001-04-15 18:46:59,CH,North Ndebele,10:10:78:79:58:d0,1980-07-21,ko,Slovakia,Freiburg,17.257379,-86.9538995,86107718,Bättig PLC,Europe/Ljubljana,2014-06-08T06:02:09
1996-03-31 18:16:45,CH,Sanskrit,18:4e:ff:7b:63:46,1997-10-23,bn,Brazil,Dübendorf,55.201037,-83.2949145,163342,"Walder, Wüthrich and Hermann",Africa/Douala,1990-09-16T08:39:01
1986-10-28 18:16:55,CH,Russian,1d:75:ef:da:a8:4b,1971-12-30,cv,Suriname,Renens,-97.303091,21.010468,54037124,Koch-Beck,Asia/Muscat,1977-04-01T19:12:34
1975-11-25 12:23:45,CH,Indonesian,50:f7:77:70:d9:74,2013-04-06,hsb,Nauru,Reinach,136.682791,-52.939679,303,"Gross, Lüscher and Wolf",America/Santiago,1978-06-05T00:01:19
1997-02-27 09:02:04,CH,Kanuri,fa:88:07:84:c5:10,1989-06-23,kok,Laos,Lugano,97.360610,-72.4192815,616,Hauser Group,Africa/Lagos,1982-11-22T12:21:51
2014-01-10 22:58:51,CH,Bengali,f1:dd:a9:83:d3:24,1971-09-04,ti,Comoros,Winterthur,99.843110,58.850323,1830769,Martin and Sons,Europe/Minsk,2002-03-13T12:17:09
1989-01-01 06:06:54,CH,Occitan,f4:64:1c:0e:bf:29,1996-02-14,kl,Kuwait,Neuhausen,140.445142,-21.148568,579326,Roth Inc,Asia/Nicosia,1972-09-06T01:15:24
1988-05-07 07:50:27,CH,Kazakh,de:e1:6b:13:bf:db,1977-01-25,apn,Montenegro,Worb,-74.330262,72.9034105,64,Lehmann-Hofmann,Africa/Mbabane,1970-09-02T10:53:29
1970-11-10 09:28:15,CH,Interlingua,fb:c7:c2:e6:df:e4,1975-08-13,szl,Iceland,Lyss,175.997805,-65.4095175,30,Schuler-Wirth,Africa/Dakar,1999-05-29T05:22:36
2002-11-17 21:17:00,CH,Czech,5f:21:0a:c5:c3:fd,2011-10-07,wo,Vatican City,Amriswil,-102.092082,-86.276509,406729,Käser PLC,Pacific/Chatham,1992-05-02T12:59:34
2012-06-30 02:46:56,CH,Shona,60:29:25:1d:c6:15,2014-07-31,eo,Switzerland,Liestal,-87.362018,65.848664,1213,Steinmann-Roos,Africa/Niamey,1983-06-10T12:45:15
2006-01-09 20:34:31,CH,Church Slavic,08:f2:e4:15:28:7e,1994-12-03,mg,Argentina,Carouge,-14.630840,-61.7499115,630832617,Studer LLC,Europe/Copenhagen,1981-10-11T06:52:24
2006-09-01 05:55:43,CH,Kinyarwanda,63:5c:d0:a4:30:17,1976-11-21,ce,Spain,Chur,-146.821500,73.987504,4553320,Schwab-Eichenberger,Asia/Baghdad,1981-08-02T22:15:11
1981-08-09 17:33:49,CH,Aymara,53:4e:8d:3b:c2:87,1986-04-03,apn,Kiribati,Thalwil,13.361475,-23.906047,2,Felder-Stutz,Africa/Tripoli,1977-04-03T19:49:14
1975-03-27 07:49:11,CH,Limburgan,05:9d:b6:89:01:01,2018-05-04,pt,Saudi Arabia,Adliswil,-72.122871,7.282632,9564,Steiger-Hoffmann,Europe/Vilnius,1988-01-17T16:05:57
1979-02-10 16:17:15,CH,Luba-Katanga,b8:80:ed:a5:86:d8,1973-06-10,dv,Nicaragua,Yverdon-les-Bains,-106.227729,2.119377,8779111,Steffen Group,Indian/Comoro,1974-01-02T16:30:59
1994-05-19 04:28:33,CH,Turkmen,13:01:2e:49:52:0d,2002-06-17,shs,Serbia,Bernex,-33.293789,20.5552335,33882279,Bieri-Meister,Africa/Gaborone,1974-06-30T13:56:10
1990-09-28 06:54:44,CH,Romanian,85:5f:58:bf:a2:0a,1990-10-17,hi,Kuwait,Delsberg,73.512186,-74.362623,39863079,Schär-Bühler,America/Costa_Rica,1981-03-06T03:55:08
2016-01-09 05:10:39,CH,Belarusian,b5:1b:68:cf:99:0e,1971-04-25,nr,Niger,Männedorf,115.567170,-88.255660,15,Schweizer-Keller,Europe/Malta,1995-11-04T11:40:27
1994-12-30 20:36:45,CH,Russian,f1:e9:12:8e:ff:0f,1993-06-07,my,Oman,Volketswil,-132.316677,33.432202,873541,Sutter Ltd,Pacific/Auckland,2016-09-10T15:13:30
2015-01-12 03:30:38,CH,Ndonga,29:b6:22:ab:af:3c,1980-11-30,nl,Vanuatu,Burgdorf,161.625062,-54.3579145,452855921,Lanz-Schärer,America/Caracas,2015-07-18T18:00:11
2004-01-29 18:50:50,CH,Hausa,70:af:7a:4a:23:9a,2007-03-04,az,Mali,Naters,77.572099,25.085043,4573833,Schweizer and Sons,Europe/Skopje,1990-10-10T07:54:20
2015-08-27 13:04:30,CH,Interlingua,66:6f:f1:f3:a7:3e,1994-11-30,tg,Belize,Bernex,136.426789,75.9016295,821,"Michel, Tanner and Kaufmann",America/Tegucigalpa,1970-07-01T10:42:49
2005-01-26 22:30:58,CH,Russian,2a:b6:f2:42:bb:15,2019-11-11,brx,Jamaica,Spreitenbach,110.194689,-27.9076405,56216595,"Kuhn, Gerber and Wenger",Africa/Niamey,2005-04-08T05:09:04
2022-02-25 14:31:47,CH,Pali,8e:af:b3:a4:69:31,1970-05-28,iw,Moldova,Veyrier,-7.864894,-17.1075825,9,Hofstetter Ltd,Asia/Dubai,1997-06-30T15:20:09
1976-06-21 02:18:30,CH,Albanian,a9:a1:33:8e:c2:d7,2011-10-02,ce,Azerbaijan,Wallisellen,165.514441,-73.9384815,966745,Hunziker and Sons,Africa/Sao_Tome,2005-05-04T20:55:43
1974-07-28 14:51:22,CH,Swahili,c9:23:1b:72:4a:7e,1992-04-28,ka,Costa Rica,Pratteln,-173.523239,-85.8939925,7644764,"Stalder, Schär and Lehmann",America/El_Salvador,2021-07-11T12:27:44
1981-05-24 05:30:09,CH,Telugu,d8:ae:3d:8b:28:30,1974-04-27,ko,Syria,Davos,-84.395719,-32.5553005,1184256,Walder Group,Asia/Aden,1983-06-04T19:48:56
1999-08-17 23:07:19,CH,Mongolian,3d:ed:7e:42:dc:b3,2018-11-18,pl,Yemen,Birsfelden,169.990380,-38.6154545,272,Stöckli LLC,Africa/Luanda,2005-07-09T03:53:41
2023-04-05 14:56:25,CH,Marshallese,4a:c7:74:16:db:a6,2000-06-21,br,El Salvador,Allschwil,-166.332304,-52.7138575,535,Stadelmann-Staub,Africa/Maseru,1987-04-02T09:19:07
1982-05-19 02:55:42,CH,Tatar,a9:8e:09:03:45:e0,2007-09-14,as,Albania,Schwyz,163.024195,89.943065,1417,"Mayer, Egger and Fehr",Africa/Bamako,2021-12-01T01:10:18
1984-07-21 20:18:22,CH,Galician,c0:f1:f5:a7:26:c9,1994-02-15,bho,Mozambique,Bulle,159.684525,-0.917045,749637,"Beck, Wüthrich and Baumgartner",America/Havana,2019-04-16T14:12:21
1970-12-06 08:36:21,CH,Dutch,08:3b:90:3a:77:ce,1989-10-24,ar,Nauru,Thalwil,-136.831527,10.141765,8,Herzog-Eichenberger,Asia/Thimphu,2000-02-11T08:53:55
1970-09-21 00:32:39,CH,Gaelic,9b:7f:b5:b5:7e:b3,2010-01-17,my,Vatican City,Frauenfeld,-80.589192,-0.4473615,1843,Bieri PLC,Africa/Djibouti,2001-07-20T11:01:51
1987-06-02 12:23:31,CH,Akan,a4:9d:24:94:81:5c,1981-08-04,tig,Latvia,Arbon,-146.980621,-1.9343795,39966,"Haas, Beck and Schneider",America/La_Paz,2020-03-21T19:24:25
1983-06-01 08:40:27,CH,Bashkir,92:db:d5:61:7b:b3,2002-04-15,tn,Tajikistan,Amriswil,136.592016,-0.5192795,8,Weibel-Kohler,America/Jamaica,1972-12-18T08:36:03
2014-03-26 16:02:59,CH,Norwegian Nynorsk,11:da:c5:6a:c2:66,1985-04-12,mt,Honduras,Adliswil,-73.101803,77.078232,4,Baumgartner PLC,Africa/Conakry,2018-05-23T02:37:57
2019-10-21 05:23:24,CH,Sinhala,59:6c:49:e7:98:c5,2010-10-19,fa,Serbia,Maur,55.064363,-78.3681315,3926,Egger Ltd,Africa/Lagos,1972-12-08T20:44:27
2022-08-14 22:05:48,CH,Akan,a7:15:13:8f:94:c3,1988-04-28,ja,Suriname,Wetzikon,137.958186,-69.959211,64075780,Rey-Betschart,Europe/Bratislava,2019-11-25T09:14:36
2021-08-02 10:50:57,CH,Slovak,43:98:0b:c1:16:70,1984-03-17,mg,Bhutan,Glarus,-105.500623,63.048582,973677,Kälin Inc,Europe/Monaco,2008-10-29T04:32:28
1976-01-06 11:46:16,CH,Swati,45:8d:27:11:25:4b,1990-10-09,szl,Uruguay,Plan-les-Ouates,72.958373,-57.723164,84,Wolf Inc,America/Managua,1984-03-02T06:05:48
1976-04-19 22:03:29,CH,Chamorro,e0:12:5d:95:2f:b4,1972-01-08,bhb,Eritrea,Freienbach,146.076562,-4.955299,7153000,Staub Ltd,Asia/Brunei,1978-05-19T15:21:28
1989-10-30 12:22:20,CH,Maltese,ab:e2:d9:c7:6a:0b,1995-01-21,so,Somalia,Langenthal,122.284547,80.0435755,223,Moser Group,Europe/Tirane,2009-09-21T01:16:40
1982-03-25 07:37:24,CH,Cornish,54:0b:ae:44:0f:33,2010-05-06,ur,Saint Kitts and Nevis,Wald,131.420013,12.635537,80,Ziegler-Kälin,Asia/Saigon,1984-09-18T09:18:29
1991-12-04 03:53:51,CH,Tibetan,be:ec:72:5c:95:d0,2019-03-23,nn,Kuwait,Bulle,25.876862,74.990098,219,Braun-Ritter,America/Port_of_Spain,1981-05-26T07:31:01
2019-12-26 02:03:26,CH,Tagalog,65:f2:ce:62:57:e8,2004-03-30,ce,Israel,Luzern,175.064531,-10.2893525,4,Suter Group,America/Antigua,2020-10-04T22:21:32
1980-09-19 08:22:22,CH,Twi,a4:76:cc:ff:a0:34,1982-02-16,be,Lesotho,Lutry,112.802990,54.377485,18431,"Stalder, Käser and Rey",Africa/Windhoek,1971-10-09T21:23:02
1989-04-28 12:37:24,CH,Ndonga,3c:55:90:84:57:29,1995-10-31,bg,SÃ£o TomÃ© and PrÃ­ncipe,Veyrier,-120.616697,53.038862,1527,"Ackermann, Hirt and Kern",Europe/Berlin,1981-10-17T17:47:39
1983-07-22 08:32:30,CH,Samoan,92:c6:8c:bc:83:fa,1986-11-17,os,Bolivia,Ebikon,68.674356,77.3222745,3552,Kessler Group,Asia/Kuching,2008-03-09T05:41:39
1993-10-23 15:47:56,CH,Finnish,fa:dd:b1:90:ee:ef,1978-05-31,af,Bosnia and Herzegovina,Thalwil,-82.941458,27.5806885,954343,Bianchi PLC,Pacific/Fiji,2020-02-12T07:06:20
2010-08-16 19:11:02,CH,Swati,29:10:e9:bc:07:2c,1998-04-23,aa,Central African Republic,Bernex,-178.432892,-33.8768255,4067850,Zimmermann-Bianchi,Africa/Bissau,2001-02-12T11:59:40
1995-03-28 20:31:44,CH,Sango,76:cf:a2:e8:8f:3f,1989-09-28,ayc,Liechtenstein,Maur,34.937432,54.7288085,4422102,Imhof-Baur,America/Barbados,1991-03-04T14:53:13
1995-08-25 12:27:28,CH,Pushto,9f:21:12:af:2b:6c,2020-02-04,iw,Lesotho,Münchenstein,-125.411360,-61.429966,1514,"Stutz, Steiger and Kuhn",Africa/Dar_es_Salaam,2002-01-27T04:44:16
1977-10-18 13:35:10,CH,Serbian,2a:ca:4f:4d:2d:bc,2012-08-08,nan,United Arab Emirates,Meyrin,16.870712,-53.7891315,819,Siegrist-Keller,Africa/Conakry,2009-10-03T22:48:54
1989-05-29 18:36:03,CH,Vietnamese,62:b6:58:80:8e:7d,2009-05-08,ig,Guatemala,Crans-Montana,6.390939,54.1482955,61325,"Vogt, Amrein and Hartmann",Europe/Oslo,2023-06-20T22:21:48
1982-04-22 08:28:41,CH,Slovak,0c:8c:c5:ce:48:69,1991-08-05,ayc,Oman,Villars-sur-Glâne,-44.726666,-70.023945,51903,Probst-Bianchi,Asia/Yerevan,1976-04-30T16:37:20
1970-07-20 06:19:37,CH,"Sotho, Southern",0f:fe:f1:45:ba:61,1983-03-05,lg,Libya,Möhlin,74.216317,-28.116655,8,Braun PLC,Africa/Johannesburg,1982-07-24T19:01:41
2010-02-25 10:53:13,CH,Spanish,64:dd:89:bc:54:31,1981-02-23,te,Sri Lanka,Romanshorn,-115.117946,-53.2455475,50,Rey LLC,Europe/Riga,2016-04-27T04:15:31
2009-06-01 03:08:33,CH,Polish,49:03:41:b5:27:06,2022-06-12,km,Sri Lanka,Gossau,-89.625251,-4.779601,3953470,"Jäggi, Albrecht and Lustenberger",America/Guatemala,2001-08-20T08:52:34
1974-11-15 17:28:58,CH,Twi,49:01:11:74:0b:46,1975-05-25,be,Barbados,Crans-Montana,-72.435397,6.2838085,0,"Jenni, Scherrer and Hasler",Pacific/Apia,2014-03-06T14:51:48
1987-08-18 07:26:00,CH,Haitian,88:3f:bf:b9:1d:55,2018-12-28,kn,Qatar,Horw,-142.161480,11.2690985,5,Schuler and Sons,Asia/Tehran,2015-12-29T18:50:05
1984-10-13 18:43:12,CH,Inupiaq,06:39:c2:cc:a9:19,1994-02-11,cy,Sweden,Münsingen,-6.202095,30.377813,0,Betschart LLC,Africa/Bangui,1993-07-18T17:43:31
2001-08-03 22:32:57,CH,Azerbaijani,88:c0:e5:cd:8a:fe,1971-12-07,iu,United Kingdom,Plan-les-Ouates,-150.517719,22.9589575,137053,Schwarz Ltd,Africa/Johannesburg,2021-06-04T01:19:13
1973-09-15 19:29:13,CH,Norwegian Nynorsk,b0:03:66:fe:b9:2c,2004-07-28,kn,Andorra,Meyrin,120.329652,-38.2162355,91598865,"Ammann, Bernasconi and Zbinden",Africa/Nouakchott,1992-10-07T03:14:09
2016-02-07 02:28:45,CH,Thai,a8:8d:e4:07:52:09,2020-04-25,mni,Benin,Meyrin,147.910728,61.240030,6288,"Bader, Frey and Senn",Africa/Blantyre,1975-03-18T07:52:50
1983-01-01 07:15:05,CH,Interlingue,26:ff:d3:87:72:c0,2011-06-29,mg,Djibouti,Gossau,-133.015331,75.9606705,8970,Stutz and Sons,Africa/Luanda,2017-08-27T06:46:53
1976-09-20 17:31:16,CH,Tigrinya,65:74:fe:bf:7b:68,2015-11-01,ne,Hungary,Brig-Glis,-68.560158,-85.842351,753,"Huber, Wüthrich and Schärer",America/Lima,1989-12-27T06:08:42
2019-02-28 03:20:07,CH,Fulah,78:1d:b1:d4:02:5c,2013-10-15,wal,Norway,Zollikofen,-68.931842,80.6468825,1808,Gross Group,Asia/Dili,2019-02-24T13:46:29
1970-08-22 13:26:13,CH,Hindi,a3:07:d1:35:ea:bf,1995-06-20,aa,Norway,Veyrier,-122.379426,-40.507221,91452,Bieri-Aebi,Asia/Kuwait,2007-02-18T00:54:30
2002-11-12 09:43:14,CH,Marshallese,dd:10:ed:6e:d2:9d,1989-09-20,fy,Djibouti,Allschwil,-134.817051,-1.2492375,907,"Maurer, Peter and Weber",America/St_Lucia,1983-09-20T02:47:09
1981-07-25 11:11:09,CH,Serbian,79:8b:8f:36:ac:fd,2023-07-06,fo,Liechtenstein,Siders,-157.445736,-40.855934,2768882,Marti Ltd,Africa/Bamako,1985-09-11T15:56:09
1987-02-24 20:06:57,CH,Western Frisian,67:4c:28:02:23:75,2006-12-28,sl,Solomon Islands,Einsiedeln,108.500196,-54.6140005,98939,Beck-Amrein,Asia/Dushanbe,2011-06-02T18:33:04
1978-08-22 15:48:12,CH,Dutch,46:f8:21:0a:9e:2a,1999-07-22,kk,Barbados,Renens,55.557381,82.3590665,301445041,Lanz Inc,America/El_Salvador,1984-10-03T23:50:11
1987-12-11 09:29:23,CH,Burmese,8e:51:40:20:70:ec,1977-04-03,an,Kingdom of the Netherlands,Thônex,157.727006,43.7526655,19668479,Gloor Group,Pacific/Tarawa,2013-04-15T03:53:52
2021-06-23 06:59:27,CH,Ewe,77:e8:f4:42:18:2f,1983-06-27,ln,Belize,Zollikon,175.239614,43.0820925,7419742,"Hodel, Ferrari and Frey",Africa/Harare,1974-07-31T01:03:56
2014-11-25 17:27:02,CH,Navajo,cb:af:4b:f5:51:b7,2010-10-23,nl,Switzerland,Muri,69.968579,-0.2493605,5,"Schmidt, Gut and Leunberger",Asia/Bahrain,1979-07-22T20:42:16
1983-02-18 04:11:36,CH,Herero,df:19:db:26:b2:e6,1984-03-10,hne,Cyprus,Payerne,-72.354907,-6.6030515,6206,"Tanner, Stöckli and Frick",America/Argentina/Buenos_Aires,1988-08-24T20:31:22
1993-04-06 13:45:23,CH,Divehi,4a:9a:24:c8:0b:1a,1980-09-08,ur,Afghanistan,Muttenz,131.388387,81.2638435,77411401,Favre-Stalder,America/St_Vincent,1982-06-10T03:03:17
2007-02-19 23:18:08,CH,Maltese,50:be:fc:fd:3a:d8,1971-09-12,ga,Trinidad and Tobago,Baden,139.085874,-19.743487,952869916,"Sutter, Bosshard and Schwarz",Atlantic/Madeira,1989-07-16T19:10:46
2019-07-10 09:31:21,CH,Kalaallisut,03:19:41:f0:88:2f,1984-07-23,om,Malta,Dübendorf,149.711976,-17.6981445,16082,Seiler-Rüegg,Asia/Nicosia,2000-10-04T12:51:30
2001-03-07 01:44:52,CH,English,ab:4c:1c:0e:85:e0,1995-05-08,my,Botswana,Wetzikon,-92.110468,82.612104,14172,"Meier, Schaub and Haas",Africa/Asmera,1992-06-18T18:10:44
2000-06-18 12:15:47,CH,Spanish,b0:46:bf:76:86:9e,2019-09-25,pa,Rwanda,Lyss,-138.058744,48.8655925,34,"Stadelmann, Wyss and Lutz",Africa/Nairobi,2005-02-12T01:00:17
2020-04-26 16:17:46,CH,Swedish,46:c1:d7:c3:2b:87,1995-03-07,bhb,Saint Lucia,Dübendorf,105.253525,52.292372,909038,"Schnyder, Kägi and Walder",Africa/Casablanca,2011-06-24T16:05:07
2004-03-11 23:13:33,CH,Shona,e9:d4:cc:ff:d2:5e,1989-03-28,gez,San Marino,Küsnacht,73.299217,68.914183,9050757,"Fehr, Geiger and Bucher",Africa/Niamey,1989-02-20T09:03:20
1988-09-06 19:55:41,CH,Malayalam,43:16:92:a0:c2:d8,1971-01-25,kw,Portugal,Hinwil,110.074180,50.5102245,4961700,Iten-Meili,Africa/Johannesburg,1999-03-01T13:23:57
2006-06-05 14:53:25,CH,Venda,20:79:33:df:8e:0a,2022-07-20,os,Cape Verde,Steffisburg,5.702783,16.2369435,665766829,"Sigrist, Wehrli and Wagner",America/Antigua,2020-03-12T17:05:09
1980-05-18 22:50:28,CH,Slovenian,cc:27:5d:1c:30:2f,2013-08-19,fi,Malawi,Ecublens,24.019898,18.5756505,7,"Kaufmann, Bolliger and Forster",Europe/Podgorica,1998-12-07T06:57:50
1975-03-25 20:45:55,CH,Kannada,47:3e:da:c0:c8:71,2016-05-15,tt,Syria,Uster,-14.867159,-47.392031,611,Schmidt-Schnyder,Europe/Andorra,1973-01-13T17:53:07
