iso8601,pricetag,company,timezone,language_code,date,date_time,file_name,country,city,latitude,bank_country,hostname,mac_address,random_number
1974-01-28T15:42:45,"341,69 €",Röhricht KG,Africa/Addis_Ababa,sv,1989-02-10,2023-08-04 09:31:34,jeder.json,Norfolkinsel,Weißenfels,73.0052515,DE,db-73.mude.com,32:fb:f7:fa:ab:bb,39705821
1987-09-24T19:44:45,"67,14 €",Zorbach Wiek KG,Africa/Cairo,ku,1974-10-25,1999-05-26 13:59:44,Boden.js,Botsuana,Dessau,-27.0943325,DE,srv-37.sager.com,d7:86:85:e2:5a:bd,944615
1977-07-30T06:40:13,"7,60 €",Köhler Jäntsch GmbH & Co. KG,Africa/Algiers,km,2004-08-12,2000-12-17 07:54:51,Zeitung.xlsx,Algerien,Delitzsch,-19.5142845,DE,lt-47.meyer.com,f5:4d:dd:06:5c:32,9887851
2017-03-10T13:20:23,"7.056,64 €",Renner KGaA,Africa/Dakar,niu,1975-10-10,1993-12-05 05:36:35,vorbei.xls,Französisch-Guayana,Sondershausen,-14.6684985,DE,srv-32.caspar.net,1d:1d:d5:22:01:13,7
1995-08-24T10:08:28,"37.632,86 €",Noack GmbH,Pacific/Apia,bn,2015-08-18,1978-11-29 07:22:12,Meer.flac,Vereinigte Staaten,Rochlitz,-49.4461265,DE,db-62.muelichen.de,19:40:33:80:cc:6a,89423
1975-06-10T11:28:40,"4,02 €",Kohl,Asia/Kabul,iw,1994-03-21,1972-12-07 18:11:24,nun.odt,San Marino,Jülich,84.3102795,DE,email-10.ruppert.de,a8:2c:4a:b3:6f:28,87
1989-01-17T14:06:40,"8.211,96 €",Jopich GmbH & Co. KGaA,America/Tegucigalpa,ast,1974-07-01,2005-05-16 01:10:21,mehr.csv,Bahrain,Schmölln,-86.244234,DE,db-47.siering.net,b8:d1:0f:a4:0d:93,844679
2013-11-12T14:00:08,"0,88 €",Gumprich,Africa/Conakry,lt,2013-04-15,1972-07-03 20:04:21,sie.tiff,Britisches Territorium im Indischen Ozean,Strausberg,37.132007,DE,desktop-66.kambs.de,2f:d8:d3:62:a7:4f,21142827
2005-09-09T18:05:24,"8,14 €",Hövel Oestrovsky GmbH & Co. OHG,Europe/Vaduz,be,1980-06-28,2015-04-04 22:48:30,Frage.jpeg,Litauen,Wurzen,65.184720,DE,lt-14.harloff.com,a2:64:75:17:b2:30,9784263
2014-12-07T21:52:30,"2.606,87 €",Birnbaum GmbH & Co. KG,Africa/Niamey,nn,2015-07-12,2020-01-19 21:34:50,Sommer.mp3,Malta,Rehau,-5.300147,DE,db-41.gertz.de,94:ad:7a:65:b1:7c,82
2014-03-10T18:42:26,"460,50 €",Freudenberger,America/St_Vincent,gez,2003-06-03,1993-11-25 14:02:52,Papa.mov,Grönland,Bad Freienwalde,-42.168208,DE,srv-07.haering.com,03:1e:2f:85:fa:d3,3512207
2006-06-08T06:40:50,"5.117,15 €",Neureuther,Africa/Nairobi,unm,1979-02-18,1978-06-21 01:49:45,wieder.xlsx,Barbados,Nordhausen,-50.3317855,DE,lt-16.hecker.de,b9:f9:3c:28:70:fc,633913193
1979-04-03T15:25:37,"2.509,66 €",Beer,Indian/Antananarivo,yue,2002-11-05,1976-03-20 21:40:03,Mama.png,Pitcairn,Sondershausen,-60.236346,DE,desktop-93.boerner.com,2c:b6:48:76:d3:46,120482307
2019-04-19T06:36:45,"6.408,05 €",Tschentscher Pergande GmbH,Europe/San_Marino,af,1998-12-18,1981-11-15 09:54:12,wirklich.json,Deutschland,Stade,-52.739084,DE,laptop-66.jessel.com,8c:73:bc:8c:27:90,404334322
2023-05-15T04:53:18,"141,34 €",Mielcarek Dussen van GmbH,America/Tegucigalpa,ta,1974-05-16,2002-04-11 02:35:46,Abend.jpg,Salomonen,Burglengenfeld,5.0225695,DE,srv-90.kitzmann.org,b2:ef:e0:70:be:56,22379417
1972-01-25T02:51:41,"64,55 €",Stumpf,Asia/Tehran,ckb,2018-09-17,1994-01-13 03:59:11,vom.mp3,Armenien,Pasewalk,12.4769795,DE,web-70.scheel.net,dd:e6:c2:3d:10:f0,7814460
1977-09-08T11:00:57,"86,93 €",Dowerg,Asia/Vientiane,sd,1991-01-21,1980-09-26 09:58:02,brauchen.avi,Simbabwe,Aurich,35.9421265,DE,desktop-42.hendriks.org,15:dd:5d:c9:36:a7,32375533
1976-02-28T21:39:26,"69,46 €",Etzold GmbH & Co. KG,Europe/Vaduz,es,2008-01-11,2008-07-17 10:03:08,her.numbers,Indien,Brandenburg,-11.232104,DE,db-66.muehle.com,0b:1c:ba:4e:a0:5e,710286387
2020-08-12T06:59:11,"52.334,51 €",Binner KG,Asia/Taipei,bhb,1995-06-04,1994-04-23 16:47:50,leicht.tiff,Peru,Döbeln,27.202932,DE,desktop-01.fischer.com,ad:21:47:c9:ce:73,99741
2001-03-28T00:55:56,"78,72 €",Fechner AG & Co. KGaA,Africa/Maseru,ts,2010-05-01,1991-06-25 00:45:37,wird.flac,Laos,Roth,-70.5507065,DE,web-20.stroh.com,b2:9f:a4:49:dc:0c,7904
1976-07-24T08:18:28,"584,28 €",Fliegner Scholl GbR,Europe/Copenhagen,da,1977-03-01,2016-02-11 19:26:57,Arzt.wav,Tschad,Luckenwalde,-3.9916675,DE,laptop-93.hoevel.com,6f:21:c1:9b:58:96,92601
1985-01-23T16:46:24,"48.279,85 €",Anders,Asia/Dhaka,iu,2007-10-24,2023-06-18 23:27:21,turnen.wav,Brunei Darussalam,Monschau,63.674154,DE,web-65.klemt.com,ef:39:dc:d6:c5:7c,40417167
2013-01-10T18:39:06,"20,82 €",Eberth,America/Dominica,cy,1986-05-06,1977-08-08 01:14:29,selbst.txt,Monaco,Calau,18.1043565,DE,srv-25.gute.net,41:16:f0:45:43:0c,447
2019-06-20T07:20:39,"11,99 €",Stolze Weitzel AG & Co. KG,Asia/Rangoon,sr,1983-05-14,1979-05-07 06:30:33,als.gif,Jemen,Roth,78.7413375,DE,web-06.tintzmann.org,0a:4f:64:80:0f:ea,0
1994-08-15T18:43:36,"76.828,81 €",Scholl e.G.,Africa/Kampala,fa,2007-04-12,2012-12-11 05:56:49,fünf.js,Barbados,Roding,25.072266,DE,email-45.reichmann.com,bb:73:0f:a4:76:1c,4355
2006-01-27T12:24:37,"72,73 €",Fröhlich Warmer AG,Pacific/Nauru,hr,2019-08-22,2020-05-29 20:05:26,Geschenk.pptx,Mayotte,Lüdenscheid,-11.2897235,DE,desktop-32.putz.com,43:6b:aa:8f:b9:96,6
2021-07-23T16:02:49,"191,64 €",Fliegner Stiftung & Co. KG,Europe/Budapest,pt,1983-04-22,1997-11-06 10:13:40,turnen.jpg,Iran,Riesa,51.9296735,DE,desktop-40.girschner.com,30:33:76:8d:a0:fd,0
1987-02-12T23:39:09,"76.564,07 €",Flantz,Africa/Casablanca,lb,1993-08-26,2017-09-02 21:22:50,Schüler.ods,Kokosinseln,Meiningen,23.4420625,DE,web-05.jessel.com,80:18:70:23:3d:dd,780
2016-06-17T09:32:37,"70,10 €",Klingelhöfer Heidrich e.G.,Indian/Mahe,nso,1971-09-18,1971-06-17 00:33:37,er.webm,Falklandinseln,Parsberg,20.552934,DE,lt-47.butte.net,81:04:c4:2a:15:d9,715
1987-12-15T12:19:13,"74.693,97 €",Lindner,America/Chihuahua,lzh,2020-01-26,1995-07-19 22:43:50,durch.jpeg,Malediven,Demmin,76.2781245,DE,web-14.scheibe.com,9f:79:c3:34:b2:0f,79997
1971-08-23T16:51:12,"47.600,48 €",Warmer AG & Co. KGaA,Asia/Amman,bhb,2021-04-03,2020-05-05 20:58:42,Teller.mov,Senegal,Badoberan,85.7587155,DE,lt-47.rosenow.com,b8:ac:28:3c:03:ad,67029
1982-04-17T04:56:37,"33,05 €",Atzler Löchel AG & Co. KG,Asia/Kuwait,ast,2002-07-05,2019-07-13 21:54:44,ging.bmp,Turkmenistan,München,33.9532275,DE,db-92.franke.com,a1:70:44:27:81:72,2
1978-06-28T03:15:47,"7.066,13 €",Klotz Aumann AG,America/Barbados,pt,2018-01-16,2021-12-21 11:44:20,dafür.mp4,Deutschland,Roth,17.100854,DE,srv-69.poelitz.com,c8:52:8b:75:cb:5b,70501873
1994-06-09T08:02:05,"12,26 €",Hauffer GmbH,Europe/London,my,2022-05-30,2014-12-24 13:26:08,gar.flac,Bolivien,Sigmaringen,-16.101564,DE,web-24.seip.net,58:f7:20:05:82:37,417494
1987-11-29T05:06:45,"60,82 €",Hendriks,America/Managua,it,1995-01-05,1995-12-03 01:05:33,hinein.gif,Nigeria,Recklinghausen,-77.8387485,DE,srv-31.eimer.org,93:de:34:9e:46:b1,7013
2023-08-14T16:55:13,"1.985,85 €",Schenk Mohaupt AG & Co. KG,Europe/Sarajevo,es,1988-06-13,1982-01-29 15:47:45,glauben.mov,Malawi,Kassel,-1.412823,DE,db-31.renner.net,38:ae:74:71:94:24,66483163
1988-07-31T19:15:54,"908,26 €",Jopich Bruder OHG mbH,Africa/Harare,nr,2021-06-27,2000-11-17 17:21:37,lassen.wav,Griechenland,Cuxhaven,-36.8920075,DE,email-22.sauer.net,83:b0:7a:fd:85:71,402303
2002-07-10T19:15:50,"0,44 €",Schulz,Africa/Maseru,ht,1970-12-09,1991-09-03 08:46:23,Bild.html,Guernsey,Schwerin,-29.3797095,DE,web-60.buchholz.net,a3:e8:e6:94:a2:2e,136
2009-07-19T05:06:43,"6.705,59 €",Hornig KG,Europe/Vaduz,shs,1987-02-03,2010-08-19 16:24:16,nein.wav,Republik Moldau,Düren,27.6806985,DE,web-54.reising.net,4e:e8:1f:d0:29:5e,24275
2017-10-14T16:23:16,"78.763,44 €",Benthin,Europe/Zagreb,he,1993-03-12,1999-06-11 07:54:31,sieht.odt,Mikronesien,Vohenstrauß,11.186163,DE,laptop-74.matthaei.org,b7:79:8c:28:3a:78,8743
2010-05-25T19:57:55,"55.985,33 €",Ruppersberger,Europe/Vatican,de,1973-06-21,1971-06-23 08:19:04,glauben.bmp,Israel,Büsingen am Hochrhein,50.2162475,DE,web-05.bien.de,99:bf:a4:8f:93:77,8226
2010-12-27T08:25:46,"5,72 €",Gröttner,Africa/Kampala,th,2011-10-17,2020-01-01 03:50:15,verstecken.js,Israel,Erkelenz,15.6631795,DE,laptop-95.loechel.org,70:64:5a:c8:d8:c8,164541576
1974-11-15T13:54:44,"0,72 €",Börner Kühnert AG & Co. KGaA,Africa/Monrovia,gez,1985-09-22,1976-09-27 09:39:38,nimmt.png,Bangladesch,Forst,-78.338183,DE,web-46.warmer.com,a6:a7:c6:d0:9c:61,437
1999-07-28T03:45:39,"83,35 €",Fechner Klemm GmbH,America/Guyana,it,2003-11-04,1976-07-18 15:15:25,werden.webm,Cookinseln,Hamburg,78.786883,DE,email-49.sauer.com,b2:15:a8:5e:a0:60,9052
2014-09-30T04:20:32,"27,79 €",Hübel Hande Stiftung & Co. KGaA,Africa/Bangui,om,2023-08-13,2017-03-31 04:21:42,Frau.js,Norfolkinsel,Hansestadttralsund,-66.769274,DE,web-10.bloch.net,fb:be:00:1c:7a:f4,3417346
2013-06-17T01:12:37,"8.008,49 €",Mende Hermann AG,Africa/Windhoek,it,1973-08-22,2003-11-23 04:29:25,kurz.js,Norwegen,Lemgo,86.038152,DE,lt-73.franke.com,b9:e3:49:65:9a:f7,3295
1979-07-17T19:30:52,"732,44 €",Renner Stumpf GmbH & Co. KG,Africa/Algiers,kl,1978-04-19,1976-08-14 14:09:17,sofort.mp4,Afghanistan,Augsburg,63.7708115,DE,db-15.weitzel.org,94:0e:d2:95:d7:56,702517
2018-07-17T10:19:49,"54,41 €",Gumprich,Africa/Johannesburg,eo,2017-11-26,1993-08-13 13:29:26,Sonntag.mp4,Gambia,Geithain,-70.5294065,DE,lt-35.dippel.com,a6:ad:5f:da:88:2c,5321645
1971-06-09T20:29:47,"23.779,36 €",Rädel GmbH & Co. KG,Pacific/Funafuti,ak,1982-10-31,1979-04-11 05:06:39,wohl.mp3,St. Lucia,Ueckermünde,8.4563255,DE,laptop-01.schmidt.com,d6:4b:d0:38:38:2b,33100158
2014-04-13T09:25:02,"34.345,39 €",Martin Fiebig GbR,Asia/Karachi,uz,1999-02-12,2005-05-10 01:04:21,gehören.txt,Senegal,Rockenhausen,77.619284,DE,web-17.schmiedt.com,be:59:20:55:7f:2f,7176
1975-09-18T05:17:51,"6,53 €",Boucsein AG & Co. KG,Africa/Asmera,om,1974-02-02,1995-04-13 02:23:13,halten.flac,Lettland,Arnstadt,-53.123933,DE,desktop-62.hahn.de,8d:93:3a:83:18:f5,410
2022-09-13T16:11:30,"66.815,08 €",Gröttner,Europe/Athens,ayc,2014-12-25,2021-05-25 00:28:45,Vater.html,Österreich,Altentreptow,-85.363580,DE,srv-97.bauer.com,ea:31:1a:2c:8d:c9,249386
2003-05-22T05:17:51,"3,80 €",Wulff GmbH,Asia/Aqtobe,lzh,1980-11-12,1975-04-04 00:53:24,turnen.mov,Seychellen,Scheinfeld,26.625531,DE,srv-89.trueb.de,49:85:19:e5:db:8c,7194
1990-06-26T06:53:42,"426,60 €",Hölzenbecher Ruppert GmbH,America/Tegucigalpa,th,2002-10-29,1970-02-08 08:05:11,weg.webm,Tonga,Mettmann,-27.732723,DE,email-43.wesack.de,6c:f1:15:e5:ee:64,38275938
2002-06-19T00:59:48,"8.325,67 €",Benthin KG,Europe/Zagreb,uk,2019-12-14,2006-04-16 06:53:46,Zug.xls,Eritrea,Bad Brückenau,-85.1151355,DE,laptop-47.hoelzenbecher.de,aa:ee:e7:f7:0b:44,879
2018-12-01T05:43:08,"53.574,65 €",Hamann Röhricht GmbH & Co. KG,Africa/Addis_Ababa,cmn,1987-07-09,1996-05-08 11:17:38,ganz.webm,Zentralafrikanische Republik,Bitterfeld,-29.086791,DE,db-80.doering.org,79:c7:2a:6c:0a:bf,97472
1979-03-19T21:24:30,"89.788,81 €",Drub GmbH,Pacific/Easter,kk,2004-06-11,1986-11-28 01:26:53,Teller.wav,Vereinigte Arabische Emirate,Döbeln,43.4351395,DE,laptop-46.oderwald.org,d7:38:1b:74:02:a3,354
2000-01-30T16:38:32,"469,54 €",Möchlichen Stey GmbH & Co. KGaA,America/Merida,nr,2000-11-08,1974-04-01 14:56:19,wissen.tiff,Färöer,Wolfach,-4.068005,DE,web-70.schmiedecke.de,fc:c0:4d:2b:b9:76,81152315
1986-06-13T17:16:23,"41,97 €",Schomber,Africa/Ndjamena,bem,1970-01-28,1996-10-19 23:33:06,wirklich.pdf,Honduras,Höxter,86.0807565,DE,email-20.warmer.com,bc:95:e2:ad:72:b4,426214634
1982-08-15T18:16:09,"745,67 €",Misicher Döring KG,Africa/Kampala,gl,1993-09-01,2005-10-22 21:54:10,heraus.jpg,Heard- und McDonald-Inseln,Worbis,5.1303085,DE,lt-94.mende.com,2d:2e:53:81:e2:ba,517580327
2003-04-01T15:01:04,"6,67 €",Drewes Heuser GmbH & Co. KGaA,Pacific/Funafuti,zu,1976-05-27,1975-11-13 01:32:55,sofort.flac,Sierra Leone,Mittweida,-18.1454865,DE,lt-47.schweitzer.org,b0:a6:a4:1f:fc:4b,92
2009-01-19T08:47:24,"7.085,50 €",Steinberg AG,Asia/Colombo,mi,2023-08-20,1990-05-10 20:27:13,vor.txt,Laos,Wernigerode,-4.887715,DE,lt-94.pruschke.org,16:2b:50:a8:82:dc,747922
1986-05-31T23:10:55,"913,18 €",Sölzer GmbH & Co. KGaA,Asia/Taipei,iu,1973-07-01,1996-03-28 19:11:23,antworten.mp4,Gibraltar,Arnstadt,22.089121,DE,email-67.dowerg.com,1b:dd:89:90:f5:a0,795379
2015-11-18T14:04:03,"198,93 €",Sager Trubin GmbH,Europe/London,ms,2023-09-09,1993-01-06 14:23:51,wirklich.pdf,Honduras,Havelberg,-49.0490835,DE,db-21.ruppert.com,2b:8d:11:4c:8b:e9,14171
1994-05-02T22:18:18,"89.504,44 €",Hübel,Africa/Banjul,hu,2015-03-07,2013-06-16 10:32:35,Musik.flac,Kolumbien,Badibling,53.3875695,DE,lt-33.ruppert.com,a6:1d:be:06:cb:62,3
1971-04-22T17:25:19,"89.331,62 €",Dietz,Africa/Blantyre,sa,2011-08-23,1970-05-03 21:12:59,gehören.numbers,Madagaskar,Eisleben,-52.007849,DE,email-57.zahn.com,e6:a4:6f:e0:9f:ac,7503380
1976-02-29T00:58:13,"366,37 €",Bärer Liebelt GbR,Africa/Harare,nn,2011-07-26,2002-05-02 01:54:50,grün.webm,Indien,Forchheim,62.340234,DE,laptop-31.schuchhardt.net,55:3f:52:9b:85:18,40
1972-02-02T01:08:49,"9.203,70 €",Herrmann GmbH,Asia/Karachi,cy,2005-03-09,2014-12-08 10:59:09,Welt.bmp,Mexiko,Darmstadt,29.0976945,DE,desktop-98.roemer.net,e9:0c:87:e6:a4:b7,2908786
2023-03-27T03:14:27,"979,89 €",Bien Stroh GmbH & Co. KG,Europe/San_Marino,niu,1994-02-28,1995-07-10 21:04:11,sicher.key,Honduras,Parchim,5.9408005,DE,lt-35.waehner.de,6e:29:71:78:a6:3f,5434
2005-05-27T19:51:50,"81.544,87 €",Hiller,Europe/Tirane,gd,1970-05-28,2017-01-02 09:30:00,einmal.tiff,Republik Korea,Pinneberg,-84.6512985,DE,desktop-51.kramer.org,47:c8:9b:cd:bd:13,64164808
1975-12-27T11:01:50,"3.699,06 €",Benthin Anders GbR,Indian/Mauritius,mn,1975-04-27,1997-08-31 20:16:51,spielen.mp4,Kaimaninseln,Oberviechtach,30.052070,DE,web-72.jungfer.de,71:78:28:22:23:a2,20992
1990-10-07T01:04:01,"2.521,45 €",Riehl OHG mbH,Europe/Monaco,fil,2008-10-17,1993-03-28 17:05:07,will.avi,Neukaledonien,Geldern,45.666195,DE,db-62.peukert.de,1b:64:c8:db:b1:b4,35141313
2009-04-17T18:05:31,"56.935,64 €",Löchel AG,America/Barbados,te,2018-10-28,1994-01-18 19:04:09,als.avi,Singapur,Neuruppin,-77.510069,DE,web-76.anders.com,a3:eb:91:60:9b:2f,7
1987-03-25T06:00:23,"44.689,22 €",Metz AG,Asia/Ashgabat,shs,1989-01-27,1979-04-17 15:20:58,kam.json,Nördliche Marianen,Schrobenhausen,82.4837475,DE,lt-03.atzler.de,4b:1d:b4:b0:df:45,36
1987-08-25T11:25:06,"3,40 €",Rädel e.G.,Asia/Saigon,ta,2021-02-28,2012-04-24 10:34:37,am.jpeg,Panama,München,-41.319521,DE,web-78.wulf.com,a7:59:d1:09:57:66,326
1983-08-05T13:16:50,"2,75 €",Rädel Röhricht e.V.,Europe/Sofia,so,1973-08-24,1980-07-10 17:18:50,sagen.js,Guyana,Hammelburg,84.052223,DE,lt-43.jacob.org,80:62:e0:44:68:c6,607177973
1987-06-24T22:32:20,"681,02 €",Gertz Rose KG,America/St_Johns,pa,2010-10-11,2010-07-24 09:17:35,hin.webm,Togo,Lübben,-70.627770,DE,email-07.schaefer.de,89:cc:f6:4c:78:3b,96595006
1997-11-03T09:35:00,"7.584,94 €",Lorch,Asia/Aqtau,fy,2016-09-09,1976-10-11 16:54:37,zeigen.css,Aserbaidschan,Greiz,49.859505,DE,laptop-85.schottin.de,d2:29:02:2b:da:ae,57
2002-04-26T04:22:22,"83.365,97 €",Scheuermann Stadelmann e.V.,Africa/Bamako,lzh,1976-03-16,2016-06-07 18:21:43,vielleicht.mov,Serbien,Dinkelsbühl,14.5725025,DE,db-48.briemer.de,13:2f:24:28:7c:e2,8
1998-02-24T07:01:43,"7,50 €",Budig KG,Asia/Qatar,fo,1999-06-07,1995-04-06 07:40:13,Stück.pptx,Französisch-Polynesien,Fallingbostel,86.2122865,DE,desktop-88.ernst.com,c7:44:73:3d:a2:60,695075
1987-06-20T21:34:13,"39.083,99 €",Bohlander AG,Asia/Karachi,ik,2021-04-19,2012-10-02 12:06:21,zurück.pdf,Guyana,Dinslaken,22.1054885,DE,srv-25.scheibe.com,21:28:fa:bb:72:0d,6484
2021-11-06T08:06:31,"19,18 €",Wende Barkholz e.G.,Pacific/Easter,ur,2002-10-09,1997-08-15 06:57:47,Glas.key,Sri Lanka,Duderstadt,-43.867163,DE,lt-82.gerlach.com,c4:6d:27:c7:40:ee,50814
1973-10-01T10:49:00,"9.276,13 €",Ortmann Heinrich AG,America/Guyana,kk,1970-11-02,1983-02-01 23:12:40,Minute.gif,Belarus,Wunsiedel,38.521256,DE,email-70.sorgatz.com,a2:8e:ef:ea:e0:43,5
2009-10-05T19:05:54,"2.981,33 €",Pölitz,Asia/Manila,ja,2009-05-28,1988-12-11 10:19:50,kochen.png,Anguilla,Döbeln,42.059673,DE,db-40.mielcarek.com,44:f3:48:4a:f5:7b,16389007
1998-10-07T05:11:58,"20,18 €",Hübel Pohl GmbH & Co. OHG,Europe/Tirane,wa,1973-05-06,1993-10-26 10:23:49,voll.tiff,Mongolei,Neubrandenburg,78.853937,DE,laptop-57.davids.net,62:3f:83:b9:32:5b,58799
2010-12-27T22:54:59,"3.492,23 €",Lachmann AG & Co. OHG,Europe/Chisinau,ce,1974-01-11,2008-06-17 00:07:17,schauen.ods,Estland,Ochsenfurt,40.5968445,DE,db-03.jockel.com,f1:ec:14:83:2b:e8,518526
1977-04-02T10:39:44,"593,53 €",Stolze,Africa/Lome,sa,2003-09-24,1987-09-08 03:05:01,ohne.wav,Amerikanisch-Ozeanien,Eichstätt,-22.923556,DE,lt-78.drubin.de,29:b3:e8:a8:a2:fc,24
2014-04-08T22:48:03,"40,99 €",Schmidt Kallert AG & Co. KGaA,Indian/Comoro,lo,2000-03-11,1996-11-21 16:46:58,Musik.bmp,Samoa,Neubrandenburg,-65.4815535,DE,email-37.spiess.net,7f:f9:5d:ba:f0:c0,96444086
2005-10-27T10:32:54,"72,98 €",Jüttner KGaA,Europe/Zagreb,th,1990-05-19,1995-06-28 13:42:32,heute.jpg,Argentinien,Warendorf,-19.088705,DE,email-76.hellwig.com,f5:26:6a:e6:01:cd,443111
1985-10-30T02:23:21,"73.749,37 €",Vollbrecht,America/Guatemala,bn,1985-02-18,2008-12-23 18:14:39,ins.jpg,Cookinseln,Artern,-37.534180,DE,email-15.lehmann.net,fb:da:aa:5e:b1:ec,25786399
1980-04-23T13:53:56,"70,81 €",Rädel AG,Asia/Qatar,sa,2008-09-22,1977-02-03 07:39:13,ins.jpeg,Vereinigte Arabische Emirate,Mettmann,-73.5837275,DE,email-81.caspar.net,22:61:6d:47:14:a6,346
2013-05-20T05:00:00,"348,23 €",Lehmann GmbH,Africa/Ouagadougou,ia,1996-05-14,1983-07-20 04:59:50,verstecken.gif,Republik Moldau,Sangerhausen,-72.4718985,DE,desktop-69.thanel.de,95:fc:bd:6c:b0:5e,5839839
1983-08-16T06:21:40,"3.345,14 €",Heinrich,Asia/Almaty,ak,1976-10-14,1976-04-10 12:31:18,Schuh.png,Demokratische Republik Kongo,Strausberg,15.0019395,DE,web-62.geisler.com,61:d2:b4:db:1a:21,53244029
1995-12-21T11:24:43,"8,08 €",Hübel KGaA,Europe/Sarajevo,ml,1986-09-12,1973-12-19 21:34:15,lesen.mov,Uruguay,Mayen,-47.395835,DE,web-18.schottin.com,c5:51:f7:ab:9e:3b,2463
2015-10-20T03:59:26,"2,82 €",Winkler Möchlichen AG & Co. KGaA,Europe/Zagreb,hr,2019-07-03,2010-06-22 01:41:06,nämlich.bmp,Guernsey,Bogen,61.4396935,DE,db-46.seifert.de,c4:aa:77:5c:09:44,5960588
2007-07-30T20:44:50,"0,60 €",Wirth Kostolzin Stiftung & Co. KGaA,Asia/Taipei,ro,1977-01-24,1997-10-17 21:50:49,heißen.xls,Ecuador,Zossen,-21.651353,DE,srv-14.lachmann.com,bb:83:86:6e:aa:9f,6
2010-12-15T01:09:55,"58,45 €",Kramer Stiftung & Co. KG,Africa/Johannesburg,gv,1989-02-08,1997-04-22 00:48:51,werfen.js,Republik Korea,Rottweil,-8.4364325,DE,web-66.fliegner.de,bc:63:2c:7e:19:cf,948
2015-08-31T07:43:43,"920,30 €",Schmidt Hendriks KG,Asia/Katmandu,zu,2000-07-03,1997-01-13 22:35:37,Sonntag.css,Nordmazedonien,Dessau,-48.762173,DE,srv-33.hamann.de,61:c1:7f:79:0a:f0,638271414
1994-09-21T02:34:18,"63.618,51 €",Dippel OHG mbH,Asia/Bahrain,nr,1992-08-29,2019-01-03 11:07:49,anfangen.odp,Vatikanstadt,Säckingen,-37.927500,DE,srv-89.schlosser.org,f2:b8:b0:12:1c:c9,43402516
2020-03-17T16:30:41,"6,13 €",Jäkel AG & Co. KGaA,America/Guyana,ss,1989-09-23,1983-06-18 18:55:58,Wagen.json,Ghana,Dinslaken,-66.5862505,DE,laptop-73.mohaupt.org,00:a1:0e:76:5c:3b,423
1999-08-04T20:29:33,"819,77 €",Rudolph,Africa/Gaborone,szl,2005-11-12,2010-11-18 15:20:37,groß.flac,Tschad,Amberg,75.9472015,DE,desktop-06.wernecke.net,aa:0d:81:b8:dd:71,628
1986-08-10T07:20:35,"710,04 €",Hethur Speer AG,Europe/Zagreb,uk,1995-07-28,1985-10-21 23:05:02,schenken.tiff,Südafrika,Bad Freienwalde,-73.5255505,DE,web-57.koehler.net,78:82:09:f8:17:a6,660
