date,date_time,file_name,pricetag,company,random_number,longitude,mac_address,language_name,city,timezone,language_code,time
2004-10-27,2001-08-28 13:19:47,a.csv,$95.94,"Schaller, Egger and Schlatter",556837,85.279869,a7:4e:5f:7b:11:d3,Swati,Münsingen,Europe/San_Marino,tr,12:56:07
2015-06-24,1978-09-06 11:08:16,odit.mp3,"$59,047.02",Felber Ltd,3,68.376089,42:a4:b4:ad:98:00,Russian,Buchs,Africa/Khartoum,sc,13:22:31
1985-08-20,2008-06-06 19:32:53,asperiores.webm,"$40,056.33",Schumacher-Stutz,9,1.878441,dd:b7:87:b2:07:97,Hiri Motu,Bellinzona,Africa/Khartoum,st,12:02:03
1976-09-01,2016-05-26 10:51:45,omnis.key,$99.09,Rüegg Group,4,144.821866,11:37:8a:19:87:75,Avestan,Yverdon-les-Bains,Indian/Antananarivo,th,02:16:52
2019-10-15,1990-09-13 13:51:46,error.odp,$625.50,"Schäfer, Bachmann and Hotz",2259763,134.295131,22:45:0a:7c:dd:fa,Fijian,Luzern,Asia/Karachi,mai,07:30:11
1997-02-07,1973-08-21 20:02:44,ratione.json,"$8,138.16","Hauser, Wegmann and Marti",669,-141.074962,b0:90:7d:7a:8b:b6,Yiddish,Glarus,Asia/Manila,lt,11:58:53
2019-10-01,2011-05-16 02:34:08,fuga.doc,"$2,552.50","Gut, Ott and Betschart",2447,-29.337194,2f:34:65:5e:6c:fd,Faroese,Pully,America/Nassau,bn,08:54:53
1986-06-16,2004-06-17 21:46:26,doloribus.gif,$654.85,Eichenberger Group,8486696,-167.088748,e7:a5:6a:6f:8d:94,Tswana,Zürich,America/Argentina/Cordoba,cy,20:34:19
1992-04-03,2004-10-27 14:59:46,magni.webm,"$9,733.88",Bucher-Bernasconi,7,-77.206299,3d:3e:c7:69:c9:e0,Komi,Ecublens,Africa/Windhoek,si,11:01:26
1974-07-03,1989-12-07 04:21:47,impedit.css,$95.67,Jäggi-Zehnder,731,179.572653,92:34:0f:8d:05:a1,Cree,Muttenz,Pacific/Enderbury,raj,08:49:55
2005-11-13,1993-05-13 01:20:11,architecto.docx,$45.15,"Hirt, Bättig and Koch",9454,22.211936,59:d2:7b:96:bc:68,Church Slavic,Muri,America/El_Salvador,sa,16:48:21
1977-01-25,1981-05-21 07:47:33,natus.gif,$213.36,"Schlatter, Mayer and Felber",496,127.051090,c2:a6:4d:45:5c:e0,Interlingue,Männedorf,Africa/Sao_Tome,lb,09:21:21
1996-04-06,2016-04-26 21:08:24,dolor.txt,"$29,386.16",Stadelmann Inc,93692657,56.711388,46:41:f2:3a:5f:06,Tajik,Ecublens,Europe/Skopje,niu,17:09:25
1997-01-28,1997-07-26 21:43:52,vero.gif,$99.72,Haas and Sons,4882,-108.891692,eb:64:bf:20:35:43,Bihari languages,Uster,Europe/Vienna,am,16:54:37
1998-02-03,1985-12-09 18:57:07,dolorem.bmp,$0.18,Tanner LLC,908880,-98.397724,45:4e:61:40:e2:35,Aymara,Oberwil,America/Santo_Domingo,tk,05:12:52
2016-05-26,1971-03-23 17:56:03,mollitia.gif,$7.23,Eichenberger-Stucki,7,-49.597613,6e:1e:1f:26:bb:9a,Ukrainian,Mendrisio,Africa/Dakar,yue,19:29:38
1980-04-21,1991-07-27 14:38:15,accusamus.mp3,"$77,219.79",Weibel LLC,93433,-48.215404,08:22:4c:a2:90:5d,Dutch,Schlieren,Africa/Mbabane,sat,02:23:14
1972-06-21,1972-03-06 11:31:18,quae.json,$456.04,Baumgartner LLC,363448409,155.237738,7e:6f:03:c7:0b:63,Bambara,Biel/Bienne,Europe/Simferopol,iu,03:21:21
1991-08-16,1995-03-20 23:09:11,hic.css,"$99,821.41",Schoch Inc,7239,-106.154014,9e:ee:6e:1b:e4:4a,Chuvash,Zollikofen,America/Jamaica,mi,09:32:51
1981-11-08,1983-03-28 08:15:57,corrupti.webm,"$3,530.14","Jäggi, Winkler and Wirz",78231414,-147.867335,2a:49:22:12:f6:15,Divehi,Kreuzlingen,Asia/Qatar,shs,17:24:52
2016-12-24,1994-02-05 11:31:23,repellendus.wav,"$2,208.13","Wehrli, Beck and Sutter",612,-105.996257,20:92:0f:f6:0e:e4,Ewe,La Tour-de-Peilz,Asia/Bishkek,lij,21:55:19
1977-11-26,2016-12-07 16:13:19,iusto.txt,"$48,595.18",Zürcher Inc,7673,-50.939529,a0:61:9a:5c:01:ad,Sindhi,Pfäffikon,Europe/Sarajevo,kl,15:29:02
1985-07-28,1983-10-27 19:15:18,optio.mp4,$7.17,"Bader, Eichenberger and Ammann",2,36.219128,ab:e9:61:58:6d:93,Slovenian,Bulle,America/Antigua,eu,15:09:46
2005-10-27,1977-05-25 08:05:38,repellendus.js,$875.82,Brun LLC,977866,-143.749169,d8:2f:26:69:34:de,Slovenian,Bern,Europe/Luxembourg,en,06:05:16
1998-02-15,2009-06-28 10:33:27,mollitia.wav,"$8,300.31",Küng-Herzog,274,49.345363,8d:10:c8:e8:8a:c0,Oriya,Romanshorn,Atlantic/Reykjavik,th,02:22:09
1970-05-23,1990-02-09 19:41:16,sunt.jpg,$0.59,Isler Inc,8594,-152.848776,6a:5d:02:d8:84:03,Igbo,Urdorf,Atlantic/Cape_Verde,aa,21:15:44
1973-03-08,1973-02-15 15:00:38,fugiat.css,$957.02,Vogel LLC,5225728,-94.855974,bd:37:b3:bd:35:b9,Chechen,Neuenburg,America/Caracas,ru,14:35:36
1978-01-01,1970-09-12 07:03:34,voluptatem.odt,"$63,587.64",Spörri-Bachmann,462259462,160.499215,53:b6:27:76:57:68,Tonga,Basel,Asia/Tbilisi,ast,16:42:23
2006-08-04,1992-06-05 08:18:40,veritatis.html,$52.50,"Mäder, Gut and Bucher",91047790,-33.140173,44:c3:50:b6:34:97,Limburgan,St. Gallen,Pacific/Fiji,ig,02:28:04
2011-09-15,1971-08-23 11:58:17,est.jpg,$40.93,Bucher and Sons,1304893,27.971876,4c:ae:fc:fc:05:74,Cree,Ebikon,Asia/Qyzylorda,kok,14:51:32
2008-12-20,1982-12-10 02:09:02,saepe.jpeg,"$82,498.22",Marti-Hug,21298461,-106.562115,a9:fe:a5:49:45:54,Macedonian,Val-de-Travers,Europe/Sarajevo,ve,21:13:39
2008-10-22,1993-06-26 23:17:39,explicabo.js,"$5,074.11","Lüscher, Fehr and Sigrist",5281888,-174.420840,ca:9a:01:cc:1c:11,Finnish,Siders,America/Antigua,iw,04:30:51
1987-03-16,1997-12-09 20:04:39,eligendi.doc,$9.96,Lehmann-Lehmann,94,160.903575,27:bd:f8:8f:cb:b8,Oriya,Weinfelden,Africa/Cairo,yi,07:48:47
1982-08-10,2001-11-08 17:49:51,aperiam.webm,$707.74,Wirth Ltd,52288,115.392891,f5:aa:a1:28:fe:11,Quechua,Küssnacht,Asia/Katmandu,fy,13:57:10
2009-01-08,2019-09-07 09:05:16,illo.png,$40.07,"Arnold, Giger and Weibel",68587084,-143.614225,ec:1f:32:23:d5:d7,Italian,Glarus,Europe/Rome,th,23:09:21
2009-09-17,2006-11-20 08:26:50,numquam.flac,$2.00,Braun PLC,26735,153.997541,b2:7e:36:bc:e7:9e,Malayalam,Worb,Europe/Istanbul,sc,06:54:00
1993-07-14,2001-01-25 10:35:35,deserunt.jpeg,"$1,854.42",Gut PLC,3,-171.564779,d3:b6:a7:d4:d3:ef,Malay,Zug,Africa/Porto-Novo,gv,09:36:37
1998-05-12,1997-08-12 14:07:31,optio.numbers,"$55,218.45",Hirt Group,249167816,54.824491,7f:66:88:d9:28:9a,Luba-Katanga,Amriswil,Africa/Nairobi,bn,07:59:14
1983-03-03,1970-10-02 13:09:44,perspiciatis.ods,"$7,106.58",Roos and Sons,308,76.092637,77:e5:56:97:d4:42,Hiri Motu,Lenzburg,Australia/Melbourne,fa,12:30:42
1975-02-14,1980-04-09 05:48:32,tenetur.txt,$0.68,Hasler LLC,88460,-30.582382,00:79:35:1e:75:29,Tagalog,Lyss,America/Dominica,kk,02:28:43
2002-08-26,1972-06-09 20:20:35,repellat.html,$111.75,Gerber-Fischer,507085699,134.973096,15:ba:73:c5:79:b0,Bislama,Pfäffikon,Africa/Maseru,ckb,22:35:58
2003-02-13,2019-05-03 18:00:39,nostrum.avi,$29.80,Kern-Käser,391,20.627900,ac:dd:68:0b:46:e4,Urdu,Schwyz,Pacific/Apia,ja,23:14:57
1995-08-15,2001-05-24 18:05:52,ratione.mp4,"$80,429.55",Senn PLC,63824849,-44.647578,b0:ae:80:15:29:1a,Ganda,Lugano,Pacific/Chatham,mr,23:14:18
2004-03-04,2015-08-17 04:54:06,animi.png,"$29,593.09","Koch, Schwarz and Betschart",30656,54.553113,e6:36:76:3e:88:9e,Wolof,Opfikon,Pacific/Port_Moresby,eo,03:13:56
2016-12-12,1973-11-14 09:45:58,quae.pages,"$55,158.85",Lehmann Ltd,430,124.528138,10:f3:04:a7:84:7d,Lithuanian,Payerne,Atlantic/Cape_Verde,bo,00:44:02
1995-01-25,2019-09-25 11:06:39,distinctio.json,$57.71,Hartmann-Frei,89,-82.294729,df:1e:2e:d4:9d:bc,Interlingua,Pratteln,America/Argentina/Buenos_Aires,ky,03:02:46
1979-08-21,2016-06-27 03:53:37,vel.html,$98.76,Steinmann and Sons,59301,128.854331,ee:0c:60:11:f7:a2,Ewe,Sitten,Europe/Lisbon,yi,02:30:21
2003-01-26,2008-09-27 05:07:20,voluptate.mp3,"$5,493.88",Zollinger Ltd,55549,-77.261478,a0:6b:a3:96:77:34,Gujarati,Rapperswil-Jona,Asia/Dubai,ckb,17:20:31
1999-11-05,1983-02-27 21:12:42,nulla.numbers,$607.64,"Bühlmann, Bieri and Lanz",906,-2.350062,81:61:39:82:22:3a,Sango,Vernier,Europe/Chisinau,pap,05:43:57
1971-05-08,1985-04-24 05:13:47,esse.mp4,$8.74,"Probst, Wirz and Kern",419161,-72.911292,21:38:0d:7b:19:45,Shona,Möhlin,Pacific/Tongatapu,aa,08:06:32
2008-07-31,2019-02-26 16:55:37,soluta.numbers,$264.73,"Weber, Wirz and Meister",816370346,-29.367003,b4:e1:63:27:ed:35,Serbian,Wetzikon,Asia/Yerevan,bo,12:19:04
1992-03-16,2013-09-24 16:17:05,dicta.key,$40.34,Hug-Schmidt,61256595,90.415488,1f:aa:9d:83:a4:da,Thai,Maur,Africa/Nairobi,st,03:33:38
1999-12-05,1997-06-30 14:39:42,sunt.wav,"$70,127.43",Sutter-Geiger,7000,-175.973295,0e:83:40:b0:a0:38,Uighur,Gland,America/Jamaica,sl,03:30:18
2013-09-18,1992-03-09 00:19:21,magnam.mp4,$596.32,"Kessler, Kunz and Roos",70719,82.427976,4b:94:5b:79:f8:c6,Belarusian,Muri,Africa/Bujumbura,nl,08:58:07
2020-08-04,2020-10-05 17:06:25,voluptate.mov,$49.86,Wüthrich LLC,8,174.068237,46:cd:d3:d8:80:c8,Tsonga,St. Gallen,Asia/Phnom_Penh,gv,21:50:32
1986-10-14,1973-09-22 20:26:59,quo.pdf,$861.04,Wirth and Sons,192349,-94.024518,b1:0a:30:5a:30:b3,Bislama,Gossau,America/El_Salvador,or,00:26:50
1982-10-15,1970-07-15 08:47:05,nulla.pdf,$8.01,Leunberger Inc,29778694,80.132771,a1:e0:f9:3f:e9:38,Polish,Prilly,America/St_Lucia,mag,19:04:26
1993-12-24,1987-06-06 11:02:56,vero.mp3,"$7,401.90","Berger, Stutz and Kaiser",95,-143.975506,00:f7:2b:fe:9f:d5,Estonian,Zofingen,Europe/Rome,az,09:17:29
2020-01-30,1978-10-21 22:23:44,error.tiff,"$2,802.15",Ferrari-Stöckli,705305,46.307079,30:a8:98:2a:92:d8,Vietnamese,Burgdorf,Asia/Hovd,se,09:15:52
2007-09-02,2001-01-11 20:20:34,quam.mp4,$2.03,"Knecht, Herzog and Roth",81,-75.416802,9c:a3:76:e2:10:2d,Chechen,Uzwil,Pacific/Guadalcanal,br,03:45:53
2003-06-30,2005-02-13 10:44:06,voluptas.flac,$470.24,"Schweizer, Fankhauser and Steffen",594420428,-101.393990,93:4d:33:aa:a4:04,Aymara,Villars-sur-Glâne,Pacific/Nauru,apn,15:25:57
1978-04-28,1997-08-23 03:31:48,unde.jpg,$2.23,Weibel-Gerber,1022030,142.986616,0d:8a:3b:f7:c0:f4,Walloon,Thun,Africa/Gaborone,hr,19:58:15
2013-04-07,1981-10-26 05:40:29,inventore.css,$18.01,"Meili, Hermann and Fehr",7351,154.787924,4a:dc:c3:3d:fa:52,Aymara,Brugg,Europe/Stockholm,tig,07:37:23
1987-10-20,2012-02-18 02:47:45,a.mp3,$242.78,Mettler-Schweizer,84128343,72.228149,85:1d:f2:55:8e:9d,Divehi,Bellinzona,Europe/Bratislava,cmn,05:19:04
2008-12-07,2017-07-18 12:06:29,quam.csv,"$5,904.94",Blaser-Egli,69586573,82.528791,f7:9c:8d:0d:dc:58,German,Illnau-Effretikon,Asia/Colombo,fa,19:18:08
2002-07-07,1996-01-19 21:51:59,architecto.mp4,"$8,454.18",Gerber-Leu,3638,50.075119,41:ce:7c:d3:22:78,Thai,Martigny,Asia/Aqtau,vi,08:10:53
2008-08-01,1972-08-20 09:32:52,nostrum.wav,$5.40,Lang-Hofmann,572332,-31.195827,75:40:78:56:9e:11,Kirghiz,Vernier,America/Guatemala,pa,12:06:16
2007-07-04,2022-12-23 07:04:21,voluptates.gif,$86.55,"Scheidegger, Bachmann and Hoffmann",19735,-44.644418,53:ce:54:71:b7:22,Sardinian,Urdorf,Europe/Bratislava,nn,08:46:29
2015-01-31,1990-02-22 14:54:27,dicta.jpg,"$41,230.13",Mäder Ltd,3,-70.789053,b6:64:a4:f1:cc:de,Javanese,Lugano,Africa/Blantyre,he,02:18:41
2023-09-05,1976-03-16 11:19:20,natus.ppt,"$90,259.60",Zingg-Schenk,84841,28.989145,48:3b:0c:d6:d5:58,Kirghiz,Villars-sur-Glâne,Europe/Dublin,gd,10:28:12
2009-12-23,2003-04-23 03:20:18,aliquam.odp,$3.50,Zbinden-Steffen,90,50.885503,9c:17:d5:24:7c:a9,Malay,Binningen,Europe/Oslo,sq,06:21:38
2001-05-08,2015-01-11 12:17:44,alias.mov,"$85,855.75",Wirth LLC,1816,170.338193,9e:88:43:fc:03:6b,Tajik,Bülach,Europe/San_Marino,bem,07:15:10
1978-08-05,1972-03-03 00:02:38,nobis.tiff,$1.80,Lutz LLC,363,140.256842,fd:78:4b:9c:b5:8c,Amharic,Thun,Asia/Rangoon,doi,06:25:48
2005-08-10,2019-11-09 13:11:35,eveniet.gif,$6.15,Hofmann PLC,16,-144.913596,c9:ac:03:28:ba:81,Luxembourgish,Adliswil,America/Asuncion,id,23:05:52
2004-02-02,2002-04-06 09:32:16,consequatur.png,$156.11,Gfeller LLC,6884485,115.348019,87:17:b2:a0:19:40,Chuvash,Zofingen,Europe/Luxembourg,sr,05:05:17
1987-04-02,1981-08-28 12:59:02,harum.wav,$3.59,Moser-Rey,2442358,148.492239,fb:65:00:e0:9c:6d,Avestan,Risch,America/Guatemala,gd,18:22:01
2016-11-05,2006-05-05 20:22:16,doloribus.key,"$46,909.79",Haas LLC,783828,67.161094,68:85:c4:f6:0a:72,Sanskrit,Münsingen,America/St_Lucia,sl,14:45:07
2011-02-16,2013-11-21 17:44:07,velit.mp3,"$10,686.63",Kälin PLC,1832,31.764165,43:39:40:a2:c9:b4,Ganda,Wohlen,Africa/Malabo,crh,10:26:24
1972-07-04,2017-03-13 00:26:16,sunt.wav,"$8,127.12",Roth-Egli,905,-120.739234,8c:a5:69:df:a8:ca,Nepali,Ebikon,Africa/Ndjamena,nso,06:39:03
2004-08-25,1971-08-02 02:59:28,ut.docx,$95.54,Küng-Steffen,602796068,-151.548317,bd:41:45:6a:44:30,Swahili,Glarus,Asia/Colombo,sr,18:50:02
2023-05-18,2001-03-04 00:22:08,aspernatur.key,$140.53,Wagner-Fankhauser,30,71.453696,d3:b1:0d:b3:79:e7,English,Münchenbuchsee,Europe/Oslo,tn,14:48:09
1984-03-04,1994-07-30 02:25:25,voluptas.tiff,"$78,059.00","Winkler, Fehr and Lang",9,152.443070,16:18:cc:81:f1:b2,Tsonga,Romanshorn,America/Bogota,bho,10:11:59
2004-06-28,2017-06-17 19:24:10,qui.json,"$48,287.53",Müller and Sons,64,116.408130,12:05:cb:12:16:e7,Cree,Sursee,Asia/Kuwait,st,16:14:29
1991-01-23,2000-07-20 12:58:47,quam.txt,"$50,591.30",Portmann Group,0,64.736212,e8:ad:c9:d8:b8:8a,Oromo,Zofingen,Europe/Podgorica,kok,08:55:50
2012-10-08,2020-09-14 03:11:13,distinctio.webm,$68.31,Ernst-Zbinden,891167853,52.342759,a5:bd:36:43:e7:b8,Tonga,Lausanne,Africa/Mbabane,si,04:51:04
1975-10-18,2003-06-23 11:06:05,vero.ods,$7.00,Benz-Wehrli,28,-79.999288,9e:eb:13:8e:06:16,Panjabi,Luzern,America/Managua,lzh,10:47:14
1986-06-01,2011-03-21 22:52:46,soluta.webm,$64.15,Spörri-Lutz,764413461,-88.386942,52:20:98:65:ca:0a,North Ndebele,Kloten,Europe/Vilnius,ca,15:59:48
2000-04-21,2008-04-14 00:25:27,nulla.txt,$4.20,Kägi-Kohler,8416004,12.306668,86:37:b9:f4:c0:6a,Breton,Vevey,America/St_Vincent,xh,07:25:55
2021-04-22,2004-01-23 04:02:49,necessitatibus.gif,"$24,896.53","Weibel, Mäder and Frick",0,90.471760,46:00:ad:70:1c:cb,Breton,Villars-sur-Glâne,Europe/Andorra,mhr,08:46:45
1993-04-24,1995-04-16 12:40:17,modi.gif,"$60,956.46",Amrein Inc,2146,50.834387,57:69:4d:a5:55:2f,Lingala,Lyss,Pacific/Apia,th,17:10:18
2019-09-02,2018-01-20 14:53:49,vel.numbers,"$3,007.49",Hodel-Winkler,2801,135.203536,0d:70:7e:be:f1:6a,Ido,Küssnacht,Africa/Djibouti,sd,13:25:14
2003-10-15,2018-08-06 19:28:04,provident.wav,$36.29,"Steinmann, Leu and Ritter",9978,-28.153981,1b:41:6c:d3:a1:a5,Turkish,Neuhausen,Asia/Muscat,st,22:25:36
2002-06-06,1993-10-11 08:47:20,asperiores.jpeg,$85.91,Maurer and Sons,2915,87.989016,d2:8b:43:a9:c9:93,Igbo,Neuenburg,Asia/Yerevan,oc,09:43:50
1980-08-17,2017-02-23 05:10:11,quibusdam.avi,$66.94,Jäggi LLC,98467823,-23.987362,b8:15:cc:0c:bc:25,Burmese,Horgen,America/Havana,de,21:14:15
1996-12-09,1974-09-12 04:24:50,eum.avi,"$1,083.00",Schoch-Bader,8657136,133.005013,c8:5c:71:83:e8:d4,Faroese,Pully,Europe/Copenhagen,el,10:35:13
1990-07-29,2000-01-07 06:15:01,nam.wav,"$5,462.29",Bieri Inc,33774301,35.047408,fb:1a:c6:6a:f7:42,Oriya,Amriswil,Pacific/Funafuti,sl,18:03:39
1983-09-30,1988-05-17 12:41:47,a.pages,$975.43,Wolf Group,2,9.960760,ba:d7:33:55:e3:1d,Luba-Katanga,Stäfa,Asia/Baku,ps,05:38:15
2003-03-10,2001-01-28 06:50:50,sunt.wav,"$3,871.90",Ackermann-Isler,951617234,-8.532490,00:af:5c:b6:e8:2c,Bihari languages,Risch,America/Antigua,ti,01:21:19
1981-01-31,2012-01-01 04:55:41,minima.mov,"$21,643.66","Bär, Friedli and Baumgartner",61,-170.558410,83:46:ca:e6:33:7b,English,Horgen,Asia/Calcutta,nr,09:42:20
2019-10-01,2023-05-07 20:48:30,quaerat.xls,"$5,080.49","Rey, Kohler and Geiger",41175,-49.058354,2a:08:59:00:d8:49,Armenian,Arbon,Europe/Riga,cmn,08:31:39
2008-12-24,2022-11-16 13:17:56,vel.flac,"$12,372.33",Stadelmann PLC,3725,-39.568433,a0:d0:72:16:c1:bd,Inuktitut,Gossau,Asia/Dubai,szl,17:27:27
1990-07-10,2007-07-11 05:51:42,laborum.mp3,$41.17,Furrer-Hasler,67626682,127.057345,df:db:f9:bd:85:3a,Samoan,Thun,Asia/Thimphu,doi,00:49:21
1977-10-01,1997-03-26 17:50:13,quam.jpg,$61.48,Braun Group,8762,121.553290,a6:91:0b:e8:d4:28,Fulah,Worb,Asia/Gaza,ckb,03:52:53
1997-04-22,1980-09-16 02:07:28,explicabo.doc,$18.67,Lutz LLC,768,-31.856787,63:15:06:ad:7f:f9,Kashmiri,Worb,America/Caracas,sq,21:59:52
2021-12-07,1971-08-08 09:50:46,dolor.flac,"$49,586.49",Weibel Inc,177,-65.442250,4e:bc:21:59:95:7f,Breton,Baar,America/Port_of_Spain,am,12:41:38
1999-04-01,1976-10-09 12:21:30,sequi.pdf,$47.43,"Kohler, Kessler and Scherrer",411242,118.438975,d0:69:7b:57:f5:9b,Swedish,Küssnacht,Africa/Bangui,csb,11:02:31
