random_number,hostname,iso8601,date,timezone,language_name,bank_country,language_code,file_name,mac_address,pricetag,city,longitude,country,date_time
827,desktop-92.griffin.com,2009-10-20T09:43:00,1997-09-11,Asia/Karachi,Tigrinya,GB,ka,modi.html,ed:21:16:44:60:12,$7.36,Lake Katie,88.641171,Cote d'Ivoire,2012-09-23 21:57:57
702507,laptop-31.godfrey.biz,2020-03-30T13:08:16,2015-08-25,America/Panama,Sinhala,GB,tig,amet.ppt,56:57:4b:ec:63:97,"$5,446.12",Bartonbury,-154.424601,Bahamas,2007-02-23 16:00:25
673154761,desktop-11.lawrence.com,2022-07-22T14:23:43,1971-01-01,Asia/Calcutta,Esperanto,GB,mk,quos.mp3,14:53:3d:e6:8a:52,$45.68,Robertsland,-7.140704,Portugal,2000-09-29 00:41:02
355,email-54.wilson.com,1991-03-29T14:38:45,2006-02-25,Africa/Windhoek,Avestan,GB,ar,consectetur.doc,5a:af:fc:66:e0:f0,$1.45,Port Julia,73.572034,Russian Federation,1983-06-10 22:07:38
136258,web-07.kemp.com,2018-04-17T11:58:54,1971-10-20,Europe/Malta,Central Khmer,GB,si,dolore.pages,65:7c:39:37:95:8c,"$9,701.61",North Joelberg,-84.401424,Korea,1994-08-16 01:26:59
485018984,srv-86.johnston.biz,2009-06-12T16:37:26,2004-08-27,Africa/Cairo,Fijian,GB,is,ipsa.html,9f:80:fd:73:77:06,$766.47,Maxville,155.657771,Cape Verde,2000-12-28 21:20:41
8701,web-36.murphy.biz,1986-02-21T11:27:21,2020-05-06,America/St_Kitts,Aragonese,GB,hr,deleniti.gif,e0:e1:cd:d1:ad:5c,"$3,471.79",Yvonnechester,93.691303,Andorra,1997-10-06 13:42:56
3,db-99.fleming.info,1972-10-12T13:22:04,1975-04-01,America/Cuiaba,Afrikaans,GB,ga,sunt.key,d4:d4:a6:e4:1d:de,"$3,830.14",Lake Barbara,-100.637701,Jamaica,2021-11-21 22:19:22
19269,db-87.turner.com,2000-02-04T04:21:45,1984-07-18,America/Asuncion,Fulah,GB,ms,quidem.pdf,5c:c2:ec:70:a2:63,$6.83,Lydiaside,-20.977652,Spain,2002-05-01 13:33:21
790980493,desktop-20.briggs-khan.org,1985-07-14T05:26:07,2014-03-07,Pacific/Palau,Sindhi,GB,ia,totam.doc,67:d6:74:d4:45:07,"$7,829.56",Jayburgh,-10.471076,France,2010-09-08 15:02:59
60426,srv-95.brown.net,1998-03-06T20:39:38,1996-12-23,Pacific/Efate,Romanian,GB,tk,fugit.webm,b7:d7:2e:e5:4c:8b,$45.98,Cunninghamfort,32.927912,United States of America,2013-05-28 21:10:13
14977661,lt-29.davis.com,2008-12-30T23:35:27,2014-06-03,Europe/Brussels,Catalan,GB,km,ipsam.json,2a:f0:9f:3c:30:1a,"$9,013.49",Lake Russellmouth,-110.207555,Belgium,1993-02-05 09:42:20
9,laptop-48.miller.co.uk,1981-09-08T22:08:36,2006-04-29,America/Mexico_City,Shona,GB,ia,temporibus.jpeg,17:44:e4:00:c1:7f,$651.85,South Bradley,43.038348,Burundi,1995-02-07 18:06:08
9614694,email-74.smith.biz,2016-06-03T20:40:15,1986-03-28,Europe/Vienna,Igbo,GB,gu,vero.wav,41:9f:14:45:02:fe,"$10,815.95",South Hayleyhaven,175.513202,Congo,1976-06-08 21:50:22
2767924,desktop-50.williams-richardson.com,2003-08-04T21:04:06,2001-03-05,America/Antigua,Haitian,GB,ms,quisquam.avi,f0:29:2a:f8:c2:5c,$8.59,Rosston,-36.017914,United States of America,2022-02-27 05:21:51
3,web-75.king.com,2009-05-07T06:26:20,1982-01-16,America/Antigua,Samoan,GB,my,tempora.mp4,57:01:c5:d4:e8:04,$7.99,Joelbury,-173.092462,Solomon Islands,2013-06-05 04:36:11
6601,email-93.harper.com,1986-02-20T11:51:07,2006-12-21,Indian/Mahe,Kanuri,GB,lt,earum.wav,a0:ac:37:3d:02:f6,"$6,669.92",Lauramouth,-131.557403,Norway,1997-12-27 19:13:03
516,email-72.hill.biz,1997-01-23T00:34:39,2017-06-05,Pacific/Funafuti,Amharic,GB,az,fugit.json,c9:1e:c6:9c:25:ca,"$17,945.61",Gordonborough,131.864038,Macao,1988-01-08 02:12:07
62929,laptop-11.hicks-williams.com,2008-02-17T15:39:56,1980-10-14,Atlantic/Canary,Luxembourgish,GB,sat,ducimus.mp4,1e:84:19:6c:ab:b1,$50.31,Mathewland,69.745794,Belgium,1984-02-07 05:02:28
10,lt-06.dawson-adams.com,2005-02-23T09:52:06,1987-05-07,Africa/Ndjamena,Ganda,GB,uk,dolor.csv,78:02:13:69:29:f3,$81.10,Heatherhaven,156.890515,Lebanon,2014-04-20 22:10:05
866712015,web-75.warner.com,1972-12-14T06:35:57,1988-05-11,Europe/London,Bambara,GB,nhn,distinctio.webm,1b:a2:5e:c1:24:59,$0.12,New Damienland,-52.531933,Saint Pierre and Miquelon,2015-05-29 20:16:52
281735588,email-16.porter.info,1986-04-18T19:04:47,1982-02-13,America/Managua,Church Slavic,GB,ps,nulla.doc,4c:52:fa:25:19:be,$95.64,North Geraldbury,140.133754,Micronesia,1998-12-16 14:47:33
107,laptop-92.kelly.com,2002-03-13T05:29:22,1981-09-10,Asia/Manila,Kirghiz,GB,pt,similique.mp3,73:ce:bc:1f:eb:59,$1.22,North Scottside,151.539488,Gabon,1971-03-29 02:58:15
42,web-59.lambert.com,1978-12-10T22:55:47,1970-10-08,Africa/Kigali,Maltese,GB,wae,omnis.html,d4:b5:76:29:27:62,"$47,920.98",Garrybury,27.967977,Antarctica (the territory South of 60 deg S),2013-09-10 02:11:41
0,laptop-03.cooke-wilson.biz,1971-12-27T04:05:47,2021-07-17,Indian/Mahe,Tonga,GB,fi,recusandae.mp3,9f:94:1e:98:c2:06,$177.28,Kinghaven,-150.559873,Cameroon,1993-10-28 07:22:16
36962,srv-33.barker-foster.com,1995-04-04T03:12:46,2014-12-05,America/Cuiaba,Telugu,GB,bho,iure.gif,ab:d7:ca:15:11:e5,$19.76,East Stephen,47.693877,Argentina,1973-12-28 13:08:34
8144,web-32.charlton-thomas.com,2020-09-26T12:41:06,1993-10-03,America/Tegucigalpa,Kirghiz,GB,sd,reiciendis.webm,54:47:1c:cf:b7:37,"$88,143.56",Marcusmouth,-24.440091,Mozambique,1977-10-17 22:07:10
8547,srv-93.ball-taylor.com,2010-08-28T01:51:39,1988-04-23,America/Guayaquil,Hungarian,GB,niu,atque.xls,9b:40:4c:a6:60:00,"$8,700.22",Jacobbury,-158.561429,Armenia,1988-07-22 21:56:22
96719469,email-20.graham-baker.info,2013-04-02T17:09:52,2009-09-07,Europe/Oslo,Sanskrit,GB,zh,excepturi.csv,cb:54:10:b1:c6:27,"$86,864.10",Robertsberg,-152.072589,Turkey,2008-11-18 18:31:59
1678659,web-83.payne.co.uk,2020-02-23T04:41:17,1973-04-04,Asia/Colombo,Welsh,GB,gez,ullam.jpeg,4f:22:ad:91:ab:8a,"$44,378.81",Chloeburgh,-102.915679,Chile,1986-08-14 18:03:36
617,email-28.cook-jones.net,1998-12-30T00:54:15,2000-12-02,Europe/Sofia,Sardinian,GB,tn,nam.mov,c5:35:4b:aa:f5:51,$5.34,Owenmouth,-6.682624,Yemen,1985-02-12 09:45:59
23292,email-38.smith.com,2016-01-06T17:27:06,1978-11-09,Africa/Ouagadougou,Bislama,GB,so,laudantium.mp4,35:c3:54:3c:32:36,"$8,189.11",Ameliaville,-137.851303,Kuwait,1983-11-26 12:46:44
5581528,laptop-14.curtis.info,1980-06-21T04:10:30,2023-02-09,Africa/Abidjan,Italian,GB,ca,quae.jpg,7a:b5:b7:e6:0c:4f,$8.31,Wilsonberg,39.130509,Japan,1993-03-13 18:01:21
505050,laptop-23.jones.com,1997-10-15T14:43:16,1998-09-06,Africa/Asmera,Sango,GB,hy,accusamus.mov,07:bd:16:5d:aa:c7,$162.78,Jamiemouth,0.645209,Sudan,1975-02-17 15:50:37
47149,web-77.hart.com,1976-11-26T07:56:34,2009-05-20,America/Guatemala,Macedonian,GB,mr,nostrum.mp4,35:a1:c7:16:ef:91,"$63,959.20",Thorntonberg,164.418590,Comoros,2019-04-04 19:28:25
73,lt-90.johnson.biz,1982-11-08T03:51:20,1973-11-20,America/Jamaica,Aragonese,GB,si,maiores.odt,94:c1:d1:3f:28:f6,$2.20,West Francis,-150.376672,Zambia,1993-12-16 07:34:24
6067110,lt-69.myers.com,1982-10-04T05:37:04,1987-09-20,America/Paramaribo,Irish,GB,sa,nobis.odt,1b:43:54:a6:06:91,$10.96,Port Robin,-57.952453,Serbia,2016-10-24 01:36:02
63419644,db-94.fowler.com,2012-06-09T01:45:31,1972-02-17,America/Nassau,Zhuang,GB,ia,error.js,e1:98:bc:8d:fe:b7,"$33,713.70",Millsshire,-177.196961,Monaco,1976-04-04 04:04:19
501100794,srv-99.stewart.org,1999-06-05T08:20:39,1990-12-23,America/Caracas,Walloon,GB,crh,mollitia.jpeg,62:77:e1:f2:96:51,"$2,616.95",East Carole,-16.744662,Indonesia,2003-08-06 20:28:58
8,srv-87.fletcher-shaw.co.uk,2005-05-07T15:27:25,2011-05-23,Indian/Maldives,Breton,GB,it,a.mp4,64:8c:bb:c7:d2:5a,$7.42,Lake Rachel,143.260397,Sierra Leone,2003-02-02 14:30:22
2921,desktop-83.nicholson.com,2003-08-27T23:29:39,2011-06-27,America/Asuncion,Abkhazian,GB,ff,doloribus.odp,f2:15:3b:6c:43:17,$14.78,New Georginatown,162.381349,Reunion,1971-01-01 23:49:55
933,email-90.griffiths-oliver.com,1979-01-15T17:29:39,1989-10-27,Europe/Copenhagen,Swedish,GB,sr,nisi.jpeg,8f:54:0b:35:45:d3,$4.29,North Jason,-129.114884,Zambia,1995-03-01 10:22:28
803435677,lt-90.tomlinson-stephens.org,1975-09-13T10:33:35,1992-09-19,Africa/Nouakchott,Latvian,GB,kk,expedita.webm,53:50:f3:6f:3d:4e,"$83,036.99",Adamshaven,-102.097619,Haiti,1987-10-02 03:11:10
34245945,email-80.thompson.com,2017-08-26T19:30:32,2014-02-06,Asia/Aqtau,Aragonese,GB,se,laboriosam.txt,10:2a:f6:1c:af:82,$76.94,Port Katherine,-17.141599,Ireland,2013-10-11 05:39:45
531115,web-42.baker-kirby.net,1993-08-22T23:21:20,1976-11-16,America/Guyana,Norwegian,GB,si,incidunt.flac,9c:c9:f9:cf:80:65,$509.73,South Katherine,81.779841,Ecuador,1990-06-22 03:49:07
1,web-45.johnson.net,2006-11-26T10:54:31,1980-02-04,America/St_Lucia,Galician,GB,xh,officia.flac,f9:e3:2a:f1:d6:98,"$30,506.13",West Colin,-34.715886,Norway,2006-08-07 23:06:02
71537660,srv-24.stanley.biz,2020-02-17T13:00:55,1987-02-10,Europe/Vaduz,Portuguese,GB,fo,ratione.ppt,5d:42:32:b6:7f:f4,"$9,384.05",Kellymouth,121.042405,Seychelles,2022-10-11 12:22:31
10008,desktop-01.simpson.com,2007-10-03T11:53:06,2001-03-05,Asia/Saigon,Persian,GB,as,accusamus.js,af:55:56:e6:fb:c8,$48.51,Angelafurt,-15.957330,Saint Lucia,1970-03-19 17:17:53
4,web-35.davies.info,2023-03-28T12:05:10,1974-10-26,Africa/Blantyre,Ewe,GB,sat,cupiditate.webm,e9:cb:2e:72:ba:9b,"$11,694.71",West Jack,91.404834,Burkina Faso,1990-01-03 18:59:11
87866270,lt-36.wilson-byrne.com,1999-11-06T20:10:51,1990-03-04,Asia/Rangoon,Fijian,GB,ln,in.csv,bd:d0:7d:b6:21:79,$55.31,Brownland,51.190709,Solomon Islands,2020-12-07 20:46:07
6394962,laptop-98.shaw.org,2016-05-15T00:54:46,1990-01-10,Europe/Andorra,Welsh,GB,tcy,quidem.csv,0e:3d:a3:6a:e7:d2,$333.24,South Carl,110.559040,Uzbekistan,1997-04-22 12:58:14
46442967,laptop-88.mistry.com,2014-02-13T09:21:19,2022-12-04,Europe/Brussels,Chamorro,GB,fo,natus.ppt,ce:80:c6:12:0e:f3,"$4,702.15",Lorrainebury,-173.991525,Mayotte,1998-04-04 19:57:31
98700,laptop-07.north-osullivan.com,1995-08-18T13:34:34,2013-08-14,Asia/Saigon,Vietnamese,GB,bhb,repellendus.pdf,9f:ff:8d:88:96:90,$1.43,Priceside,-35.213970,Grenada,1977-07-25 23:10:36
19062,web-43.smith.com,1973-12-12T06:35:20,1985-01-28,Pacific/Tongatapu,Greek,GB,ar,temporibus.css,35:2c:d3:93:24:f7,"$7,004.62",Lake Melissashire,-155.957996,South Africa,1995-05-15 01:59:04
973,db-81.barker.biz,1989-09-15T23:18:49,1990-03-24,Africa/Casablanca,Turkish,GB,mn,dignissimos.webm,83:ad:0c:37:58:56,$4.48,Hughesborough,-80.082103,Slovakia (Slovak Republic),1985-09-15 08:03:55
87611,web-47.fry.biz,2004-11-24T13:02:24,2000-08-08,Africa/Banjul,Rundi,GB,te,sed.tiff,64:63:2c:10:8c:6d,$76.13,West Frank,88.781527,Wallis and Futuna,1971-01-06 12:03:18
79895,web-40.stanley-jones.com,1990-12-04T11:47:26,1986-03-31,Africa/Libreville,Bihari languages,GB,csb,velit.pdf,c9:2d:80:e1:58:ae,$87.32,Bakerfort,6.848044,Oman,1970-03-07 04:57:20
8779621,srv-21.cross.com,1973-10-16T09:59:08,1984-05-13,Pacific/Tarawa,Kurdish,GB,ayc,enim.png,55:4f:ea:20:ce:ce,"$7,550.09",Port Justinfurt,-172.372513,Morocco,1998-03-01 06:26:09
8,srv-00.khan-miller.com,2008-01-07T02:37:29,1975-03-03,Asia/Bahrain,Hindi,GB,nr,quaerat.webm,b8:e3:1d:3f:77:e6,"$9,196.03",Jonesmouth,172.721519,Eritrea,2007-11-11 09:09:22
14,email-18.godfrey.com,2019-03-06T10:33:11,1977-09-27,Africa/Douala,Bislama,GB,wo,similique.pages,e8:c6:e8:c1:ad:7a,$439.87,Curtiston,-102.547743,Central African Republic,2004-04-30 13:23:24
341,laptop-85.williams.biz,1974-03-04T21:42:32,2005-11-28,America/Argentina/Jujuy,Korean,GB,is,sunt.css,5f:db:ad:3d:b7:95,"$34,130.10",Andersonshire,118.788867,Belgium,2000-04-07 10:21:46
2128739,srv-66.ellis-macdonald.info,1999-05-05T00:14:41,2006-03-28,Asia/Riyadh,Persian,GB,lb,sunt.mp3,72:32:20:86:16:da,$137.30,Port Alexandraside,169.078016,Cambodia,1994-01-26 19:26:14
2,email-76.smith.net,2015-09-22T00:40:19,1985-09-17,Europe/London,Western Frisian,GB,fil,accusantium.mov,d5:cd:6c:df:b2:f2,$3.87,West Cliffordville,40.579557,France,2000-03-02 09:33:39
62,laptop-72.schofield-johnson.co.uk,1994-01-29T20:06:31,1980-02-09,Africa/Lagos,French,GB,is,facere.jpeg,76:60:0f:90:01:4d,$8.50,Barbarahaven,-17.305141,Saint Lucia,1984-01-11 20:51:52
23,lt-56.taylor.net,2002-03-12T08:10:34,1986-07-18,Asia/Jerusalem,Twi,GB,tcy,omnis.json,0e:7c:6b:20:8a:ea,$0.36,Lynneside,129.090710,Vanuatu,1975-06-23 13:26:53
398762,laptop-71.benson.com,1985-01-15T20:31:57,2002-11-07,Europe/Bratislava,Ossetian,GB,ml,vel.odp,01:d2:86:55:1a:81,$44.14,Vanessastad,95.556669,United Kingdom,2014-11-22 16:48:53
1,desktop-55.chambers.info,2002-01-12T11:30:34,1975-09-16,Asia/Dubai,German,GB,niu,placeat.key,b7:60:06:ea:b6:43,"$7,988.59",East Lindafurt,149.511435,Puerto Rico,1980-06-26 16:12:08
91154,web-63.collins.co.uk,1977-04-23T21:14:57,2002-08-09,America/St_Kitts,Polish,GB,wo,laboriosam.flac,4a:f1:1b:02:ff:aa,"$4,520.90",Barnesside,29.493305,Tokelau,1971-11-04 15:53:40
667793043,db-13.sullivan-thomson.com,1970-01-14T19:59:00,1976-11-28,Asia/Dili,Indonesian,GB,hak,delectus.xls,93:e8:39:3e:22:2c,"$74,707.42",Kieranfurt,145.430046,Tajikistan,1998-03-16 21:48:11
458849075,lt-90.bolton.com,2017-04-28T11:22:55,1982-03-27,Europe/San_Marino,Haitian,GB,nb,nam.js,77:1c:53:98:52:2c,"$55,753.07",West Clifford,-80.580983,Monaco,1971-02-06 05:06:18
15,lt-60.kaur.org,1985-10-13T06:58:41,1991-05-12,Africa/Casablanca,Cornish,GB,bho,veritatis.jpeg,12:a8:d2:38:1e:14,$2.55,Lake Hannahville,35.249214,Colombia,2017-06-22 17:16:02
4,desktop-96.lyons.biz,1970-01-09T04:58:32,2022-12-14,America/Santo_Domingo,Chinese,GB,el,quos.avi,46:c4:63:9c:9c:8d,$842.84,Port Joanna,-79.133459,Bahrain,1977-09-21 13:21:14
1519181,db-30.griffiths-williams.com,2009-03-28T12:22:15,1980-01-21,Europe/Monaco,Ossetian,GB,ig,corporis.docx,fe:9b:0d:b1:bc:1c,$27.58,East Daniel,63.032372,Libyan Arab Jamahiriya,1989-03-11 12:24:15
89216165,laptop-63.porter.com,1976-01-28T15:21:17,2001-03-31,Europe/Vilnius,Sinhala,GB,xh,eos.tiff,9d:a0:75:a1:46:aa,"$8,849.31",West Declan,-115.495090,Cocos (Keeling) Islands,2008-06-06 03:58:04
19117914,email-84.sutton.co.uk,1972-01-04T08:19:45,1988-09-25,America/Bogota,Sango,GB,ug,at.gif,a3:4c:b5:57:02:19,$70.28,Hunttown,-131.735289,Japan,1979-10-15 20:16:20
302077,email-43.webster-sharpe.com,1995-01-13T10:33:31,2016-12-29,Asia/Qatar,Armenian,GB,hu,voluptatibus.css,5a:32:fd:61:35:ce,$937.71,Port Gillian,54.773182,Equatorial Guinea,1973-07-15 01:20:37
387604228,db-05.stevens-smith.com,1975-05-23T09:55:17,1989-02-21,Asia/Baku,Irish,GB,en,veritatis.json,ef:6e:f8:35:12:6d,$34.54,East Gracefurt,142.122308,Western Sahara,1977-09-10 20:07:59
57158,laptop-48.robson.com,2001-02-11T18:27:57,1979-08-17,Asia/Aqtobe,Ewe,GB,hr,est.json,0d:22:7a:e9:cb:6d,$36.98,East Lindseyborough,121.585913,Oman,2019-11-06 23:05:58
4372,laptop-55.hussain.biz,1975-09-24T12:50:48,1984-03-14,America/Lima,Chamorro,GB,mt,quam.bmp,ad:0e:a7:11:14:8c,$346.79,South Malcolmstad,-126.664495,Thailand,1991-04-28 20:35:06
4485,srv-54.bennett-davies.com,1987-04-22T07:38:42,2023-02-13,Pacific/Ponape,"Sotho, Southern",GB,so,dolore.jpeg,aa:9a:62:aa:f6:5f,$11.83,Mollyview,179.720554,Palau,2011-04-22 18:24:10
8016376,laptop-30.ryan.org,2011-08-08T21:11:04,1996-09-30,Asia/Brunei,Central Khmer,GB,et,at.bmp,16:81:ff:c4:61:20,$8.05,Philiphaven,-39.867465,Cote d'Ivoire,1988-03-14 17:02:31
7,desktop-35.moran.info,1995-01-21T08:13:27,2008-08-19,Asia/Tashkent,Dzongkha,GB,pa,ea.odp,3e:9e:24:93:63:47,"$37,816.94",Nicholasside,144.203173,Madagascar,1973-07-06 19:56:27
56,desktop-53.watson-cooper.biz,1980-04-01T00:35:53,1971-06-18,Asia/Kabul,Northern Sami,GB,eo,ullam.gif,2d:e8:fb:3a:11:88,$9.75,Robertbury,-71.229461,Western Sahara,1979-03-05 17:23:05
157680,web-50.andrews.org,1996-08-15T12:20:13,2010-03-01,Africa/Ouagadougou,Assamese,GB,wal,repellat.wav,82:f0:28:f2:a5:bc,"$34,166.04",Coopermouth,-159.520605,Japan,1999-09-23 04:08:08
7102150,laptop-73.evans.net,1970-05-20T03:09:35,1999-06-09,Atlantic/Cape_Verde,Tonga,GB,ce,nihil.mp3,2f:26:88:80:61:cf,$215.70,Shahside,124.013398,Germany,1973-10-29 20:20:40
3,desktop-30.thomas.com,1977-01-11T02:20:53,1991-01-04,Europe/Vienna,Shona,GB,et,eaque.txt,ba:58:18:ac:72:f6,$7.30,Janeview,68.539869,Brazil,2006-10-09 20:18:03
26002,web-64.briggs-ross.biz,1989-11-03T05:09:55,1980-10-20,Africa/Addis_Ababa,Herero,GB,ve,consectetur.txt,18:4a:11:a6:cd:76,$758.79,Lake Neilborough,-76.626575,Bouvet Island (Bouvetoya),2011-08-01 16:00:09
8502118,laptop-74.chambers.com,1980-02-29T04:01:30,2008-07-02,Asia/Seoul,Pushto,GB,pap,amet.csv,ab:8f:21:9a:5c:63,$88.63,West Yvonnefort,113.895695,Iran,2022-03-23 09:52:45
5698132,db-67.brown.com,1986-02-16T20:16:48,1972-01-01,Africa/Casablanca,Akan,GB,pa,nobis.js,a7:20:cb:45:c1:a3,$534.77,West Lynnmouth,15.535879,Mauritius,1980-03-15 19:34:41
5939,db-14.godfrey-shepherd.co.uk,1975-11-23T14:22:42,1974-12-05,Europe/Stockholm,Avaric,GB,tt,repellendus.tiff,49:33:c6:37:79:8d,$31.54,Laurenburgh,-162.786094,Mozambique,1994-06-22 18:54:47
38979,srv-51.miles.com,1988-08-10T22:39:51,2010-04-06,Asia/Yerevan,Bengali,GB,hr,perferendis.png,e2:78:29:fe:53:d4,$9.69,Goddardberg,88.762379,Liechtenstein,2007-01-23 22:47:20
64,desktop-98.kirk-brown.info,2004-02-23T20:40:29,2013-09-25,Africa/Kigali,German,GB,ms,ipsam.key,ed:96:be:6c:e8:8e,$80.64,New Sallychester,-56.987645,Guatemala,2001-02-18 06:46:58
262,web-72.davies.com,1995-12-02T07:56:32,1996-05-10,America/Guyana,Albanian,GB,ky,a.csv,fb:e3:90:dd:bf:f3,$463.82,South Abdul,96.079731,Niger,1999-03-10 00:34:15
24,laptop-40.booth-turner.com,2017-03-31T16:33:51,1991-03-22,Asia/Damascus,Lao,GB,nan,a.mp3,64:2a:37:23:8b:76,"$66,425.98",Port Nicholaschester,-5.962187,Burkina Faso,2004-05-28 14:37:47
58803,desktop-29.morris-hall.com,2005-02-24T19:18:19,1994-05-17,America/Tijuana,Cornish,GB,tt,asperiores.flac,73:ce:9a:b7:44:ad,$2.49,Loweville,-52.405027,Dominican Republic,1989-08-02 10:21:32
3065,email-55.wood.com,1973-06-17T22:37:36,2007-02-01,Asia/Dhaka,Avestan,GB,yo,sequi.js,27:4f:5d:b8:95:99,$622.29,Julianton,151.861245,Somalia,1970-08-22 07:37:44
758045,email-97.stevenson-butler.com,2014-08-11T23:51:48,1980-09-20,Africa/Tunis,Sinhala,GB,be,in.mov,56:2f:00:4f:27:ef,$86.01,Port Amandaburgh,-115.569522,Mali,2007-05-05 14:43:14
4882,web-24.nelson.com,2019-10-02T22:38:45,2018-08-24,Asia/Dhaka,Azerbaijani,GB,my,perspiciatis.ppt,35:db:72:c0:62:31,$1.58,Archerton,-66.014956,Belarus,1971-09-06 17:06:41
228,email-57.cooper.com,1981-09-26T22:23:40,1989-04-06,Asia/Brunei,Irish,GB,doi,assumenda.odt,30:b8:4a:21:7b:23,$1.02,Ameliaborough,71.823604,Benin,1990-10-02 12:26:16
36,db-46.frost-barry.co.uk,1982-09-30T16:49:14,1973-02-17,Asia/Jerusalem,French,GB,fr,eligendi.pdf,7e:28:01:bb:85:2f,$136.19,Prestonside,-77.228903,India,2004-08-28 09:57:48
84920,srv-57.scott.com,1998-10-14T07:54:03,1970-09-03,Africa/Tripoli,Maori,GB,gv,mollitia.webm,8f:e9:48:da:dc:77,$9.80,Lake Dianaburgh,2.899369,Zimbabwe,1977-03-11 02:49:00
67825,desktop-94.king.org,1987-02-08T04:20:29,1978-10-29,Australia/Hobart,Swati,GB,fy,maxime.png,14:d9:bb:70:85:49,"$38,220.41",Hollyville,15.893985,Djibouti,1996-10-13 04:24:56
53065918,lt-16.watts.org,2006-10-19T18:07:26,1970-11-07,Asia/Riyadh,Chamorro,GB,nso,facere.gif,e1:55:1e:a3:bf:34,$16.12,Hallland,-147.660585,Saint Pierre and Miquelon,2006-02-18 05:52:17
