pricetag,date,date_time,language_name,language_code,city,longitude,bank_country
"$3,860.12",1974-06-16,1977-02-24 03:30:47,Walloon,lv,Gossau,172.244747,CH
"$4,385.09",1970-12-09,1977-12-05 01:22:22,Guarani,tt,Buchs,-12.360009,CH
$45.36,2014-06-20,2016-09-02 02:41:09,Spanish,mt,Möhlin,-136.883191,CH
"$8,419.21",1995-05-22,1994-02-09 21:22:37,Chinese,nds,Lancy,142.344873,CH
$43.76,2023-02-06,2001-12-16 22:10:58,Turkish,ln,Vernier,161.238461,CH
"$23,339.33",1970-12-19,2017-07-28 23:28:46,Icelandic,hu,Gossau,105.380675,CH
$19.16,2005-09-17,2018-02-23 19:13:25,Portuguese,csb,Zollikofen,-118.301692,CH
$5.96,1980-09-14,2018-11-15 22:22:16,Pushto,ber,Baden,21.805025,CH
$5.03,2007-10-24,2005-04-03 00:36:58,Tonga,eo,Einsiedeln,-122.386123,CH
$7.86,2017-11-27,2019-10-26 16:54:13,Malayalam,fi,Meilen,-8.704024,CH
$8.96,1972-09-29,1990-05-19 18:31:02,Swati,eo,Zug,-135.641708,CH
$349.05,1980-01-10,1971-02-06 07:49:09,Dutch,ar,Lancy,-167.814983,CH
"$1,163.03",1996-03-14,1987-02-03 12:44:12,Kannada,mhr,Urdorf,-44.715850,CH
$294.01,2004-01-02,1998-06-06 00:07:56,Inupiaq,az,Martigny,-136.628563,CH
$673.22,1980-09-28,1978-10-02 22:32:29,Czech,yi,Ittigen,-163.532408,CH
$727.35,1989-07-17,1986-09-12 14:09:44,Cree,mr,Thalwil,-123.572966,CH
"$39,600.82",1975-10-01,1975-12-11 11:00:02,French,ca,Luzern,169.746989,CH
"$7,123.19",2001-02-21,1972-01-24 04:32:19,Ojibwa,id,Wädenswil,-128.748253,CH
"$2,891.84",2016-03-16,2012-12-12 03:29:54,Burmese,tig,Belp,164.990633,CH
$0.31,1972-11-29,1988-08-07 11:30:42,Haitian,te,Wil,136.062638,CH
"$68,666.56",2010-10-22,1993-09-04 12:10:05,Interlingua,ha,Kreuzlingen,100.411637,CH
"$97,639.02",2001-09-15,1978-10-03 23:53:36,Twi,tn,Adliswil,20.868679,CH
"$28,763.54",2009-03-31,1998-01-02 14:51:02,Inuktitut,cmn,Zollikon,-96.174959,CH
"$8,949.14",2020-04-19,1996-08-17 18:46:16,Hiri Motu,hr,Frauenfeld,-138.894863,CH
"$89,348.46",1972-12-22,2005-04-15 01:03:19,Chamorro,apn,Bassersdorf,-4.038725,CH
"$1,112.42",2016-10-14,2017-11-28 20:41:10,Swedish,ti,Münchenstein,-26.378437,CH
$32.99,2013-05-01,1997-06-08 05:45:58,Esperanto,fur,Uzwil,-97.737787,CH
$13.80,1970-11-28,1973-09-16 04:26:40,Fulah,sq,Prilly,-75.139817,CH
$1.31,1985-02-19,1982-02-07 19:26:17,Tsonga,et,Le Grand-Saconnex,-166.103241,CH
"$8,689.17",1977-07-29,1980-04-03 21:26:18,Sundanese,brx,St. Gallen,63.355101,CH
"$8,171.30",2019-08-02,1993-11-05 08:06:46,Icelandic,tg,Ecublens,48.293472,CH
$22.63,1979-05-08,1992-12-31 15:11:28,Mongolian,ta,Lugano,59.647071,CH
$4.50,2001-05-04,1991-09-16 09:23:36,Vietnamese,ca,Kriens,153.600998,CH
$536.13,1978-01-15,2003-10-02 15:24:48,Xhosa,os,Münchenbuchsee,121.944327,CH
$4.21,1985-11-21,1997-03-10 14:21:16,Turkmen,be,Villars-sur-Glâne,-102.271030,CH
$63.04,1979-10-10,2008-03-30 09:50:13,Javanese,mg,Ittigen,-154.114774,CH
"$9,689.53",2022-06-29,1988-03-11 03:19:58,Marshallese,fo,Richterswil,-42.362199,CH
$622.26,2022-02-06,1981-01-24 21:23:00,Welsh,ru,Rüti,-127.079702,CH
$20.28,1985-07-31,1976-08-22 19:09:53,Faroese,ta,Wetzikon,40.418429,CH
"$2,840.61",1983-02-07,2004-09-20 15:20:06,Korean,th,Bulle,154.930786,CH
$8.99,1975-04-02,2012-10-31 10:05:09,Avestan,tcy,Stäfa,-73.166426,CH
$679.40,1986-11-02,1992-06-30 11:27:38,Dzongkha,the,Thalwil,146.825578,CH
$6.85,2023-03-03,1999-05-12 00:48:08,Sindhi,kok,Bern,-136.371677,CH
$23.99,2005-08-01,1985-11-24 18:20:02,Rundi,sl,Aigle,168.578349,CH
$447.46,1998-09-20,1993-08-06 08:18:15,Azerbaijani,bhb,Brig-Glis,-36.456874,CH
$60.89,1976-04-30,1999-12-27 17:40:51,Chichewa,csb,Frauenfeld,158.676697,CH
"$73,796.67",1987-03-04,2009-12-22 23:00:15,Hausa,br,Arbon,38.920019,CH
$23.24,2021-09-26,1976-06-25 18:45:23,Azerbaijani,he,Bernex,-13.271109,CH
"$77,985.70",1985-03-01,1984-08-09 06:35:17,Gaelic,fur,Biel/Bienne,-140.137766,CH
"$4,744.35",1976-07-25,1982-10-16 22:26:06,Japanese,hu,Bassersdorf,72.263172,CH
"$5,118.50",1991-03-27,1973-11-02 03:08:56,Welsh,ms,Allschwil,111.114746,CH
"$67,833.76",1989-03-16,1998-10-17 03:25:29,Turkish,ha,Oberwil,48.450231,CH
$76.59,2017-12-13,2019-01-09 21:21:40,Aragonese,mhr,Birsfelden,140.355973,CH
"$8,895.63",2009-04-29,2016-04-07 22:31:04,Sango,mg,Lutry,-140.077393,CH
$16.90,1975-08-26,2017-05-30 00:13:47,Sichuan Yi,lo,Wil,71.501883,CH
$711.75,1979-02-13,2017-09-01 10:21:51,Catalan,szl,Münchenbuchsee,169.698220,CH
"$64,614.47",2002-04-30,1989-03-20 10:56:08,Kannada,lo,Stäfa,30.944219,CH
$6.91,1983-03-26,1994-05-21 20:40:39,Breton,the,Rheinfelden,153.767437,CH
$8.42,1998-03-01,1984-12-24 01:42:21,Danish,quz,Schaffhausen,149.348070,CH
$56.12,2006-07-24,1993-04-17 18:49:34,Tajik,csb,Küsnacht,-161.981563,CH
$915.22,1975-05-12,1973-07-08 23:59:23,Norwegian Nynorsk,niu,Gossau,131.251204,CH
$495.90,1985-02-11,2019-11-29 01:33:11,North Ndebele,the,Romanshorn,-87.006176,CH
"$44,653.99",2013-12-07,1983-10-28 01:38:01,Icelandic,is,Zürich,173.782469,CH
"$21,529.60",2014-02-02,1994-11-03 07:36:21,Norwegian Nynorsk,sq,Davos,142.377797,CH
"$1,727.32",2010-03-26,2021-05-26 22:16:57,Avestan,ln,Affoltern,11.594117,CH
"$6,042.06",2017-12-26,1975-09-13 05:03:51,Ndonga,bho,Köniz,66.128212,CH
$0.25,2003-06-30,1993-06-16 04:10:36,Hiri Motu,ce,Payerne,25.049397,CH
$15.82,1991-07-03,1987-08-16 01:34:55,Kuanyama,eo,Urdorf,-80.913434,CH
$941.70,1997-10-29,1984-07-09 14:53:50,Welsh,ro,Grenchen,-13.468194,CH
$548.39,1985-08-10,1991-06-09 16:02:29,Latvian,bn,Bern,-6.564101,CH
$5.15,1999-07-07,2011-11-05 02:33:25,Tonga,rw,Binningen,152.294036,CH
$132.78,1999-02-07,1987-05-02 06:04:12,Occitan,ko,Zollikon,100.463346,CH
$592.60,1976-06-10,2003-06-19 06:34:28,Kikuyu,nr,Oftringen,-97.452906,CH
"$61,434.57",2018-02-13,2023-04-26 17:13:42,Igbo,os,Monthey,170.260374,CH
$37.66,1991-04-02,2017-12-15 17:38:31,Swati,nhn,Wettingen,172.342156,CH
$16.15,2000-02-23,2010-12-01 07:54:04,Ido,ga,Chur,31.987050,CH
"$31,082.57",2005-04-09,1975-04-16 13:14:12,Chinese,dz,Naters,12.209743,CH
"$98,143.98",2007-12-16,1971-01-19 16:17:41,Chinese,bg,Uster,24.576769,CH
$998.08,2011-06-29,2006-05-04 19:14:49,Fijian,ig,Le Grand-Saconnex,-15.444902,CH
$6.33,2019-07-26,1990-10-06 21:56:22,Kalaallisut,tcy,Steinhausen,75.990413,CH
$50.22,1989-04-08,1984-12-10 09:52:18,Aragonese,bn,Lutry,59.059566,CH
$800.19,2022-03-29,1988-05-24 22:44:54,"Sotho, Southern",mhr,Spreitenbach,121.216911,CH
$0.44,1979-12-08,1981-11-14 06:54:38,Uighur,gv,Nyon,-49.063359,CH
$614.99,1973-08-29,1995-07-19 08:06:52,Western Frisian,ln,Binningen,-86.037132,CH
"$71,404.75",2008-10-24,1982-08-07 12:15:13,Czech,bho,Onex,36.210432,CH
$475.07,1997-04-04,2009-04-17 17:06:08,Serbian,my,Baar,116.097337,CH
$0.47,1996-10-10,1973-03-21 14:17:41,Limburgan,sk,Affoltern,127.507568,CH
$14.74,2021-05-26,1973-09-29 09:23:29,Aragonese,ko,Bellinzona,-157.059981,CH
$28.25,2009-12-23,1987-05-03 17:55:10,Bislama,ro,Pratteln,-119.379805,CH
$32.39,1993-06-21,2002-01-19 07:47:55,Somali,as,Thun,-15.525017,CH
"$14,391.11",1987-07-20,2023-02-06 03:08:40,Avestan,en,Uster,3.999705,CH
"$3,129.53",2004-08-23,2014-04-29 04:31:33,Croatian,tr,Thônex,-110.342844,CH
"$18,356.04",1972-08-24,1978-01-25 23:24:16,Igbo,nso,Möhlin,-36.662844,CH
"$14,859.24",2002-07-08,2017-03-16 00:26:05,Telugu,mn,Morges,157.392621,CH
"$4,149.86",1993-06-06,2014-06-22 14:56:19,Uzbek,or,Rheinfelden,-21.882248,CH
"$1,237.44",2016-02-24,2011-04-10 16:58:46,Kikuyu,am,Lancy,107.334409,CH
"$13,112.06",2000-10-04,2019-06-04 13:04:02,Chinese,ts,Rüti,163.621657,CH
"$10,673.35",1991-04-17,1997-11-10 06:22:41,Armenian,da,Gland,-32.486687,CH
$1.84,1985-03-02,1997-09-12 06:11:44,Macedonian,fr,Stäfa,32.653011,CH
$233.62,1982-03-16,1975-01-18 19:12:57,Venda,doi,Val-de-Ruz,-38.866246,CH
"$4,349.61",1997-06-27,2007-12-27 23:26:28,Norwegian,mg,Freienbach,109.758574,CH
$955.98,1994-03-12,1977-08-05 05:01:29,Sindhi,ts,Horgen,-94.774959,CH
"$24,026.24",2010-06-02,1992-09-13 21:01:07,Portuguese,ug,Genf,108.416498,CH
$535.47,1985-11-04,2000-12-12 15:42:35,Malagasy,hi,Buchs,118.637318,CH
$99.32,1976-12-17,2003-03-25 08:01:23,Hindi,csb,Worb,-57.079468,CH
$33.21,1992-01-13,1976-08-02 04:53:02,Ossetian,zu,Pratteln,104.896208,CH
"$4,471.45",1984-06-27,1975-09-12 15:19:08,Swati,hr,Regensdorf,137.552448,CH
$19.63,1986-09-18,1970-12-24 12:57:14,Polish,sl,Lausanne,32.839960,CH
$96.49,2014-12-27,1991-07-22 05:07:36,Komi,mi,Risch,156.860426,CH
"$89,201.11",1990-11-17,1973-04-05 03:33:06,German,dv,Oftringen,49.883807,CH
"$3,453.37",1981-01-19,1999-07-17 05:47:43,Javanese,oc,Bülach,135.836289,CH
"$1,131.75",1972-07-02,2018-07-17 04:34:01,Kannada,hsb,Flawil,-121.560011,CH
"$90,701.49",1995-11-16,1970-05-17 10:25:53,Zhuang,sv,Richterswil,24.060072,CH
$43.22,1990-08-12,1984-09-06 04:23:02,Luba-Katanga,pap,Lausanne,-36.787402,CH
$2.51,1979-02-23,2021-08-04 01:21:05,Haitian,nan,Worb,-1.424197,CH
$2.68,1978-11-15,1984-05-13 02:45:13,Amharic,sk,Worb,-64.081494,CH
$942.16,2007-08-04,1997-08-02 03:13:55,Manx,ka,Crans-Montana,-63.949230,CH
$4.89,2023-01-08,1985-07-19 22:35:26,Ossetian,lzh,Neuenburg,-20.089103,CH
$4.16,2003-08-09,1972-05-03 04:18:43,Burmese,sc,Villars-sur-Glâne,-51.972630,CH
$45.54,1985-08-13,1974-01-18 09:43:15,Yoruba,ik,Lyss,-122.278872,CH
$67.02,2017-02-16,1973-06-27 07:06:19,Portuguese,szl,Affoltern,59.687069,CH
$81.05,1986-02-07,1977-08-16 04:35:50,Tajik,raj,Glarus,116.573028,CH
$4.80,1993-01-09,2013-01-30 10:57:56,Ukrainian,it,Köniz,118.273791,CH
$6.77,2016-06-24,1975-03-14 15:13:53,Irish,lb,Ecublens,-2.812256,CH
"$94,520.66",1991-01-24,2001-03-16 16:05:15,Croatian,ve,Dietikon,-171.675259,CH
$882.61,1985-05-13,1974-09-10 06:25:17,Gaelic,iw,Allschwil,-65.010481,CH
$4.82,2005-04-27,1981-11-16 05:25:24,Chichewa,en,Bassersdorf,-93.597041,CH
"$2,952.14",1982-02-03,2019-05-17 12:14:44,Icelandic,eu,Kreuzlingen,163.756473,CH
$5.84,2012-06-15,1984-10-09 11:04:14,Ewe,aa,Herisau,63.470078,CH
"$3,794.33",2021-02-14,2023-04-13 17:52:53,Ojibwa,iu,Dietikon,17.298086,CH
$239.93,2006-02-10,2017-02-09 06:19:22,Kikuyu,sr,Steffisburg,-59.390896,CH
$328.72,1984-08-14,2016-02-11 03:40:24,South Ndebele,nhn,Einsiedeln,-62.925472,CH
$8.93,1983-01-21,1985-04-24 04:19:53,Ndonga,dz,Wädenswil,-139.160168,CH
"$72,873.47",1975-07-17,2014-10-09 00:53:37,German,zu,Wald,-104.156754,CH
$68.26,1987-06-30,1988-05-09 10:43:42,"Sotho, Southern",ve,Freiburg,-15.655178,CH
"$90,227.04",1986-05-28,1978-11-15 18:31:47,Welsh,lv,Vevey,-104.876000,CH
$66.91,1970-04-18,2009-06-30 04:41:43,Lao,ig,Köniz,-119.741642,CH
$191.38,1975-01-27,2014-11-16 08:18:28,Hiri Motu,tl,La Chaux-de-Fonds,-6.752467,CH
$48.14,2018-02-17,2006-09-03 09:12:07,Galician,yue,Vernier,-81.285175,CH
$3.24,1992-11-29,1991-07-25 14:12:02,Nepali,yo,Bern,-53.242079,CH
"$40,526.56",2023-07-11,2011-09-20 04:05:57,Portuguese,eu,Davos,23.020199,CH
$33.41,2007-04-20,1999-10-10 16:47:36,Urdu,gv,Biel/Bienne,38.423520,CH
"$34,693.75",2000-01-24,1984-09-24 21:03:10,Belarusian,he,Muri,59.297072,CH
$3.30,1978-08-18,2005-08-16 00:21:19,Kazakh,ca,Pfäffikon,53.852325,CH
"$4,466.32",2002-05-29,2007-03-05 22:03:10,Church Slavic,ca,Zug,18.091476,CH
"$86,254.62",2017-08-19,1985-11-09 00:52:04,Interlingue,ber,Bellinzona,-167.808894,CH
"$8,265.88",2002-10-11,2002-05-11 12:55:09,Breton,kn,Münchenstein,148.923177,CH
$7.20,2022-10-09,1993-05-19 12:25:29,Portuguese,ps,Brugg,64.014636,CH
"$52,567.83",2000-04-03,2011-02-25 01:26:29,Chechen,mg,Veyrier,23.866601,CH
"$9,189.56",2005-11-12,1972-09-29 11:11:52,Guarani,ha,Aesch,-84.187206,CH
$104.16,1988-02-19,1982-08-05 17:22:13,Romanian,sw,Romanshorn,123.048831,CH
$770.63,1972-12-11,2002-06-12 16:29:23,Assamese,bhb,Dübendorf,-9.835440,CH
"$58,734.68",2002-03-01,1986-11-19 06:48:17,Guarani,kl,Birsfelden,-128.701112,CH
"$9,528.67",2006-06-02,2017-04-27 15:05:13,Tonga,nds,Bernex,-123.128088,CH
$253.74,2008-05-31,1984-03-30 02:21:33,Fulah,sd,Bellinzona,-79.623895,CH
$24.57,1991-01-07,1973-02-28 14:33:48,Albanian,ky,Schaffhausen,-98.755028,CH
$1.80,2005-08-10,2011-06-15 17:02:31,South Ndebele,br,Worb,82.156663,CH
"$73,655.85",2003-08-10,1990-09-26 07:12:00,Sindhi,gu,Glarus,145.090066,CH
"$62,325.09",1986-09-28,1986-12-30 16:34:33,Hebrew,as,Naters,99.573140,CH
$68.13,2001-12-05,2006-03-16 15:23:31,Occitan,ak,Brugg,28.785827,CH
$578.68,1983-08-26,2001-10-30 01:03:23,Mongolian,fr,La Tour-de-Peilz,-175.559346,CH
"$2,594.17",2005-12-04,1978-05-23 12:57:53,South Ndebele,mni,Schlieren,-166.532996,CH
$4.08,1970-02-16,2010-01-28 18:53:19,Luba-Katanga,nhn,Steffisburg,-144.519512,CH
"$82,940.77",1975-12-04,1998-12-28 09:16:14,Cree,uz,Altstätten,-71.940825,CH
$52.55,1972-06-02,1999-03-23 03:09:25,Quechua,yue,Affoltern,150.902828,CH
$996.63,2015-09-30,2002-11-02 22:07:09,Ewe,km,Renens,-138.068027,CH
$41.76,2009-10-21,2009-01-08 03:33:35,Ukrainian,lt,Stäfa,-71.491385,CH
$2.65,1993-03-20,1972-01-30 00:27:52,Ganda,bo,Gland,-7.487032,CH
"$77,874.83",2023-04-09,2002-05-04 09:39:07,Oromo,lo,Küssnacht,-47.952111,CH
$782.02,1979-11-09,1997-03-22 07:20:46,Danish,km,Horw,-2.774831,CH
"$7,991.05",1986-03-09,1987-12-25 07:45:05,Azerbaijani,hy,Chêne-Bougeries,-7.681447,CH
"$86,575.58",1990-05-09,1986-07-12 03:05:34,Tibetan,sc,Carouge,-157.087310,CH
"$93,609.59",2012-09-08,2023-06-10 12:12:05,Catalan,it,Arth,-13.371339,CH
$9.28,1976-06-10,1976-05-04 17:04:17,Kongo,kw,Le Grand-Saconnex,162.991282,CH
$87.85,1987-08-21,1976-11-20 09:26:52,Chuvash,sa,Glarus,-18.331106,CH
"$6,290.70",2009-09-02,1981-09-06 09:47:34,Rundi,es,Belp,-155.149911,CH
"$4,251.91",2012-10-18,2007-10-10 17:17:19,Maori,mt,Steffisburg,54.027161,CH
$842.11,2001-08-28,1980-11-03 14:22:53,"Sotho, Southern",yo,Münchenstein,-128.098911,CH
"$98,451.43",2020-01-27,1978-09-08 01:02:22,Persian,xh,Pfäffikon,-95.492565,CH
$942.60,2021-06-03,1975-01-11 10:05:23,Sinhala,hne,Aesch,-144.553812,CH
"$19,974.61",2000-08-15,1976-11-21 08:19:21,Ossetian,sat,Chur,-171.354507,CH
$575.92,1979-05-19,2010-01-22 17:03:57,Hindi,vi,Solothurn,-18.745845,CH
"$81,879.27",1993-09-15,1993-10-20 07:37:31,Kannada,mt,Gossau,-12.918689,CH
$708.96,2021-08-20,1989-06-05 17:48:04,Belarusian,nso,Küsnacht,14.771633,CH
"$6,378.49",1995-09-03,1973-12-08 08:34:13,Samoan,de,Naters,70.650496,CH
$84.16,2016-11-20,2014-09-24 06:02:57,Marathi,ckb,Bülach,-165.643977,CH
"$53,861.73",1980-05-06,2021-12-02 19:27:51,Kikuyu,eo,Martigny,77.640833,CH
$2.99,1995-11-06,1991-12-28 09:59:40,Ojibwa,gd,Bern,49.593166,CH
$9.45,1986-07-26,2020-11-07 02:18:06,Samoan,ts,Meyrin,-87.882152,CH
$261.34,1995-03-24,1994-03-28 19:00:22,Javanese,mhr,Le Grand-Saconnex,133.260726,CH
"$45,033.11",2010-10-25,1974-03-14 20:03:54,Guarani,hu,Gossau,-104.988042,CH
$91.97,1984-11-23,1980-02-03 09:21:03,Kalaallisut,ti,Altstätten,-17.451882,CH
"$61,256.32",1975-08-21,1976-07-07 11:41:48,Bihari languages,dz,Meyrin,107.181567,CH
$61.57,1976-06-18,1996-03-08 13:46:54,Yoruba,nn,Zofingen,144.407077,CH
$6.17,1980-07-27,2004-03-09 17:05:42,Navajo,he,Liestal,92.360266,CH
"$5,241.22",1995-04-10,1987-06-27 06:16:29,Avestan,ur,Solothurn,-174.201697,CH
"$44,745.31",1986-08-05,1995-06-30 11:01:19,Pushto,cy,Val-de-Travers,20.613552,CH
$2.36,1975-08-20,1982-06-18 04:03:12,Lingala,sa,Einsiedeln,128.475634,CH
"$41,015.17",1973-06-11,2015-03-21 21:28:07,Hausa,ckb,Muri,-159.754446,CH
$631.70,2005-06-10,2011-01-17 18:14:26,Slovenian,hu,Bellinzona,45.430741,CH
"$17,987.40",2010-06-07,2014-02-03 16:29:54,Shona,the,Weinfelden,179.402776,CH
"$62,664.60",1984-08-07,1988-08-20 11:19:52,Malayalam,ru,Versoix,-6.197583,CH
$4.01,2023-03-19,1999-01-04 03:15:12,Hebrew,mag,Binningen,132.363908,CH
$687.48,2000-04-09,2019-07-16 12:13:38,Lithuanian,hne,Wetzikon,-80.649570,CH
"$6,924.25",2021-08-21,1997-03-06 00:36:33,Walloon,nso,Liestal,-147.843724,CH
$265.99,2007-01-06,1987-06-20 13:35:17,Tahitian,tcy,Steinhausen,92.400730,CH
$129.20,1992-03-22,1981-07-08 17:15:03,Romansh,hu,Lugano,34.336442,CH
$46.35,1991-04-21,1998-12-29 08:02:19,Estonian,nb,Birsfelden,74.693570,CH
$59.58,1979-01-27,1994-06-24 20:42:57,Uighur,hak,Thun,-31.894038,CH
$0.94,1987-09-06,1987-10-25 03:40:33,Basque,yi,Biel/Bienne,-142.548698,CH
"$42,440.57",2000-10-13,1977-06-10 14:19:35,Catalan,so,Riehen,178.449814,CH
"$13,424.58",1995-09-25,1989-01-04 22:31:35,Kalaallisut,af,Lyss,110.904197,CH
"$26,538.82",2020-03-05,1995-07-09 04:05:47,Divehi,bn,Morges,120.342358,CH
"$85,688.86",1994-08-01,1970-10-31 10:40:59,Tamil,gv,Kloten,152.831579,CH
"$4,344.19",1979-12-29,2002-01-03 06:00:22,Tatar,kk,Schaffhausen,-178.461045,CH
$0.89,1973-11-13,2014-08-21 15:14:51,Sanskrit,bs,Reinach,-50.300607,CH
$47.24,1982-07-08,1975-03-26 23:48:37,Arabic,gu,Neuhausen,14.001728,CH
"$50,015.98",1975-06-18,2016-10-20 15:30:29,Bambara,mag,Solothurn,128.504920,CH
$796.20,1977-08-23,1992-07-19 14:10:32,Tswana,pa,Liestal,53.861199,CH
$40.68,1978-10-27,1992-10-09 12:47:41,Akan,et,Genf,-30.904299,CH
$82.23,2007-12-02,1994-10-21 06:34:12,Javanese,lzh,Romanshorn,-54.246496,CH
"$57,604.65",1987-06-10,1985-01-13 00:12:55,Tamil,fy,Zug,75.847816,CH
"$8,406.86",2000-02-25,1990-03-17 03:20:58,Manx,cy,Schwyz,-113.908853,CH
"$8,385.51",2008-03-03,1979-10-22 10:39:42,Herero,ff,Sitten,-107.544241,CH
$6.75,1999-06-05,2011-06-04 19:18:43,Twi,ve,Arbon,147.295016,CH
$802.46,1973-05-31,1970-10-13 02:46:31,Tagalog,nds,Lugano,98.029478,CH
"$81,267.64",1990-01-28,2008-11-14 16:56:58,Chamorro,quz,Küssnacht,-145.554304,CH
"$1,583.85",1973-02-19,2008-02-18 22:35:44,French,id,Maur,-82.952774,CH
"$8,422.88",1974-09-11,2001-05-24 15:14:57,Afar,ts,Burgdorf,147.016884,CH
"$4,945.62",2019-12-27,2007-10-03 08:15:10,Dzongkha,sv,Reinach,105.441637,CH
$988.25,2022-01-20,2021-01-25 06:55:26,Afrikaans,bg,Münchenbuchsee,168.152800,CH
$89.15,1972-12-16,1995-08-26 19:30:16,Nauru,th,Ecublens,-94.602328,CH
$12.66,2014-08-22,2016-12-20 08:47:06,Amharic,pa,Spreitenbach,-122.572339,CH
$7.23,1989-02-04,1975-06-12 18:42:06,Slovenian,et,Muri,-67.133954,CH
"$11,346.43",2022-05-06,1976-09-20 03:14:06,Hebrew,el,Vevey,-170.581445,CH
"$4,528.56",1995-04-04,1993-12-10 20:44:56,Tamil,ig,Naters,-146.925423,CH
"$42,261.33",2000-05-08,1986-02-11 03:24:05,Swahili,fr,Gossau,40.458329,CH
"$9,462.76",1990-06-19,2011-07-24 20:59:32,Tigrinya,is,Langenthal,-121.604271,CH
$59.63,1980-02-03,2016-08-10 12:17:56,Sango,sl,Veyrier,-97.808300,CH
$805.07,1978-06-24,2021-03-22 19:24:03,Aymara,raj,Zollikofen,134.972470,CH
$724.37,1999-05-25,1991-12-02 00:29:58,Ganda,tr,Muttenz,-126.662748,CH
$43.48,1979-02-10,1983-10-21 19:13:31,Uzbek,tk,Buchs,-100.325973,CH
$94.18,2005-07-29,2006-02-25 00:35:54,Ossetian,nds,Ittigen,-38.204797,CH
"$83,276.31",1994-08-26,1997-11-05 21:07:30,Swahili,yo,Brig-Glis,73.857946,CH
$9.26,1977-07-23,2006-06-29 20:24:06,Afrikaans,pl,Liestal,-118.175394,CH
$26.79,1970-04-10,1978-05-11 23:54:55,Samoan,mi,Luzern,-137.171938,CH
"$1,105.36",2021-06-11,1981-10-26 09:45:45,Burmese,ve,Lutry,-72.636975,CH
$43.89,1998-12-21,2009-08-27 03:23:06,Somali,fil,Luzern,-29.609560,CH
"$1,215.23",1994-09-29,1990-06-10 18:57:49,Hebrew,af,Amriswil,83.349276,CH
$61.07,2016-12-30,1994-12-25 20:08:42,Vietnamese,ug,Baden,-51.268199,CH
"$37,559.56",2002-01-27,2021-12-15 02:31:05,Italian,shs,Delsberg,38.770444,CH
"$66,271.66",1974-09-20,1990-01-26 15:12:23,Ukrainian,an,Chêne-Bougeries,-84.559941,CH
$318.50,1981-03-26,2008-05-12 06:53:04,Panjabi,te,Renens,-26.498691,CH
$7.98,1993-10-14,1997-06-02 11:19:58,Urdu,he,Flawil,138.626916,CH
$6.74,1987-11-27,2022-02-01 12:20:30,Inupiaq,kk,Uzwil,-33.417246,CH
"$8,042.20",2004-07-29,2001-09-26 15:53:02,Kanuri,ug,Plan-les-Ouates,32.248455,CH
"$79,903.76",1984-11-15,1979-09-05 08:14:09,Ido,bo,Bassersdorf,-44.957120,CH
$5.38,1994-07-25,2013-02-09 06:39:22,Hindi,unm,Möhlin,-176.668237,CH
"$63,813.42",1992-01-27,1976-03-16 18:05:19,Georgian,sr,Nyon,18.112138,CH
