iso8601,time,language_name,latitude,date_time,country,city,pricetag,bank_country,date,mac_address,language_code,longitude,timezone
2012-02-04T05:15:13,23:45:54,Navajo,-4.052270,1982-01-04 03:11:10,Lesotho,Greenshire,$4.38,GB,1985-07-03,a2:4a:ea:b6:58:39,uz,98.222649,Asia/Yerevan
2013-04-14T06:30:36,20:40:27,Chinese,26.1883385,1997-08-17 17:28:01,Malaysia,West Karenhaven,$20.74,GB,1989-06-27,31:98:2f:f2:0c:16,hi,98.382406,Asia/Hovd
1976-09-09T01:53:07,09:49:02,Norwegian,-12.124325,2018-12-25 01:52:51,Thailand,South Abigail,$21.45,GB,2008-12-05,5a:34:c9:2d:c1:56,as,82.276581,America/Dominica
1975-12-08T19:19:37,16:56:29,Vietnamese,75.3773215,1982-06-15 20:07:17,Macao,Port Denis,"$3,845.70",GB,1998-03-06,aa:06:60:6d:a1:a8,af,-126.939220,Africa/Bujumbura
1972-09-29T11:29:48,18:50:39,Malay,-54.1961275,2020-06-02 02:18:23,Mozambique,Jordanbury,$64.24,GB,1973-06-10,d2:ec:f2:3c:03:46,ps,55.683111,Asia/Singapore
1998-05-27T11:08:13,09:23:20,Malagasy,-11.181559,2014-02-23 10:05:14,Monaco,Lake Jayne,$14.14,GB,1996-02-08,b3:6f:44:04:a0:a5,ve,-57.874230,Pacific/Apia
1970-07-12T18:13:25,01:24:11,Ewe,-87.0604085,2014-06-21 10:39:01,Georgia,Graymouth,$204.97,GB,1988-03-10,8f:78:5a:ee:3b:31,ce,11.230433,Europe/Sarajevo
2005-05-29T04:19:15,17:18:20,Oromo,-65.9863335,1999-09-05 02:49:08,Brazil,West Karlfurt,"$63,045.86",GB,2008-08-09,3f:23:b6:2c:ce:d1,gv,52.182328,Africa/Casablanca
1986-08-24T05:44:41,07:18:50,Malayalam,-25.886315,1997-10-05 00:31:28,Botswana,Cooperburgh,"$83,861.77",GB,1977-09-19,d4:31:3f:67:cd:e3,hu,178.100619,Atlantic/Cape_Verde
1985-02-16T11:28:39,08:45:45,Swedish,0.682332,2003-06-03 00:53:17,British Indian Ocean Territory (Chagos Archipelago),Jonesfort,$86.62,GB,1991-12-18,78:b3:1f:98:86:50,ug,-163.952002,Europe/London
2020-02-05T13:18:22,12:20:36,Lithuanian,11.6592085,2022-08-29 15:53:34,Albania,Hooperchester,$333.85,GB,1981-12-07,e2:11:d8:23:b0:9f,mk,18.288237,Asia/Amman
1986-08-07T10:59:13,18:51:25,Amharic,-42.3407615,2023-01-17 03:10:30,Wallis and Futuna,Jeremymouth,$0.92,GB,2018-01-17,6b:6e:c6:7f:14:4d,sq,12.772492,Africa/Brazzaville
1975-10-04T16:02:27,15:26:28,Arabic,87.088881,1977-12-11 04:40:14,Pitcairn Islands,Evansstad,"$2,884.69",GB,2005-10-31,f4:fc:01:56:18:3e,cv,39.128842,Asia/Yerevan
2015-05-01T08:19:49,11:21:06,Javanese,-61.359323,1998-12-29 09:23:56,Lesotho,Christopherport,$249.10,GB,1991-02-07,89:9b:23:e3:5d:f0,mn,-178.200540,Asia/Dhaka
1978-06-25T17:22:49,23:07:54,Afrikaans,79.7689805,2009-03-14 10:13:04,China,Billyberg,$613.12,GB,1971-05-05,fd:a8:06:ca:68:e4,iu,-74.723310,Africa/Harare
1996-09-08T04:54:17,00:27:42,Galician,-55.3185875,1983-01-14 14:35:34,Sierra Leone,Graemeport,"$1,626.33",GB,1999-08-10,0a:48:a4:5b:0b:0a,pa,160.420945,Asia/Kuching
1996-01-28T05:57:33,15:37:43,Samoan,-38.4394385,1992-03-14 13:58:26,Saint Vincent and the Grenadines,Coleside,"$45,356.71",GB,1971-03-14,69:cd:d7:b7:22:2b,wal,123.382805,America/La_Paz
1979-11-07T17:37:23,22:16:15,Faroese,-82.850454,2013-05-21 06:03:16,Israel,West Damianside,"$59,828.64",GB,1970-06-30,a9:c0:1e:a9:86:50,an,-164.691535,Asia/Vientiane
2002-09-04T15:53:37,03:14:12,Venda,-28.5943955,1978-10-14 16:11:17,Marshall Islands,Lake Lisatown,$165.30,GB,1987-01-16,3e:28:7a:ce:24:81,gu,19.753811,Asia/Amman
1982-11-06T18:39:46,08:11:40,Tsonga,-52.841749,1978-01-10 12:15:54,Madagascar,Lake Jodie,$28.13,GB,2022-05-14,50:17:99:62:df:5e,pl,32.737703,Atlantic/Cape_Verde
1999-03-08T00:29:46,06:44:32,Northern Sami,-24.5619625,1995-06-01 01:39:12,Costa Rica,Danielmouth,$5.95,GB,1973-11-25,bc:00:a4:7a:3f:d2,csb,-98.014710,America/Shiprock
1985-08-06T21:38:01,09:31:20,Avaric,48.0682045,1993-06-25 09:06:46,Trinidad and Tobago,Wilsonstad,"$3,756.43",GB,1974-04-11,54:6f:46:7b:a4:47,kw,-49.278475,America/Lima
1984-01-26T08:51:33,21:47:42,Tagalog,72.242740,1971-12-20 06:13:38,Gabon,New Sally,"$61,722.32",GB,2007-05-17,e8:d4:96:44:00:1d,li,-83.948950,Europe/Sofia
2000-01-30T13:11:19,06:21:11,Corsican,36.168631,1988-10-09 20:06:54,Singapore,North Glenchester,"$1,744.72",GB,1978-05-03,df:8a:7a:1a:ea:43,ug,178.304397,America/Montevideo
1979-11-14T08:49:36,21:37:35,Afar,8.7009945,2004-02-22 19:48:15,Solomon Islands,Juneville,"$90,196.65",GB,1999-07-11,0e:8d:b4:b4:fb:dd,lij,-34.818919,America/El_Salvador
2021-06-23T07:06:45,22:45:21,Telugu,-81.8308955,2004-03-09 02:10:39,Vanuatu,Jacksonview,$90.64,GB,1977-02-14,7c:88:04:12:49:a8,ce,-141.145889,Europe/Vilnius
2018-11-30T06:32:37,00:00:46,Assamese,-82.311060,2011-07-02 10:45:10,Wallis and Futuna,Williamsland,$418.31,GB,1971-02-21,b4:1c:05:03:65:25,lij,-75.650395,Europe/Ljubljana
2020-05-03T05:13:03,05:43:54,Swati,-25.1587005,2021-05-29 00:34:07,Uzbekistan,East Staceyhaven,$485.87,GB,2021-11-04,64:76:a3:a1:d1:ae,ps,-89.249536,America/Porto_Velho
2012-11-03T23:07:09,14:11:42,Inuktitut,83.3856225,2017-04-27 05:40:52,Rwanda,Port Dominicshire,$7.91,GB,1983-02-09,3a:44:87:f0:62:9d,ka,-29.912526,Africa/Ndjamena
1987-07-31T10:14:21,08:41:47,Komi,-1.2168225,1979-10-10 14:43:06,Puerto Rico,Natashaview,"$8,720.03",GB,2021-04-23,f3:9e:0b:aa:f2:14,bg,-124.100419,Africa/Bamako
1973-07-07T11:17:20,02:39:18,Dzongkha,-11.9762585,1983-08-15 23:52:36,Fiji,Kathrynbury,"$6,502.49",GB,2007-04-18,03:ae:34:97:52:53,or,178.886302,Europe/Chisinau
2007-12-19T07:24:37,03:48:41,"Sotho, Southern",-36.776202,1981-05-02 18:19:50,Cameroon,Chloebury,$878.22,GB,1996-11-15,af:e8:8e:5e:b3:e3,lo,-70.248667,Asia/Dhaka
2018-02-27T19:05:46,08:25:12,Latin,14.936769,1984-03-15 06:49:56,Austria,West Terryberg,$249.03,GB,2002-08-22,90:0d:e1:db:bd:7e,iu,125.667732,Asia/Ashgabat
1975-04-19T22:14:40,08:27:50,Tahitian,-31.5887315,1993-05-07 07:59:59,Spain,Harrisontown,$79.55,GB,2008-11-29,bc:5c:ff:8a:7b:58,li,79.924987,Asia/Rangoon
2018-02-18T01:38:59,05:16:15,Yiddish,83.559983,1986-01-02 23:42:55,Panama,North Kimberley,"$10,538.35",GB,2004-01-04,8d:49:ea:dd:be:07,fa,171.992878,Asia/Tbilisi
2005-03-19T04:37:24,22:25:05,Urdu,-76.6933075,2012-05-18 12:48:15,Jamaica,Lake Ritahaven,"$52,453.22",GB,1975-04-17,80:88:a0:87:f9:14,cmn,89.873676,Africa/Nouakchott
2014-02-15T15:34:59,17:47:45,Panjabi,-84.5168175,1977-10-23 06:03:42,Guyana,Atkinsview,$6.78,GB,1976-03-22,91:bf:94:42:7e:b0,ln,-56.346972,Africa/Douala
1978-02-24T21:35:03,09:58:28,English,15.3210655,2002-05-20 14:34:06,Finland,Williamsview,$963.62,GB,1978-01-20,ab:83:b8:8d:1e:67,it,-152.597880,America/Costa_Rica
2018-08-30T16:39:54,04:32:59,Burmese,-61.019543,2012-09-15 11:07:40,Tanzania,Greenwoodside,$32.22,GB,2019-11-27,b4:84:04:10:42:ec,ln,72.002835,Asia/Damascus
2020-07-24T00:13:45,11:28:06,Ndonga,-35.7846325,2013-11-22 13:19:23,Tunisia,Abbottshire,$1.21,GB,1973-01-25,1e:dc:9c:11:e4:30,iw,-176.449566,Europe/Sofia
1973-07-08T03:23:52,15:16:46,Swati,-69.871994,1992-02-27 12:14:37,Seychelles,Lake Shirley,"$60,339.32",GB,2001-07-16,98:2a:e5:16:57:4e,nl,-98.675068,Asia/Brunei
2002-12-05T10:28:24,16:47:50,Nepali,40.870321,1980-01-05 14:25:09,Norfolk Island,North Carole,"$4,082.92",GB,2009-04-27,b3:f3:7b:6f:42:6e,ht,77.023917,Africa/Douala
2022-08-05T20:36:48,06:45:22,Komi,-70.4563815,1973-12-08 17:50:45,United States Minor Outlying Islands,East Katherine,$7.51,GB,2022-11-17,d4:29:21:85:c8:fd,km,-1.548592,Pacific/Tarawa
2003-10-09T06:04:18,01:09:55,Zulu,-84.5837085,1998-02-13 09:43:05,Italy,East Olivia,$4.44,GB,1994-05-03,db:73:30:71:59:a4,uk,121.440413,Asia/Bishkek
1992-03-10T04:26:57,14:39:07,Welsh,13.2694165,1972-11-04 20:59:01,Romania,West Charleston,"$6,444.12",GB,1977-04-04,5b:11:4a:80:b7:59,sw,163.046484,America/Panama
1984-04-28T11:36:32,01:01:11,Gujarati,29.961920,1982-07-28 21:35:50,Ecuador,Martynmouth,"$78,022.26",GB,1981-04-10,05:9a:36:c3:ff:b3,cy,46.621837,America/Belize
2002-05-15T12:51:48,00:30:07,Bashkir,-43.420275,1977-03-11 03:05:11,Peru,Elliottview,$5.99,GB,2009-12-19,b7:79:09:af:3d:3c,ks,110.048434,Asia/Muscat
1990-01-18T08:09:38,21:35:53,Avaric,-31.594429,1990-07-03 17:17:37,Paraguay,Lake Janemouth,"$94,234.13",GB,1970-03-23,14:3e:d0:c1:a8:15,ml,91.690379,Africa/Lusaka
1982-02-14T16:11:49,10:24:30,Tonga,-6.936204,2019-08-31 16:07:04,Bahrain,North Zoehaven,"$6,336.57",GB,2017-03-10,74:61:ea:2a:f1:c0,nds,-33.900421,America/Panama
1980-10-31T23:27:31,13:08:28,Afrikaans,-55.2369035,1996-06-25 23:47:35,Puerto Rico,Austinburgh,"$6,717.45",GB,2015-07-08,8e:9c:f5:5a:0e:ef,ne,-59.187975,Africa/Sao_Tome
2022-09-13T08:39:03,03:24:15,Gaelic,-20.711765,1992-10-13 14:14:24,Honduras,East Elaine,"$7,375.09",GB,2005-08-13,89:09:66:56:39:70,bn,-105.192108,Europe/Kaliningrad
1972-06-18T21:13:44,04:56:38,Bislama,82.5423805,2003-12-16 20:40:23,Malawi,McDonaldmouth,$909.62,GB,1977-09-22,a4:83:a3:6e:8a:44,unm,-160.838214,Europe/Rome
1988-09-30T10:28:17,17:17:27,Avestan,29.916278,1989-05-27 18:46:08,Mali,New Andrewside,$48.37,GB,2014-05-14,24:40:09:63:67:8c,sl,17.221699,Europe/Dublin
1995-01-23T08:42:20,23:15:32,Luba-Katanga,-3.7305595,2022-11-06 07:33:30,Solomon Islands,Lake Michael,$5.63,GB,1974-08-07,e0:c7:07:95:00:40,be,-46.536930,Africa/Nairobi
1996-04-20T07:44:53,13:54:37,Lao,44.4552935,1979-06-15 22:55:45,Egypt,New Margaret,$3.50,GB,2012-08-10,27:89:5e:7e:c8:2c,kok,-142.579757,Asia/Manila
2004-01-30T04:48:08,05:11:52,Hiri Motu,-39.8067125,1991-03-28 06:52:22,Turks and Caicos Islands,Russellmouth,$288.93,GB,1971-06-19,42:92:0d:df:2d:cb,hu,104.757029,Africa/Monrovia
2019-10-19T14:06:59,19:03:13,Malay,2.9509735,2019-02-09 03:54:49,Japan,Brandonside,$429.22,GB,1992-12-07,dc:90:3a:09:49:78,eu,-94.638033,Pacific/Port_Moresby
2017-01-26T03:36:16,16:07:20,Kongo,-25.0609785,2015-09-16 19:34:03,Saint Kitts and Nevis,Maxport,$992.70,GB,2016-05-13,ff:e0:8d:7a:d7:c5,ff,78.379095,Europe/San_Marino
2006-03-15T21:22:23,21:51:12,Croatian,8.2906475,2001-10-02 10:39:18,Cyprus,South Geoffreychester,"$73,784.32",GB,1998-08-29,d9:44:40:91:f5:86,mi,146.360341,Europe/Istanbul
2023-08-10T05:38:17,21:23:27,Venda,-4.6302725,1971-11-22 19:50:58,Congo,New Joseph,$9.44,GB,1984-10-05,36:81:b3:bb:1e:c1,fi,164.492661,Europe/Minsk
1983-06-26T23:41:00,03:59:21,Gujarati,25.625697,1995-06-02 06:54:50,French Polynesia,Lake Josephine,$21.25,GB,1989-06-08,2c:9f:e0:14:f7:91,or,148.690783,Indian/Mahe
1997-07-21T18:17:32,21:41:04,Kashmiri,64.4262785,1970-04-23 19:35:58,South Georgia and the South Sandwich Islands,Lake Martinberg,"$4,558.47",GB,2015-01-26,bc:28:62:85:be:fa,am,-90.630534,Pacific/Apia
2002-09-13T16:32:08,20:22:56,Sanskrit,-42.333394,1972-12-28 11:43:53,Falkland Islands (Malvinas),Jemmatown,"$7,852.74",GB,1984-04-15,28:7d:4f:18:fe:74,he,-177.009643,Africa/Gaborone
1972-09-28T01:30:22,06:27:22,Wolof,80.659958,2016-05-22 12:14:09,Chad,South Rickyfort,$244.64,GB,1994-09-02,aa:ef:88:0a:38:f3,kok,-106.002899,Africa/Ndjamena
2015-01-08T22:16:18,06:12:28,Georgian,37.875081,1975-09-02 04:53:26,Comoros,Andersonmouth,"$13,414.76",GB,1983-06-21,ed:d6:77:21:bd:93,sl,0.544029,Africa/Maseru
2001-06-04T07:24:48,03:21:12,Navajo,-12.1172415,2015-02-26 19:14:08,Ukraine,East Shaunside,"$4,683.69",GB,1994-10-28,18:3c:8c:e2:f9:3c,ms,-33.370296,America/Tijuana
1999-03-15T23:01:36,19:06:07,Fulah,-9.463374,1984-07-09 01:58:49,Myanmar,Edwardsfort,$78.66,GB,2000-01-14,cd:48:61:92:a1:35,ko,-109.780479,America/Grenada
1980-01-05T04:24:45,03:08:26,Northern Sami,53.5701555,2006-06-21 01:36:08,French Southern Territories,Port Olivia,$784.14,GB,1970-11-05,b6:2a:6e:b6:f7:83,el,-39.815923,Europe/Warsaw
1975-06-22T02:15:18,18:26:32,Georgian,-18.3749635,1974-09-24 18:31:10,Switzerland,Evansfort,"$65,694.44",GB,1988-08-22,54:d6:45:6a:78:c6,kn,47.584058,Europe/Budapest
1984-02-27T15:56:16,04:17:46,Tamil,-53.3882945,1997-02-07 19:09:47,El Salvador,Melanieport,$35.93,GB,1992-06-11,72:0c:89:b9:34:a8,ia,-68.515765,Pacific/Apia
1996-09-25T23:30:22,18:19:30,Gaelic,4.5466695,1996-12-02 19:11:23,Guatemala,Port Gerald,"$13,048.60",GB,2001-06-02,c9:1c:04:92:02:44,st,-19.730593,Africa/Bangui
1981-05-23T02:55:06,14:20:31,Bosnian,-3.857645,1975-09-04 21:15:11,Cuba,New Donna,$425.50,GB,1995-02-03,b8:4e:76:28:0f:f2,ta,157.214851,Asia/Chongqing
1995-09-14T19:29:29,07:51:22,Western Frisian,-85.438475,1999-12-29 06:18:50,Bahrain,West Jacqueline,"$51,672.71",GB,1974-01-07,f7:dd:18:39:fb:e4,zh,30.973225,America/Dominica
1993-03-23T05:26:28,21:14:36,Igbo,-34.0665235,2017-10-19 12:07:27,Mexico,Wilsonchester,$64.20,GB,2002-02-11,39:54:59:e7:bc:73,ia,134.140075,Asia/Kuwait
1991-10-30T14:50:03,01:35:35,Norwegian Nynorsk,89.984361,1989-03-19 18:41:52,Sudan,North Danielleview,"$8,010.69",GB,2020-01-13,87:9a:f0:69:e1:55,vi,87.414114,Asia/Tehran
1996-09-12T17:24:26,04:20:56,Czech,-63.715919,2014-02-24 07:34:31,Palau,East Marilyn,$3.89,GB,1978-11-11,eb:b4:10:e0:7e:ba,lt,-139.994785,Asia/Manila
1972-04-09T22:15:42,22:05:20,Hindi,-41.2262305,1988-02-14 14:43:18,Heard Island and McDonald Islands,Smithfurt,"$15,930.90",GB,1999-02-13,7e:4c:58:c1:5f:c1,fy,56.052560,Europe/Zagreb
1973-05-08T19:03:03,00:12:44,Fulah,85.197817,2008-10-25 13:04:43,Australia,Gordonshire,"$1,540.05",GB,2013-11-23,6f:c1:9e:c7:f4:34,zu,173.672677,America/St_Vincent
2017-04-15T10:46:32,19:58:58,Ewe,0.847033,1983-05-24 07:26:18,United States Virgin Islands,Pattersonmouth,$654.91,GB,2013-10-31,8d:f4:a3:79:82:55,li,167.337739,Pacific/Apia
2002-04-23T10:41:29,15:39:40,Ewe,-89.319610,1982-11-28 13:22:45,Lebanon,South Raymond,$177.05,GB,2006-02-09,99:cc:5c:04:d8:fb,en,161.872950,Asia/Tbilisi
1999-02-16T02:30:16,18:06:20,Indonesian,43.5340405,2011-09-15 12:04:08,Estonia,Jasonmouth,$719.04,GB,2017-03-26,c1:6a:bc:cf:62:b0,ber,-150.857913,Asia/Seoul
1972-03-17T16:24:54,10:24:40,Hausa,26.5932195,1975-11-17 08:51:32,Poland,Russelltown,$17.72,GB,1994-07-21,39:02:b0:2b:90:6f,lb,133.325661,Pacific/Galapagos
1982-07-21T10:52:43,01:56:23,Divehi,-87.715964,2007-01-21 08:05:20,Luxembourg,Jacksonview,$53.71,GB,2002-08-01,c0:2b:d5:bd:36:74,szl,166.247667,America/St_Lucia
2018-12-20T22:56:27,15:35:25,Fulah,-65.0989835,1999-10-18 11:02:12,Cote d'Ivoire,South Shannon,"$99,938.39",GB,2011-04-24,89:14:04:d3:d6:a6,it,37.441269,America/Guatemala
1973-11-22T19:14:39,12:14:24,Sindhi,56.239654,1989-03-16 00:59:15,French Polynesia,Elliottmouth,$97.66,GB,2009-11-04,ef:e5:f4:d3:e2:bb,fa,88.599900,America/Barbados
1975-06-17T06:26:13,17:00:25,Javanese,-55.993729,1988-03-07 08:35:22,Yemen,Lake John,$880.87,GB,1989-05-23,c3:55:d9:48:1b:0d,apn,-176.804867,Africa/Maseru
2006-06-11T05:11:39,11:56:23,Pali,-85.6822715,2002-07-11 13:55:31,Lebanon,East Patricialand,$5.44,GB,2003-03-25,8f:67:0d:c2:8b:dd,de,-179.445802,Africa/Lusaka
2016-08-12T11:55:53,07:06:05,Croatian,-3.822237,1996-12-08 09:04:40,Solomon Islands,North Joshua,"$5,157.63",GB,2009-07-26,67:2b:df:16:c7:6f,ayc,-105.215383,Asia/Hovd
1990-10-06T08:40:37,17:52:17,Catalan,50.6390065,2014-03-15 22:38:23,Netherlands Antilles,East Clifford,"$57,054.66",GB,1995-10-30,6b:3f:41:00:1a:24,cs,162.057057,America/Bogota
1979-08-07T06:47:36,10:59:18,Italian,72.7839745,2009-05-04 05:47:31,Singapore,Lake Tobymouth,$80.35,GB,2010-07-31,7d:ee:a7:8e:be:f2,tn,114.285965,Africa/Khartoum
1983-03-08T02:28:11,22:38:37,Pushto,-0.6541135,2009-03-31 11:35:00,Germany,East Abigailstad,$2.07,GB,2016-06-03,f2:cc:92:ef:b5:2d,gd,-0.787688,Europe/Dublin
2004-07-28T00:19:57,15:01:39,Avaric,-10.981514,2016-07-06 02:54:24,Kyrgyz Republic,Harrietmouth,$1.67,GB,1984-03-22,73:af:4f:50:54:13,ro,-149.203386,Pacific/Tarawa
2007-03-28T18:08:29,13:17:31,Basque,32.5022985,1991-07-23 09:52:18,Kuwait,West Lindafort,"$53,311.69",GB,1970-02-20,8b:7e:cb:28:af:18,mag,-17.622640,Europe/Sofia
1971-06-03T19:41:33,01:11:23,Tibetan,70.1996325,2003-06-20 17:40:20,Portugal,East Diana,"$2,180.15",GB,1985-06-17,d7:c9:3a:d1:c6:25,tig,64.156110,Europe/Andorra
