mac_address,language_name,iso8601,file_name,hostname,bank_country,country,time,date_time,pricetag,timezone,longitude,date,city,random_number,language_code,company,latitude
fe:c4:68:ac:14:1a,Marathi,1983-05-17T08:36:45,sie.js,desktop-90.stey.de,DE,Jamaika,05:02:46,1980-05-11 23:54:56,"0,15 €",Africa/Brazzaville,53.673787,2011-03-31,Rudolstadt,41604278,bem,Walter,-29.8615885
fb:c2:b8:34:f0:63,Ojibwa,1974-12-08T19:03:30,zu.csv,email-93.karge.com,DE,Dschibuti,09:18:13,1999-08-31 06:04:13,"33.156,06 €",Asia/Saigon,-23.513048,2015-10-12,Magdeburg,984,ca,Hornich,56.7475705
36:65:11:ad:49:21,Irish,1974-02-03T15:02:01,lieb.jpeg,email-06.fechner.net,DE,Republik Moldau,17:50:24,1981-03-07 04:58:24,"99,86 €",Africa/Kigali,-47.827898,1997-11-27,Königs Wusterhausen,594,ru,Pohl,1.0874405
e6:76:5f:49:35:eb,Tatar,2007-01-08T12:11:41,Wald.avi,email-48.groettner.com,DE,Mosambik,20:58:42,1998-05-31 23:46:28,"6.206,47 €",Pacific/Fiji,-84.891889,1979-03-12,Griesbach Rottal,166,wae,Trommler e.V.,57.640480
86:27:a0:1e:3c:79,Zhuang,2012-06-12T03:01:31,fliegen.gif,laptop-70.naser.de,DE,Bulgarien,20:27:56,1990-05-02 08:19:09,"1,11 €",Europe/Vaduz,-79.669320,2006-11-29,Mayen,304007043,sw,Pieper OHG mbH,52.306346
c9:a2:9a:89:58:c1,Twi,2006-03-07T05:20:13,zu.wav,lt-01.sager.de,DE,Malawi,06:29:59,2001-07-16 08:03:48,"6.457,66 €",Pacific/Palau,-15.382602,2009-09-18,Jena,5,id,Kobelt,-67.8559385
00:67:a9:48:2e:b7,Tagalog,2014-11-14T09:19:21,Vogel.flac,lt-88.seifert.org,DE,Uganda,08:25:34,1979-11-03 06:58:13,"69.924,93 €",Asia/Kuala_Lumpur,41.504783,1981-01-20,Darmstadt,42115086,uz,Bonbach Schönland KGaA,33.9857045
d0:0f:71:aa:78:26,Amharic,1993-04-29T09:51:56,sieben.key,desktop-01.giess.com,DE,Niger,02:26:13,1991-09-03 14:51:48,"5,99 €",America/Maceio,69.697897,1994-07-16,Wunsiedel,4200037,ve,Tschentscher,44.415933
40:72:1d:4f:45:0b,Greek,1979-08-14T02:07:46,wahr.mov,db-68.pechel.com,DE,Britisches Territorium im Indischen Ozean,08:30:28,1985-01-03 20:19:56,"48.945,03 €",America/Argentina/Catamarca,-98.701913,2023-09-01,Zeulenroda,92253,unm,Dietz,-80.175838
5e:67:1d:e2:87:05,French,1973-10-14T16:22:51,sprechen.webm,laptop-76.reising.com,DE,Niger,16:01:41,1975-05-05 02:28:14,"14,97 €",Asia/Dubai,149.644093,1995-12-29,Hofgeismar,5,ckb,Junk,43.1012675
eb:cd:7d:2e:99:77,Kannada,1988-06-04T04:12:05,mögen.mp3,web-25.hein.de,DE,Spanien,12:25:07,1996-06-18 02:02:18,"57,78 €",Africa/Dar_es_Salaam,-22.306861,2017-05-19,Hainichen,650388,lb,Meister Martin KGaA,-89.761538
45:e9:0e:ad:ca:13,Latvian,1990-07-09T14:39:13,daran.mov,srv-33.schmidtke.de,DE,Vereinigte Arabische Emirate,21:40:02,1977-04-26 07:31:09,"6.109,11 €",America/La_Paz,91.732728,1982-07-28,Hagenow,103998,kw,Bruder Hauffer GmbH & Co. KGaA,59.9053915
55:5d:c2:24:2c:94,Shona,2015-09-29T11:58:22,Winter.key,email-69.ortmann.com,DE,Aruba,02:37:16,2003-07-10 10:42:05,"78.692,98 €",America/Dominica,-125.130107,2013-07-14,Greifswald,87366258,cv,Losekann Wulff AG,79.6974615
9d:0f:b4:4b:9c:8b,Amharic,1986-10-28T12:25:01,Boden.mp4,db-21.zimmer.de,DE,Slowakei,09:32:20,1975-03-18 12:30:09,"4,50 €",Europe/Riga,-34.779707,1977-10-30,Mainburg,5,lg,Rose GmbH & Co. KG,-2.8739135
61:12:d3:52:3b:61,Turkmen,1979-01-31T05:43:41,gehören.json,laptop-38.graf.org,DE,Polen,13:54:22,1993-11-11 13:03:20,"3.880,61 €",Europe/Brussels,-18.504165,1993-02-12,Parsberg,8308847,byn,Hübel Fritsch GmbH,13.352917
30:9d:da:c4:41:4a,Igbo,1970-12-26T13:26:00,Jahr.mp3,db-20.troest.de,DE,Liberia,16:54:23,2003-02-11 18:26:57,"83,03 €",Europe/Malta,-80.345393,1978-04-23,Sangerhausen,9,ne,Röhrdanz,55.7622985
e6:36:ff:f3:10:d9,Norwegian Nynorsk,2014-12-08T02:07:03,krank.flac,laptop-30.anders.com,DE,Senegal,17:16:06,1974-06-22 22:11:17,"1,26 €",Asia/Samarkand,79.070424,1990-04-14,Berlin,107920387,dz,Bruder KGaA,-68.0884755
6c:4a:38:45:31:8d,Tatar,2000-08-31T20:34:29,dein.mp4,db-23.tschentscher.de,DE,Antigua und Barbuda,14:21:05,1973-03-07 04:07:21,"4,49 €",Europe/Belgrade,130.812263,2008-02-19,Sonneberg,57636996,sk,Pruschke,8.4992055
97:5e:6b:03:29:61,Tatar,1974-10-19T03:01:45,nennen.flac,laptop-34.kaul.de,DE,Barbados,00:34:07,2009-10-06 14:42:43,"75,28 €",Asia/Gaza,-155.726851,1999-12-07,Lobenstein,943297,fo,Briemer,89.8855855
92:1a:d2:55:04:d3,Indonesian,2018-08-28T16:28:11,traurig.mp3,email-94.paffrath.de,DE,Mongolei,17:08:44,1991-05-17 21:26:41,"8,22 €",Asia/Kuwait,-37.162209,1999-08-22,Teterow,381958891,ln,Schleich,-11.1779885
75:21:fb:23:29:d2,Tajik,1991-10-17T11:54:02,auch.css,db-13.groettner.de,DE,Marokko,02:53:26,1994-05-19 18:17:39,"631,83 €",Asia/Thimphu,68.211275,2009-11-05,Malchin,477288,brx,Pohl,18.6758935
27:8a:a8:bc:c9:c5,Dzongkha,2005-11-03T11:17:11,geben.tiff,lt-05.rosemann.org,DE,Serbien und Montenegro,17:22:42,1972-10-02 13:15:50,"739,77 €",America/Belize,-167.997881,2022-04-17,Miltenberg,2,sr,Mangold,63.0012815
02:e7:44:8c:51:ab,Slovenian,2003-03-16T22:32:13,oft.json,db-61.roehrdanz.com,DE,Äußeres Ozeanien,15:04:25,1985-10-13 07:51:39,"9.137,34 €",Africa/Mbabane,170.501579,1992-07-08,Strasburg,266472512,ve,Reising Hermann AG & Co. KG,8.845291
4b:80:bf:af:6e:b9,Sardinian,1971-08-24T09:44:30,dann.jpg,srv-87.kraushaar.de,DE,Sierra Leone,08:38:16,2003-08-28 21:20:21,"3.882,37 €",America/Santiago,15.366379,2020-07-16,Staßfurt,683172324,ig,Ehlert,-16.921246
c3:5c:79:89:0f:5d,Church Slavic,1976-04-06T02:33:45,Glas.webm,lt-51.warmer.com,DE,Nigeria,10:15:08,2021-03-03 23:38:12,"47.728,27 €",Indian/Maldives,-23.575491,2016-03-27,Ebersberg,0,lv,Schulz,-50.504857
3e:e6:96:b1:a9:77,Catalan,1989-06-24T21:10:32,sitzen.html,lt-04.jockel.com,DE,Bermuda,09:01:54,1998-06-06 07:31:36,"20,41 €",America/St_Kitts,-139.586916,1972-09-09,Moers,515,ca,Fritsch Hethur KG,-42.047178
db:85:7f:63:ad:33,Romansh,2019-04-05T03:38:47,Stein.pdf,srv-70.girschner.net,DE,Island,04:00:25,1993-05-11 05:26:53,"61,51 €",Pacific/Auckland,172.760530,2010-05-13,Ingolstadt,3234818,sw,Mangold AG,-56.6333825
32:a2:83:6a:d7:01,Georgian,2017-10-12T18:20:09,antworten.png,email-21.tschentscher.org,DE,Kanada,22:12:26,1972-11-03 03:39:19,"64.261,20 €",Europe/Riga,137.738068,2008-05-17,Sonneberg,78606074,my,Ullrich Ritter GmbH & Co. KG,75.6065605
e2:87:ce:af:f8:64,Samoan,1989-05-28T01:49:27,Haus.pages,laptop-32.kranz.net,DE,Kap Verde,22:54:54,2004-01-12 00:22:32,"57.492,84 €",Africa/Ceuta,-1.768132,1972-12-27,Olpe,52,wae,Striebitz Koch II KG,-51.7877005
62:aa:75:18:16:87,Gaelic,2016-01-18T06:35:59,früher.tiff,db-43.kraushaar.com,DE,Brunei Darussalam,23:41:14,1980-12-05 05:34:05,"402,62 €",Pacific/Palau,-69.454453,1980-11-11,Diepholz,690414179,tt,Stiffel AG,30.207876
4f:2c:e1:6e:36:1d,Kalaallisut,1977-05-23T12:14:25,Zahl.js,laptop-10.hertrampf.com,DE,Kuba,17:11:25,2003-12-11 09:45:40,"1.848,90 €",Europe/Podgorica,-38.394924,1977-02-16,Dinslaken,5,cv,Gorlitz Nohlmans AG & Co. KG,-77.473464
f0:7e:73:49:e9:32,Ganda,1983-06-17T09:30:23,nennen.mp4,lt-56.mangold.net,DE,Suriname,05:46:58,2002-09-30 20:34:02,"41.607,31 €",Africa/Nairobi,79.801063,1991-12-22,Soltau,21,si,Löffler,-54.3494715
ce:28:35:89:58:75,Macedonian,1989-05-26T18:28:04,Platz.jpeg,web-92.christoph.com,DE,Palau,16:38:07,1999-01-28 16:40:42,"424,34 €",Asia/Tehran,-46.167699,2013-01-09,Parsberg,500181856,bn,Mälzer,-4.1839425
30:d5:ce:7c:d0:1f,Quechua,1995-09-06T03:17:32,Woche.jpg,desktop-46.fechner.net,DE,San Marino,14:44:53,2004-03-27 14:41:36,"0,69 €",Asia/Nicosia,37.409783,1977-03-16,Kamenz,73405643,ia,Gertz GmbH,81.6637665
9d:5e:e3:0f:28:b7,Pushto,1995-11-08T22:52:04,Wald.avi,web-58.mende.de,DE,Gambia,17:37:28,1974-09-14 14:32:33,"85.294,94 €",Asia/Yerevan,9.268528,2013-06-27,Saulgau,78,mi,Becker AG,-52.664284
d1:27:c3:8b:7b:52,Yoruba,2000-04-10T02:24:41,laufen.flac,email-51.butte.de,DE,Belgien,02:52:09,2012-12-20 14:47:05,"19,04 €",Europe/San_Marino,62.102285,2017-05-29,Aue,538242395,wa,Kobelt GmbH,-46.3870905
79:b1:5d:98:2d:b4,Chechen,1989-12-04T16:14:16,jeder.jpeg,laptop-24.jaentsch.com,DE,Senegal,23:14:15,2012-07-22 14:57:00,"4.796,06 €",Asia/Yerevan,120.873215,1998-06-22,Gerolzhofen,5641863,fa,Krebs AG & Co. KGaA,26.8803655
2b:f6:3f:59:fd:1e,Russian,2011-10-15T10:24:02,Loch.avi,db-48.franke.net,DE,Vereinigtes Königreich,19:29:59,1997-11-06 04:30:33,"1,91 €",Pacific/Tongatapu,-132.592560,2003-08-17,Bernburg,40519,byn,Bien GmbH,-1.902561
79:cc:d4:69:bb:e1,Georgian,2021-03-01T18:54:28,Minutenmir.avi,lt-86.schottin.com,DE,Paraguay,05:18:18,2014-04-02 08:52:50,"11.656,26 €",Africa/Banjul,58.884463,1979-07-24,Neuruppin,1039,af,Trapp,-18.676376
f6:11:65:c6:94:7c,Tagalog,1988-02-20T06:53:13,los.webm,email-86.weller.org,DE,Turks- und Caicosinseln,09:31:53,1974-12-07 22:10:22,"3.287,00 €",Europe/Vatican,-177.264101,1980-08-05,Bad Liebenwerda,166317427,az,Mülichen,-88.0887225
e2:e0:6c:3a:89:d7,Vietnamese,2002-09-27T14:11:21,letzte.numbers,lt-00.reuter.com,DE,Armenien,18:38:10,1983-08-20 18:19:30,"461,81 €",Europe/Tirane,-28.471051,1988-03-24,Badibling,67,en,Meister,47.037971
d7:7e:0b:ff:4e:48,Sardinian,2021-03-24T09:52:12,versuchen.mov,web-65.christoph.net,DE,St. Vincent und die Grenadinen,04:09:56,1973-09-08 14:51:40,"5.045,77 €",Asia/Bahrain,126.398818,1993-02-07,Hildburghausen,9808,xh,Weitzel,24.161437
ff:db:04:6b:a9:ab,Tahitian,1983-04-13T15:25:33,andere.css,lt-42.kaester.com,DE,Niue,09:24:34,2009-04-24 13:35:48,"39.226,16 €",Africa/Maputo,-146.760089,1995-04-02,Uffenheim,72301,lij,Thies,17.426644
56:43:06:92:23:7c,Norwegian,2004-05-08T01:05:59,Fuß.mov,email-22.oderwald.de,DE,Südgeorgien und die Südlichen Sandwichinseln,13:13:46,1975-10-05 22:37:55,"83,80 €",Asia/Damascus,-45.814751,1981-12-24,Wertingen,2322,yi,Scholl Winkler AG,-66.6960545
9c:c7:8f:6d:43:99,Dzongkha,2021-09-04T06:02:56,Stadt.pdf,laptop-91.schulz.com,DE,Alandinseln,11:01:46,2000-08-31 22:47:02,"32.534,76 €",Pacific/Guadalcanal,-129.292272,1974-12-09,Bremervörde,980,id,Ring,35.1270965
ba:1c:96:f8:d7:c6,Bihari languages,1976-12-11T13:48:58,beim.wav,email-61.radisch.com,DE,Griechenland,17:55:52,2004-11-07 02:12:03,"72.458,69 €",America/Managua,96.049058,2003-07-05,Oranienburg,76282,ro,Walter Stiftung & Co. KG,-24.9382015
30:81:e8:56:e1:2a,Turkmen,1999-03-19T04:17:03,Freude.js,laptop-38.wohlgemut.de,DE,Sambia,01:37:54,1988-10-14 23:37:29,"7,52 €",Asia/Kuching,-154.257002,2000-09-22,Lübeck,7,ce,Scheuermann KG,45.195160
14:2e:23:af:01:f2,Romansh,2002-11-17T16:11:15,verlieren.tiff,db-80.pruschke.de,DE,Kap Verde,12:11:47,2003-11-08 20:48:35,"200,14 €",Europe/Malta,24.983394,1976-01-14,Siegen,52,sd,Baum GmbH & Co. KG,-78.077978
a5:c1:e7:f8:c8:68,Estonian,1974-12-07T02:19:36,wird.key,desktop-69.ruppert.com,DE,Nepal,17:27:48,1974-08-07 15:45:27,"79,61 €",Europe/Monaco,-177.974303,2007-05-24,Havelberg,75,ik,Martin,-54.153327
35:10:c3:96:3d:d4,Chechen,1989-09-22T14:55:33,schlafen.js,srv-63.beyer.org,DE,Réunion,09:34:15,2003-03-09 23:28:59,"52.620,37 €",Europe/Bratislava,-143.191985,1988-12-15,Neu-Ulm,976195,ber,Schönland,14.705164
62:65:a3:9a:c8:70,Swahili,1999-09-25T11:11:18,dazu.wav,lt-60.pieper.org,DE,Myanmar,21:37:57,2011-05-10 14:57:47,"72,24 €",Europe/Stockholm,173.350698,2022-07-14,Erbisdorf,9,wo,Wernecke,-53.760857
a9:1f:5d:d6:c2:77,Afar,2005-11-12T21:21:29,Haus.jpeg,email-13.renner.com,DE,Äußeres Ozeanien,15:17:24,1991-11-27 14:15:44,"585,82 €",America/Guyana,81.853865,2016-10-11,Duderstadt,567284026,he,Austermühle OHG mbH,-55.179939
d8:20:bf:ff:75:ec,Bulgarian,2000-04-12T13:42:12,ist.pptx,email-40.bruder.net,DE,Kap Verde,06:37:23,2006-10-18 22:03:32,"58,98 €",Indian/Maldives,-20.526231,1994-06-15,Burg,6474,oc,Radisch,-10.8446515
a5:bc:b6:ca:1b:3a,Albanian,1987-02-01T18:34:43,beim.wav,lt-66.cichorius.com,DE,Ghana,21:18:56,1994-03-07 00:44:23,"3.722,77 €",America/Belize,-54.810202,2014-03-09,Altötting,50016441,hr,Dobes,-49.103814
ba:f6:9c:d6:07:42,Occitan,1985-09-10T18:20:12,blau.html,web-54.fritsch.net,DE,Brunei Darussalam,01:54:46,1989-11-13 22:12:38,"4,60 €",Europe/Budapest,-87.777362,1994-11-07,Jüterbog,53331516,wae,Segebahn AG & Co. KGaA,-54.2411575
77:42:b7:3f:7c:16,Portuguese,2009-05-06T09:04:48,gibt.pptx,lt-89.bolander.de,DE,Costa Rica,14:46:11,2019-12-31 03:10:28,"3,70 €",Europe/Vaduz,148.951139,1983-02-10,Saulgau,327361,nan,Jockel GmbH & Co. KGaA,-81.4670205
74:92:af:35:c8:ff,Croatian,2023-01-01T22:25:11,kein.jpeg,laptop-74.sager.org,DE,Liechtenstein,23:52:40,2018-03-10 20:10:36,"293,55 €",Pacific/Palau,-85.844943,2014-04-24,Ueckermünde,86,sk,Reuter,42.8416515
42:ad:ad:19:76:d7,Zulu,2003-08-20T04:50:23,Lehrer.html,srv-69.hornig.de,DE,Litauen,10:07:00,2011-08-30 23:24:26,"7.948,13 €",Africa/Accra,154.953382,1992-10-01,Cottbus,3181453,gl,Stadelmann,-88.1137895
07:eb:e9:32:eb:f1,Serbian,2000-01-18T11:13:19,es.key,email-05.koch.de,DE,Turkmenistan,10:48:22,1984-10-07 14:46:36,"20,21 €",Europe/Belgrade,-117.933882,1973-08-07,Sankt Goarshausen,77899389,fo,Eigenwillig Schmidtke GmbH & Co. OHG,16.5125995
b2:a9:70:a0:da:4f,Lingala,2000-12-20T06:52:08,ist.webm,web-06.briemer.org,DE,Burundi,17:23:15,1982-03-14 14:42:08,"390,47 €",Asia/Yerevan,142.585862,1986-12-06,Augsburg,3759238,kl,Röhricht Albers AG,78.9388585
9a:7b:c9:70:73:c0,Sindhi,2021-11-10T01:33:32,neu.pdf,srv-57.pechel.de,DE,Guinea-Bissau,12:11:59,1976-05-24 02:19:39,"92,58 €",Indian/Mauritius,5.632014,1982-02-27,Eutin,28823673,az,Geisel Kusch Stiftung & Co. KG,29.2880365
4a:cc:a6:3e:0b:7b,Wolof,1976-04-06T14:48:16,Hand.mp4,srv-86.geisel.de,DE,Marshallinseln,04:17:06,1991-09-18 20:20:47,"105,17 €",Asia/Aqtau,53.076136,1979-04-23,Weimar,11107291,tg,Pruschke Hettner AG,82.3314205
82:37:06:c8:4f:c4,Komi,1982-03-29T20:31:31,versuchen.xlsx,db-07.kuehnert.de,DE,Angola,10:00:41,2012-12-22 04:55:49,"94,49 €",Europe/Minsk,49.162817,1972-02-15,Marienberg,8,lzh,Söding Geißler GmbH & Co. KG,47.393909
3d:7d:63:47:89:55,Tahitian,1981-02-04T20:21:26,Hund.flac,desktop-17.preiss.de,DE,Monaco,02:49:22,1984-07-20 05:28:50,"84.573,96 €",Pacific/Efate,-51.392085,2023-05-08,Hettstedt,937,el,Siering,65.6954095
fe:6c:8c:cf:ca:9b,Romanian,1974-03-12T22:31:01,nicht.webm,desktop-10.schoenland.net,DE,Kokosinseln,17:51:44,1970-05-20 12:29:17,"473,92 €",Australia/Hobart,-147.868623,1978-10-04,Germersheim,71153,tk,Kallert GmbH & Co. OHG,15.7063655
7f:36:06:91:e7:d1,Indonesian,2003-12-08T20:56:58,nein.txt,db-14.hesse.de,DE,Mosambik,10:25:04,2008-06-11 04:25:46,"0,34 €",Asia/Hovd,10.733906,1986-12-16,Saarbrücken,94903729,raj,Wagenknecht,19.946705
6e:aa:d9:54:c0:c2,Venda,1972-10-04T15:05:35,bis.csv,lt-20.wieloch.org,DE,Litauen,18:15:56,1983-10-16 05:37:08,"7,72 €",Africa/Algiers,-151.681870,1981-05-06,Bautzen,5,fa,Mende AG,-51.9107365
8c:3e:29:e7:8f:74,Albanian,2012-09-02T22:02:01,hinein.avi,desktop-10.margraf.com,DE,Taiwan,21:37:39,1996-07-09 10:50:11,"67.773,19 €",America/Grenada,171.837478,1986-10-20,Main-Höchst,49,pap,Reuter AG,38.780721
2d:07:60:35:7a:a3,Slovak,1982-09-21T03:32:21,natürlich.html,lt-26.zorbach.de,DE,Burkina Faso,11:06:34,1980-11-26 12:39:16,"5.117,81 €",Africa/Gaborone,-34.759108,2013-10-05,Mittweida,790884,de,Säuberlich Sauer AG,-63.5679755
b0:ca:e4:bb:75:9f,Chamorro,2023-07-05T12:15:44,sie.webm,web-33.henschel.org,DE,Lettland,04:52:52,1976-04-11 14:19:38,"2.147,98 €",Pacific/Apia,-148.518526,1986-06-08,Northeim,8,ga,Paffrath GmbH,51.1708645
58:c9:75:6c:d3:9b,Korean,2012-11-26T14:31:57,Wagen.docx,desktop-47.haering.com,DE,Bhutan,04:35:11,1979-02-01 23:54:33,"581,93 €",Asia/Tehran,163.995539,1989-05-27,Senftenberg,7670,mt,Otto Wiek GmbH & Co. KG,-78.1130025
2b:90:b8:fc:97:64,Kirghiz,1991-12-21T15:12:06,ob.csv,laptop-25.eimer.de,DE,Tuvalu,08:30:58,1975-03-12 21:58:59,"96,55 €",Africa/Gaborone,127.446441,2013-08-21,Magdeburg,102,mag,Hövel GmbH & Co. OHG,76.420746
6d:08:88:0a:18:7c,Quechua,1985-11-06T17:05:34,am.xlsx,web-26.wesack.com,DE,Vereinigtes Königreich,16:54:59,2001-10-27 19:22:13,"53.012,06 €",Asia/Dubai,83.576684,1982-06-14,Waren,57119,bg,Bruder,-39.525639
82:26:18:6d:58:d6,Kurdish,2010-07-10T20:54:02,jetzt.mp4,desktop-24.segebahn.de,DE,Costa Rica,16:15:38,2005-09-01 16:32:49,"94,09 €",Pacific/Majuro,-1.545688,2020-12-21,Ludwigsburg,8902566,bo,Höfig AG & Co. OHG,-51.067876
24:0f:97:f2:e7:74,Tagalog,2022-09-02T11:05:36,heute.json,laptop-02.klemt.org,DE,Oman,13:43:09,1977-05-24 08:39:59,"414,31 €",Europe/Vienna,-89.558972,1972-02-04,Lübben,56400435,bg,Gröttner GbR,77.690277
0e:95:d0:9d:9e:58,Northern Sami,1990-01-06T17:35:49,leise.wav,db-48.scheel.de,DE,Luxemburg,12:13:48,1992-04-08 01:28:39,"70,59 €",Atlantic/Cape_Verde,101.487514,2010-02-01,Döbeln,80,se,Trüb AG,34.868687
91:f1:80:a6:a8:46,Swati,2019-10-16T22:38:09,durch.jpeg,web-84.conradi.de,DE,Russische Föderation,16:26:15,2003-08-01 10:00:30,"60,53 €",Europe/Lisbon,-40.526314,1996-02-15,Marktheidenfeld,40,fo,Jessel,88.303925
99:67:bf:b6:c1:cb,Kuanyama,2001-02-04T20:46:33,sechs.mp4,db-28.jacobi.net,DE,Pakistan,14:35:09,1972-12-06 15:33:30,"27,58 €",Asia/Calcutta,71.275077,2016-08-30,Beilngries,40182,ms,Kitzmann,80.9779765
48:de:a3:8c:78:f6,Chichewa,1976-05-02T02:04:42,Bein.pdf,laptop-49.gude.com,DE,Kambodscha,05:56:39,2020-07-16 15:31:42,"458,33 €",Asia/Aden,-63.357500,1985-10-03,Oschatz,2356,fo,Kreusel,-23.5966275
43:b7:de:1b:fd:c0,Hungarian,1988-10-18T23:28:53,nicht.json,desktop-61.meister.net,DE,Israel,19:32:49,1986-10-20 18:24:38,"59,87 €",America/Santo_Domingo,146.971866,1988-01-11,Greifswald,2235736,mi,Haase Junk KG,57.539364
a4:76:5d:3a:d3:89,Greek,1980-02-09T15:05:33,Katze.jpg,email-81.wieloch.com,DE,Britisches Territorium im Indischen Ozean,18:16:47,1991-07-08 06:43:59,"98.847,32 €",America/Guatemala,32.139451,2018-06-07,Sankt Goarshausen,42,mg,Austermühle GmbH,-52.560677
c2:5a:bd:d0:5a:98,Armenian,1978-08-05T20:47:13,fliegen.wav,db-34.rohleder.com,DE,Afghanistan,23:20:34,2019-09-06 08:42:29,"84,61 €",Europe/Athens,-49.181438,2016-11-05,Lübeck,3799,so,Bohnbach,30.3652625
3b:21:f4:ef:78:9b,Malayalam,1990-03-25T00:15:56,Herr.png,srv-83.ebert.de,DE,Saudi-Arabien,17:22:38,1988-01-04 16:53:45,"497,18 €",Asia/Baku,124.370236,1989-01-17,Tübingen,210,rw,Austermühle,77.563212
01:c1:ff:4b:f1:65,"Sotho, Southern",2021-04-17T14:49:38,wer.mp3,email-87.losekann.com,DE,Liberia,16:57:30,1995-05-23 09:06:40,"22.404,59 €",Asia/Chongqing,-71.926224,2002-04-18,Teterow,634,tcy,Rose AG,-56.9271595
6a:e6:7e:8c:65:2c,Turkish,2007-10-18T13:45:25,böse.mp3,lt-61.reichmann.de,DE,Vatikanstadt,21:08:46,2000-05-06 00:15:10,"72,56 €",Indian/Mahe,149.508316,1970-09-27,Jena,37,aa,Schäfer,43.636311
58:de:64:11:74:9d,Ossetian,1981-08-08T08:22:55,gelb.wav,desktop-48.doerr.net,DE,Frankreich,07:27:32,2021-10-08 23:46:46,"5.212,15 €",Asia/Colombo,78.946628,1973-12-23,Stade,111,es,Säuberlich,80.7853925
31:ab:3b:63:bd:ea,Telugu,2018-09-12T16:11:14,trinken.wav,db-47.junken.net,DE,Montenegro,04:07:37,1992-03-13 03:16:23,"61.865,12 €",Asia/Seoul,39.343092,1994-06-14,Bischofswerda,4,hak,Rörricht AG,4.955188
76:92:7c:cb:d2:fd,Northern Sami,2018-09-23T03:02:21,krank.csv,email-37.hess.de,DE,Belarus,16:53:53,1983-03-27 15:06:58,"23.345,89 €",Asia/Rangoon,30.122695,1991-02-18,Hansestadttralsund,887,tig,Juncken Hornich AG & Co. KG,10.2256595
f0:62:30:a0:f0:d0,Abkhazian,2005-11-27T18:25:12,danach.txt,srv-31.sager.de,DE,Iran,04:39:01,2008-04-04 06:03:45,"28.163,92 €",Europe/San_Marino,86.628201,2011-11-05,Meppen,65,lij,Zänker Pergande AG,-16.0400575
