latitude,mac_address,company,pricetag,language_name,date,hostname,country,random_number,language_code,longitude,city,iso8601,date_time,timezone,bank_country
-42.2594355,39:97:64:4d:a7:c3,Bradley LLC,"$80,747.10",Polish,2006-10-16,web-46.wood-clark.com,Lesotho,55,af,-66.918466,Julianmouth,2005-08-18T04:04:40,1972-11-20 22:57:24,Africa/Windhoek,GB
-0.116071,6d:7e:17:8d:fc:5d,Smith LLC,"$82,900.79",Tigrinya,2014-12-05,laptop-96.roberts-miller.info,Saint Pierre and Miquelon,1810430,gez,78.668430,Barnettland,2020-03-06T21:53:29,2013-02-21 10:36:30,Europe/Minsk,GB
64.6923045,5e:d1:c5:e7:a9:94,Reed-Johnson,$71.14,Inuktitut,1976-08-18,srv-42.warren.org,Lebanon,205,cy,-92.208665,Lake Alexander,1971-02-06T19:12:02,1974-07-23 06:57:28,Asia/Saigon,GB
56.1132115,95:9d:fa:a9:75:f0,Dean Inc,"$3,229.92",Yiddish,1973-10-16,desktop-19.gray-robinson.com,Saint Helena,38324,tt,90.928271,West Natalieburgh,2013-07-07T17:23:19,2019-11-18 22:43:36,Europe/Amsterdam,GB
67.9158365,34:9a:dd:f1:dd:1c,Murphy-Smith,$18.67,Xhosa,1981-11-02,desktop-45.crawford.org,Tunisia,1967,af,16.485347,North Teresaton,1992-12-08T12:26:08,1996-09-22 03:56:04,Africa/Bangui,GB
41.8506005,2f:3d:77:03:f0:91,Bray Group,"$46,257.70",Arabic,2018-03-03,email-60.smith-pritchard.com,Kenya,28299870,unm,44.764633,Victorberg,2004-08-31T01:07:28,2017-04-25 18:04:13,Europe/Tirane,GB
42.237285,67:7b:e8:bf:bd:cd,"Abbott, Pearson and Smith",$6.24,Amharic,2010-04-20,db-94.bennett.com,Spain,600380584,ml,148.861010,Carpentershire,2012-06-20T22:09:59,2005-03-01 18:41:06,Asia/Gaza,GB
27.772630,72:24:58:47:c3:c6,"Spencer, Rogers and Akhtar","$4,749.51",Turkish,1985-02-24,srv-72.simmons.com,Kenya,50,kk,96.238395,East Lesley,2009-08-30T02:06:58,1976-02-25 02:13:44,Asia/Dhaka,GB
23.1368895,c3:ac:02:a9:b8:5e,"Hayes, Tomlinson and Simpson","$2,452.32",Tonga,1975-12-28,desktop-03.young-james.com,Congo,300804,cmn,-61.341707,West Jordanland,1986-07-05T22:39:42,2016-10-16 07:15:00,Africa/Harare,GB
-43.1548375,4e:3c:ca:ea:a8:a5,Mitchell-Mitchell,$24.11,Aymara,2009-10-26,srv-09.atkins.net,Cambodia,939824574,brx,-41.389403,North Ross,2019-07-08T00:39:16,1992-10-04 05:09:54,Europe/Luxembourg,GB
-88.414912,4b:93:29:21:27:e9,"Jordan, Naylor and Payne","$93,177.39",Amharic,1985-05-08,laptop-25.rees-hicks.com,Macao,22845499,om,92.405442,New Pamela,2012-01-01T17:04:22,1977-12-19 11:01:49,Europe/Belgrade,GB
-57.5374665,53:ce:61:fa:7e:71,"Brown, Watson and Collins","$3,680.70",Hebrew,1985-02-15,desktop-30.sheppard.com,Gabon,1671,niu,-17.285690,Wilsonton,2011-08-20T04:21:13,2022-06-16 05:35:26,Europe/Sarajevo,GB
-61.5100735,02:7a:0f:4c:ec:d0,"Davis, Hunter and Palmer","$39,025.73",Kirghiz,1990-09-07,web-70.dickinson.com,Palestinian Territory,81,ast,31.310777,West Yvonneside,1971-04-12T06:58:05,1983-07-23 19:14:58,Europe/Rome,GB
31.1726175,9e:04:62:ee:f5:e5,Richardson Group,"$9,641.66",Korean,1972-09-19,db-08.price.co.uk,Norfolk Island,9275,gez,93.650737,Jacobmouth,2009-01-14T14:21:37,1972-07-09 12:14:32,Europe/Tirane,GB
-17.641557,e9:af:2e:5c:a7:18,Davies-Griffiths,"$8,946.88",Faroese,1978-06-08,db-50.berry.com,Monaco,639361,ps,111.602374,Joannaport,1991-09-17T14:41:13,2006-03-30 07:03:07,Africa/Ndjamena,GB
10.868729,86:2c:11:b6:4b:7c,Byrne and Sons,$42.90,Tatar,1989-05-12,srv-70.lee.com,Azerbaijan,7203856,cy,-157.791714,East Janet,2022-05-26T20:15:15,1973-12-03 21:40:48,America/Campo_Grande,GB
82.311062,59:f3:ad:8a:46:fb,Wilson-Douglas,"$8,065.15",Tigrinya,2009-04-13,db-80.fitzgerald.biz,Palau,6349,gu,-1.785153,Elizabethside,1995-12-14T04:50:55,1977-03-15 13:13:11,Pacific/Nauru,GB
-20.411882,18:19:d6:82:07:2a,Taylor Group,$1.41,Divehi,2008-01-13,db-83.lewis.com,Bouvet Island (Bouvetoya),331,bs,60.349395,New Allanfort,1994-02-15T13:28:41,1989-11-05 06:35:00,Asia/Dhaka,GB
-67.5482495,be:73:ac:82:6c:e7,Lee LLC,"$3,900.30",Fulah,1982-07-19,laptop-36.king-taylor.co.uk,Azerbaijan,172811082,hi,-27.378834,West Michaelberg,2004-06-27T15:12:28,1990-03-10 05:14:30,Asia/Phnom_Penh,GB
62.751098,b4:a3:ba:77:81:fb,Arnold LLC,$733.08,Greek,1985-10-14,email-72.spencer-hardy.co.uk,Anguilla,181616757,id,-127.462128,New Lauren,1983-11-01T07:14:43,1995-03-19 04:43:38,Europe/Chisinau,GB
86.1457355,e0:f5:a0:8e:37:d4,Gill Group,"$11,018.68",Turkish,1990-01-02,laptop-18.smith.biz,Honduras,89478,rw,75.927334,South Kirstyshire,2007-03-23T07:55:17,2015-06-22 16:37:57,Africa/Sao_Tome,GB
60.9947725,8d:ca:e4:87:7f:b5,Green-Ahmed,$30.39,Igbo,1973-07-18,desktop-63.begum-stokes.co.uk,Congo,16143,iu,17.550456,Port Marcus,1979-02-04T16:14:59,2011-11-22 08:25:59,Europe/Andorra,GB
-34.448751,c4:c9:f7:82:8a:0b,Patel LLC,$92.85,Swati,1976-10-17,laptop-32.goddard.net,Tonga,456943983,sk,155.871599,Smithbury,2005-05-13T07:25:02,2021-11-12 01:08:51,Pacific/Truk,GB
-63.4217755,bc:55:65:34:97:df,"Grant, Moore and Hughes",$761.24,Northern Sami,2014-01-20,srv-63.smith.net,Cambodia,262369,lt,144.735790,Jennaton,1970-01-04T03:40:22,1982-07-27 15:34:18,Pacific/Apia,GB
-2.180670,ff:09:16:34:f6:ef,Ashton-Bentley,$85.18,Tsonga,1993-06-30,laptop-73.kelly-swift.com,Lesotho,66553242,os,7.990684,Junechester,1985-09-09T10:54:42,1985-05-03 13:56:07,Europe/Stockholm,GB
4.909799,9e:70:e4:0f:ab:d0,Little Ltd,$23.50,Tagalog,1970-11-17,desktop-80.ellis.com,Timor-Leste,8152,shs,-141.054216,West Rosie,2022-11-11T14:04:11,1988-01-01 05:17:55,Europe/Luxembourg,GB
25.203738,43:48:5b:03:50:a8,Baker-Price,"$24,239.40",Tajik,1988-12-10,srv-72.miller.com,Tuvalu,851707980,an,-57.765346,Lisashire,1993-10-04T08:09:32,2008-05-14 13:19:07,Europe/Prague,GB
36.072127,c1:c6:34:65:4a:1e,May-Lucas,"$49,445.85",Albanian,1988-07-19,db-00.brooks-richards.com,Nauru,20856,hsb,27.368103,Bakerhaven,1970-04-16T08:33:32,2022-03-14 09:31:44,Africa/Asmera,GB
-11.579731,d3:a9:a7:4f:48:f3,Marsden-Jones,$14.11,Igbo,2004-06-02,email-06.taylor.org,Guyana,97675913,da,-2.321968,East Karlland,1979-04-06T18:19:20,1977-01-23 16:28:24,Pacific/Fiji,GB
63.0455685,f7:7d:24:e1:9f:4c,Hammond-Davis,$918.59,Inuktitut,1973-06-29,laptop-15.smith.net,Saint Pierre and Miquelon,88,yi,95.777180,Jennifertown,2021-03-19T08:15:02,1992-01-26 12:27:14,America/Barbados,GB
-54.155945,d1:8b:d7:16:8f:59,White-Evans,$211.70,Haitian,2009-08-20,lt-10.nicholson-wood.com,Mongolia,103073,ml,49.622395,Annetteview,2018-06-03T19:28:08,1970-05-15 12:26:02,Asia/Seoul,GB
29.431936,7e:06:3b:0b:d8:aa,Parkinson and Sons,$239.77,Kinyarwanda,1999-09-08,web-61.kelly.com,Sudan,69614787,kl,-85.556061,Singhberg,2020-02-05T05:23:25,2021-11-15 23:21:50,Africa/Bissau,GB
16.174727,d1:58:05:62:cb:fc,Harvey Ltd,"$42,229.65",Amharic,1994-09-28,email-43.elliott.net,Bermuda,5501,ks,-168.969456,West Iainview,2004-06-05T09:54:06,1985-03-20 17:08:12,America/Havana,GB
-40.8217915,d9:65:3a:41:7b:5f,"Connolly, Richardson and Carr",$346.10,Ukrainian,1975-06-29,srv-24.spencer.com,Reunion,2121,pl,20.554106,North Beth,1994-01-15T09:25:49,2008-02-15 08:01:44,Asia/Phnom_Penh,GB
76.717094,f3:c4:42:56:9c:16,Thomas-Smith,"$9,252.45",Bislama,1998-03-01,web-16.davies-clarke.biz,Maldives,1839404,sd,130.842713,West Bethfort,1994-02-13T15:26:14,1976-03-02 19:33:42,Africa/Bangui,GB
-85.6619675,43:81:16:e2:1a:39,Hall LLC,$97.99,Azerbaijani,2014-07-06,desktop-82.ford.info,Libyan Arab Jamahiriya,435,sq,-18.885302,New Valerie,1994-02-04T20:14:18,1972-03-11 11:49:14,Europe/Brussels,GB
-51.715903,cd:93:20:70:1f:33,"Miles, Mahmood and Hussain","$5,554.01",Northern Sami,1998-09-28,desktop-85.smith.biz,Angola,451936,sv,-7.803783,Webbshire,1994-09-19T17:38:09,2016-06-16 09:35:22,Africa/Libreville,GB
28.594976,95:77:2d:3c:e0:71,"Fowler, Morgan and Gibson","$8,809.61",Romanian,1986-06-19,laptop-45.winter.co.uk,Sao Tome and Principe,7451058,th,-86.360873,Leeberg,1991-12-14T23:37:27,2007-03-08 12:13:17,Europe/Warsaw,GB
-57.817394,1f:e8:b6:f7:66:b7,Palmer-Barton,$31.97,Macedonian,1971-06-27,laptop-32.humphreys.biz,San Marino,84353,lt,-43.134754,Lake Reeceville,1990-05-21T01:40:12,1989-09-23 14:51:10,Asia/Seoul,GB
82.440365,b0:c7:23:b8:e1:07,"Hussain, Powell and Davis",$56.01,Tswana,2012-07-30,web-63.palmer.com,Finland,414,br,70.498734,Berryton,2003-03-23T22:40:02,1994-06-21 06:52:24,Pacific/Tongatapu,GB
34.7345345,ce:bc:84:f7:c2:5a,"Woods, Newman and Kay","$21,853.11",Luxembourgish,1985-11-17,email-60.myers-connolly.co.uk,Liechtenstein,697522,el,-23.825454,North Mauriceberg,1970-08-05T14:18:32,1992-04-14 14:23:33,Asia/Karachi,GB
87.001090,74:ca:cd:2a:06:14,"Martin, Ali and Collins","$8,126.27",Kalaallisut,2004-06-13,email-86.pope.biz,Libyan Arab Jamahiriya,4717468,ik,64.919976,Lake Helenfort,2011-08-05T03:08:14,2000-12-13 05:02:10,Australia/Lord_Howe,GB
-47.425887,79:6a:b9:ad:ef:c5,Clarke-White,$869.18,French,1981-02-26,laptop-13.richards-steele.com,British Virgin Islands,703,ht,-114.783655,Port Dennis,2008-02-10T08:41:05,2017-07-30 10:40:05,America/Havana,GB
-22.503124,b6:cd:2c:4f:f2:f9,"Bradshaw, Wood and Shaw","$6,271.42",Gaelic,1971-04-29,desktop-26.anderson.biz,Netherlands,575,wal,-157.030066,East Terryview,2001-03-03T16:27:57,1986-01-31 01:37:38,Europe/London,GB
29.7981985,56:5f:6e:e9:a3:f2,"Garner, Owen and Kirby","$55,274.82",Basque,1971-06-12,desktop-52.phillips.com,Saudi Arabia,7437760,mi,-66.915711,Port Adrianburgh,1970-12-10T01:30:51,1988-04-16 22:36:49,Asia/Jerusalem,GB
-75.3819285,0d:86:cf:d9:64:32,"Jenkins, Thomas and Dobson","$96,114.64",Ganda,1974-03-14,laptop-05.bailey.com,Northern Mariana Islands,3365,el,-77.155504,Glentown,1990-12-16T22:31:32,1993-03-28 15:31:17,Pacific/Palau,GB
73.197441,67:51:91:1b:2a:33,Ali-Fox,$839.91,Walloon,1976-01-27,desktop-11.baker.com,Costa Rica,35487,li,-162.136934,Mollytown,2012-07-18T01:44:21,2016-03-15 00:06:54,Asia/Baku,GB
-68.6534705,b6:72:5f:c4:a2:77,Frost Inc,"$3,452.06",Armenian,1986-05-29,srv-94.bartlett.info,Cyprus,8,doi,124.535030,Thomasside,1980-07-12T09:00:43,1989-05-06 23:48:55,Africa/Asmera,GB
79.179135,0b:77:c8:d3:03:92,King-Patel,"$31,328.29",Inupiaq,2003-03-05,db-46.smith.com,Afghanistan,1672596,uz,14.581564,Akhtarside,1977-08-09T03:21:51,1998-03-19 13:19:35,Asia/Pontianak,GB
77.5066065,f6:b0:b9:ba:a0:e7,Brown Group,$66.34,Gaelic,1984-01-12,db-29.clark-booth.co.uk,Malta,2,mk,-173.566961,West Bethany,1983-08-29T15:40:40,2020-10-05 21:53:24,Pacific/Apia,GB
-25.0525075,5f:eb:22:fc:f6:43,Sinclair PLC,"$10,284.13",Sanskrit,1974-08-21,lt-66.spencer.co.uk,Sudan,700788,dv,-152.056988,Simpsonbury,2023-06-15T08:17:08,1977-09-25 11:36:33,Africa/Libreville,GB
77.507601,83:f1:35:2a:3c:7e,Parkes-Thompson,$0.83,Afar,1986-06-18,laptop-35.simpson.info,Bouvet Island (Bouvetoya),89698,an,-64.551081,Johnsonville,1998-04-15T11:43:36,2014-05-23 20:14:37,America/Guyana,GB
66.697792,94:29:e0:a7:a9:44,"Moran, Clarke and Jones","$3,077.18",Tajik,2023-06-03,srv-07.smith.com,United Kingdom,6227,cy,127.763024,Westmouth,1989-12-28T03:13:52,1999-06-22 08:35:15,Europe/Vienna,GB
33.840335,df:bc:32:29:41:5a,"Whitehead, Yates and Martin","$8,965.80",Maltese,1988-04-14,email-23.skinner-jones.info,Martinique,133717990,tn,70.427679,Janebury,1979-10-18T08:50:28,1994-08-28 21:40:10,Africa/Lagos,GB
-71.079282,b8:35:cd:60:4f:e6,Khan Inc,"$74,909.08",Portuguese,2017-01-28,web-80.hughes.biz,Iraq,731653,ky,47.238058,Lake Kevinfurt,2002-09-09T00:55:24,1970-08-31 17:43:35,Europe/Zagreb,GB
53.758159,da:16:62:cf:91:93,Bennett PLC,"$7,588.09",Greek,2017-10-21,srv-06.summers.com,Ghana,42372000,lzh,-98.885934,West Ellie,2021-01-21T11:59:44,1975-05-13 13:14:02,Europe/Brussels,GB
-46.256248,a7:6e:7e:10:18:b9,Stone PLC,$24.54,Kashmiri,1976-11-26,lt-14.watts.com,Norfolk Island,6123,hne,8.989118,Wrighthaven,1980-02-11T02:03:08,2017-04-23 02:04:43,Africa/Bangui,GB
-75.846950,84:7d:8d:9f:89:f1,Walker-Ryan,$23.32,Pushto,1975-02-13,desktop-21.watson-brown.co.uk,Malta,7347914,zh,119.700441,Lake Victoria,1993-12-15T10:01:29,2003-06-03 04:41:52,Africa/Asmera,GB
-82.3384575,5c:44:d9:4d:f2:91,Hayward PLC,"$81,628.50",Swahili,1975-03-04,email-74.smith-booth.net,Algeria,2496,pt,-153.169905,Fitzgeraldville,1975-09-06T17:24:12,2014-10-03 15:34:52,Africa/Mbabane,GB
34.7593305,4b:5d:c2:84:14:70,Begum PLC,$579.51,Chinese,2020-02-12,db-09.roberts.com,Aruba,552061524,yo,152.077886,Aaronmouth,1971-01-21T16:40:24,1989-04-25 17:52:16,America/Paramaribo,GB
60.8851425,c2:ce:8b:af:9e:53,Hunt Ltd,$5.37,Ido,1991-05-30,db-87.freeman.info,Timor-Leste,14,ka,-68.682480,Murphyborough,1980-11-21T23:17:47,1979-03-22 21:55:12,Asia/Nicosia,GB
57.6144185,ea:89:a6:5e:de:b0,Thompson-Wood,"$14,474.73",Urdu,1979-09-06,srv-70.bell.net,Kyrgyz Republic,855987,sd,-91.118286,Janiceland,1981-07-06T23:56:03,1976-09-07 14:46:48,America/Sao_Paulo,GB
12.144193,31:d5:03:cd:38:07,Thomson-Roberts,$2.00,Ukrainian,2000-09-26,web-77.richardson.biz,Malta,4869,sl,150.712756,Garrymouth,1987-09-28T19:03:16,2007-12-22 10:25:59,Pacific/Funafuti,GB
16.3614735,a9:15:f8:d8:c3:39,Palmer PLC,$99.51,Luba-Katanga,2002-03-25,srv-77.howard.biz,Mozambique,26,so,-3.441076,North Fionaland,1987-10-03T21:23:54,1998-08-08 02:22:08,Europe/Bratislava,GB
-30.1067475,25:cf:d3:70:f4:f8,Patel-Hall,"$86,021.78",Fijian,2013-11-08,srv-08.thomas.com,Jamaica,8257,mi,52.286976,Coxtown,2004-09-08T15:58:29,2020-02-10 11:21:07,Europe/Malta,GB
-73.5704875,43:1f:78:a1:31:2b,Cartwright-Evans,$8.21,Norwegian Nynorsk,1998-04-06,lt-40.ball.net,Venezuela,0,km,-173.909076,South Raymondfort,2015-11-05T13:27:42,1970-07-03 04:23:23,Europe/Zurich,GB
81.770414,d4:2b:82:95:95:30,"Russell, Phillips and Evans",$267.16,Romansh,1995-12-31,db-62.moore-webster.biz,Finland,2,yi,47.567562,New Ashleyland,1999-03-06T13:22:54,1990-03-08 08:11:18,Asia/Tbilisi,GB
45.375212,6a:8a:3b:85:e7:e8,Hopkins LLC,"$6,186.52",Marathi,2022-05-07,email-46.harris-turner.biz,Namibia,1,br,145.431846,Patricktown,1973-05-26T15:22:13,2018-12-15 04:08:51,America/Caracas,GB
-44.313057,32:28:36:a1:25:74,"Doherty, Day and Burns","$6,278.87",Ndonga,2016-09-18,laptop-41.barton.com,Dominican Republic,494158764,os,109.382778,Thomasbury,1981-03-03T07:50:53,1990-05-05 07:30:41,America/Araguaina,GB
15.9586125,50:bc:fc:29:0d:ea,Hunt PLC,"$7,153.90",Spanish,2019-11-08,laptop-64.richards.com,Cote d'Ivoire,6783444,is,-173.029763,New Sarachester,1973-02-03T04:13:36,2020-12-12 09:20:34,Asia/Gaza,GB
11.415830,15:d6:4a:f6:a7:3a,Lawson LLC,"$5,648.61",Ukrainian,1995-10-28,laptop-96.dobson-walker.com,Belgium,23268797,am,-129.954550,Shannonport,2018-12-17T13:18:34,1981-08-19 00:21:27,Europe/Budapest,GB
-75.9820745,f1:73:f9:21:b0:79,Ingram Ltd,$7.79,Zhuang,2022-03-10,laptop-46.brooks.co.uk,Reunion,1107,ja,158.752589,Kingburgh,1971-02-08T07:36:19,1983-10-07 04:32:24,Europe/Budapest,GB
-73.608091,d8:d4:a1:62:4e:fd,Sharp-Bailey,"$3,001.45",Aragonese,1980-04-12,db-42.barnett-cox.com,South Africa,12,ayc,97.083804,Clairestad,2021-08-03T22:29:16,1992-08-27 17:19:16,Asia/Tokyo,GB
-45.530020,c7:b6:93:5a:9b:0f,Stanley Inc,$46.47,Serbian,1986-05-21,lt-08.bailey.info,Chad,7770800,ast,-58.891394,West Ritamouth,2019-09-13T20:07:20,2013-07-20 00:15:50,Europe/Podgorica,GB
27.2704255,87:22:9d:15:b7:1d,"Watson, Warner and Briggs",$9.41,Kuanyama,1985-12-11,laptop-21.fletcher.biz,Venezuela,804,ta,110.491569,New Paulville,2002-09-05T17:29:49,2000-05-05 10:57:43,Africa/Khartoum,GB
8.0773095,25:38:ca:db:df:38,Ashton-Cook,"$2,316.21",Uzbek,2021-06-19,email-29.thompson.com,Switzerland,95915,unm,-56.791858,Hughesside,1986-04-01T08:18:54,2004-11-18 20:43:38,America/Jamaica,GB
22.728089,9a:fc:24:46:89:2a,"O'Brien, Dean and Walsh",$5.31,Italian,2006-12-31,lt-00.walker.net,Burundi,9,xh,145.284395,Grayfort,1974-01-30T02:38:16,2009-06-03 16:39:56,Africa/Ouagadougou,GB
80.018790,aa:a5:ba:ec:1f:d5,Morgan PLC,"$11,925.35",Spanish,2001-09-13,web-33.robinson-dean.info,Malaysia,735638,unm,166.049124,Jeanfurt,1978-04-30T11:03:27,2008-04-11 02:15:10,Africa/Casablanca,GB
37.679781,d0:3d:8f:68:59:fc,"Cooper, Bowen and Morris","$90,532.80",Kongo,1984-07-05,db-14.smart.com,Tonga,406,ko,-142.047209,South Seantown,1993-07-25T02:42:28,1970-10-26 11:34:45,Africa/Luanda,GB
44.4664625,b7:e5:f9:ba:91:d8,Evans-Moore,$5.92,Ganda,1975-04-06,db-21.knight-saunders.com,Paraguay,1,mhr,154.074538,Port Craigton,1989-08-20T22:19:06,2012-10-31 07:48:42,Asia/Bishkek,GB
-76.5313025,6e:dc:f2:02:3f:1f,"Hill, Adams and Williams",$4.64,Dzongkha,1999-10-08,laptop-53.thompson-morris.biz,Bolivia,440245988,mr,149.926033,West Leslie,2018-09-20T04:52:02,1997-11-11 15:00:34,Pacific/Fiji,GB
62.8011015,ec:af:58:cf:54:3f,Hilton-Jones,"$6,567.12",Hungarian,1986-12-11,web-30.parkin.org,Mayotte,5854,tt,-54.098335,Lake Julie,2006-08-07T12:09:46,2010-11-28 07:48:35,America/Havana,GB
-78.9111835,26:70:8f:00:27:28,Lane and Sons,"$75,077.09",Ukrainian,1990-11-30,web-03.dodd.co.uk,Taiwan,678,om,36.594518,Lake Rogerville,1985-10-07T17:41:01,2009-01-19 03:27:21,America/Guayaquil,GB
-43.889456,08:c0:b0:e7:6c:52,"Booth, Smith and Ford",$7.50,Kashmiri,2000-02-05,web-36.harrison.com,Serbia,57906,mr,125.939115,Dominicmouth,1981-06-12T11:36:43,1992-07-16 06:02:16,Europe/London,GB
16.9285435,c1:7b:0a:aa:85:a1,Smith-Smith,$0.79,Icelandic,1997-03-29,desktop-36.wood.com,United Kingdom,3710460,ne,-31.163436,South Claire,1980-06-03T13:08:01,1985-05-04 08:31:39,Asia/Pyongyang,GB
47.844359,df:f6:2f:fa:40:5e,"Spencer, Chamberlain and Wright",$6.01,Zulu,2011-06-24,web-65.lewis.co.uk,Kazakhstan,81378,bem,-151.970627,Pearsonville,1989-02-17T13:50:42,2007-10-29 06:51:06,Asia/Tashkent,GB
27.8935385,14:5f:a4:e0:1d:71,Hill-Watkins,$10.09,Swahili,2017-01-17,srv-27.bray.com,Argentina,93135,ts,-56.788082,Alicechester,1997-06-05T17:59:35,1974-01-25 04:53:13,Asia/Rangoon,GB
13.942338,f5:89:e1:7a:9b:75,Burrows-Thompson,$65.92,Malagasy,1975-06-12,email-89.vaughan.org,Liberia,5952391,sat,-53.539719,Lake Leslie,1979-07-16T21:48:24,1988-03-26 11:50:59,Europe/Ljubljana,GB
-71.671658,1f:23:bd:dd:1c:20,Ellis LLC,"$2,520.36",Shona,1978-10-25,email-48.iqbal.com,Anguilla,3553334,gd,48.851561,East Jamie,1988-11-14T04:51:37,2013-12-28 04:44:55,Europe/Paris,GB
