hostname,language_name,iso8601,longitude,country,latitude,city,random_number,mac_address,company,timezone
laptop-06.holt.com,Tibetan,2018-01-05T15:59:19,-8.812864,Kyrgyz Republic,0.7058995,Brendaburgh,687,56:37:d9:ca:46:0b,Brookes Ltd,Asia/Saigon
email-71.doherty.com,Macedonian,2021-11-16T14:13:02,-79.555039,Anguilla,47.700094,East Declanborough,8424,8e:a5:2a:43:5c:d2,Nicholson-Brennan,Europe/Riga
email-04.jenkins.net,Slovak,2002-08-28T11:42:33,-17.284250,Wallis and Futuna,71.2838605,Laurastad,467964404,a0:1c:5a:7b:f3:32,Knight Inc,Asia/Tehran
lt-74.conway.co.uk,Walloon,1985-09-30T18:11:16,-35.318407,Italy,-4.538431,West Alex,28167072,7a:b4:9e:75:45:6a,Morris-Taylor,America/Panama
desktop-52.taylor.com,German,2002-06-12T17:32:28,-85.318923,Antarctica (the territory South of 60 deg S),-56.709775,Brookesfurt,568396,a2:f1:70:e5:91:a3,Ashton PLC,America/Regina
laptop-91.taylor-patel.com,Corsican,2007-03-30T20:00:52,-99.695168,Korea,-11.0770565,Douglasland,927898,d7:12:06:b7:46:4f,Randall and Sons,Asia/Damascus
srv-68.lewis.net,Rundi,1986-12-15T16:34:29,116.488810,Antigua and Barbuda,76.573938,Port Frances,3,c6:e9:07:68:01:62,"Read, Nicholson and Connolly",Europe/Zurich
email-50.simmons-williams.biz,Malayalam,1985-07-04T23:23:55,-81.652376,Egypt,49.184698,Khanshire,40,fa:bd:79:bb:b0:90,Morton-Dennis,Atlantic/Reykjavik
email-63.james-harding.co.uk,Danish,2005-10-23T23:26:16,160.544087,Afghanistan,60.8239545,Lake Grahamport,3133435,ec:b6:f2:cb:75:d1,Riley-Hunt,America/Barbados
db-81.davies.com,Central Khmer,2001-11-23T17:21:47,-111.931834,Albania,-52.6541865,Port Maxchester,70597809,ed:bf:7d:92:ec:0a,Jones Inc,Europe/Vilnius
db-79.davies.com,French,1973-10-06T22:45:57,118.960355,Sweden,-18.1457785,West Melanie,619,7a:96:de:b9:db:46,Wilson-Wright,Asia/Makassar
db-27.payne.net,Swahili,2008-03-11T23:26:26,-179.208069,Chad,-42.9934915,North Yvonneport,90551425,a0:3b:e3:b1:10:c0,Barnett Ltd,Asia/Amman
db-00.jones-frost.com,Ganda,1995-12-08T10:11:24,-29.517396,Morocco,-39.804852,North Kathleenshire,71,b8:aa:a3:43:a3:07,"Osborne, Cooper and Miller",Asia/Phnom_Penh
email-38.gill.com,English,1996-06-05T11:47:27,106.506524,Greenland,32.406969,East Gordonchester,54919400,c2:52:24:8d:59:99,Pearson Group,Asia/Samarkand
db-44.parsons.com,Bambara,1978-09-05T16:36:08,-37.497384,Nauru,-32.391061,Port Shirleyberg,7147,d9:fe:b1:0f:78:46,Rees-Talbot,Europe/Berlin
web-44.day.org,Lithuanian,1976-11-08T13:14:49,-1.289857,Philippines,-32.368006,Talbotland,51,33:82:8e:07:75:e6,Parker and Sons,Asia/Kabul
db-31.edwards.biz,Hindi,2013-02-17T12:39:37,39.229028,Korea,25.337057,South Margaret,7,ce:2c:96:85:2d:b7,Burns PLC,America/St_Lucia
laptop-84.lynch.net,Hausa,1999-07-09T19:10:48,65.855277,Burundi,-0.279823,East Lewis,71922,fa:7f:69:34:70:ef,Oliver-Davies,Asia/Karachi
laptop-09.dunn-jenkins.com,English,2015-07-02T02:55:37,156.271317,Hungary,53.9877975,Robsonfort,7214,12:c5:0a:b4:ee:e7,"Chapman, Campbell and Scott",Europe/Vaduz
web-11.wells-ford.co.uk,Lingala,1999-08-03T17:40:36,-173.258118,Kyrgyz Republic,35.717214,Thomasstad,8771,b5:06:24:2a:37:e2,White Ltd,Pacific/Tongatapu
laptop-93.field.co.uk,Faroese,2004-05-22T19:48:48,160.544687,Norfolk Island,39.1584825,New Gregorytown,59683,6c:fe:a0:d5:d9:c0,"Wells, Roberts and Henderson",America/Port_of_Spain
email-56.harrison.com,Western Frisian,1982-02-03T18:53:50,-113.880617,Palestinian Territory,86.742619,North Shannonton,576091441,a5:ed:a0:1e:86:07,Thornton-Thompson,Africa/Bamako
desktop-11.edwards-brown.com,Burmese,2008-09-19T20:30:13,-142.259402,Guatemala,73.5773015,Campbellborough,654,a3:ee:cd:8c:31:cb,Owen Inc,America/Tijuana
email-59.collins.com,Uzbek,1980-04-20T22:03:54,109.824512,Tunisia,32.854982,North Marionview,4473140,9c:ec:ac:51:54:91,Heath Inc,Pacific/Auckland
desktop-21.burgess-stevens.biz,Chichewa,2006-03-22T07:58:56,128.662263,Montserrat,67.3574645,Raymondshire,2430317,e5:10:b5:c3:a6:e7,"Birch, Anderson and Porter",Asia/Kashgar
db-35.thorpe-barker.com,Sango,1995-04-13T23:29:10,-82.939286,Colombia,18.287695,North Carolynberg,4699,5d:6f:24:04:4a:8f,Bentley LLC,Asia/Yerevan
laptop-48.baldwin-clarke.info,Finnish,2002-05-26T16:58:34,38.970397,Central African Republic,61.800815,Colefort,18752463,6b:e6:27:ce:ae:bc,Brooks-Burke,Europe/Monaco
email-89.taylor-hale.com,Afar,1987-04-11T04:59:32,-54.400895,Switzerland,29.2937135,North Nathanberg,60,0d:6f:bc:cc:99:03,Patel Inc,Europe/Vaduz
db-33.thomas.co.uk,Haitian,1977-03-09T21:01:12,-22.213472,Argentina,39.1063285,South Ann,65352,f6:35:ff:ab:82:88,Thompson-Woods,Asia/Qatar
laptop-23.davies.co.uk,Sundanese,1982-01-27T01:17:53,-10.986603,Qatar,3.528218,West Pauline,321317,a7:26:76:ed:f8:53,Parker PLC,Africa/Lusaka
srv-03.kemp-davey.net,Basque,2021-08-21T02:17:17,-56.601005,Georgia,-27.724690,South Jeffreystad,97,ac:00:c0:91:19:3e,Grant and Sons,Asia/Thimphu
desktop-56.bowen.com,Interlingua,1992-10-14T06:49:48,-101.490467,Gabon,-65.098503,Port Steven,74,af:73:f5:8c:c6:00,Thomas PLC,America/St_Lucia
laptop-16.whitehead.com,Thai,1987-11-05T14:20:51,-78.685818,Uruguay,39.316391,Kempmouth,309800,fc:3d:cb:f0:c8:da,"Walsh, Williams and Roberts",Asia/Kuwait
email-31.cook.com,Sanskrit,1973-12-02T08:04:03,-34.159282,Qatar,20.2148075,Port Carl,5859696,7c:a3:69:da:c0:2a,"Harvey, White and Walker",America/Barbados
laptop-78.hunt.com,Esperanto,1993-10-01T09:48:19,-29.268097,Palestinian Territory,-76.295925,West Juliabury,7,64:67:a1:db:c5:ea,Williams-Cooper,Asia/Dhaka
lt-02.naylor.org,Sardinian,1971-09-03T06:11:58,111.595709,Fiji,-26.177833,Josephinemouth,851,0b:9e:82:7c:00:19,"Phillips, Wilkinson and Richardson",Africa/Maputo
web-53.hill.com,Tigrinya,2007-12-10T18:36:10,5.081692,Norway,-76.4111125,East Jillton,30840,5e:d1:89:55:38:c6,Short Group,Asia/Vientiane
db-76.webb-holden.info,Zulu,1993-10-22T11:54:22,101.963694,Puerto Rico,82.611031,Phillipsborough,8067098,cb:b3:68:0a:a3:8e,Evans-Hewitt,Asia/Bangkok
laptop-53.nash.com,Rundi,2002-03-23T02:11:25,31.993743,Cameroon,58.6167915,Port Bethanstad,78172163,5d:a2:f4:48:ca:75,"Hyde, Smith and Thomas",America/Indiana/Vevay
desktop-96.manning.info,Limburgan,1980-02-28T06:11:56,-115.425706,Hong Kong,8.9215165,Aimeemouth,288,2f:d0:34:92:64:f1,Saunders Inc,Africa/Dar_es_Salaam
desktop-92.thompson-barker.com,Catalan,1983-05-09T11:14:10,-86.813234,American Samoa,21.1423405,New Harrystad,6171755,3e:10:9e:ae:56:43,Ahmed Ltd,Pacific/Auckland
srv-47.jordan.biz,Sango,1993-10-16T03:38:17,37.541499,Guernsey,75.1562165,Parkerton,613,1b:21:32:a3:bc:72,Wilkinson-Bishop,America/Guatemala
db-66.rowley.com,Sichuan Yi,2021-04-12T23:59:21,59.998372,Luxembourg,71.123131,Poolefurt,39877909,a8:89:d4:d2:f8:96,Price-Edwards,Africa/Conakry
desktop-67.smith.com,Georgian,2016-05-16T19:50:30,-54.801458,Bahamas,-14.643814,Phillipston,717,77:78:1f:bc:8e:e2,Begum PLC,Asia/Yakutsk
db-19.ellis.org,Hausa,1987-07-03T15:32:42,35.949251,Palestinian Territory,-65.196935,Parsonsview,552107323,f5:eb:a4:31:7d:da,Hodgson Group,Europe/Bratislava
laptop-36.morris.co.uk,Dutch,2015-12-05T13:55:53,-173.525903,Fiji,79.873312,East Sean,63,58:81:f1:d0:53:eb,Goodwin-Clarke,Africa/Algiers
lt-39.richardson.com,Walloon,2012-08-12T09:50:49,40.570123,Liberia,-27.5245845,West Mohammad,92,c8:07:bd:12:32:de,"Phillips, Wood and Collins",Asia/Colombo
email-75.mason-davies.com,Georgian,1983-02-05T18:19:52,144.695147,Panama,-22.1929085,Glentown,5347,94:8f:19:ec:31:90,Ford PLC,Africa/Dakar
srv-04.thornton.com,Marshallese,1995-04-21T17:19:34,174.936989,Tunisia,-3.945824,South Scott,506148,c4:6e:c4:be:06:26,Osborne Ltd,Europe/Monaco
db-70.moss.info,Panjabi,1975-10-10T14:56:30,-1.306600,Christmas Island,-33.855477,Lloydton,409,9f:cd:1d:c6:f5:7f,"Preston, Davies and Morris",America/Asuncion
web-25.perry-williams.org,Bulgarian,1973-06-24T11:58:33,-144.423081,United States Minor Outlying Islands,1.2336785,Greenside,165842096,4b:77:f0:06:e8:5d,Bond Ltd,America/Asuncion
lt-91.turner-hodgson.co.uk,Hungarian,1986-08-20T22:55:29,-57.232285,Indonesia,47.9224865,New Adrian,74757063,19:eb:f9:96:18:45,Khan-Bull,Pacific/Nauru
email-08.martin.net,Xhosa,2017-02-06T02:25:15,171.093695,Norfolk Island,54.4794565,Port Katherine,699439,bd:d7:01:3b:b1:b9,Young Group,Africa/Harare
desktop-09.schofield.net,Igbo,2004-12-19T00:34:02,-124.241410,Georgia,-61.859983,Phillipsberg,794232151,90:b3:07:59:c6:80,Roberts-Khan,America/Indiana/Vevay
desktop-80.bishop-wilson.biz,Spanish,1971-01-31T05:01:29,123.699253,Burkina Faso,-44.1885145,North Shane,43,3d:4d:b2:5e:9a:6b,Parker LLC,Africa/Abidjan
db-94.webb.net,Tswana,1988-03-28T10:44:26,-121.553680,New Zealand,28.9213125,Katieton,6743,84:4b:c1:65:a2:96,Poole-Brown,Africa/Nairobi
web-17.bennett.co.uk,Malayalam,2001-10-12T17:56:24,123.269518,Rwanda,-41.367347,New Denise,8047872,94:67:82:54:88:1a,"Chapman, Clark and Lucas",Africa/Ouagadougou
db-11.hunter-schofield.co.uk,Burmese,1995-02-21T23:42:29,152.438622,Tonga,-22.9362745,Lake Vanessa,193,a6:46:48:a2:3a:3e,Evans PLC,Asia/Karachi
web-51.stevens.org,Amharic,2003-11-12T11:59:51,-135.360202,French Guiana,-14.973525,Brownville,47863362,8b:61:d1:58:90:ea,"Smith, Harding and Mitchell",Asia/Singapore
web-62.wood.com,Indonesian,2013-11-24T04:04:50,-10.259117,Tokelau,-63.296347,South Paige,460,30:ca:58:83:69:2b,Greenwood-Foster,Asia/Vientiane
laptop-37.banks.com,Croatian,2018-04-10T11:07:47,30.447225,Ethiopia,85.498755,Lawrencefurt,880900,55:87:29:3a:08:3b,"Slater, Patel and Jones",Europe/Vilnius
web-40.cartwright-george.com,Hebrew,1981-03-17T20:30:50,-19.204328,Haiti,-16.955069,Eileenport,33904,6f:ee:f7:ab:b8:5d,Lawrence Group,America/Blanc-Sablon
db-57.macdonald.com,Slovak,2002-03-30T18:50:44,-169.655921,Pakistan,9.466724,East Leigh,99,50:ab:c4:b0:2e:b0,Carter-Thompson,Europe/Belgrade
web-44.welch.com,Romansh,2011-08-30T02:08:52,28.007185,Trinidad and Tobago,59.2627085,Tomton,7880,8c:a5:3c:22:19:0a,"Thomas, Knight and Sanderson",Africa/Asmera
db-70.harvey.com,Swedish,2010-08-25T18:02:50,-43.882876,Ghana,13.7227815,West Beverley,57276,7d:b2:e6:76:a3:7a,Brown-Thomas,Indian/Mauritius
lt-27.walsh.com,Icelandic,1997-05-12T14:57:54,6.597933,Burundi,49.598193,South Claireburgh,149359,b7:09:90:7c:55:b1,Russell-Smith,Asia/Saigon
srv-76.atkinson.com,Rundi,2004-09-17T13:49:07,133.253787,Serbia,-84.5575585,East Annaport,9,40:ef:f3:e8:10:92,"Smith, Murphy and Howard",Africa/Sao_Tome
web-21.bull.org,Russian,2022-04-01T18:21:19,-21.262749,Saint Martin,31.1807695,Patrickhaven,4688,94:62:cf:a0:62:18,Smith and Sons,Europe/Vaduz
desktop-78.smith-johnson.com,Assamese,2002-11-21T13:47:39,-142.791521,Myanmar,-80.6396825,Nichollsburgh,7267,36:a9:3d:5b:e0:c1,"Thomas, Lowe and Begum",Africa/Dar_es_Salaam
web-68.smith-boyle.com,French,1976-02-01T03:42:14,-115.498245,Maldives,-60.127641,Janechester,29,4d:bb:c7:89:24:4e,"Chapman, O'Connor and Dyer",America/Grenada
srv-41.wilson.com,Sindhi,2004-12-30T16:48:49,-48.536292,Maldives,58.036476,North Jayne,356,32:a2:30:65:52:d5,"Mason, Clark and McCarthy",Asia/Rangoon
srv-32.griffin.net,Oromo,2006-10-02T03:26:11,-114.883347,Saint Lucia,-68.493182,Khanview,66254,f4:6e:c7:fa:d2:35,Dawson-Davies,Asia/Muscat
db-37.bell-dawson.net,Haitian,1989-01-29T04:16:26,76.463962,Georgia,7.8617145,East Jemmachester,46,c7:33:06:1e:ba:2e,"Morris, Wallace and Cox",Europe/Ljubljana
web-14.harper.com,Dzongkha,2022-12-14T22:04:06,-8.477419,United States Minor Outlying Islands,-39.327047,Jacksonburgh,848555880,2f:79:12:08:1c:85,Berry-Griffin,Africa/Addis_Ababa
lt-58.bartlett.com,Western Frisian,2001-07-25T01:14:02,-118.499433,Peru,17.1133535,North Hollie,280,34:20:50:e6:45:ea,"Robson, Adams and Sullivan",Africa/Casablanca
web-09.jackson.info,Herero,1983-04-28T00:31:23,19.896385,Tunisia,-61.3263655,Adrianmouth,7750,22:d0:96:02:8e:bc,"Barnes, Wright and Johnson",Asia/Baku
srv-42.clark.com,Amharic,2004-12-26T12:59:26,-33.320164,Korea,-74.3669495,South Joanna,555187,8e:2f:e0:fd:f1:77,Blake-Chapman,America/Tegucigalpa
email-54.jones.biz,Ewe,1984-04-13T13:47:25,27.473521,Israel,55.779159,Sallyside,253821710,34:2f:da:58:f6:d7,Jones Ltd,Africa/Ceuta
web-12.andrews.info,Breton,2007-10-20T05:31:31,72.734917,Zambia,-71.692874,Louiseburgh,6525,c2:9f:49:a0:ba:f4,Wright Inc,Africa/Lagos
srv-62.parsons.net,Czech,2015-04-09T10:57:26,-129.431585,United States of America,-50.763225,Helenchester,62,bd:f4:ca:f5:3a:d1,Perry-Khan,Africa/Accra
srv-83.allen.biz,Telugu,2013-06-06T05:16:14,-161.428832,Morocco,81.964553,Hayleymouth,8589,01:56:41:5b:62:88,Hunter and Sons,Europe/Podgorica
web-46.marsh.com,Galician,2005-02-11T02:17:21,-120.684411,Bouvet Island (Bouvetoya),-29.331769,East Arthurtown,3582045,62:34:8f:c1:a0:f7,Patel-Coleman,America/Guatemala
desktop-31.brookes.com,Turkmen,1985-02-17T10:11:20,-41.915828,Djibouti,-38.433136,Rebeccaland,4,8d:ad:7a:71:36:65,"Oliver, Rogers and Quinn",America/Dominica
desktop-14.anderson-booth.com,Avaric,2021-06-12T00:08:21,171.937126,Timor-Leste,87.8012185,Port Angelaport,92526967,2c:4f:71:74:a7:d7,Johnson-Bradley,America/Montevideo
db-65.jackson.biz,Afrikaans,1976-01-10T08:42:07,113.210669,Jordan,-18.5999525,Faulknerberg,8776878,ca:14:10:44:36:4a,Barnett Ltd,Africa/Mogadishu
db-57.brown.info,Rundi,2020-07-26T11:42:37,-104.074745,Georgia,43.0812125,Jessicastad,2,74:98:d5:87:34:bb,Robinson-Gould,Europe/Ljubljana
srv-47.giles.com,Maori,1997-04-24T19:08:56,158.541051,Hungary,6.461537,Nicholsonton,6934217,b4:be:ce:1f:d2:c8,Butcher LLC,Europe/San_Marino
email-79.slater.biz,Somali,1972-01-13T23:33:47,121.590859,Uruguay,45.306592,Williamsburgh,416,40:10:8c:90:47:6a,Gilbert-Brown,Europe/Oslo
desktop-46.kent.co.uk,Sindhi,2000-02-10T16:57:40,120.076194,Luxembourg,61.3338285,North Paigeburgh,2332192,22:53:cb:33:49:c1,Hartley PLC,Asia/Dushanbe
desktop-73.nash-ahmed.biz,Nauru,1995-02-04T06:56:33,145.536284,Heard Island and McDonald Islands,88.060597,Williamsbury,9958,a0:c6:7c:72:2c:e0,"Turner, Howell and Smart",Europe/Dublin
db-17.jones.org,Catalan,2011-03-19T19:26:39,10.873891,Cape Verde,60.1358825,Evansside,9,fb:8c:77:23:b2:e8,Smith-Ford,Asia/Urumqi
laptop-79.burrows.com,Ido,1985-11-20T08:33:15,167.453761,Armenia,-49.001341,Quinnbury,8,bb:c0:7f:3a:da:13,"Henry, Fuller and Evans",Africa/Lagos
db-87.davies-peters.com,Oriya,2017-01-18T12:21:28,94.169915,Maldives,49.932294,Lake Carlyfort,18873,57:e8:40:b6:e5:be,Hunter-Phillips,Asia/Karachi
laptop-74.hopkins.biz,Belarusian,2013-04-21T06:55:45,85.388795,Guam,-34.1400845,Maryfort,586867380,84:cd:93:cd:1a:4a,"Griffin, Slater and Stevenson",Europe/Rome
srv-36.may.com,Chichewa,1996-02-05T16:56:45,30.734697,Cameroon,-7.7199155,Rebeccaville,34907011,a5:17:ec:09:8d:40,Jones-Cooper,Pacific/Easter
srv-58.hughes-hunter.com,Tamil,1973-06-05T12:36:16,81.921173,Syrian Arab Republic,7.628692,Morleystad,479,42:12:83:84:2d:5b,Barker-Williams,Africa/Sao_Tome
laptop-50.jones.co.uk,Assamese,1979-11-06T10:09:56,125.173852,Moldova,13.3116845,East Trevor,90337,1d:1b:30:95:24:69,Coleman-Craig,Asia/Tbilisi
lt-20.west-smith.biz,Italian,2008-05-05T07:42:00,-169.107626,Heard Island and McDonald Islands,-0.114034,Millsview,84,82:92:b1:39:d0:5e,Brown-Walsh,Africa/Bujumbura
web-33.stewart.com,Wolof,2017-06-22T11:23:59,23.403182,China,-68.862073,Kellyside,883789,dd:08:63:c7:ab:c0,"Wallace, Watson and Adams",Africa/Bissau
lt-81.spencer-hamilton.net,Macedonian,1972-12-10T03:37:54,-72.929001,Svalbard & Jan Mayen Islands,70.8837675,North Joanshire,153186,ad:de:be:7e:50:09,"Pritchard, Ball and Lewis",Europe/Budapest
laptop-68.cartwright-miller.com,Belarusian,1979-02-22T18:17:38,-110.663288,Panama,83.4512205,East Carly,379352,cc:ef:a0:0a:87:2c,Price and Sons,Europe/Chisinau
web-13.king.biz,Igbo,2022-04-22T04:09:33,86.621296,Isle of Man,-37.1544785,Charlotteview,8473204,2b:01:07:f1:32:c0,Mitchell-Hutchinson,Africa/Harare
desktop-11.adams.com,Breton,1996-03-21T18:29:56,-2.564624,Sierra Leone,-10.635699,North Tina,92920,fa:23:d9:2d:0b:53,Mason Ltd,Europe/Prague
email-69.walker-rose.org,Polish,2017-07-17T01:21:37,-136.602824,El Salvador,-7.3541145,Malcolmfort,48,5b:8b:15:ee:d3:9d,"Mann, Bradley and Hudson",Africa/Lusaka
db-18.davison-powell.co.uk,Chuvash,2012-12-04T10:16:00,-148.564856,Barbados,80.751916,New Lawrenceton,818563,4e:97:a5:aa:e1:7a,"Burgess, Williamson and Griffiths",Pacific/Nauru
srv-98.price-conway.co.uk,Limburgan,2012-02-09T05:58:52,-125.597743,Slovenia,41.7070615,Port Angela,27,a9:16:53:66:0f:c8,Metcalfe-Craig,Asia/Manila
lt-46.williams.com,Fulah,1992-07-02T13:30:08,-35.357028,Sao Tome and Principe,-5.2572105,Bethhaven,7879,96:45:4e:9e:db:24,Parkin Group,Pacific/Ponape
desktop-76.wright-welch.biz,Polish,1992-06-07T23:28:31,104.183487,Kenya,-85.1340415,Port Abbiestad,78689,4a:f7:2a:e8:8d:fe,"Wilson, Wood and Thorpe",Asia/Kabul
srv-66.collins-khan.com,Kurdish,2006-09-22T11:23:02,-94.346186,Congo,-34.6867755,Gregoryfort,640,74:85:6f:d9:dc:24,"Turner, Butcher and Taylor",Asia/Gaza
db-79.bibi.com,Malayalam,2021-03-27T01:46:25,88.559317,Gabon,82.026140,Lake Robertland,2509,47:9d:6f:c4:ff:d4,"Morris, Brooks and Murphy",America/St_Lucia
srv-09.baldwin-kirk.com,Hiri Motu,1996-02-16T18:58:59,53.361619,Cambodia,48.0037415,South Phillip,332920,33:bd:e5:0d:9f:80,Hughes Inc,Asia/Harbin
web-82.williams.com,Swati,1973-12-18T19:00:20,6.801082,Mayotte,3.9616625,East Guymouth,893,be:ac:a2:7c:fa:a3,Mason-Miller,Europe/Zaporozhye
email-73.morris.org,Korean,2022-01-15T02:43:14,48.569080,Madagascar,32.8723635,Mohammedstad,42443,00:2d:4e:b1:69:52,"Carter, Allan and Robinson",America/St_Kitts
lt-86.barrett.com,Chamorro,2009-12-23T14:44:31,97.395213,Egypt,81.636812,North Howard,7705687,3a:0b:52:24:a9:9b,"Hunt, Rahman and Knowles",Asia/Calcutta
laptop-64.james.com,Indonesian,2014-03-16T05:34:13,-126.919462,Nicaragua,-61.813250,South Dorothymouth,705528,4e:05:b0:40:18:70,Reynolds LLC,America/Argentina/Ushuaia
srv-59.woods.co.uk,Persian,2016-06-01T19:48:34,-150.980425,Venezuela,55.7163645,Rebeccafort,225806965,7c:f6:0e:45:69:67,"Thompson, Schofield and Cooper",America/Paramaribo
db-39.jordan.com,Arabic,2011-05-16T10:13:29,33.477350,Cook Islands,-20.3110115,West Julie,0,ce:e1:f0:be:82:b8,"Austin, Evans and Foster",America/St_Lucia
desktop-38.walters.com,Swati,2006-10-10T12:55:32,-27.708284,Grenada,31.5100905,West Charlene,0,6d:1e:09:52:e2:24,O'Brien-King,Pacific/Port_Moresby
lt-73.jones.info,Pali,1983-08-12T23:31:02,4.917397,Burkina Faso,51.8039625,Lake Denisberg,29807195,70:1f:70:20:3e:ad,Jackson-Phillips,Atlantic/Reykjavik
laptop-42.ahmed.co.uk,Twi,1999-04-12T00:24:12,2.654962,Samoa,-0.651358,Hillborough,793,2d:34:1b:88:4e:fd,"Moore, Wright and Ward",America/Montevideo
