date_time,pricetag,timezone,date,random_number
1973-11-04 23:38:33,$503.04,Australia/Sydney,1998-05-05,66466724
1980-08-22 12:39:07,"$35,465.24",Europe/Moscow,1982-03-23,742497
2022-10-19 17:37:52,$5.20,Asia/Nicosia,1976-11-23,5891203
1979-08-31 19:04:57,$1.16,Asia/Katmandu,2002-01-17,164
1997-04-08 14:04:34,$547.39,Asia/Samarkand,2022-08-26,9
2002-06-20 20:30:32,$81.73,Asia/Bahrain,1989-09-03,5986976
1986-07-16 13:28:14,"$68,324.67",Asia/Ashgabat,1991-06-27,12525767
1977-06-03 11:51:24,"$2,227.29",Europe/Vatican,2003-12-09,32
1980-08-29 06:01:20,$39.34,Africa/Maputo,1979-03-26,8
1980-06-11 22:14:55,"$4,460.24",Asia/Saigon,1974-04-07,65113
1979-01-16 02:54:19,"$17,556.19",America/St_Lucia,1974-05-22,1190
2017-10-27 23:55:16,"$1,520.50",Africa/Conakry,1979-12-03,8232647
1972-11-11 09:31:10,"$9,927.67",America/Bogota,2007-03-13,6432
1989-02-16 00:10:45,$6.47,Africa/Tunis,2005-06-14,6226
2000-10-26 16:44:17,$9.19,Africa/Mogadishu,2021-12-14,910306
1979-11-15 06:46:41,$0.85,Africa/Casablanca,2010-05-20,888385
1998-06-25 02:28:36,$835.63,Asia/Riyadh,1988-02-02,3
2007-04-27 12:05:19,"$8,916.96",Africa/Douala,1983-11-26,7021637
1981-08-20 06:14:24,"$79,474.21",Europe/Tallinn,2008-10-02,1211060
2000-02-04 20:10:32,$940.69,Europe/Berlin,2023-02-15,88766298
2005-03-15 17:15:39,$692.56,Africa/Bangui,1999-01-29,38651870
2000-12-12 06:46:28,$211.76,America/St_Kitts,1993-01-16,6519
2000-09-13 01:40:18,$66.01,Atlantic/Reykjavik,1978-06-13,380
2000-11-03 10:38:27,"$27,572.74",Europe/Istanbul,2010-07-29,866995
2021-10-15 10:45:10,$539.75,Asia/Katmandu,2006-08-28,821904659
2013-12-14 09:47:43,$89.47,America/Argentina/Rio_Gallegos,2003-06-28,9229
2013-01-25 00:22:10,"$3,263.27",America/La_Paz,1978-04-01,83552
2010-08-24 12:32:59,$9.03,Europe/Vatican,1987-12-06,439548
1997-05-12 11:13:08,$564.77,Africa/Accra,1988-08-29,319717303
2015-04-24 06:09:10,"$58,259.11",Europe/Ljubljana,2003-06-14,731130
1989-05-28 16:59:55,$23.43,Africa/Brazzaville,1990-04-19,7980747
1987-11-04 12:01:07,$463.35,Asia/Saigon,2006-11-18,69
1989-09-16 01:00:30,$4.02,Europe/Prague,1989-02-26,11360
2004-07-10 00:48:56,$539.72,America/Managua,1991-12-18,7
2003-05-02 20:45:30,$479.45,Pacific/Ponape,2004-05-18,876
2009-11-01 04:38:16,"$8,278.09",Europe/Luxembourg,1977-03-09,559722865
2000-12-24 01:49:39,$6.07,Africa/Brazzaville,1992-08-26,1216072
1981-01-24 12:54:37,$8.23,Asia/Nicosia,1971-06-15,6
1970-05-30 03:59:26,$1.71,Asia/Tashkent,2006-08-02,37491136
1996-08-05 23:17:10,"$96,306.44",Europe/Vilnius,2002-03-01,622
1976-08-30 00:02:30,"$9,501.01",Africa/Malabo,1997-12-12,9
1982-04-01 05:36:31,"$14,748.98",Africa/Lusaka,2017-06-16,5
1976-03-22 05:47:37,"$9,746.92",Indian/Comoro,1982-01-12,21979
1973-02-05 00:00:21,"$43,192.40",Africa/Freetown,1988-10-20,0
1980-09-01 17:46:38,"$7,852.96",Africa/Freetown,1993-06-14,23787
2001-07-17 01:45:28,$6.90,Asia/Dubai,1982-04-28,416
1987-08-10 08:39:18,"$97,132.25",America/Montevideo,2011-02-16,86188
1987-10-25 17:04:56,$95.39,Asia/Beirut,2017-11-17,64
1989-08-16 11:49:06,$677.36,Asia/Katmandu,2018-05-23,3559
2001-06-20 22:21:08,"$29,103.31",Asia/Hebron,2004-06-09,91525
1979-12-27 22:35:21,$9.69,America/Grenada,1994-04-01,192810829
2016-01-27 17:53:31,"$4,685.74",Asia/Bangkok,1985-03-21,6582
1976-05-20 20:25:30,$439.86,Indian/Maldives,1980-01-02,307445
1988-02-10 20:15:03,$26.42,Europe/Riga,2007-09-25,64901
1985-09-28 05:13:21,$7.68,Asia/Aqtobe,1986-12-31,81
1982-02-07 12:16:15,$269.51,Africa/Maputo,1977-01-03,8389
2004-04-19 14:46:51,"$93,269.67",Asia/Dushanbe,1973-10-25,76263459
2018-02-07 09:52:49,"$7,426.23",Africa/Maputo,2008-07-25,277813
1972-01-02 01:03:28,"$9,005.10",Africa/Blantyre,2022-11-09,9
2013-07-26 08:52:35,$132.24,Asia/Singapore,2001-03-03,989088
2009-12-19 04:08:14,"$31,532.03",America/Nassau,2007-09-22,67324
1979-12-01 18:28:58,"$5,896.27",Asia/Dhaka,2002-11-29,21471461
2013-10-23 02:04:57,"$8,629.47",Pacific/Funafuti,1971-06-22,53
1989-05-11 11:45:22,$6.76,Asia/Pyongyang,2010-06-12,85126773
2022-08-01 04:39:41,"$12,597.51",America/Santiago,2015-07-28,819
2017-10-23 17:17:54,"$8,349.09",Europe/Budapest,2022-01-07,727001867
1980-09-13 23:10:05,$666.26,Europe/Malta,2014-01-15,854396
1983-07-12 04:08:21,"$9,229.81",America/Barbados,1978-05-05,141744578
1995-05-08 21:02:58,$0.08,America/Caracas,2010-08-21,28438
1982-12-22 07:09:19,$84.67,Asia/Omsk,1995-07-09,96402
1998-07-26 13:05:51,$506.59,Africa/Niamey,1975-11-12,80142
2009-11-20 10:26:42,$394.53,Africa/Brazzaville,2016-05-03,697585
1995-04-10 00:36:18,$62.31,Europe/Amsterdam,2014-06-14,7
1988-11-01 10:06:32,"$6,130.63",Africa/Cairo,2000-11-06,713279
2020-10-21 18:29:09,$913.38,Africa/Kampala,2004-02-03,9
1978-12-01 17:20:08,$870.19,Africa/Kinshasa,1976-09-01,1
2019-03-26 07:56:24,"$59,744.02",Asia/Qatar,1979-02-01,37
2014-09-02 08:15:04,"$85,558.12",Asia/Seoul,2017-05-12,6106967
1988-12-13 17:45:01,$180.02,Europe/Bratislava,2021-02-16,6
2011-10-20 22:03:29,$2.11,Asia/Ashgabat,1986-03-11,7029203
1983-06-30 23:01:35,"$3,389.28",Asia/Seoul,2018-08-11,6781
1998-10-13 10:28:55,"$4,682.53",Europe/Malta,2005-09-30,58522
1992-03-21 15:28:12,$1.08,America/Bogota,2020-01-08,448
1990-04-12 22:34:36,$499.12,Europe/Zurich,2007-02-26,54455779
2003-01-31 16:41:59,$705.83,Africa/Cairo,2021-03-08,722
1972-03-16 05:46:08,"$3,096.48",Europe/Ljubljana,1984-07-19,13
1983-02-27 23:21:43,$35.06,Asia/Ashgabat,2005-12-26,187
1976-04-26 08:53:47,$8.26,Atlantic/Reykjavik,1996-10-22,2916407
2016-09-22 14:54:50,$54.74,Africa/Maputo,1987-05-13,966
1984-12-24 08:26:32,"$41,060.00",Europe/Vienna,1982-03-25,77991020
1970-08-07 19:18:26,$174.64,Asia/Taipei,1998-01-14,1622396
1987-03-14 13:06:48,"$9,278.56",Indian/Comoro,2003-12-29,151
1992-04-27 19:06:25,$41.66,Indian/Comoro,2019-01-10,58834639
1993-01-11 11:23:05,"$3,489.07",Indian/Mahe,2002-04-09,3829
2005-12-08 17:26:51,$31.29,America/Santo_Domingo,1998-03-16,77174519
1987-06-27 21:59:29,$4.04,Asia/Hebron,2021-07-21,3
2002-04-10 18:32:52,$0.35,Europe/Zaporozhye,2009-03-09,55110499
2009-01-29 21:07:05,$3.87,Africa/Luanda,2007-06-05,0
1989-04-14 22:59:59,$33.20,Asia/Singapore,2009-10-15,7059235
2017-12-31 05:30:32,"$61,594.13",Africa/Accra,2016-04-20,78
2011-08-19 18:07:23,$5.75,Asia/Gaza,1992-03-04,445611
2000-05-10 23:59:12,"$4,390.20",Asia/Muscat,1996-03-24,19703
1980-01-25 15:26:56,$0.94,Asia/Hebron,2020-03-31,3449097
2005-01-15 09:05:43,"$5,853.41",Africa/Ouagadougou,2000-07-12,7872
1991-06-11 16:58:15,$8.67,Pacific/Guadalcanal,1970-03-03,236
1983-03-28 18:29:42,"$33,295.79",Africa/Banjul,1987-07-18,4109
1980-02-29 06:08:55,"$42,583.23",Asia/Phnom_Penh,1993-03-01,223
1988-10-14 07:10:06,$4.62,America/Guyana,2015-01-31,9642
2009-06-07 18:21:17,"$8,676.37",America/Dominica,1992-11-06,90878656
2005-10-19 01:22:29,$72.66,Africa/Maseru,2014-04-30,5
1983-11-26 01:40:20,"$9,589.31",Africa/Algiers,2006-08-15,180766
2016-12-12 20:56:05,"$87,603.93",Asia/Dubai,1983-10-08,594981
2021-03-30 04:46:19,$602.25,Africa/Libreville,1995-01-01,244473
2020-01-08 14:28:53,"$65,617.02",America/El_Salvador,2014-05-15,68
2017-01-02 23:13:31,$66.39,Pacific/Fiji,1989-11-18,5386102
1994-06-24 19:41:28,"$8,517.79",Europe/Podgorica,1974-10-24,555
1983-08-26 01:44:30,"$3,787.77",Asia/Makassar,2003-08-20,2545278
1980-02-08 23:10:19,"$89,050.00",Europe/Dublin,2000-01-18,58
1971-09-14 09:14:27,"$6,085.84",Africa/Casablanca,1982-09-22,891953421
1988-02-24 23:58:27,$56.10,America/Tegucigalpa,2015-09-26,9200
1992-07-02 14:14:54,$66.46,America/Tegucigalpa,2000-06-03,80821061
2018-02-23 22:44:50,"$65,297.00",Africa/Maputo,1996-05-29,8678
1974-03-06 22:41:33,"$2,560.39",Pacific/Apia,1984-08-18,87
1994-12-10 10:08:20,$407.36,Pacific/Funafuti,2016-03-29,907
2019-09-01 13:40:42,"$73,940.33",Europe/Skopje,2009-12-26,750
1997-08-16 15:10:21,$2.58,Asia/Tehran,2000-03-19,1950
2020-03-15 02:30:57,$7.96,Europe/Berlin,2005-07-23,2069
2018-08-05 18:45:45,$496.64,Asia/Tokyo,2017-11-27,7695917
1975-06-09 14:59:59,"$5,935.80",Asia/Gaza,1973-10-11,82053857
2013-11-05 14:30:53,$2.14,Africa/Djibouti,1981-10-09,21
2017-09-21 15:42:15,$16.51,Asia/Nicosia,1981-04-30,728
1992-02-21 21:15:14,$3.90,Europe/Vienna,2023-03-28,2169435
1976-05-17 00:35:32,$4.46,Asia/Bahrain,2019-10-24,83766
1976-05-21 20:23:55,$854.62,Africa/Sao_Tome,2000-02-02,2
1991-04-10 08:58:24,$1.85,Atlantic/Reykjavik,1996-02-22,7
2022-12-11 05:46:49,"$6,392.83",Atlantic/Cape_Verde,1974-10-03,83593088
1999-09-30 13:13:49,$28.39,Africa/Douala,2018-06-04,0
2000-04-09 23:55:03,"$31,163.34",Europe/Malta,2019-03-23,447986892
1975-07-17 12:48:13,$689.20,Asia/Bahrain,2020-02-17,73926
2015-09-30 16:37:39,$85.52,Indian/Maldives,2014-03-24,862
2011-09-18 02:56:55,$8.69,Asia/Tbilisi,2005-05-18,805692
1974-10-09 15:12:13,$7.21,Asia/Ulaanbaatar,2015-12-09,76637
1970-10-05 13:33:09,"$70,680.26",Asia/Aden,1984-01-05,63
1977-06-28 17:30:04,"$5,099.99",Australia/Hobart,1975-07-13,7231761
2008-03-14 22:30:27,$368.50,Europe/Bucharest,1983-12-05,80221
2002-05-10 06:50:43,"$33,095.82",Africa/Banjul,1983-09-27,81
1991-07-12 06:08:57,$0.23,Pacific/Apia,2004-09-29,5680780
1985-09-24 12:19:57,$3.93,Europe/Chisinau,1998-08-16,243395
1989-09-24 04:33:50,$618.18,Africa/Accra,1978-07-25,8288
2016-01-14 01:25:33,$2.95,Pacific/Nauru,1993-02-05,220613
2017-06-22 20:15:37,$370.97,Asia/Damascus,1975-08-19,7
2015-08-08 19:21:03,"$6,882.33",Europe/Copenhagen,1980-01-18,84242055
1975-03-31 21:42:40,$804.37,Pacific/Apia,1991-05-05,3876
2009-05-28 05:45:09,$2.23,Asia/Jerusalem,2017-12-11,50559
1977-10-02 03:24:56,"$75,660.89",Africa/Windhoek,1985-11-29,5958596
2006-03-06 14:53:58,"$3,804.42",Asia/Amman,2020-10-02,76
1989-05-17 09:27:52,$949.11,America/Costa_Rica,1982-06-02,115874
1998-09-05 05:23:11,$788.36,Asia/Pyongyang,2004-04-23,434
2005-05-24 00:01:51,$687.51,America/St_Johns,2018-04-17,937155
2018-09-21 12:59:29,$274.55,Africa/Mogadishu,2020-11-29,5649
1996-04-04 07:50:31,$69.30,America/Nassau,2004-06-11,983829
2004-10-28 14:34:20,"$5,142.95",America/Bogota,2014-05-16,80
2011-06-25 17:54:52,$7.10,Africa/Windhoek,1997-05-05,76
1988-04-01 09:00:29,"$17,490.75",Africa/Bujumbura,2004-06-27,34905
2014-01-22 10:22:14,$6.69,Africa/Bissau,1999-04-09,49
1978-01-18 16:31:59,"$95,339.99",Europe/Zagreb,1984-07-08,787015
2015-05-01 03:20:59,"$46,194.75",Asia/Bishkek,2005-06-23,51746555
1970-04-15 08:17:29,"$15,090.51",Indian/Mahe,2016-01-08,8
1995-08-06 06:34:36,$165.62,Asia/Baghdad,1989-04-21,132595
1977-06-17 21:27:18,$995.92,America/Tegucigalpa,2018-04-14,4
2019-05-06 16:23:08,$701.11,Africa/Lagos,2019-06-17,2
1979-10-26 05:03:09,$3.27,Asia/Amman,1978-11-02,531246137
2008-10-07 14:44:51,$918.54,America/St_Lucia,1985-02-23,158
2001-01-16 14:18:49,"$5,653.71",America/Bogota,1979-06-07,9479808
2004-01-12 17:27:07,$68.16,Africa/Ndjamena,1997-05-28,23
1983-09-27 04:21:26,"$8,177.90",Asia/Manila,2023-04-14,84838
1988-03-30 08:38:51,$379.73,Asia/Beirut,1977-05-08,501
2018-12-16 18:44:48,"$6,332.19",Europe/Vienna,2015-11-02,18231
2018-01-22 17:26:59,$757.89,Asia/Bahrain,1972-08-09,75790
2006-03-14 05:35:10,$7.08,Europe/Dublin,2009-02-21,65
2013-06-05 16:11:44,"$1,999.69",Asia/Baku,1996-12-05,43894
2011-12-07 10:19:16,"$92,307.74",Pacific/Easter,1976-05-05,9143
2001-07-07 06:53:51,$71.61,America/Managua,2021-03-31,368386804
2020-02-03 06:31:09,$542.46,America/St_Vincent,1970-05-07,45
2008-11-02 12:35:50,"$4,741.52",Pacific/Auckland,1989-08-07,19662
2023-02-12 10:52:37,"$11,794.24",America/Adak,1973-02-12,487631905
1974-07-14 08:59:47,$2.54,Indian/Mahe,1995-02-02,99
1996-09-08 08:11:42,"$3,494.05",Asia/Riyadh,2015-08-10,3537914
1990-11-15 21:57:19,"$81,031.76",Asia/Damascus,2016-04-23,5
1986-09-01 22:20:28,$239.29,Europe/Zagreb,2006-10-13,4173271
2016-09-13 17:32:30,"$63,649.38",America/Havana,1979-01-24,1140
2008-10-14 04:34:14,"$9,735.26",Africa/Mogadishu,1980-01-23,227
2011-07-13 13:09:49,"$46,865.35",Asia/Novosibirsk,1973-06-05,0
1971-06-19 18:10:11,"$7,792.04",America/Lima,2011-01-06,5
1989-06-20 23:57:00,$494.41,Asia/Dushanbe,1994-11-15,46
1979-12-07 20:14:04,$300.55,Europe/Moscow,1973-02-11,359
2020-12-17 00:49:44,$250.92,America/Fortaleza,2013-04-09,906924373
2010-07-12 11:21:42,$3.97,Asia/Magadan,1986-07-24,9407
2020-08-10 05:07:09,"$1,278.34",America/Tegucigalpa,1996-05-22,220
1991-12-06 18:31:48,$46.21,Africa/Windhoek,2010-03-09,19494586
2005-11-17 04:54:37,"$59,983.38",Asia/Thimphu,2009-11-10,9
2005-07-31 07:19:16,"$3,694.79",Africa/Maputo,2019-07-04,7968554
2004-12-26 14:33:27,"$80,326.87",America/Merida,1996-07-06,29556
2022-11-30 00:51:03,$80.39,America/Port_of_Spain,1972-09-24,5716327
2020-04-03 00:04:30,"$6,865.48",Asia/Singapore,2009-09-15,2589521
2020-07-13 20:46:56,"$7,473.91",America/Lima,2009-09-06,79439
1991-02-09 19:26:32,$7.21,Europe/Riga,2012-01-03,294144767
1984-05-05 18:26:42,$651.45,Pacific/Tarawa,1987-09-25,875698
1984-05-01 19:02:43,$70.13,America/Asuncion,1990-03-09,124974
2002-11-16 10:03:00,"$68,924.34",Europe/Belgrade,1984-04-08,1709828
1976-05-20 02:10:53,$311.02,Europe/Istanbul,2014-01-12,622887
1991-02-07 15:38:59,$6.90,Africa/Lome,1998-07-20,4086
1984-01-18 22:56:54,$34.31,Asia/Nicosia,2023-08-03,635745
1984-10-11 14:46:41,$380.32,Asia/Muscat,1993-10-20,9400484
2013-06-15 22:39:40,$818.02,America/Jamaica,2009-05-08,951
1974-07-14 10:21:03,$447.95,Africa/Bangui,1970-05-30,485748
2000-08-21 04:29:45,"$5,771.42",America/Guayaquil,1999-10-29,981
1996-02-18 06:11:48,"$9,938.40",Asia/Muscat,1977-01-31,829
2013-07-20 03:34:54,$267.53,Africa/Nairobi,2001-06-18,383
1978-10-06 06:57:30,$275.11,Europe/Helsinki,1987-02-23,7
1988-01-02 18:10:10,$19.43,Asia/Dili,2005-05-25,351666
2005-03-23 17:36:54,"$8,108.82",Africa/Casablanca,2013-09-02,22
1975-01-28 17:13:57,$40.16,Pacific/Apia,1984-02-15,38827146
2013-04-14 06:59:21,$131.18,Africa/Mogadishu,1984-06-23,1
1986-07-10 05:50:10,"$21,657.30",America/Jamaica,1992-06-28,4
2001-11-07 19:40:57,"$9,624.11",Africa/Tripoli,2009-11-02,3
1971-03-11 03:07:53,$74.00,Indian/Antananarivo,1976-09-08,83356
2010-03-24 01:12:04,$211.72,Africa/Nouakchott,1970-06-29,3938839
1993-05-01 10:44:28,$8.12,Europe/Sofia,1996-02-21,6799536
1990-10-05 17:53:53,$914.06,Asia/Bangkok,1976-09-28,8381806
2010-05-01 17:26:55,"$9,533.64",Africa/Mogadishu,2018-01-09,6185
2021-01-21 05:40:31,"$6,109.52",Asia/Ashgabat,2011-11-05,109750296
2012-01-29 10:44:01,$1.84,Asia/Katmandu,2022-02-27,3
2017-11-02 06:22:56,"$7,884.61",America/St_Vincent,1983-02-05,1385099
1977-02-24 03:43:36,$14.86,Africa/Ouagadougou,2019-06-15,8
1974-06-04 12:49:38,$110.93,Asia/Amman,2016-07-16,7181
