country,latitude,file_name,bank_country,company,hostname,iso8601,language_code,longitude,date_time,timezone
Tunisia,3.3440525,maiores.csv,GB,Wilson-Saunders,db-96.james-pearce.co.uk,1993-04-29T04:01:29,ms,54.014736,1971-09-11 04:54:23,America/Paramaribo
Christmas Island,-76.102480,ad.mp4,GB,Bailey-Sharp,desktop-19.ali.com,1975-08-13T08:19:41,wae,129.138294,1970-09-29 10:05:53,Africa/Monrovia
Rwanda,13.010906,tenetur.js,GB,Chapman Group,web-70.foster.com,1976-12-19T15:01:55,fil,17.864270,2000-05-04 10:31:31,Europe/San_Marino
Norway,-80.8370125,omnis.avi,GB,Jenkins and Sons,email-22.savage.info,1998-10-24T04:37:48,an,107.578426,2000-01-05 19:14:42,Europe/Amsterdam
Jamaica,79.0414835,ratione.bmp,GB,"Hodgson, Phillips and Jordan",lt-24.bryan.com,2016-08-02T07:32:31,crh,36.046351,2001-09-19 23:20:20,Pacific/Fiji
Singapore,-52.7709045,dolore.mp3,GB,Jones Inc,srv-17.blackburn.net,2001-01-12T05:34:19,fo,-168.569355,2020-08-22 16:31:48,Europe/Brussels
Micronesia,81.4848065,voluptate.mp4,GB,"Martin, Walker and Smith",web-06.davidson.co.uk,1982-03-01T06:55:09,uz,-124.737101,1970-09-29 13:12:45,Asia/Brunei
Turkmenistan,76.9103645,consequatur.tiff,GB,Sutton LLC,db-95.stevenson.com,2023-03-22T15:07:55,af,-119.729977,2009-04-30 13:42:49,Asia/Yerevan
United Arab Emirates,31.699902,maxime.avi,GB,Lawrence PLC,email-73.lane.net,2008-08-28T16:48:38,vi,-22.283251,2019-04-18 22:00:17,Asia/Seoul
French Guiana,-29.664747,earum.webm,GB,Arnold-Storey,srv-27.powell.com,2011-05-11T08:07:46,hu,-173.476717,2023-01-29 02:34:25,Europe/Zurich
Monaco,-76.3091115,illo.tiff,GB,Hamilton Ltd,email-17.richardson.info,1977-09-17T02:04:32,ia,3.517863,2008-08-07 07:29:31,Africa/Khartoum
Azerbaijan,-60.916015,placeat.mp3,GB,"Lloyd, Dickinson and Murphy",lt-66.smith-nicholson.co.uk,2015-11-07T04:17:30,gl,17.420966,1984-07-18 03:00:33,Europe/Athens
Tajikistan,-6.029364,ex.jpeg,GB,"Sharpe, Smith and Smith",laptop-33.johnson.com,1982-06-14T15:10:03,pa,161.919100,1989-08-30 23:13:57,America/Costa_Rica
United Kingdom,-44.7610145,quos.mp4,GB,"Thomas, Wilson and Jones",email-05.waters.com,1994-12-07T01:20:37,ta,-123.603597,1980-11-23 06:44:44,Indian/Mahe
Brunei Darussalam,-26.4137805,eaque.json,GB,"Webb, Moore and Stone",lt-58.martin-dyer.com,1978-03-18T04:08:26,cy,158.836660,1980-09-07 08:34:54,Asia/Qatar
South Georgia and the South Sandwich Islands,-80.0309655,vel.bmp,GB,"Roberts, Watson and Jordan",srv-90.edwards.com,1984-07-02T01:58:23,ja,-154.732759,2013-01-08 18:44:27,Africa/Kampala
Cook Islands,47.0697115,velit.flac,GB,"Nelson, Walker and Barton",db-24.walsh-ward.biz,1988-01-19T14:21:16,fy,-41.183303,2017-11-08 09:08:51,Asia/Tokyo
Sudan,26.720605,hic.json,GB,Dawson and Sons,web-95.gilbert.info,1997-01-08T18:13:56,dz,-137.678589,2019-07-05 03:25:55,Africa/Gaborone
Samoa,9.670197,voluptatum.jpg,GB,Johnston-Howard,email-89.powell.biz,2000-05-17T09:30:59,ha,-158.746284,1979-07-04 22:14:58,Europe/Vaduz
Congo,-74.814442,non.jpeg,GB,"Walters, Stanley and Parkinson",db-31.coleman-bradley.com,1992-12-04T06:26:09,bho,30.231097,1980-08-27 11:09:51,Europe/Bratislava
Monaco,-13.3425915,fuga.json,GB,"Lawson, Scott and Webster",desktop-13.pugh.com,2022-02-16T06:12:16,mag,40.956619,2000-09-19 21:16:26,Europe/Stockholm
Marshall Islands,59.222515,eum.xlsx,GB,"Bartlett, Harrison and Murphy",srv-75.ashton.com,1999-01-27T10:44:27,ce,131.321056,2023-02-07 03:05:16,Pacific/Guadalcanal
Australia,23.9469725,cupiditate.mp3,GB,"Carr, Butcher and Johnson",db-64.jones.biz,2000-10-17T13:07:23,ko,46.708174,2017-06-08 10:15:10,Europe/Sarajevo
Cape Verde,65.2544555,amet.html,GB,Page-Saunders,laptop-70.james-booth.com,2002-03-17T14:32:32,or,34.482801,1977-07-26 19:23:45,Asia/Hovd
Lebanon,84.7154185,facere.wav,GB,Rowe Ltd,laptop-86.stokes-moore.com,1990-12-10T16:38:53,et,120.020041,1983-08-29 15:13:45,Africa/Addis_Ababa
Equatorial Guinea,-1.5387275,voluptatum.bmp,GB,Simpson-Wright,web-83.richards-ward.org,2007-12-02T08:41:05,hak,-69.454640,2007-08-10 11:03:14,Africa/Malabo
Madagascar,0.8944285,nihil.html,GB,"O'Connor, Scott and Webb",lt-12.newman-singh.com,2013-02-07T15:07:29,mai,84.231514,2012-02-10 12:16:54,Africa/Niamey
Trinidad and Tobago,2.0496835,provident.mp3,GB,"Gibson, Palmer and Farrell",web-64.smith.org,2013-03-28T23:02:49,ha,172.712428,2003-04-19 22:57:31,Africa/Blantyre
Benin,-52.304919,aperiam.json,GB,Harris-Edwards,lt-92.wong.net,2017-08-12T13:35:22,ta,57.946077,1990-06-14 22:17:35,Asia/Hebron
Canada,-75.629313,quas.pdf,GB,Taylor Ltd,lt-09.ashton.co.uk,2003-06-25T14:26:35,ti,36.163066,1998-12-30 18:02:33,Africa/Dar_es_Salaam
Macao,-62.0951345,tenetur.mp3,GB,Bailey Group,email-59.cooper.com,1997-10-22T21:47:49,he,-108.641186,2015-07-21 07:52:39,Europe/Vienna
Rwanda,22.7255265,a.bmp,GB,"Taylor, Jackson and Booth",email-03.bailey.com,2012-09-27T22:25:02,te,137.924325,1975-10-22 15:54:44,Asia/Aden
Dominican Republic,46.5871405,blanditiis.js,GB,"Hartley, Hill and Fletcher",desktop-65.barber.com,1974-06-25T16:02:47,sd,34.693804,1991-12-10 18:09:22,Europe/Andorra
Indonesia,-89.3895095,doloremque.webm,GB,"Ball, Vaughan and Hodgson",srv-94.talbot.co.uk,1990-05-25T22:42:15,tt,23.126425,2004-12-07 02:43:31,Asia/Singapore
Kuwait,68.703888,perferendis.mp3,GB,"Phillips, Wood and Taylor",lt-52.anderson.net,1991-11-04T02:30:36,apn,-42.395809,2004-05-27 22:51:30,Asia/Tbilisi
Saint Martin,23.0352425,consectetur.js,GB,Baker-Jennings,srv-00.williams.com,1996-07-08T15:20:05,csb,-81.233158,1996-05-23 18:31:58,Atlantic/Reykjavik
Djibouti,-50.084080,corrupti.pages,GB,"Scott, Knight and Pearson",lt-93.davies.com,1984-04-07T06:00:37,sat,34.081333,1977-01-07 08:42:07,Africa/Djibouti
Uzbekistan,-30.2653035,totam.numbers,GB,Wood Inc,web-64.pratt.biz,1996-04-03T00:51:58,id,-147.453258,2016-12-07 14:48:25,Africa/Lusaka
Zambia,5.0794285,explicabo.mp4,GB,Moore-Lamb,email-12.thomson-taylor.com,2019-12-01T00:18:23,os,0.017242,1988-09-05 18:59:02,Europe/Rome
North Macedonia,31.5550405,repellat.xls,GB,Browne-Martin,laptop-67.allen.com,1991-10-01T15:10:39,es,31.683082,1998-09-04 23:08:18,Pacific/Kwajalein
Taiwan,59.5598025,eos.avi,GB,Hunt Ltd,lt-00.fraser-bradshaw.com,2018-06-23T00:50:00,se,-165.724152,1975-07-17 05:33:53,Asia/Muscat
Barbados,29.790236,ullam.html,GB,Watts PLC,desktop-36.ali-johnson.biz,2006-04-03T20:16:00,mag,-70.899899,1997-03-27 17:26:38,Africa/Johannesburg
Angola,-78.5681225,libero.webm,GB,Simpson-Butler,web-03.miles.com,1978-05-22T11:55:17,uk,78.663671,2018-07-27 03:43:07,America/Nipigon
Uganda,34.8220345,laboriosam.mp3,GB,"Hunt, Potter and Harrison",laptop-56.roberts-collins.com,2002-04-01T00:38:58,sw,-116.978669,1980-03-24 21:18:33,Europe/Malta
Philippines,57.8516085,harum.jpg,GB,Brooks PLC,web-22.allan.org,1991-05-03T19:14:41,mni,131.869674,1994-03-28 23:18:23,Africa/Gaborone
Reunion,55.8165155,error.webm,GB,"Warner, Brown and Douglas",srv-76.stanley.com,1987-10-17T04:14:54,lo,1.513700,2021-05-31 19:22:24,Pacific/Apia
United States Virgin Islands,75.6321945,ea.csv,GB,Lewis-Gordon,laptop-30.price.net,1970-12-23T12:01:20,mr,21.370702,2016-12-17 20:04:31,America/Antigua
British Virgin Islands,-62.9651045,dicta.js,GB,"Forster, Hargreaves and Skinner",laptop-94.saunders-wood.biz,2022-03-20T12:47:44,an,114.027821,1982-09-23 15:24:01,Asia/Saigon
Congo,-53.500828,rerum.mp3,GB,"Rahman, Dixon and Davis",srv-71.davey.com,1978-02-16T03:36:04,tn,-89.362197,1997-02-18 09:45:13,Europe/Vatican
Malaysia,52.3293265,sit.avi,GB,Jones PLC,desktop-53.powell.com,1975-06-16T06:16:19,csb,109.925792,2022-05-16 22:50:25,Europe/Athens
Turkey,35.8183205,at.pptx,GB,Stone-Jenkins,laptop-18.walker-evans.com,2010-02-20T20:36:55,ayc,71.787303,1972-05-01 13:55:42,Africa/Tripoli
Mongolia,-17.8955245,accusantium.mp3,GB,McCarthy-Jones,db-37.moss-bull.com,2021-10-01T06:54:05,fo,84.581647,1979-05-15 13:25:08,Asia/Seoul
Pakistan,68.1271175,necessitatibus.mp3,GB,Parker-Hyde,srv-10.fleming.com,1980-03-13T05:08:59,tk,-90.792715,1981-09-22 14:51:38,America/La_Paz
Lithuania,85.5717885,aliquid.jpeg,GB,Williams-Perry,lt-33.hopkins-williams.com,1994-07-26T16:09:15,tg,-46.833828,1987-10-27 20:33:21,Europe/Ljubljana
Burkina Faso,-23.4711905,aliquid.flac,GB,Payne-Owen,web-75.kennedy-cook.com,1996-05-28T07:20:18,am,129.171199,2022-03-02 07:15:27,Africa/Bujumbura
Nepal,31.097454,quod.webm,GB,"Jones, Murphy and Bevan",srv-70.coleman.biz,1971-05-19T21:11:20,mi,44.364572,1973-08-29 19:50:31,Europe/Andorra
Rwanda,-23.1716885,occaecati.webm,GB,"Bennett, Walsh and Mason",email-97.brown-jones.net,1970-12-10T19:36:49,niu,123.073270,2014-04-13 17:04:59,Africa/Malabo
Argentina,-14.3047295,quos.numbers,GB,Francis-Owen,lt-84.crawford.com,2007-03-27T14:00:30,da,-160.538819,2014-05-14 16:53:52,Europe/Vatican
Kyrgyz Republic,-65.851161,sint.tiff,GB,Welch and Sons,laptop-15.mitchell-green.com,2008-10-26T21:27:26,yue,-15.713225,1974-02-25 19:58:17,Pacific/Nauru
Peru,-7.1655125,quibusdam.webm,GB,Newton-Rose,laptop-87.cole.net,2018-01-06T04:14:32,szl,42.028813,1982-05-22 21:34:59,Asia/Brunei
Wallis and Futuna,18.500156,laboriosam.avi,GB,"Kelly, Winter and Simmons",web-71.ward.net,1990-08-30T15:34:26,gl,75.996178,2009-09-04 06:09:58,Asia/Pontianak
Montenegro,-83.874350,dignissimos.wav,GB,Bates and Sons,db-37.harrison.com,2005-12-30T21:27:57,st,-90.372559,2010-07-15 12:20:34,Indian/Mauritius
Congo,39.9150765,eveniet.mp4,GB,Reid-Hutchinson,desktop-80.wood.info,1984-06-15T18:18:15,lo,-77.692261,1999-07-20 21:02:12,Africa/Niamey
Bolivia,-26.4730165,alias.mp3,GB,Sykes-Moore,srv-44.owen.org,1973-04-06T07:00:26,fi,-108.686162,2010-10-06 04:21:50,Africa/Lagos
Chile,-54.318428,molestiae.jpeg,GB,Williams Ltd,laptop-12.walker.org,1990-08-31T12:16:11,si,-169.025785,1992-01-16 22:19:41,Africa/Douala
French Guiana,-81.3866315,beatae.js,GB,"Parker, Robinson and Shepherd",srv-41.jenkins-douglas.com,2009-02-24T13:51:38,mai,-120.385150,1980-12-02 03:46:44,Africa/Tripoli
Cape Verde,-7.820398,veniam.webm,GB,Kennedy and Sons,db-67.ford-carter.com,2012-05-22T20:19:05,ik,-72.032806,2011-02-16 14:30:36,Europe/Helsinki
Mali,61.0318475,corrupti.wav,GB,Nash-Moore,db-05.ellis-graham.com,1998-09-05T21:13:19,ca,-137.459261,1975-09-28 08:09:45,Europe/Vienna
Estonia,3.0650475,minima.numbers,GB,Martin and Sons,desktop-46.power.com,2015-04-18T01:52:19,mk,-142.019853,2000-04-29 03:03:27,Asia/Bahrain
Vanuatu,-59.419072,repellat.flac,GB,"Butler, Nixon and Hewitt",laptop-83.newton.com,1980-09-03T03:54:48,am,-26.378430,2021-11-04 15:21:28,America/Phoenix
Zambia,28.837980,ipsam.tiff,GB,"Howard, Robinson and Thorpe",laptop-79.brown.co.uk,1978-01-03T20:09:00,yue,-49.917731,2006-04-10 21:17:26,Pacific/Fiji
Tonga,56.1524855,nostrum.mp4,GB,Craig Inc,srv-70.nash.org,2001-03-22T09:33:38,bs,-157.121804,2005-04-15 08:25:51,Europe/Vienna
Dominica,-55.735166,qui.js,GB,"Hodgson, Perry and Robinson",db-47.richardson.co.uk,2021-02-21T06:33:22,bhb,-89.472118,2022-04-06 15:22:22,Asia/Thimphu
Wallis and Futuna,-16.6830745,perferendis.flac,GB,Atkins-Roberts,desktop-35.holland-russell.info,2016-10-27T11:32:09,doi,144.852174,1999-01-13 03:51:00,Asia/Kabul
Jordan,-31.204998,quas.mp4,GB,Houghton-Crawford,lt-91.gilbert.com,2015-12-30T12:14:22,lg,-44.281983,1988-05-15 13:53:19,Asia/Singapore
Japan,83.465071,quidem.png,GB,"Anderson, Birch and Kennedy",srv-90.miller.com,2009-05-16T08:55:46,nn,-75.562136,1987-05-07 15:19:00,Asia/Dhaka
Georgia,6.0396365,asperiores.json,GB,Cox Inc,email-07.turner-anderson.com,1996-01-08T15:38:38,el,159.958172,2009-04-28 20:32:05,Indian/Mahe
Montenegro,64.131240,reprehenderit.json,GB,Campbell Ltd,laptop-79.goodwin.biz,2017-01-03T14:22:53,pap,104.900810,1970-01-18 18:39:40,Europe/Zagreb
Cambodia,28.815271,aliquam.json,GB,"Cooper, Collins and Harvey",email-57.barnes.biz,1981-10-26T03:03:37,nr,128.317473,2010-04-19 01:11:44,America/Argentina/Rio_Gallegos
Moldova,73.1190085,ipsum.bmp,GB,Jones LLC,email-72.archer.info,1995-09-06T16:39:52,xh,125.017025,2009-09-08 17:43:29,Europe/Vaduz
Gabon,-71.609365,nam.wav,GB,Patel Inc,db-27.smith.org,2014-02-16T17:46:56,hy,29.781394,2009-03-10 21:41:03,Asia/Tbilisi
Australia,5.971632,non.mp3,GB,"Williams, Harris and Clarke",laptop-35.bailey.com,1984-08-19T23:35:49,fy,87.374667,1970-01-31 02:53:42,Asia/Kabul
Norway,-14.9918275,ea.mp3,GB,Khan Group,db-13.webb.co.uk,2020-01-07T13:40:47,the,-116.059083,1985-06-05 14:30:01,America/Santiago
Denmark,-23.463226,dolore.mov,GB,"Roberts, Campbell and Mistry",email-85.sharp.com,2009-06-01T03:03:57,el,-12.756465,2009-08-18 15:33:22,Europe/Tirane
Gambia,33.313628,suscipit.avi,GB,"Wood, Perkins and Patel",desktop-65.lyons.co.uk,2014-03-21T10:33:06,gl,120.583412,2001-06-26 20:57:17,Asia/Choibalsan
Macao,-36.4166165,dignissimos.odp,GB,Harper-Walker,email-46.davidson.net,1997-05-13T10:39:25,vi,49.418821,1987-08-11 15:48:24,Africa/Niamey
Andorra,67.521148,at.webm,GB,Smith-Mitchell,email-11.mann.com,2008-12-14T10:04:56,nso,-176.138629,1994-10-14 16:27:01,Europe/Malta
Japan,-39.849341,voluptatem.avi,GB,Williams and Sons,laptop-30.hooper.net,1975-04-11T00:06:40,wal,-32.727623,1995-10-17 15:15:39,Europe/Athens
Nicaragua,-48.448437,deleniti.bmp,GB,Rahman-Franklin,db-30.martin-wright.com,2005-12-16T17:36:57,nn,53.947609,1999-12-27 03:33:41,Asia/Tehran
Central African Republic,71.7933635,optio.gif,GB,Griffiths Ltd,lt-24.obrien-hope.biz,1995-09-16T09:23:08,ast,-48.749204,1994-09-29 15:58:17,Africa/Kampala
Netherlands Antilles,-88.1935275,harum.webm,GB,Smart-Scott,web-50.coleman.co.uk,1987-07-15T10:16:40,nb,35.816427,2021-07-07 21:41:16,America/St_Vincent
Azerbaijan,-26.6983315,commodi.mp4,GB,Kay Inc,email-21.smith.org,2006-05-02T16:15:32,ps,8.505850,1998-07-12 08:41:56,Pacific/Majuro
Dominica,-41.642313,quam.mov,GB,"Smith, Khan and Davies",web-80.perkins-gordon.com,1972-11-25T11:07:30,ms,93.911856,2020-08-16 20:32:19,Europe/Malta
Zambia,3.001082,sit.mp3,GB,Dale Ltd,desktop-87.ford-hunt.org,2018-09-07T08:48:14,da,14.071258,2001-12-29 17:00:22,Asia/Seoul
Slovenia,45.4410205,illo.html,GB,Walsh-Reynolds,srv-25.myers-lees.com,2016-05-07T21:49:14,the,116.193644,1973-06-23 15:07:22,Asia/Nicosia
Bulgaria,30.9175325,numquam.mp4,GB,Thomas PLC,desktop-93.edwards.biz,2004-04-17T05:39:23,nds,35.642889,2008-10-23 21:44:52,Asia/Beirut
Palestinian Territory,-84.8374725,perferendis.png,GB,Chan-Doyle,db-40.phillips.org,1981-01-28T18:07:53,mk,-115.428485,1974-05-28 14:20:41,Africa/Nouakchott
Mongolia,85.8571045,necessitatibus.avi,GB,Power-Davies,laptop-92.palmer.com,2014-03-02T12:33:09,tig,-134.508625,1996-12-24 08:04:48,Asia/Vientiane
Dominican Republic,-78.776456,deleniti.key,GB,Holland-Carroll,web-94.cunningham.com,2012-06-28T12:24:41,gv,134.148144,2013-04-24 18:29:23,Europe/Vatican
Myanmar,86.5405945,laborum.tiff,GB,"Webb, Miles and Fletcher",email-48.walker-rogers.net,1980-11-10T10:32:39,ug,92.847090,2013-04-02 05:10:51,Africa/Mogadishu
Saint Lucia,-8.4430865,necessitatibus.bmp,GB,"Burton, Butler and Edwards",laptop-75.begum-hill.com,1983-06-14T16:43:44,ln,-38.344506,2015-04-03 00:36:02,Asia/Ulaanbaatar
Venezuela,-11.4127835,perspiciatis.xls,GB,"Gill, Turner and Middleton",lt-32.mason.com,1974-07-28T08:08:04,kok,-124.118881,1981-07-01 05:31:00,Asia/Tokyo
Western Sahara,-48.3456415,odio.webm,GB,Graham LLC,email-84.jones.info,2005-11-17T11:39:57,ber,-10.008428,2000-01-29 09:24:28,Europe/Chisinau
Niger,82.845054,dignissimos.mov,GB,Rowe-Harper,web-80.williams-preston.com,1986-08-15T21:42:39,pl,52.277272,2000-07-31 14:45:27,Asia/Kabul
Tokelau,-66.660117,iure.mp3,GB,Boyle-McKenzie,lt-01.williams.com,1990-02-25T21:06:58,cmn,-127.118600,1982-04-01 03:33:16,Asia/Bahrain
Albania,7.973254,voluptatem.jpeg,GB,"Spencer, Matthews and Cooper",web-76.kelly-shaw.net,2005-08-07T10:55:28,nan,171.144064,2008-12-02 17:20:42,Europe/Paris
Saint Barthelemy,-6.752982,unde.ppt,GB,Singh Group,db-22.daniels-jenkins.com,2016-08-06T20:52:50,dv,13.369009,1972-01-11 05:36:10,Europe/Monaco
Brazil,-44.463699,enim.csv,GB,Lewis-Morton,db-51.greenwood-phillips.com,1993-07-21T14:24:38,he,34.546701,2005-11-08 07:05:09,America/Port_of_Spain
Georgia,60.6852235,esse.odt,GB,"King, Brown and White",srv-20.tyler-simmons.org,1983-10-26T13:20:02,cv,165.638511,1993-11-06 12:46:48,Europe/Stockholm
Morocco,-6.1199525,maiores.key,GB,Lucas-Giles,srv-49.walton-holloway.com,2014-01-04T11:28:31,apn,177.014158,1992-01-24 02:03:31,America/Asuncion
Botswana,65.5901935,esse.numbers,GB,"Williams, Bartlett and Young",db-31.thompson.com,2002-10-18T03:37:53,crh,-113.441938,1975-06-23 13:25:51,Africa/Khartoum
Luxembourg,28.6013965,iste.css,GB,Woodward Group,laptop-33.brown.com,2021-02-15T18:56:11,kok,-165.302115,2006-12-22 03:46:04,Pacific/Palau
Montenegro,18.6311655,iusto.gif,GB,Watkins PLC,db-58.webster.org,1991-05-30T11:59:03,ik,89.558431,2001-10-15 12:09:33,Africa/Lagos
Reunion,-52.3866265,laborum.odt,GB,Davis-Jordan,laptop-10.james.com,1984-11-08T13:22:56,uz,110.850507,1994-02-12 17:08:08,Asia/Beirut
Central African Republic,72.6703435,quaerat.mov,GB,"Murray, Williams and Brown",web-76.west-reeves.info,2014-06-07T01:09:16,mn,145.984670,1991-09-23 16:55:38,Europe/Stockholm
Denmark,-43.6859485,commodi.odt,GB,"Smith, Fraser and Dyer",desktop-47.dobson-jackson.com,1974-06-14T01:52:06,the,172.415079,2009-03-22 11:42:51,Indian/Mauritius
Estonia,21.033589,temporibus.flac,GB,"James, James and Pugh",lt-74.lawrence.co.uk,1986-04-06T17:45:23,dv,-21.152399,2005-12-06 09:31:21,America/Caracas
Zimbabwe,85.888486,maxime.jpg,GB,"North, Morris and O'Brien",db-26.parkin-spencer.info,2007-02-12T04:40:39,ml,-31.228141,2005-11-13 13:26:22,Pacific/Efate
Montserrat,62.5538125,expedita.tiff,GB,"Davies, Martin and Jones",db-81.harvey-mills.info,2013-09-18T06:12:07,nr,-96.408622,2007-11-07 12:03:15,Asia/Saigon
Vietnam,34.1016615,blanditiis.avi,GB,"Cooper, Adams and Austin",db-97.foster.net,1985-04-06T20:28:33,the,-120.492871,2006-09-15 03:18:16,Europe/Monaco
Luxembourg,-46.0097955,aliquam.bmp,GB,"Wells, Allen and Field",desktop-80.mcdonald-ingram.com,1993-06-19T19:24:56,si,-117.239418,2013-09-19 09:42:57,Pacific/Kwajalein
Eritrea,-12.939309,ea.csv,GB,"Duffy, James and Ali",desktop-89.winter.com,1994-12-10T04:27:39,niu,60.775251,1991-04-22 09:21:42,Africa/Harare
India,-59.2323855,sed.csv,GB,Ryan LLC,web-46.hodgson-kaur.co.uk,1984-01-08T15:06:29,tk,57.952860,1986-12-06 13:46:25,Europe/Sofia
Sao Tome and Principe,-60.036874,tempora.webm,GB,"John, Powell and Humphreys",email-16.storey-bailey.net,1988-05-01T06:32:52,hi,-20.263915,1995-08-15 10:23:32,Europe/Malta
Namibia,-58.5806095,hic.pptx,GB,Nash Group,srv-22.jarvis.net,2002-08-30T15:56:05,lo,-142.768429,1976-10-11 10:55:20,Europe/Vatican
Armenia,11.535487,dignissimos.avi,GB,"Bolton, Edwards and Miller",web-32.anderson.biz,2004-01-29T17:41:50,kl,65.590837,1977-07-16 18:42:27,Europe/Copenhagen
Senegal,-13.8701525,unde.mov,GB,Shepherd-Baker,email-78.thompson.co.uk,1973-12-13T13:08:49,crh,-104.266227,2018-04-17 18:34:54,Europe/Athens
Russian Federation,-75.3660035,inventore.js,GB,"Vaughan, Warner and Butler",srv-14.williams-adams.com,1971-01-16T15:00:19,zu,-41.951951,2012-03-02 06:40:46,Africa/Tripoli
Somalia,-22.6661445,cumque.jpeg,GB,Robson LLC,laptop-58.rowley-cameron.biz,2005-10-08T18:14:02,the,-51.904880,2018-01-18 10:38:29,Europe/Tallinn
