latitude,pricetag,hostname,random_number,timezone,language_name,date,iso8601,time,bank_country,company,mac_address,language_code,date_time
79.062498,$7.90,lt-37.roberts.net,947,America/Guatemala,Hiri Motu,2009-04-28,1983-04-16T07:04:20,03:40:41,GB,Kent-Dixon,bb:bd:ea:07:e7:36,kn,1991-07-12 03:59:43
30.5667465,$93.48,email-91.powell.co.uk,62037,Africa/Douala,Turkmen,2003-01-02,1972-12-28T11:41:29,20:39:31,GB,Rose PLC,a6:96:50:ab:a3:87,mn,1977-08-31 02:20:17
-13.0573935,$6.17,lt-59.davies-roberts.com,39326,Europe/Bucharest,Bashkir,1971-07-05,2000-05-21T14:36:00,07:53:26,GB,Preston-Davies,28:89:46:87:54:98,nr,1976-05-24 09:32:24
31.474743,"$3,656.20",desktop-07.miller.com,258400392,America/Caracas,Afrikaans,1985-02-11,1973-08-03T15:04:59,18:03:48,GB,Gray-Dale,cb:c7:a5:c7:e8:7d,dz,1988-10-13 02:00:44
77.2677245,$235.46,srv-63.collins.co.uk,80637,Africa/Cairo,Thai,1988-11-03,2000-01-17T05:45:00,03:49:41,GB,Walker-Roberts,45:4b:95:0a:3b:0f,nl,2000-03-17 06:19:27
-9.6845965,$36.75,email-38.powell.com,289470952,Asia/Baku,Western Frisian,1991-06-06,2021-08-12T20:11:56,04:53:03,GB,Benson LLC,a1:11:c1:39:96:74,tl,1997-08-07 22:56:11
-41.513060,"$1,696.59",email-95.stephens.com,440,Africa/Ouagadougou,Abkhazian,2010-11-22,2018-01-21T17:41:44,14:51:17,GB,Griffin-Jennings,bd:7a:28:fe:a6:00,be,2013-01-02 02:24:18
14.6557135,$128.52,db-04.williams.net,60798,America/Tegucigalpa,Bihari languages,2011-04-03,2016-03-11T06:49:08,13:42:17,GB,Austin-Thomas,3c:78:36:8c:b5:8c,lij,2008-01-07 15:03:47
58.1898205,"$69,574.05",web-73.bennett-moss.com,269255,Africa/Conakry,Ossetian,2023-05-20,2011-01-26T09:48:35,03:59:52,GB,Mellor-Ashton,da:14:ba:f2:47:3d,byn,1976-01-02 03:10:08
80.1384885,"$34,711.12",laptop-15.daly-elliott.info,5,America/Costa_Rica,Turkish,2006-03-28,1998-11-17T18:12:20,05:28:02,GB,Stephenson-Rogers,57:6d:7f:a7:db:4e,fr,2004-01-04 07:25:30
81.881632,"$96,435.06",db-34.nolan-davis.com,2,America/Port_of_Spain,Northern Sami,1992-06-05,1994-04-06T07:42:51,10:25:59,GB,"Morris, Preston and Hughes",7f:6f:85:7a:09:23,ss,1986-08-08 08:45:44
-12.632858,$64.86,web-70.lewis.org,766,Europe/Belgrade,Catalan,2009-04-03,1975-10-09T09:12:43,22:53:56,GB,West-Collins,70:e7:9b:8d:82:11,iu,2012-10-20 00:53:44
9.542856,$92.38,laptop-92.williams.biz,7167,Asia/Kabul,Kirghiz,2018-06-15,2005-05-11T19:51:41,23:56:27,GB,Owen-Khan,30:ba:2a:b3:21:48,ss,1988-08-26 23:22:58
-66.2853815,$49.02,srv-52.white.biz,4,Africa/Brazzaville,Tajik,1970-02-13,1991-12-30T13:52:27,08:59:18,GB,"Wright, Taylor and Ali",84:34:0e:ba:66:af,da,1994-12-07 14:15:02
30.155726,"$2,000.20",desktop-36.ward.com,13,Europe/Copenhagen,Afar,1974-09-21,2015-09-17T05:47:00,02:07:49,GB,"James, Stephenson and Lyons",f2:f4:98:10:17:5a,hne,2016-05-30 23:16:47
62.170600,$9.73,laptop-58.jones-hart.org,423458,Indian/Mauritius,Avaric,1998-02-25,2017-04-27T16:33:59,03:59:38,GB,Nicholson-Saunders,b0:27:f3:11:9b:51,st,2007-03-03 07:56:28
13.943127,$43.65,desktop-94.carr.com,1053,Asia/Tashkent,Marathi,1978-11-06,2005-04-14T17:48:18,17:47:09,GB,Mason Ltd,c0:7c:15:b9:2f:51,ak,1978-01-11 23:02:20
-59.655883,$5.48,laptop-17.cooper.com,761440,Asia/Vientiane,Ido,1991-01-14,1975-11-07T04:07:59,15:32:02,GB,"Taylor, Bray and Campbell",c4:39:28:35:13:ee,nhn,2016-06-24 12:15:43
84.9682035,"$41,156.14",web-07.williams.com,4518,America/Nassau,Bihari languages,2001-01-29,2013-10-26T19:09:02,07:48:02,GB,North PLC,f5:e9:30:37:78:bf,iw,2007-08-27 19:04:41
27.1575455,$68.25,email-03.oconnor.com,63858215,Europe/Brussels,Ojibwa,1996-05-07,1988-07-27T07:51:57,20:52:29,GB,"Brown, Johnson and Bishop",52:0a:2e:43:b3:e4,sk,1991-06-22 20:42:18
-55.0374155,"$3,542.58",web-72.brown.com,735609,Africa/Kampala,Burmese,2015-07-26,1982-04-02T05:39:58,20:13:15,GB,Thompson LLC,bf:94:ef:2e:4b:59,yue,1990-09-10 21:40:50
29.2037545,"$5,461.66",desktop-38.nixon.co.uk,8932303,America/Guayaquil,Russian,1993-02-08,2021-10-12T12:01:31,20:09:06,GB,Davies-Finch,12:0a:7a:22:00:e3,tig,1984-05-01 10:39:40
-62.2022825,$12.64,web-53.rees-king.biz,53,America/Merida,Romanian,1972-02-10,2020-01-24T05:14:18,22:50:31,GB,Turner PLC,33:13:a1:a5:ed:8b,sid,1998-06-05 22:59:41
-79.369830,$4.92,laptop-53.kennedy.org,6,America/Barbados,Macedonian,1989-08-23,1974-11-11T01:59:25,21:46:41,GB,Clarke-Brown,49:0a:60:3a:5c:5f,gu,1993-01-10 00:03:03
-29.1887955,$790.64,lt-74.benson-dyer.net,3,Europe/Rome,Fijian,2015-05-27,1993-02-15T03:40:23,19:04:49,GB,Baldwin-Morris,a9:36:0f:fb:c7:02,tig,1973-09-30 10:52:56
-31.463124,"$53,728.53",lt-55.bell.org,660,Asia/Riyadh,Catalan,1972-08-10,1971-05-19T13:52:47,16:23:35,GB,White-Johnston,cb:6f:96:67:32:e7,szl,1971-06-20 05:40:14
76.4701305,"$6,986.37",laptop-91.rogers.com,6,Asia/Hebron,Basque,1993-01-31,2015-02-14T17:45:19,14:35:56,GB,Warner-Smith,47:1a:47:41:77:d8,mn,2013-10-11 08:33:00
72.395987,$70.14,srv-05.naylor.com,60210534,Europe/Berlin,Afrikaans,1972-04-07,2011-06-14T10:47:16,05:53:56,GB,Clarke LLC,5e:58:90:0a:99:74,lt,2022-06-18 11:11:34
-43.680415,$5.99,web-74.tomlinson-phillips.com,72083203,Europe/Bucharest,Kurdish,2019-02-26,1976-10-01T19:59:58,17:02:40,GB,"Smith, Khan and McCarthy",d7:0f:41:1e:ce:b1,br,2005-12-01 06:35:49
78.370353,$97.15,laptop-13.newman.com,851,Africa/Bangui,Latin,1986-04-27,2012-05-11T04:57:49,09:00:29,GB,"Moss, Turner and Webster",40:bd:5d:2d:b2:fa,ko,1983-02-12 22:23:02
67.017543,"$7,651.95",lt-91.bentley.com,8751,Asia/Dhaka,Marathi,2016-10-13,2009-02-04T15:59:45,10:04:41,GB,"Holloway, Hudson and Bates",99:28:14:bd:27:26,dz,2012-11-16 05:37:12
3.802543,"$1,276.75",web-85.smith.biz,95,America/Mexico_City,Hiri Motu,1982-09-26,2022-12-26T09:30:16,23:37:14,GB,Skinner LLC,f9:8d:32:1f:56:05,am,1981-02-12 03:58:51
29.030909,$953.59,lt-84.dean-bates.com,1,Asia/Vientiane,Sango,2002-11-28,1987-04-12T01:23:49,00:21:34,GB,Allen-Myers,7f:d5:05:24:4e:b4,xh,2000-01-28 16:21:31
7.5289285,$40.80,db-48.smart.com,875299,Indian/Mauritius,Slovenian,1994-11-02,2021-03-27T03:17:51,06:20:49,GB,May-Knowles,a3:16:af:c0:03:f5,lg,2017-02-07 18:25:40
13.3402745,$9.81,lt-58.ahmed.com,71,Africa/Bangui,Javanese,2012-01-22,1977-06-13T02:43:39,06:29:09,GB,Holden PLC,1b:75:04:49:ec:d1,bg,1974-11-26 06:21:35
-35.5798795,$19.83,srv-59.williams.net,8,Europe/Bratislava,Nauru,1976-06-04,2016-06-01T17:56:16,09:15:52,GB,Marsden Group,8f:b0:6a:d3:f3:e0,ru,1981-03-20 20:58:49
80.8230395,$9.24,db-20.west-williams.com,52845,Africa/Niamey,Swahili,1983-08-24,1971-01-05T01:21:27,22:43:55,GB,"Bryan, Byrne and Bennett",f0:49:44:65:3f:f1,nso,2013-05-14 09:01:42
41.7985835,"$82,664.47",laptop-07.buckley-west.org,605,Pacific/Auckland,Shona,1992-08-02,1991-01-16T15:16:58,05:42:37,GB,Cox-Willis,97:c1:2f:1b:cc:2d,iu,1984-07-24 06:03:13
-41.266195,$982.12,desktop-46.shah-cox.com,834602,Asia/Katmandu,Akan,1982-09-12,1971-06-15T15:43:29,07:56:02,GB,Day-Evans,57:c2:36:e2:b5:bd,lt,1978-02-06 07:39:18
-0.413660,"$8,273.76",lt-91.brown-russell.com,1286574,Asia/Muscat,Kuanyama,1974-04-14,2009-05-29T19:52:57,11:04:38,GB,Wood-White,11:d2:48:e4:4c:d8,ayc,2011-06-26 09:58:11
-78.127137,"$78,221.85",desktop-80.moore.biz,7136,Africa/Gaborone,Akan,2022-01-13,2002-05-22T16:14:21,11:04:27,GB,Tyler and Sons,55:05:b3:c1:97:66,se,1978-12-13 04:38:09
76.9353805,$9.38,web-87.bond.com,83247,Africa/Blantyre,Thai,1990-07-23,2001-01-27T14:05:45,14:32:24,GB,"Rees, Turner and King",f4:98:9d:e5:aa:4b,nso,1985-05-06 15:46:04
-40.2574945,$47.90,lt-50.palmer.com,751251,Europe/Paris,Slovak,1975-06-27,2000-03-23T13:21:29,21:47:21,GB,Thompson Inc,39:4d:9e:ce:c5:3c,tg,2017-05-10 08:30:29
39.693845,$3.31,email-06.taylor.com,450645460,Asia/Ashgabat,North Ndebele,1979-02-04,1971-06-04T23:40:55,23:00:09,GB,Anderson-Harrison,4e:ea:23:56:94:8d,om,1980-07-19 22:11:47
-20.4381605,"$9,141.25",srv-73.ferguson-burke.info,8053,Europe/Sofia,Abkhazian,2022-07-04,2000-05-03T19:46:19,01:59:31,GB,Baker Group,17:86:e6:19:b6:1a,sd,2016-04-22 10:09:19
-67.471083,"$29,600.25",web-28.richardson-carpenter.net,740254,Asia/Dhaka,Walloon,1974-07-07,1987-06-11T00:00:42,15:34:32,GB,Pearson-Waters,ba:87:b5:af:1f:0b,hi,2003-02-04 16:08:06
48.391418,$3.82,db-22.wyatt-brooks.org,260127292,Europe/London,Romansh,1976-04-02,1996-08-10T07:51:39,19:44:09,GB,Walker-Jones,4f:f2:cb:cc:d2:d2,ce,2013-02-10 15:54:51
81.860331,$74.15,srv-44.nash-robinson.com,1149,Africa/Douala,Uzbek,1978-10-10,1994-08-16T05:47:17,13:58:37,GB,Wilson-Jones,b2:1e:39:96:ca:1f,cy,2018-01-25 16:50:52
-44.8436745,"$8,409.40",srv-78.curtis-poole.net,5476,Africa/Harare,Komi,1970-01-12,1972-07-09T02:28:51,18:26:23,GB,"Stokes, Clarke and Miah",13:a6:4d:85:c7:f9,ar,1993-10-24 00:16:47
-66.718955,$15.29,lt-39.clark.com,67451743,Europe/Ljubljana,Walloon,1980-09-27,2001-06-01T02:04:45,07:17:41,GB,Tucker-Edwards,2c:3b:7f:85:22:f0,ts,2014-10-21 06:50:50
-29.390269,"$77,270.65",laptop-87.sullivan.com,235288435,America/Belize,Lao,2005-05-16,1984-10-18T08:04:04,09:43:41,GB,Fraser-Ward,85:44:9f:36:c1:51,tl,2019-05-05 12:46:27
0.509646,$9.04,lt-90.bentley.com,189859615,Africa/Luanda,Armenian,1986-04-05,1976-05-26T04:17:35,23:28:07,GB,Jones-Matthews,83:b0:78:e3:86:7a,mr,1998-02-10 01:32:39
11.035862,$15.17,email-84.wilson.com,7,Europe/Skopje,Welsh,2007-09-05,2009-10-10T21:05:04,10:48:44,GB,"Hall, Shah and Russell",8a:9f:22:3d:cb:99,ms,2023-06-18 22:10:19
64.184658,$728.29,srv-34.davis.biz,45167244,America/Costa_Rica,"Sotho, Southern",1995-10-09,2015-10-08T07:33:12,03:20:52,GB,Graham-Wallace,8f:a2:f2:21:18:07,ka,2005-07-24 04:36:22
-63.9100455,"$34,578.69",email-65.humphreys-dyer.co.uk,19,Europe/Monaco,Georgian,2008-12-10,2010-08-14T04:29:41,10:51:36,GB,Hale Inc,fe:25:01:62:0e:1e,dz,1976-04-14 12:54:10
0.902720,$86.08,email-20.richards-allen.com,597288,Africa/Monrovia,Hebrew,2002-05-28,1995-07-10T08:08:52,20:39:46,GB,Morris-Morton,a7:6c:89:d6:28:08,bn,2017-01-18 13:12:28
81.562478,"$4,502.43",srv-28.harrison.com,845,America/Indiana/Marengo,Persian,2008-06-11,1970-02-12T19:53:04,07:00:02,GB,Smith and Sons,98:80:01:ee:8c:2f,af,2008-11-04 06:41:35
-1.9513455,$563.99,lt-30.hodgson-bennett.net,52734,Asia/Singapore,Romansh,1975-05-03,1992-02-09T23:00:22,06:01:39,GB,Ellis-Cox,76:9f:bd:de:6c:cb,nl,2017-05-03 15:40:35
-88.9251445,"$90,425.10",lt-24.ferguson.com,4538407,Europe/Helsinki,Breton,2013-02-04,1977-12-18T10:25:23,04:16:44,GB,Field and Sons,74:c7:72:ec:cf:74,am,1980-10-28 07:17:18
16.527070,$4.51,db-90.jones.co.uk,92,Asia/Baku,Bislama,1987-05-01,1993-03-06T19:52:02,05:16:09,GB,"Jackson, Bishop and Francis",cb:69:09:8e:6c:ca,wa,1981-09-28 18:30:30
-33.536044,$887.89,srv-25.johnson.com,67925783,America/Panama,Hausa,1974-12-30,1999-12-27T00:40:19,10:41:40,GB,Wade Inc,27:04:a0:50:17:a9,lzh,1984-01-21 22:13:52
-4.051579,$533.87,db-65.wright.com,938,Europe/Ljubljana,Kikuyu,2018-10-01,2017-03-20T01:42:56,07:50:35,GB,Rogers and Sons,25:1b:26:74:45:a0,fur,2016-08-24 03:56:36
6.623221,"$71,273.41",lt-30.russell.com,5,Europe/Riga,Assamese,1977-07-29,2006-08-18T18:08:47,06:55:29,GB,Hunt Ltd,57:6b:94:f1:fb:21,sk,1971-02-03 14:32:22
-27.468486,"$6,638.56",db-36.stephenson.com,346117,Europe/Monaco,French,1982-03-06,1978-05-11T14:36:34,07:48:19,GB,Baker-Thomas,42:53:54:30:f1:d3,shs,2014-10-29 00:16:00
77.2513105,"$1,827.76",srv-02.brown-hammond.info,6870,Europe/London,Bashkir,1975-04-22,1983-01-21T04:16:36,22:03:23,GB,"Johnson, Wilkinson and Griffiths",4c:12:8d:f0:bc:20,zh,2014-04-17 11:46:45
-17.4621295,"$79,852.18",laptop-63.king.com,75676496,Pacific/Kwajalein,Bengali,2021-12-20,2021-06-03T03:44:21,17:38:13,GB,"Nixon, Knowles and Price",1b:a5:49:ce:40:74,mi,1972-03-09 18:36:38
26.444156,"$61,637.19",lt-89.jones.com,705105,Asia/Bangkok,Swati,1993-01-04,1987-05-29T20:46:49,22:08:10,GB,Kemp Group,61:4b:3a:67:32:5e,ta,1990-07-12 01:25:38
-33.440727,"$6,119.96",web-48.horton.info,27606568,Europe/Berlin,Norwegian,2015-07-10,1987-08-29T08:41:23,00:45:43,GB,"Moss, Howard and Roberts",42:b5:20:8a:16:dd,mg,2000-11-27 08:42:47
-81.1443945,$132.34,laptop-64.kelly-webb.com,6106,Africa/Malabo,Avestan,1989-11-27,1997-12-09T10:00:47,14:12:46,GB,"Nicholls, Fraser and Robson",51:32:85:66:11:30,doi,1999-09-09 04:12:34
25.968753,$5.52,db-40.chapman.com,736,America/Bogota,Czech,1993-01-07,2015-04-04T05:39:36,16:44:20,GB,Brown-Kaur,7e:63:2f:41:e1:04,cs,1978-06-24 12:41:40
-60.938629,"$3,953.44",lt-96.mahmood.biz,41,Europe/Vatican,Gaelic,1970-02-08,1993-08-12T23:23:16,11:43:54,GB,"Davies, Morgan and Jones",94:d9:69:f5:dd:d3,oc,2017-06-06 07:08:13
-34.972705,"$27,617.45",srv-59.webster-potter.co.uk,2709,America/Guatemala,Esperanto,2001-11-01,1989-07-23T03:04:28,15:00:30,GB,Johnson and Sons,95:12:50:3c:c1:6f,tr,1990-10-29 18:53:02
-1.264853,"$3,339.56",lt-88.bentley.com,6839,Africa/Monrovia,Bosnian,1999-12-18,1983-03-01T11:19:28,10:51:18,GB,"Hancock, Sutton and Simmons",88:08:d4:33:57:ef,he,2014-10-15 23:57:11
88.796137,$17.45,web-56.jackson-chapman.com,4179194,Asia/Pyongyang,Serbian,2001-10-07,1998-07-11T00:19:44,17:15:25,GB,"Briggs, Yates and Poole",14:95:06:2c:95:94,mk,1992-03-05 05:12:25
-15.3759665,"$5,577.20",lt-13.austin.info,4,Europe/Paris,Tibetan,2013-02-22,1975-04-04T07:37:25,09:55:26,GB,"Slater, Stevens and Cooper",5f:f9:3e:6e:d5:df,pap,2010-07-22 05:06:02
-37.208174,"$71,961.33",email-57.jackson.com,98967,America/Tegucigalpa,Lao,1984-11-13,2009-04-03T21:29:17,21:55:06,GB,Taylor PLC,18:34:93:ca:05:1f,kl,2007-04-09 23:48:48
-28.519706,$6.03,srv-31.fraser-stevenson.net,14532937,Pacific/Tarawa,Sinhala,1999-04-07,1982-12-31T11:41:38,21:17:30,GB,"McKenzie, Houghton and Booth",76:9f:f9:21:58:d7,iw,2011-04-06 11:45:45
75.1141885,$29.27,db-14.hunt.com,540056,Asia/Kabul,Inupiaq,1993-08-07,2015-12-03T08:33:50,11:36:36,GB,"Fox, Williams and Williams",26:4d:f1:4e:ee:f4,lzh,2020-04-16 07:49:33
-41.875887,"$10,785.48",srv-78.shah.net,6339911,Europe/Monaco,Uzbek,1997-07-30,1993-12-26T13:28:58,14:39:57,GB,Duffy PLC,92:74:5c:ec:21:69,tr,2009-02-08 03:19:51
-27.2808495,"$54,918.58",laptop-86.robinson.info,70133,Africa/Luanda,Guarani,2016-11-02,2020-09-29T16:21:09,02:22:28,GB,Fisher and Sons,1f:8d:cd:97:39:67,ast,1981-07-27 16:53:21
-48.254362,"$48,652.24",srv-81.reed.com,640,America/El_Salvador,Tahitian,2012-07-01,2021-01-19T00:21:17,03:24:39,GB,Lucas-Matthews,d2:37:a2:11:2b:12,sl,2011-12-07 18:11:21
-85.4114705,$856.80,db-44.lowe-begum.com,88,America/Grenada,Vietnamese,1973-03-26,1986-03-09T03:21:55,15:39:29,GB,"Fry, Wyatt and Hunt",e5:09:f2:dd:53:fd,gv,2006-08-23 08:14:40
-11.910937,$580.30,db-49.martin.net,85,Asia/Amman,Serbian,1977-11-16,1992-10-29T21:37:59,17:44:29,GB,Skinner-Dennis,2f:dc:da:e3:25:98,mn,2017-01-20 00:35:10
-9.571695,$0.48,db-71.rose.co.uk,172970,Africa/Luanda,Korean,2011-06-28,2002-06-24T20:34:48,15:25:24,GB,Burgess LLC,6c:76:9f:c8:93:02,fr,2007-03-31 02:29:33
86.9031705,$9.62,lt-78.iqbal.com,85,Europe/Tallinn,Portuguese,1986-08-23,1987-04-02T15:19:51,12:18:41,GB,"O'Connor, Foster and Thompson",a8:45:9b:e1:f4:db,wae,1977-09-15 20:47:18
-53.755961,"$2,861.89",laptop-30.hill.com,5,Asia/Oral,Hebrew,2012-06-10,1971-02-18T02:31:11,13:46:01,GB,Wilkins-Robinson,ea:65:24:93:a6:50,kw,2010-04-03 12:40:56
76.822379,$0.50,lt-00.pickering.biz,917514,America/Havana,Ossetian,2012-11-28,1987-04-02T05:53:22,22:06:23,GB,Taylor and Sons,44:18:90:f7:c4:49,oc,1997-11-09 05:49:12
-23.639086,"$2,253.00",email-14.hanson.com,359,Asia/Hebron,Fijian,1986-04-06,2003-03-30T17:50:13,01:05:49,GB,Ward Ltd,45:88:92:37:19:03,ja,2023-02-13 16:43:01
-56.8183445,$1.29,lt-72.fry-griffiths.info,26182,Asia/Jakarta,Thai,1975-09-12,2011-04-19T15:35:17,12:12:30,GB,Morgan Group,24:19:ea:16:2a:a1,ia,1995-06-27 10:30:06
-59.6954875,"$9,346.03",srv-32.khan-harper.net,9539,Africa/Maseru,Turkmen,1978-03-05,1987-08-19T07:06:28,10:02:21,GB,"Parry, Khan and Webb",b1:75:e2:fe:1c:05,as,1990-10-07 01:19:08
-66.097353,$3.36,laptop-67.wood-ingram.biz,1,Indian/Antananarivo,Maltese,2018-06-29,2008-03-25T13:21:54,22:19:54,GB,Coates PLC,b7:8b:91:f4:cd:eb,lv,1978-10-18 21:16:05
64.417017,$656.37,laptop-99.ford-carter.biz,692924,Indian/Mahe,Divehi,1971-08-29,1989-03-17T11:24:34,02:59:04,GB,Williams-Hall,d6:91:0b:13:9e:5f,am,1978-12-22 04:11:03
49.236973,$36.79,db-10.baker.com,931183,America/Asuncion,Kuanyama,2013-01-25,2013-09-24T15:02:54,03:35:25,GB,"Parsons, Hill and Barnes",03:5f:8d:f3:74:d4,ha,1974-11-11 01:14:31
3.9133355,$88.61,web-76.ahmed-patel.net,495,Europe/Zaporozhye,Sardinian,1997-09-06,1992-10-16T05:58:08,00:36:10,GB,Mills PLC,91:c9:1c:20:5a:ca,br,1987-06-06 21:49:34
23.008760,"$99,331.66",laptop-42.lawrence.com,281,Africa/Ouagadougou,Nauru,2014-02-13,2002-03-08T20:37:07,03:40:00,GB,Cunningham-Smith,6b:a5:9e:28:09:ad,se,1997-03-11 03:28:18
-7.2895375,"$1,828.71",srv-14.allen.net,7692659,Europe/Belgrade,Marathi,2002-05-11,1975-09-07T03:21:19,01:41:51,GB,"Owens, Clarke and Evans",4b:12:6c:76:e0:55,kok,1981-11-16 07:05:20
62.2894595,$9.82,email-15.morley.org,10529523,Asia/Karachi,Sindhi,1986-08-18,2010-05-14T03:13:47,02:08:07,GB,Griffiths-Williams,f8:91:b2:83:9c:13,te,1978-11-22 00:06:19
-31.708460,$28.90,db-28.davies-taylor.info,240868396,America/Managua,Bulgarian,1987-02-02,1971-07-09T14:01:39,23:23:16,GB,Gibbons-Smith,3e:37:c1:80:3e:b3,fa,1989-08-07 02:17:53
-12.641424,"$1,314.84",web-61.jennings.com,956,Africa/Ceuta,Czech,1976-02-28,2001-06-06T03:54:11,01:21:49,GB,"Jones, Norton and Gardner",b0:4c:ae:26:48:c8,shs,1985-02-22 11:55:45
-30.780994,"$8,630.58",srv-08.slater.biz,39,America/Guyana,Spanish,1985-01-14,2004-12-05T03:38:52,00:59:32,GB,"Newton, Lynch and Johnson",89:96:dc:68:0d:c7,brx,1974-06-28 14:04:35
-8.406426,$6.94,lt-22.alexander.org,0,Africa/Tripoli,Sinhala,1999-06-05,2006-10-27T13:49:37,01:02:15,GB,"Ward, Akhtar and Carter",d1:c1:da:ca:30:1d,os,2001-07-13 06:32:40
78.5976715,$3.16,srv-92.young-johnson.net,672483830,Africa/Nairobi,Kinyarwanda,2000-05-08,2022-02-17T04:34:54,22:49:05,GB,Sharpe and Sons,1c:58:e2:06:ae:62,ky,2001-03-09 16:34:22
38.424922,"$94,700.36",lt-68.allen.com,930,Asia/Damascus,Kinyarwanda,2019-11-23,2010-11-09T03:47:20,09:30:17,GB,Howell-Wilson,88:b9:9b:d6:57:2a,nhn,2016-09-19 09:59:48
45.0086365,"$70,235.98",lt-76.johnson.com,7,Africa/Maputo,Tajik,1986-03-18,1982-06-03T03:07:40,05:58:34,GB,Fox-Owens,c9:3c:ac:7b:39:e8,ia,2021-03-11 01:48:39
35.1264435,"$8,392.64",lt-62.wilson.org,9402773,Africa/Algiers,Lao,2014-08-30,1980-05-03T02:00:45,05:35:25,GB,Baker Ltd,2e:5f:21:2b:42:c3,nds,2000-02-20 17:07:08
