random_number,language_name,iso8601,country,language_code,longitude,company,bank_country,latitude
23792291,Maori,2021-10-29T23:51:12,Malawi,fr,109.123244,"Ziegler, Schoch and Haas",CH,84.5356005
90,Avaric,1971-11-14T08:22:39,Oman,nl,68.254617,Felber Ltd,CH,-4.326682
20,Kurdish,1990-11-04T00:10:11,Guinea-Bissau,mni,-72.229917,Bolliger-Jenni,CH,-46.1578625
5696069,Luba-Katanga,2007-06-13T21:44:01,Kiribati,fo,-47.162199,Braun Group,CH,16.3851595
532119282,Western Frisian,1986-05-06T11:00:30,Mexico,mk,-26.091869,"Hunziker, Brunner and Wolf",CH,-8.9903125
35,North Ndebele,2010-01-13T07:25:48,Kenya,es,173.147018,"Wolf, Lehmann and Schwab",CH,72.6542255
9373199,Kazakh,1986-06-25T23:05:53,Hungary,niu,58.243280,"Michel, Stadelmann and Hofmann",CH,69.292454
1808720,Quechua,1984-06-24T22:29:29,Malta,ne,-87.616963,Seiler Inc,CH,-40.0390475
23307732,Tigrinya,1971-03-22T10:15:36,Djibouti,sl,171.163219,"Meyer, Geiger and Brun",CH,-25.4908255
472954,Persian,1986-12-05T06:30:32,Finland,ar,-28.396137,"Jäggi, Beck and Bolliger",CH,51.1941645
4,Yoruba,1980-11-11T17:56:40,Libya,sq,164.349724,Stucki Ltd,CH,86.891358
886211430,Hausa,1971-05-01T08:19:24,Jordan,ga,-18.568745,"Gloor, Schoch and Wirz",CH,61.8981485
83542,Catalan,1984-04-17T08:07:55,Nauru,nb,88.647848,Steinmann and Sons,CH,-87.858809
4664,Basque,2001-08-12T13:18:44,Germany,br,105.122632,"Walter, Blaser and Schaller",CH,-85.9660485
4414,Javanese,1991-12-03T09:49:41,Dominica,ca,144.519718,Sidler and Sons,CH,63.728111
94333,Tatar,2002-09-26T16:32:12,Monaco,lzh,87.073044,"Stalder, Wehrli and Fischer",CH,-54.0225385
88424,Vietnamese,1974-05-09T20:12:28,Luxembourg,the,177.889016,Näf-Steiger,CH,75.950355
22489511,Corsican,2020-03-17T14:19:45,Kuwait,os,31.284177,Schürch-Steinmann,CH,-49.6014135
42156,Kongo,1989-04-27T12:37:53,Belgium,es,-12.080150,Vogel Inc,CH,-36.190796
746802553,Venda,1971-02-28T15:26:48,Liberia,sl,175.737078,Peter-Albrecht,CH,-12.5782045
51,Wolof,2006-01-18T06:17:24,Poland,mni,91.386623,Schuler-Siegrist,CH,-24.3974715
682226,Croatian,1985-08-13T06:12:25,Eritrea,hy,-85.312038,Bosshard Inc,CH,59.972952
854,Hungarian,2021-08-31T13:41:13,Thailand,gu,-70.871970,Bühlmann-Eichenberger,CH,-86.5745455
5816,Somali,1974-07-02T16:58:54,Iraq,tg,25.198671,Meili and Sons,CH,24.405748
19,Ganda,2013-08-16T12:40:39,Ecuador,szl,-14.588929,"Zbinden, Ziegler and Bader",CH,3.8613005
7,Malayalam,2023-09-01T07:50:42,Iraq,ia,68.575757,Schneider and Sons,CH,2.259180
501658,Ndonga,2021-10-19T04:48:31,Tunisia,rw,35.345677,Roth-Fuchs,CH,45.835884
72791,Kannada,1978-04-23T22:11:28,Kyrgyzstan,vi,131.193601,Grob LLC,CH,-30.6721545
82,Kirghiz,1994-04-25T07:01:56,Sweden,ky,-110.166363,Müller-Marti,CH,88.3755885
209031638,Swahili,2009-03-31T15:46:29,Indonesia,kk,-46.520510,"Seiler, Frey and Wolf",CH,45.4713965
418,Western Frisian,2002-06-03T20:36:11,Venezuela,ig,-80.552858,"Bosshard, Wenger and Lang",CH,-49.2723575
73,Tagalog,2013-12-30T16:42:12,Saint Kitts and Nevis,az,-171.384604,Probst-Bernasconi,CH,-20.6459375
510313145,Marathi,2022-12-13T00:43:38,Russia,ig,-155.553112,"Wirth, Koch and Schenk",CH,67.209820
981589,Lao,1991-02-03T20:15:40,Senegal,li,9.609167,Huber-Bühlmann,CH,-56.8295865
964782624,Maltese,2022-06-22T03:58:38,Mali,lg,90.831378,Weber-Stauffer,CH,25.246517
21666,Twi,2019-10-14T17:50:33,South Korea,th,-99.021084,Ott and Sons,CH,82.314670
76253618,Samoan,2004-04-18T06:33:16,Georgia,bs,178.326890,Ackermann-Bühlmann,CH,-19.4885115
0,Avaric,1984-07-31T07:13:20,Croatia,ha,60.411386,Berger and Sons,CH,30.251259
497285919,German,1981-07-30T18:57:11,Algeria,uk,-159.677411,Forster and Sons,CH,35.9722845
8587977,Inupiaq,1988-09-20T16:51:26,Trinidad and Tobago,wal,98.145845,"Aebi, Felber and Lüscher",CH,-86.6108385
68523496,Tswana,1985-05-12T15:31:26,Equatorial Guinea,ko,-64.316442,Moser PLC,CH,-23.4249595
255551,Galician,1980-04-01T00:25:17,Togo,quz,-67.682304,Scheidegger-Wagner,CH,-6.4090375
477185,Swedish,2005-06-08T17:45:30,Norway,sd,-60.694320,Stucki LLC,CH,10.6335835
976,Azerbaijani,1996-12-21T20:52:58,Turkey,nds,178.492645,"Roth, Zingg and Gerber",CH,-75.5515205
62,Amharic,1997-09-07T04:45:19,Senegal,tig,49.944231,Fehr and Sons,CH,-37.6363585
34217,Zulu,1982-11-20T22:29:27,Serbia,lb,-91.132949,Schnyder-Jost,CH,-44.4225875
6104,Bislama,1976-07-06T16:06:12,Moldova,mhr,69.377813,"Stutz, Bär and Berger",CH,11.3495795
6,Kazakh,1984-05-11T08:17:44,Solomon Islands,bg,-153.053915,Meyer-Eugster,CH,-0.264450
124303,Chinese,2007-11-19T22:25:59,Senegal,mai,110.682906,Imhof-Hofmann,CH,-19.052233
7863386,South Ndebele,2021-04-06T05:44:55,Solomon Islands,hr,139.617243,Schmid-Schenk,CH,-53.167220
105545,Oriya,2007-01-07T15:10:28,Maldives,cs,121.951081,Graf-Wegmann,CH,0.3183895
6,Navajo,1978-01-23T12:17:07,Kiribati,yo,129.741423,"Zehnder, Schaller and Bättig",CH,-40.0054985
554755,Chamorro,2002-11-19T20:21:59,Kiribati,unm,-69.232167,Vogel-Wirth,CH,86.6414235
764002,Sanskrit,2022-07-29T08:28:25,Saint Vincent and the Grenadines,ht,143.781074,Bernasconi-Bosshard,CH,-30.727941
265890237,Tahitian,1981-12-21T23:46:45,Kuwait,hy,-34.854380,"Favre, Blaser and Schär",CH,-60.724738
221,Russian,2016-01-01T06:34:13,Mali,tcy,106.481135,Pfister-Baumgartner,CH,-72.840945
9,Telugu,1981-12-06T12:32:08,North Macedonia,yo,77.686464,"Probst, Bauer and Peter",CH,80.675488
262232,Tsonga,2007-08-12T02:30:06,Kiribati,mk,-172.801138,"Benz, Sutter and Jäggi",CH,-6.122085
541,Tagalog,1984-03-04T07:41:30,Paraguay,bem,115.405913,Leu-Schuler,CH,-76.156673
67557846,Nepali,1998-07-30T11:29:41,Senegal,sl,-148.456243,"Bieri, Bosshard and Lehmann",CH,13.4025515
40471513,North Ndebele,1988-10-27T17:20:38,Belgium,cv,-145.234626,"Erni, Walter and Spörri",CH,-14.2931925
1,Romansh,1997-06-02T07:57:43,Zambia,pl,169.192034,Burri and Sons,CH,36.9121155
2365,Gujarati,2016-04-20T13:39:28,Saint Lucia,li,-145.370013,Steiner-Hartmann,CH,11.6175875
3807471,Assamese,1983-11-02T19:25:34,Belize,tcy,110.618870,Flückiger-Gross,CH,12.4302505
192,Galician,2007-04-04T14:52:41,India,sc,117.861754,Huber Ltd,CH,40.2673595
410101628,Amharic,2005-09-15T20:14:49,Chile,nn,131.587586,Probst-Hodel,CH,3.605563
657812,Cornish,2006-05-27T18:59:46,Kiribati,uk,-20.546147,Braun-Schwab,CH,31.4694685
343900,Czech,2003-10-04T15:51:19,Central African Republic,ur,-163.086388,Bianchi PLC,CH,-57.1825985
52309284,Northern Sami,2018-10-03T14:08:52,Venezuela,ko,-25.932649,Wüthrich Ltd,CH,53.1523005
66,Portuguese,1992-07-05T11:20:50,Ecuador,quz,-102.772857,"Kessler, Meyer and Hunziker",CH,-17.303485
921,Chechen,1999-05-02T07:45:54,South Africa,ha,91.646797,Moser Ltd,CH,48.5271445
7229694,Chuvash,1988-06-26T11:12:18,Albania,id,147.037219,Graf-Schlatter,CH,-9.2606875
5347,Zulu,2012-04-04T13:31:23,Marshall Islands,ast,45.116337,Portmann Group,CH,43.165565
8,Komi,1999-01-21T21:07:32,Latvia,eo,118.009905,"Bauer, Keller and Jost",CH,-32.9830555
2,Kurdish,1972-12-20T18:06:01,El Salvador,gez,-41.833499,Wolf and Sons,CH,-7.1424065
67936529,Igbo,1980-12-15T05:05:58,Dominica,ff,99.643179,Hauser LLC,CH,-73.7808885
766,Amharic,1989-05-22T03:35:46,San Marino,uz,-46.071568,Brun-Vogel,CH,-67.1967335
897,Armenian,2004-04-10T12:28:28,Benin,lg,10.406392,Hirt Group,CH,-17.729898
3,Cornish,2002-09-04T20:02:42,Grenada,oc,37.558619,Näf Group,CH,25.071649
25227,Divehi,2021-03-24T18:10:15,Maldives,aa,110.663755,Leu-Zürcher,CH,-13.169612
788928,Bengali,2004-07-22T11:52:03,Uruguay,ce,-1.008103,"Bühler, Mayer and Scherrer",CH,38.7377855
610976,Igbo,2005-11-05T16:47:27,Cambodia,pap,-138.388705,Meili LLC,CH,-84.599052
49,"Sotho, Southern",1985-05-21T09:02:26,Sudan,da,137.471924,Hug-Schnyder,CH,-65.498155
2177159,Nepali,1971-07-28T15:40:34,Republic of Ireland,ja,60.741411,"Schoch, Schweizer and Stauffer",CH,-28.2691765
3035673,Arabic,2005-09-30T07:52:09,East Timor,mi,-55.322231,"Zbinden, Meister and Blum",CH,28.792034
2,Lithuanian,2019-01-12T01:47:52,Finland,kn,-108.535613,"Sigrist, Gasser and Bolliger",CH,15.398075
984,Malay,1995-09-22T17:19:47,Slovakia,wo,-121.824966,Koch-Schnyder,CH,-6.127642
7439,Shona,1985-05-07T20:07:56,Taiwan,brx,157.161541,Schwarz and Sons,CH,-61.442840
338047526,Uzbek,1978-01-18T08:05:01,Luxembourg,el,8.791785,Favre-Widmer,CH,10.1356765
378,Arabic,1997-10-06T03:26:08,Mexico,doi,174.932535,"Moser, Käser and Steinmann",CH,-47.4944135
42245,Wolof,1985-12-10T11:42:37,France,nhn,157.643965,"Stalder, Koch and Frick",CH,34.173278
808155978,Macedonian,2001-12-27T01:21:20,Israel,yi,-98.047239,Egger Group,CH,62.1319125
667181838,Uzbek,1976-05-29T16:28:11,Lithuania,af,-94.743996,Häfliger and Sons,CH,13.7913735
820805,Sindhi,2012-07-17T05:14:14,Georgia,ur,86.931021,Schnyder PLC,CH,-84.757558
633764143,Estonian,1974-04-12T10:16:43,Madagascar,fr,86.032598,Leu-Kern,CH,21.0401105
48,Central Khmer,2012-04-25T12:55:04,Monaco,ia,-148.544852,"Bader, Maier and Hofmann",CH,34.1762265
737041689,Czech,1977-05-03T06:00:20,Paraguay,sat,-122.644973,"Brun, Zehnder and Stettler",CH,-66.099034
145317009,Breton,1994-12-30T22:06:06,Guatemala,fo,30.630478,"Walter, Vogt and Rüegg",CH,-79.238997
81,Kikuyu,1987-06-02T01:12:14,United States,nb,61.963301,"Betschart, Spörri and Hürlimann",CH,86.685493
11,Cornish,1993-02-27T19:29:06,Federated States of Micronesia,fa,-143.449218,"Frei, Furrer and Zbinden",CH,16.528705
47233,Tatar,1988-05-28T01:59:50,Lesotho,nb,-41.308559,Frei and Sons,CH,-12.3478525
0,Abkhazian,1973-09-15T14:37:20,Poland,iu,2.255264,"Furrer, Fischer and Schweizer",CH,8.0805615
652,North Ndebele,2003-06-26T19:50:16,Seychelles,th,133.327688,"Lehmann, Frei and Fankhauser",CH,-39.8179905
763099115,Ojibwa,1984-10-08T04:23:04,Jordan,sd,3.121834,Küng-Hodel,CH,16.8180605
62,Inuktitut,1973-08-23T23:08:07,Guyana,hu,-54.897677,Schneider Group,CH,40.8392945
2,Navajo,2020-09-26T09:25:15,Tajikistan,shs,115.165377,Furrer-Bucher,CH,52.246787
90503,Serbian,2003-10-04T14:41:50,Cyprus,iu,-95.281503,"Müller, Bosshard and Rüegg",CH,41.6403095
188,Catalan,2006-10-16T20:21:12,Dominican Republic,mr,1.669124,"Graf, Probst and Iten",CH,62.541123
851,Nepali,2017-06-10T16:23:57,Tanzania,ia,137.362312,"Scherrer, Walter and Haas",CH,-41.081093
28162536,Hausa,1994-06-25T17:12:35,Lebanon,li,177.661130,Schweizer-Ferrari,CH,-83.054789
735298878,Slovak,1994-12-31T11:44:56,Brunei Darussalam,lt,-54.438554,Kern-Friedli,CH,-45.4516845
534,Kannada,1984-02-13T13:40:56,Guatemala,lb,-176.809512,Bauer and Sons,CH,54.5285315
91211871,Chechen,1974-02-25T14:28:00,Cuba,li,141.133656,"Frei, Imhof and Schaub",CH,37.043312
54,Gujarati,1983-03-31T00:32:41,Grenada,da,157.413570,Hofstetter PLC,CH,73.130279
268067,Fijian,2014-12-22T07:54:20,Togo,ts,135.160213,Gerber-Lustenberger,CH,-70.2187535
39712544,Slovak,1982-05-30T14:06:25,Lithuania,gu,4.243378,"Steinmann, Betschart and Schumacher",CH,23.1851305
7160646,Interlingua,1981-02-04T08:37:55,Guinea,ne,-153.756373,Lutz Inc,CH,10.819424
752601519,Cornish,1977-08-08T15:17:23,Dominica,eu,74.972072,Fankhauser LLC,CH,-72.1232075
211,Yiddish,1989-06-23T05:31:02,Saudi Arabia,apn,-69.506400,"Ferrari, Müller and Portmann",CH,29.661699
218392858,Turkish,2014-09-03T03:35:47,Trinidad and Tobago,bhb,71.931611,Meili Inc,CH,-37.0751095
7467,Georgian,1971-10-31T04:20:35,Jamaica,ayc,-123.176787,"Zbinden, Kuhn and Roth",CH,-89.288855
78517136,Maltese,1996-08-03T00:02:15,Nepal,yi,-63.473055,"Felber, Schuler and Winkler",CH,72.216267
367,Ukrainian,1998-09-30T05:35:36,Tonga,hu,157.259834,Bianchi-Steinmann,CH,28.815991
9556322,Spanish,2002-04-27T13:18:36,Sri Lanka,mai,68.542159,Grob-Kaiser,CH,30.226574
17773,Finnish,2021-07-08T20:06:51,Nicaragua,szl,-13.489251,Ackermann Ltd,CH,-30.800267
3533754,Yiddish,1978-08-05T04:34:16,Republic of the Congo,ja,72.852690,Peter-Stalder,CH,52.6302285
64684,Corsican,2019-04-16T14:41:45,Slovakia,yi,-113.101571,"Wyss, Albrecht and Bär",CH,-79.997832
21866,Oromo,1982-03-13T07:36:29,Rwanda,ug,-88.716910,Hartmann-Schaub,CH,-80.4369585
682,Chichewa,1983-05-11T08:42:24,Serbia,sd,-50.716883,"Maurer, Leu and Zbinden",CH,-36.939206
92,Bashkir,1984-03-14T01:34:20,Spain,es,-40.940642,Lustenberger Inc,CH,10.907583
18008,Nauru,2017-12-20T01:53:34,Mali,ml,24.525679,Stöckli PLC,CH,-35.285259
4580,Fulah,1976-07-26T08:18:38,Japan,fil,-78.044926,"Lang, Hürlimann and Fankhauser",CH,-29.159075
634,Zulu,1974-06-10T14:59:32,Paraguay,ja,33.716250,Jost-Stucki,CH,-61.006277
1610,Samoan,2013-12-04T09:11:10,Chile,ko,-76.000756,Stutz and Sons,CH,-0.6805505
8596204,Malayalam,2015-03-30T11:27:38,Uganda,ta,-150.014588,Gerber-Frei,CH,-14.312758
20,South Ndebele,2007-08-04T10:42:56,Kingdom of the Netherlands,ur,50.830839,"Gasser, Mayer and Bader",CH,-56.610791
936,Romansh,1998-05-07T16:39:03,Myanmar,ja,-12.778184,Steinmann-Bühler,CH,33.3838935
42920271,Spanish,1992-05-05T23:15:28,South Korea,ln,20.861892,Betschart-Beck,CH,-64.743005
5001,Kirghiz,2015-07-09T21:25:30,Indonesia,iu,2.187834,Gloor-Mäder,CH,17.4075305
57311587,"Sotho, Southern",2010-04-09T07:20:12,New Zealand,ff,-90.026963,Hirt-Thommen,CH,-16.9918825
23,Indonesian,1982-02-16T04:44:56,Papua New Guinea,km,61.374800,"Knecht, Bühler and Kaiser",CH,-86.8255655
9729,Croatian,1984-06-07T22:24:19,Eritrea,sat,59.445431,Schürch-Felder,CH,-84.5994675
862000871,Hebrew,1982-05-16T08:35:36,Bhutan,mn,-1.533958,Koch-Marti,CH,-11.762818
183,Pushto,2011-01-10T22:06:47,Algeria,kn,-163.836517,Hofmann Ltd,CH,43.332792
924,Chinese,2017-09-28T03:26:35,Fiji,nds,-40.543659,"Steiger, Bachmann and Kern",CH,-38.5737375
58,Persian,1987-11-12T13:21:53,Iceland,ast,14.857721,"Zingg, Berger and Tanner",CH,62.200863
98742,Bambara,1982-06-13T13:34:33,Nepal,id,169.104592,Felder LLC,CH,22.3030225
53,Ewe,2023-04-30T12:20:27,Austria,ml,-166.712966,Eugster LLC,CH,46.7051705
440112,Kazakh,1979-11-28T00:39:52,Switzerland,hsb,-46.293235,"Meier, Zürcher and Lutz",CH,39.8586915
249,Chamorro,1987-01-08T13:20:59,Republic of Ireland,ak,-41.592438,"Marti, Eugster and Hofstetter",CH,75.5696745
5,Malay,1995-08-06T16:22:35,Russia,da,-52.739759,Weber Ltd,CH,58.623426
892109289,Sindhi,2022-10-30T21:31:27,Bangladesh,iw,141.714913,"Hirt, Fuchs and Jost",CH,-41.0643905
298598120,Gaelic,2009-11-20T08:27:25,Costa Rica,et,37.109445,"Felder, Moser and Arnold",CH,22.636303
12,Herero,1975-07-02T21:21:51,Mauritania,gd,-44.577393,Mayer Ltd,CH,-47.416503
7560,Afar,1996-09-26T06:30:47,Poland,gl,90.436116,Favre-Moser,CH,45.4117505
75,Marathi,1976-05-18T21:40:00,Nauru,ast,128.057103,Wolf Group,CH,84.5320155
20286532,Northern Sami,1982-12-19T01:56:39,Lebanon,wa,173.667270,Felber-Graf,CH,-63.043780
30789120,Uighur,2010-09-23T16:59:11,Chile,vi,-51.193595,Felber-Stauffer,CH,-49.055117
541569585,Bambara,2008-02-17T13:48:33,United Kingdom,mk,138.860178,"Ernst, Hauser and Ziegler",CH,64.997390
54854,Nepali,1999-12-27T02:59:32,Comoros,apn,52.987053,Kern PLC,CH,-51.467652
16451166,Urdu,2005-10-03T05:17:27,Kenya,st,101.929664,"Albrecht, Lüthi and Schnyder",CH,35.678337
259,Estonian,1988-03-13T14:31:10,Azerbaijan,dz,13.613189,"Kern, Siegrist and Braun",CH,-74.5696675
8971309,Spanish,1977-04-17T19:19:30,Vatican City,mhr,-35.918553,Vogel Inc,CH,-56.6997935
147138408,Faroese,1978-01-27T10:44:42,Gabon,os,125.095242,"Käser, Käser and Stalder",CH,81.1038085
4,Uzbek,2022-07-01T09:53:01,Indonesia,as,100.470640,Bucher Inc,CH,-59.778411
4599989,Amharic,2018-12-26T00:42:26,Greece,wo,-6.614526,Bernasconi-Kuhn,CH,73.257931
0,Kazakh,2015-03-15T15:50:29,Venezuela,ur,-52.532896,"Weibel, Beck and Roos",CH,-15.2131415
20,Lingala,1980-07-28T15:53:03,Brazil,st,-142.623364,"Bernasconi, Schwarz and Baumgartner",CH,47.647991
0,Azerbaijani,2012-08-01T07:14:13,Vatican City,as,133.181954,Schwarz-Roos,CH,4.150181
5,Belarusian,2004-02-27T00:21:04,Iran,be,162.118076,Haas-Hofstetter,CH,22.6193535
58261317,Tigrinya,1981-09-07T12:48:39,Republic of Ireland,dz,128.772291,"Kuhn, Wettstein and Kälin",CH,28.381686
0,Basque,1989-07-06T19:53:23,Ethiopia,ia,-61.311846,Knecht-Blaser,CH,25.3028665
191306,Korean,1997-06-03T14:14:26,Nigeria,tcy,84.401539,Fehr-Wirz,CH,58.3064265
49475257,Aragonese,1989-09-17T21:50:25,Taiwan,ff,-95.240958,Amrein-Schwarz,CH,-47.2506885
2275,Lithuanian,2012-12-01T20:54:56,Comoros,fr,-102.766918,"Lutz, Probst and Kaufmann",CH,-26.187255
