mac_address,language_name,date_time,hostname,date,latitude
14:e8:7e:be:ac:dd,Gaelic,1997-07-24 08:51:40,db-79.khan-gray.net,2014-02-25,-88.1321895
13:af:21:e8:0a:8d,Inupiaq,1973-11-13 11:56:03,email-34.williams.com,2008-06-05,66.947882
78:ff:1d:57:bd:e4,Somali,1991-11-13 04:10:28,srv-55.gallagher-bryan.org,2000-08-10,82.983584
ec:a8:a9:2f:11:af,Czech,2016-09-19 23:43:15,web-66.hanson.net,1971-10-11,-63.1335075
db:c5:fb:9e:d0:4d,Avestan,2019-09-14 21:10:25,srv-50.kelly-hawkins.net,1978-12-10,35.980605
c2:21:6d:81:c8:6c,Tajik,1980-07-02 08:04:54,lt-72.jones.com,1988-08-13,-78.873979
41:6b:7e:31:b0:98,Norwegian,1984-08-30 00:03:12,db-08.porter.com,1985-02-11,-72.1017765
3e:74:26:fa:3a:1e,Bislama,2015-08-26 08:05:33,email-20.barnes.com,1992-03-10,30.3266365
cf:23:5f:c1:d0:1a,Afar,1973-03-22 09:12:11,desktop-70.hancock-white.org,2001-07-21,38.375070
b8:ba:8e:48:29:c2,Kuanyama,2009-01-31 11:50:13,db-28.walker.com,1970-03-21,87.216284
f2:4c:2b:fa:69:6c,Sindhi,2018-12-10 10:23:38,lt-31.kemp.org,1998-07-27,-38.9313995
b0:a0:19:04:39:52,Sardinian,1971-04-12 14:53:59,web-33.smith.com,2017-12-27,-51.6311955
c7:ab:37:c3:aa:67,Tamil,1997-11-10 23:42:34,lt-05.jones.co.uk,2005-05-06,-60.624772
dc:e2:43:31:c6:06,Xhosa,1982-01-17 12:56:54,desktop-17.scott-wells.co.uk,1975-02-07,-45.2655525
35:99:ac:46:22:e3,Komi,2021-01-13 21:57:48,laptop-58.young.com,2011-09-16,-23.2156675
9b:f6:ae:92:5e:09,Tonga,2008-04-07 04:55:29,srv-10.naylor-jones.com,2006-09-15,-52.7680485
13:1f:4e:01:30:6e,Danish,2003-01-19 15:34:07,laptop-82.simpson.com,2016-02-01,77.741871
ab:e3:f1:53:e0:6d,Tamil,1987-10-16 18:21:23,email-00.carter.biz,2011-04-25,57.807843
12:ee:28:65:c2:cf,Ojibwa,1971-11-25 01:26:01,db-43.bates.co.uk,2002-12-06,85.0968765
22:23:7d:af:f2:0c,Maori,1985-02-04 19:27:10,desktop-36.hall.info,2002-10-19,12.9915475
a7:98:c9:e4:b0:4d,Shona,1993-09-07 08:32:03,lt-39.mahmood.biz,1985-06-14,79.6121895
4c:6e:f4:f1:7a:31,Kirghiz,1985-05-19 11:38:54,web-15.mitchell.biz,2023-02-23,35.218752
51:7d:2c:6d:a2:f0,Chechen,2016-12-16 00:59:50,srv-62.oconnor-russell.com,1982-11-12,83.0041135
cb:e9:81:bf:4a:3e,Esperanto,1991-07-09 08:53:44,lt-28.payne-goddard.biz,1991-11-12,76.455272
23:28:e3:21:08:69,Breton,2007-03-01 01:11:05,db-47.howard.com,1994-09-01,5.974586
17:f3:bd:b2:11:78,Czech,1983-06-21 11:32:21,web-80.harvey.com,1999-09-18,66.396041
e5:d4:6f:23:de:c1,Lao,1976-03-24 02:46:25,srv-88.coles.org,1985-07-03,16.756473
b8:b2:ed:0d:28:31,Maori,1974-02-12 03:17:56,lt-06.hancock-macdonald.com,1991-10-01,53.433738
e2:64:d6:b1:87:ba,Assamese,1981-01-25 15:40:22,desktop-61.morgan-price.com,2020-06-29,-17.151417
df:63:dd:bf:9f:09,Malagasy,1976-06-11 18:03:07,db-10.mitchell.org,2004-06-03,-80.155581
5a:2c:77:c4:2b:5b,Ganda,1978-01-10 06:57:21,web-49.howe.com,2018-04-06,-89.8186665
93:97:0b:a2:fc:87,Estonian,1993-01-10 09:57:44,db-33.harvey-hammond.com,2001-10-17,-82.9793345
83:a2:6f:64:20:bc,Pushto,1989-02-12 16:08:43,web-67.clark.com,1997-02-11,-55.4160605
7f:cf:4b:d2:4a:7d,Chichewa,1987-08-27 19:03:12,desktop-28.harrison.info,1989-12-11,-64.777151
96:e3:a1:5a:ef:9b,Esperanto,1981-09-22 15:48:02,db-49.campbell.com,1994-09-16,-83.1529615
66:89:0d:da:34:6f,Azerbaijani,1997-12-10 06:44:30,email-76.ball.biz,2015-01-08,39.413381
b0:ad:1f:a9:05:22,Dzongkha,1973-05-10 11:33:04,desktop-90.jones.biz,1997-02-27,7.7355125
86:09:7a:bd:8d:06,Shona,2007-02-17 06:47:01,srv-80.burke.com,1989-02-27,71.547502
37:d5:6a:89:66:ba,Ganda,2015-12-02 12:19:35,srv-51.williams.com,1989-12-24,81.550406
41:d8:56:85:46:60,Croatian,1984-12-17 04:04:14,desktop-82.mills-price.info,1971-07-16,-65.827575
3f:7b:86:1d:c4:43,Ewe,1993-08-21 18:04:37,email-05.greenwood.com,2004-01-15,40.795964
81:53:ab:db:d4:ea,Pali,2009-04-20 15:56:16,email-37.watts.co.uk,2005-05-17,-64.580573
41:d4:94:96:88:67,German,2009-05-21 06:59:33,email-07.fisher.com,1990-04-24,69.2499545
01:b4:4a:1b:16:65,Arabic,2012-12-27 10:06:32,email-39.fuller.com,1993-11-17,48.083145
5d:57:38:8d:05:6a,Hindi,1998-10-24 02:51:35,web-98.james.com,1999-08-31,-29.500951
31:ff:0d:3d:2b:a9,Yoruba,2013-07-28 22:35:15,laptop-67.taylor.com,1991-06-16,-57.6658705
05:c8:58:d3:a1:c6,Oriya,2009-01-21 03:29:28,srv-55.odonnell.com,1991-11-26,-78.5610565
79:9c:65:1a:a4:fc,Finnish,1996-10-08 13:35:05,email-92.lloyd-matthews.co.uk,2021-09-24,71.5959565
61:ba:a4:96:15:0c,Czech,2021-08-09 00:52:32,srv-11.power.net,2020-04-09,-29.3687995
52:0a:e4:8c:d1:75,Mongolian,1983-07-15 01:08:45,web-59.wright-clarke.com,2012-06-05,-67.536831
9e:99:b8:89:7c:ec,Avaric,2001-11-27 00:17:23,srv-78.holden.co.uk,2008-08-25,61.1214545
d2:0f:5a:c5:0c:52,Kalaallisut,1972-09-06 10:24:54,db-36.pratt.co.uk,2002-02-03,84.272752
e6:1c:09:de:e8:7f,French,1970-11-04 02:32:00,email-65.mills-mitchell.biz,1994-11-21,-65.895192
84:40:69:55:27:92,Afrikaans,2016-03-26 20:17:17,desktop-56.chamberlain-thompson.biz,1995-06-02,72.8697505
89:60:8d:65:bf:4c,Avestan,1978-12-22 08:32:52,srv-63.gill.net,1985-02-10,-25.542009
fd:b9:1d:2e:28:ce,Fulah,1995-05-12 17:17:32,lt-18.richards.org,1972-06-09,-0.4055625
21:0c:c5:ac:a4:57,Vietnamese,1978-07-17 05:22:07,srv-06.brown-taylor.com,1982-05-20,61.338470
1a:50:bd:b5:fd:64,Tonga,2000-07-22 01:08:45,srv-44.murray-bentley.biz,1984-03-18,41.755129
6d:b7:ca:56:27:90,Belarusian,1998-11-20 03:47:12,web-07.powell-murray.com,2003-11-22,35.488692
11:0e:64:25:a6:b1,Kinyarwanda,2019-07-01 04:56:26,srv-89.webster.com,1982-12-11,9.3778515
3b:83:b7:c5:c5:ed,English,1999-02-18 14:05:35,desktop-59.thompson.com,1980-01-15,-28.4379785
78:03:91:f0:e3:7e,Turkmen,1987-01-01 06:13:12,lt-56.bird-white.biz,2001-03-15,42.567546
a1:77:c4:5a:7c:43,Icelandic,1971-03-07 19:16:28,web-62.jones.co.uk,1988-07-02,-29.6923115
fc:1e:e7:78:dc:64,Xhosa,2017-08-09 09:33:35,email-22.parker.com,2015-05-11,-87.295112
2c:65:3e:dd:35:ba,Gujarati,2006-02-16 05:02:08,desktop-93.fletcher.com,1977-05-23,-73.4563065
b7:95:3a:46:d4:57,Norwegian,2001-05-10 07:34:17,db-41.james-kaur.com,1992-03-25,-88.0609675
b2:2d:2f:fc:16:92,Tajik,2015-07-13 02:19:16,lt-73.shaw.com,1972-04-27,-85.342149
0a:39:3c:e0:7c:0d,Samoan,2006-03-13 10:09:56,laptop-39.lewis-davies.com,1989-02-10,5.1994115
99:e9:27:32:e0:ba,Thai,2017-01-31 19:57:14,desktop-02.oliver.com,2015-03-27,39.391564
9e:26:5b:b1:5f:19,Divehi,1970-06-01 11:28:20,desktop-06.turner.com,1981-10-11,-3.176253
e5:15:47:fc:48:27,Azerbaijani,1982-08-31 09:50:40,srv-92.elliott-morgan.net,1993-04-10,-83.610102
ca:02:38:97:13:94,Bislama,2022-12-22 09:19:56,desktop-27.jackson-robinson.com,1983-07-12,-88.5464995
58:fe:b4:24:73:ea,Swahili,1990-03-11 04:42:59,db-35.davies.net,1996-08-24,70.233473
08:e1:77:a4:b2:79,Sundanese,1983-04-10 21:18:09,email-02.jarvis-williams.com,1981-01-23,10.014302
b0:64:dc:60:eb:ab,Church Slavic,2008-06-15 06:23:52,desktop-58.thomas.org,2011-03-28,-76.824297
92:5a:6c:0c:42:98,Marshallese,1999-07-31 21:26:41,laptop-30.richardson.com,1971-09-07,13.6980115
23:03:b3:09:4d:6b,Kikuyu,1989-02-17 23:04:41,lt-91.wilson.org,1980-10-06,6.0913755
aa:35:33:ff:fb:1e,Catalan,1971-03-04 19:46:09,email-54.stevens.com,1976-12-06,51.611107
4a:21:fb:17:cd:ec,Komi,2004-01-28 04:26:00,desktop-76.roberts.com,2009-11-17,-86.0695115
39:00:4e:bd:f7:bf,Norwegian Nynorsk,2016-01-15 21:24:49,web-56.booth-parry.info,2000-06-25,39.027912
fc:c5:81:d3:29:36,Igbo,1997-11-07 03:39:48,lt-67.rice-jones.com,2000-05-08,34.1340795
db:4e:fd:e3:64:1a,North Ndebele,2012-07-11 08:03:02,email-47.brown-james.com,1986-08-22,29.0357735
73:3f:f5:98:66:b3,Romansh,1992-04-27 15:54:20,lt-60.williamson.net,2009-08-25,-11.378502
29:03:57:76:88:bd,Bulgarian,1997-02-06 23:32:13,lt-81.gibson.com,1980-04-16,80.057286
a3:25:4e:e5:8e:08,Tswana,1996-06-04 06:56:30,web-57.bibi.com,1985-11-15,86.5385455
09:aa:38:e3:ad:d4,Malay,1996-05-13 19:16:12,email-50.brown.co.uk,2016-03-28,-7.124863
e8:41:c7:34:cb:c1,Korean,2017-08-06 20:49:48,desktop-08.turner-bruce.co.uk,2000-05-06,-80.4801565
bd:7f:a6:f7:81:74,Sanskrit,2000-03-10 11:42:31,db-81.lee.net,1972-09-22,29.891183
f4:d3:e8:7a:50:36,Sango,1970-08-25 02:20:27,web-20.jones.com,2023-08-30,71.2698165
53:3b:44:59:41:9d,Ewe,1980-07-29 13:56:22,lt-16.ball-frost.com,1983-07-17,35.527960
1b:b6:6f:bf:de:cf,Kannada,1970-08-28 13:39:30,email-57.harris.com,1989-04-04,-46.578563
84:43:dc:e7:4b:35,Slovak,1998-07-22 12:32:55,laptop-18.wood.net,1993-09-24,48.102120
df:94:27:74:92:b7,Croatian,2017-03-15 18:39:06,lt-84.blake-roberts.com,1988-10-21,74.8274345
c3:c9:46:d7:9b:b9,Fijian,1979-07-17 21:47:27,web-43.bird.com,2001-07-01,-81.972337
b1:9b:c2:8b:48:11,Chichewa,1976-01-22 02:02:26,srv-33.mason-steele.net,2020-12-22,-79.601245
ec:6e:5c:7a:fa:65,English,1974-06-13 05:21:35,lt-54.dean-collier.com,2017-07-15,-3.918412
0a:4d:50:2c:16:45,Sundanese,1975-12-26 02:53:32,srv-47.moss-barton.com,1972-07-07,21.668721
8e:eb:9c:68:cd:0d,Kinyarwanda,1970-11-19 16:30:54,email-20.finch.info,2006-11-26,20.178619
58:8b:f3:a8:f5:88,Luxembourgish,1978-04-12 14:37:10,web-97.blackburn.org,1973-10-18,-5.577242
70:d9:1d:a7:97:0c,Gaelic,1979-04-23 13:14:40,db-51.hopkins.biz,1974-04-18,-9.347020
cd:da:51:b6:7c:6e,Greek,1976-12-25 20:40:12,laptop-71.griffiths.com,1973-02-05,-44.747145
6d:33:22:38:98:50,Tigrinya,2023-02-24 21:12:53,db-37.george.com,2010-04-28,-47.7366135
57:fc:b7:03:e2:2c,Western Frisian,2016-09-18 22:23:32,lt-08.pritchard.com,1985-03-20,-34.9902535
3f:d0:12:d8:aa:ff,Czech,1970-02-28 01:46:03,srv-78.clayton.com,1977-11-01,39.6715065
42:05:43:93:ff:bd,Turkish,1991-05-16 20:18:02,web-13.davies.com,1977-04-30,0.504214
4c:19:46:9e:d8:a4,Greek,1982-05-09 00:56:23,srv-24.davis-smith.com,2013-01-05,-55.906556
3d:df:2d:21:48:88,Esperanto,1992-11-23 11:06:11,lt-06.peacock.co.uk,2016-04-26,-88.0936625
7a:52:90:07:37:6c,Azerbaijani,2021-05-04 15:54:11,laptop-12.blake-martin.info,1973-10-10,-76.2135245
b2:bd:98:c3:7c:b4,Maltese,2020-01-02 22:31:36,web-33.roberts.com,2010-08-07,79.2127865
2c:2d:66:bb:87:9e,Tibetan,1984-11-21 15:08:38,web-67.bell.com,2021-04-04,-79.361171
a6:d6:c7:c6:ad:df,Albanian,2006-12-22 23:56:33,db-64.donnelly.net,1991-10-05,76.199123
19:30:48:3b:6c:c8,Serbian,2020-05-13 13:54:15,email-31.brown-morris.biz,2010-09-25,88.2033845
88:32:ff:4e:6d:1d,Ido,1991-12-07 11:21:04,desktop-14.harper.co.uk,1982-07-17,19.0322355
e8:ed:1f:9e:15:3d,Hiri Motu,1990-02-11 16:15:42,email-64.carr.biz,1974-04-17,-4.333003
15:fe:7a:ed:55:ec,Church Slavic,1983-12-12 13:24:32,srv-82.lowe-harris.net,2011-05-19,66.4192455
d4:5b:18:b7:29:8c,Slovenian,2011-09-23 17:32:44,db-83.allen.net,1991-04-07,-4.737240
4b:23:9a:bf:29:7c,Hungarian,1993-03-06 13:15:41,lt-59.williams-martin.com,1972-04-16,-67.682743
08:58:2b:40:e3:64,Bihari languages,1998-09-02 05:27:35,lt-53.murphy.info,1971-12-05,54.6047705
76:72:37:18:a3:1d,Herero,1989-06-15 08:07:23,email-90.gough.co.uk,2009-03-18,15.881088
11:ed:91:00:6d:44,Hiri Motu,1984-12-11 23:12:58,laptop-24.hughes-mason.com,1974-04-25,-68.817225
41:e6:6e:01:73:0b,Dutch,1992-07-22 13:24:00,db-73.begum.com,1998-09-22,33.023728
e8:7d:52:eb:9b:b6,Panjabi,2019-06-13 09:57:44,desktop-37.cross-thorpe.co.uk,1979-10-20,-65.357905
40:e7:e7:c9:4a:57,Herero,1973-05-24 11:41:06,lt-82.chamberlain-ford.net,2009-05-17,-28.4705485
20:1b:5f:3b:35:4d,Oriya,1992-03-30 15:12:07,db-26.craig.com,1977-03-03,55.0583335
8d:ec:45:20:10:de,Inupiaq,1972-07-24 00:46:57,email-03.harvey.com,1973-01-06,86.1500205
40:0c:a7:23:d3:fb,Romansh,2017-12-31 08:56:47,email-80.cooper-patel.co.uk,1997-09-20,0.6809295
a1:c5:3f:09:9e:c2,Icelandic,1973-04-18 13:47:26,db-98.wilson.com,1991-04-20,-42.432074
51:a2:69:b1:45:a0,Abkhazian,1980-09-18 03:15:13,web-78.cook.info,2023-04-26,-87.638721
